SA4_CODE_2016,Tot_2000_2999_Mng,Tot_2000_2999_Pro,Tot_2000_2999_TecTW,Tot_2000_2999_CoPSW,Tot_2000_2999_ClAW,Tot_2000_2999_SWks,Tot_2000_2999_MaOpDv,Tot_2000_2999_Lab,Tot_2000_2999_IDNS,Tot_2000_2999_Tot,Tot_3000mo_Mng,Tot_3000mo_Pro,Tot_3000mo_TecTW,Tot_3000mo_CoPSW,Tot_3000mo_ClAW,Tot_3000mo_SWks,Tot_3000mo_MaOpDv,Tot_3000mo_Lab,Tot_3000mo_IDNS,Tot_3000mo_Tot,Tot_PINS_Mng,Tot_PINS_Pro,Tot_PINS_TecTW,Tot_PINS_CoPSW,Tot_PINS_ClAW,Tot_PINS_SWks,Tot_PINS_MaOpDv,Tot_PINS_Lab,Tot_PINS_IDNS,Tot_PINS_Tot,Tot_Tot_Mng,Tot_Tot_Pro,Tot_Tot_TecTW,Tot_Tot_CoPSW,Tot_Tot_ClAW,Tot_Tot_SWks,Tot_Tot_MaOpDv,Tot_Tot_Lab,Tot_Tot_IDNS,Tot_Tot_Tot
101,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,4,0,20,12,3,39,0,22,14,106,64,154,669,914,243,1465,72,698,71,4343
102,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,10,0,3,25,26,0,55,0,22,17,151,136,312,983,1790,381,3282,215,1527,96,8727
103,0,5,4,0,0,0,0,0,0,7,0,0,3,0,0,0,0,3,0,12,0,3,16,18,3,47,0,11,24,124,100,236,777,1125,217,1594,76,862,87,5074
104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,24,0,9,18,60,59,93,359,558,124,1136,38,590,45,3000
105,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,4,0,7,7,7,0,22,0,12,5,59,39,105,364,417,113,705,36,312,36,2120
106,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,3,15,10,4,58,0,23,10,126,128,243,958,1262,310,2327,151,1318,83,6781
107,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,0,0,0,0,7,8,5,19,32,10,56,3,12,13,158,168,673,1013,2227,607,3095,257,1442,110,9591
108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,11,14,8,47,0,22,7,110,59,114,501,755,166,1562,58,768,58,4050
109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,7,8,0,25,0,6,11,63,62,129,441,655,132,1091,46,507,49,3106
110,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,3,0,0,0,9,0,0,13,17,0,33,5,20,13,100,100,223,563,756,237,1484,88,739,72,4271
111,0,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,3,0,8,0,8,27,42,15,67,0,24,20,211,223,857,1347,2995,764,4217,295,2010,129,12829
112,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,3,3,3,12,21,4,37,0,26,19,123,94,175,597,980,262,1890,87,1028,75,5186
113,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,4,0,3,13,8,0,22,3,14,17,83,84,204,731,951,193,1475,62,665,67,4434
114,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,3,4,11,12,0,30,3,15,10,88,61,121,491,765,132,1298,45,670,51,3634
115,3,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,9,3,4,13,32,5,41,4,7,15,129,176,628,927,1916,569,2906,147,1242,104,8610
116,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,3,0,0,12,0,0,6,16,10,42,3,25,24,129,166,401,827,1225,500,3037,330,1288,147,7910
117,3,27,7,5,16,6,0,3,3,68,0,8,0,11,7,8,0,0,0,38,11,51,55,60,54,89,5,32,101,462,867,4627,2614,5523,5019,7114,618,3000,806,30182
118,0,3,3,12,0,3,0,0,0,16,0,0,0,11,0,0,0,0,0,11,0,13,13,31,7,22,3,14,12,121,192,1014,683,2401,685,2301,104,873,91,8345
119,0,3,0,3,0,0,0,0,0,7,0,0,0,3,0,3,0,0,0,12,0,15,24,35,10,71,3,28,45,231,241,848,1258,2262,998,3586,264,1580,225,11251
120,0,4,3,0,0,0,0,0,0,4,0,0,4,4,3,0,0,4,3,16,6,10,16,28,12,27,3,10,23,130,204,734,715,1836,774,2773,146,885,170,8241
121,0,5,3,5,3,3,0,4,0,20,0,0,3,4,3,3,3,0,0,13,5,15,20,56,24,48,5,14,33,211,435,1832,1223,4287,1593,4117,293,1599,251,15624
122,0,0,0,0,0,3,0,0,0,8,0,0,0,4,0,3,0,0,0,9,0,12,11,17,6,37,0,17,17,118,166,440,974,2233,495,2490,212,1152,82,8243
123,0,0,0,0,0,0,3,0,0,7,0,0,3,0,0,3,0,0,0,10,3,7,17,21,3,41,8,15,18,137,134,346,864,1294,365,2337,158,1240,101,6847
124,0,3,0,4,0,0,0,0,0,9,0,0,0,4,0,3,0,0,0,9,0,0,16,28,11,42,0,24,18,145,164,435,1068,1927,526,2931,220,1538,101,8905
