SA4_CODE_2016,P_EWFT_35_39_ES_NS,P_EWFT_35_39_Tot,P_EWFT_40_44_E,P_EWFT_40_44_OM_IE,P_EWFT_40_44_OM_UIE,P_EWFT_40_44_CFW,P_EWFT_40_44_ES_NS,P_EWFT_40_44_Tot,P_EWFT_45_49_E,P_EWFT_45_49_OM_IE,P_EWFT_45_49_OM_UIE,P_EWFT_45_49_CFW,P_EWFT_45_49_ES_NS,P_EWFT_45_49_Tot,P_EWFT_50_54_E,P_EWFT_50_54_OM_IE,P_EWFT_50_54_OM_UIE,P_EWFT_50_54_CFW,P_EWFT_50_54_ES_NS,P_EWFT_50_54_Tot,P_EWFT_55_59_E,P_EWFT_55_59_OM_IE,P_EWFT_55_59_OM_UIE,P_EWFT_55_59_CFW,P_EWFT_55_59_ES_NS,P_EWFT_55_59_Tot,P_EWFT_60_64_E,P_EWFT_60_64_OM_IE,P_EWFT_60_64_OM_UIE,P_EWFT_60_64_CFW,P_EWFT_60_64_ES_NS,P_EWFT_60_64_Tot,P_EWFT_65_69_E,P_EWFT_65_69_OM_IE,P_EWFT_65_69_OM_UIE,P_EWFT_65_69_CFW,P_EWFT_65_69_ES_NS,P_EWFT_65_69_Tot,P_EWFT_70_74_E,P_EWFT_70_74_OM_IE,P_EWFT_70_74_OM_UIE,P_EWFT_70_74_CFW,P_EWFT_70_74_ES_NS,P_EWFT_70_74_Tot,P_EWFT_75ov_E,P_EWFT_75ov_OM_IE,P_EWFT_75ov_OM_UIE,P_EWFT_75ov_CFW,P_EWFT_75ov_ES_NS,P_EWFT_75ov_Tot,P_EWFT_Tot_E,P_EWFT_Tot_OM_IE,P_EWFT_Tot_OM_UIE,P_EWFT_Tot_CFW,P_EWFT_Tot_ES_NS,P_EWFT_Tot_Tot,P_EWPT_15_19_E,P_EWPT_15_19_OM_IE,P_EWPT_15_19_OM_UIE,P_EWPT_15_19_CFW,P_EWPT_15_19_ES_NS,P_EWPT_15_19_Tot,P_EWPT_20_24_E,P_EWPT_20_24_OM_IE,P_EWPT_20_24_OM_UIE,P_EWPT_20_24_CFW,P_EWPT_20_24_ES_NS,P_EWPT_20_24_Tot,P_EWPT_25_29_E,P_EWPT_25_29_OM_IE,P_EWPT_25_29_OM_UIE,P_EWPT_25_29_CFW,P_EWPT_25_29_ES_NS,P_EWPT_25_29_Tot,P_EWPT_30_34_E,P_EWPT_30_34_OM_IE,P_EWPT_30_34_OM_UIE,P_EWPT_30_34_CFW,P_EWPT_30_34_ES_NS,P_EWPT_30_34_Tot,P_EWPT_35_39_E,P_EWPT_35_39_OM_IE,P_EWPT_35_39_OM_UIE,P_EWPT_35_39_CFW,P_EWPT_35_39_ES_NS,P_EWPT_35_39_Tot,P_EWPT_40_44_E,P_EWPT_40_44_OM_IE,P_EWPT_40_44_OM_UIE,P_EWPT_40_44_CFW,P_EWPT_40_44_ES_NS,P_EWPT_40_44_Tot,P_EWPT_45_49_E,P_EWPT_45_49_OM_IE,P_EWPT_45_49_OM_UIE,P_EWPT_45_49_CFW,P_EWPT_45_49_ES_NS,P_EWPT_45_49_Tot,P_EWPT_50_54_E,P_EWPT_50_54_OM_IE,P_EWPT_50_54_OM_UIE,P_EWPT_50_54_CFW,P_EWPT_50_54_ES_NS,P_EWPT_50_54_Tot,P_EWPT_55_59_E,P_EWPT_55_59_OM_IE,P_EWPT_55_59_OM_UIE,P_EWPT_55_59_CFW,P_EWPT_55_59_ES_NS,P_EWPT_55_59_Tot,P_EWPT_60_64_E,P_EWPT_60_64_OM_IE,P_EWPT_60_64_OM_UIE,P_EWPT_60_64_CFW,P_EWPT_60_64_ES_NS,P_EWPT_60_64_Tot,P_EWPT_65_69_E,P_EWPT_65_69_OM_IE,P_EWPT_65_69_OM_UIE,P_EWPT_65_69_CFW,P_EWPT_65_69_ES_NS,P_EWPT_65_69_Tot,P_EWPT_70_74_E,P_EWPT_70_74_OM_IE,P_EWPT_70_74_OM_UIE,P_EWPT_70_74_CFW,P_EWPT_70_74_ES_NS,P_EWPT_70_74_Tot,P_EWPT_75ov_E,P_EWPT_75ov_OM_IE,P_EWPT_75ov_OM_UIE,P_EWPT_75ov_CFW,P_EWPT_75ov_ES_NS,P_EWPT_75ov_Tot,P_EWPT_Tot_E,P_EWPT_Tot_OM_IE,P_EWPT_Tot_OM_UIE,P_EWPT_Tot_CFW,P_EWPT_Tot_ES_NS,P_EWPT_Tot_Tot,P_EAFW_E,P_EAFW_OM_IE,P_EAFW_OM_UIE,P_EAFW_CFW,P_EAFW_ES_NS,P_EAFW_Tot,P_H_NS_E,P_H_NS_OM_IE,P_H_NS_OM_UIE,P_H_NS_CFW,P_H_NS_ES_NS,P_H_NS_Tot,P_Tot_E,P_Tot_OM_IE,P_Tot_OM_UIE,P_Tot_CFW,P_Tot_ES_NS,P_Tot_Tot
101,24,3783,3445,537,518,70,38,4606,3728,597,682,79,49,5135,3732,632,720,139,65,5291,3181,529,655,167,47,4585,1753,371,541,155,40,2864,515,213,332,138,38,1230,95,77,158,120,12,458,47,33,123,85,11,296,30764,3806,4706,1082,391,40746,2893,0,19,43,38,2991,1949,4,52,16,14,2039,1458,36,92,29,13,1622,1541,76,135,39,22,1813,1548,98,219,58,13,1932,1732,121,295,81,23,2243,1803,134,283,86,26,2328,2043,144,323,74,31,2620,2098,174,377,104,27,2782,1639,169,415,142,38,2405,722,141,308,164,19,1354,249,82,181,131,11,652,99,34,123,104,12,373,19767,1217,2812,1069,281,25146,1965,141,263,100,59,2532,1004,65,141,96,176,1484,53502,5230,7921,2343,907,69907
102,27,5784,5469,784,605,56,53,6971,5862,867,680,66,51,7522,5737,837,652,84,72,7385,5081,652,575,84,45,6440,2671,436,395,50,33,3580,660,236,189,31,16,1129,110,81,67,19,4,282,31,24,32,28,3,116,46826,5119,4477,526,407,57355,5712,13,33,24,61,5847,4262,21,102,30,30,4444,2476,45,203,31,34,2791,2754,122,314,55,27,3270,2879,189,430,79,28,3608,3177,221,505,82,30,4016,3194,258,514,99,41,4101,3177,225,452,79,37,3966,3072,252,508,100,42,3975,2271,223,434,96,25,3055,1025,208,289,73,26,1621,366,119,138,62,9,692,118,47,64,28,8,259,34483,1934,3979,842,396,41635,3204,151,226,61,76,3721,1318,114,133,84,232,1886,85835,7324,8816,1517,1114,104601
103,48,5142,4761,469,585,119,57,5990,4996,558,664,131,67,6410,4748,553,718,185,75,6277,4226,448,785,201,55,5709,2259,338,665,241,32,3544,646,204,442,246,30,1567,126,85,215,153,19,605,64,39,186,126,28,442,40532,3525,5500,1589,541,51686,2982,3,23,55,39,3095,2198,11,50,21,29,2305,1683,28,97,34,15,1864,1999,79,168,60,28,2332,1840,76,230,63,19,2224,2057,106,249,66,23,2505,2034,114,246,66,28,2488,2068,105,267,83,28,2547,1999,97,318,85,42,2538,1519,125,311,150,37,2141,747,101,263,149,29,1289,329,56,195,141,21,747,111,36,156,165,15,492,21568,931,2579,1144,352,26583,2623,114,243,107,81,3175,1133,64,131,169,245,1750,65859,4631,8456,3012,1225,83186
104,28,2529,2565,293,347,48,25,3274,2722,330,404,53,35,3553,2668,358,409,71,36,3538,2469,282,417,95,30,3290,1318,238,348,81,16,1997,337,97,174,49,6,654,52,34,61,28,5,179,15,26,44,24,3,113,20650,2009,2820,555,241,26277,2255,0,13,26,29,2319,1452,4,36,9,14,1524,1148,15,64,24,19,1273,1249,25,121,19,12,1431,1331,52,168,27,13,1592,1499,86,241,41,24,1894,1581,95,240,57,17,1995,1707,103,236,55,30,2132,1822,97,298,77,27,2321,1399,100,282,86,27,1899,522,69,201,90,9,888,179,29,83,45,7,343,73,8,56,47,10,188,16224,684,2054,602,232,19792,1476,64,167,58,51,1812,597,38,103,69,155,960,38948,2797,5141,1280,682,48847
105,35,2769,2414,267,333,83,36,3133,2617,290,363,133,43,3446,2672,324,453,161,53,3663,2400,278,483,192,42,3399,1368,177,425,149,30,2147,440,113,271,121,24,966,86,55,143,97,14,382,44,34,109,90,5,289,22834,1934,3347,1182,356,29654,1386,0,4,22,16,1432,1011,4,17,22,13,1061,938,10,51,15,13,1023,1031,23,98,32,5,1193,951,30,89,37,22,1122,930,37,92,34,12,1107,980,38,109,38,17,1182,944,42,119,38,19,1158,998,40,138,53,21,1240,760,47,144,60,12,1034,396,32,124,66,23,638,157,21,73,67,6,326,74,17,82,75,14,261,10554,361,1135,549,184,12786,1376,66,136,58,64,1700,675,39,72,111,169,1068,35440,2387,4692,1914,770,45204
106,39,6593,6266,577,425,66,51,7384,6320,619,435,77,57,7500,5858,588,498,88,57,7096,4841,503,531,115,44,6026,2322,390,362,88,37,3208,593,218,195,90,15,1115,94,80,101,69,3,350,52,47,56,55,7,213,51785,3888,3456,762,431,60328,4551,10,20,32,42,4647,3261,15,66,20,28,3389,2351,38,135,45,13,2581,2503,65,246,53,16,2876,2568,106,238,53,32,2996,2783,145,286,66,24,3299,2621,128,285,73,24,3130,2545,136,291,75,31,3076,2348,170,304,83,31,2930,1709,173,326,108,22,2335,777,138,222,119,16,1284,251,74,130,97,11,552,118,30,92,86,10,331,28373,1217,2640,904,288,33427,3177,110,181,69,57,3588,1331,81,110,90,241,1850,84669,5295,6383,1828,1019,99196
107,34,6070,5693,672,562,50,30,7010,5902,704,519,67,53,7241,5848,687,558,64,54,7215,5008,507,429,67,37,6049,2350,339,280,45,25,3033,565,169,136,36,17,925,122,63,42,14,8,250,35,27,20,18,0,103,47364,4382,3769,456,362,56328,4909,9,24,39,45,5031,5220,25,106,28,34,5412,2744,54,171,25,32,3026,2763,94,279,48,19,3205,2922,173,385,50,20,3558,3196,182,469,67,31,3950,2923,187,344,55,25,3542,2952,172,384,71,32,3607,2687,168,345,58,27,3286,1911,184,312,73,25,2503,817,132,212,60,16,1244,253,70,80,44,3,457,89,32,42,32,3,208,33392,1478,3167,659,323,39027,3155,121,187,45,68,3575,1218,83,95,77,213,1696,85134,6073,7223,1236,962,100628
108,33,3339,3500,383,539,77,40,4542,3804,443,579,78,50,4949,3797,482,647,109,56,5082,3483,463,668,106,48,4758,1813,315,486,131,39,2784,457,180,265,113,12,1027,63,67,140,57,5,334,38,28,82,58,9,216,28227,2854,4198,807,387,36473,3062,0,15,24,62,3169,1804,10,35,21,27,1894,1568,15,88,35,10,1729,1603,58,173,51,10,1893,1804,72,235,42,27,2185,2006,118,285,57,31,2489,2257,103,325,64,34,2785,2522,128,347,73,45,3110,2579,132,424,100,33,3270,1899,157,449,136,32,2666,863,127,276,133,21,1426,272,56,150,94,14,583,90,33,79,75,11,283,22339,1008,2890,891,353,27483,2286,92,254,95,76,2790,966,63,133,110,285,1565,53818,4018,7478,1898,1094,68308
109,24,2718,2459,324,356,77,34,3244,2651,414,397,102,51,3614,2718,433,416,130,34,3729,2471,413,421,138,45,3482,1442,265,362,123,29,2222,365,139,203,97,22,827,54,54,93,79,8,292,20,29,60,66,3,185,22261,2617,2938,955,312,29078,1958,3,16,44,26,2044,1503,4,22,16,10,1557,1117,16,53,13,9,1210,1221,44,103,33,6,1407,1177,56,122,56,14,1426,1271,72,130,38,11,1517,1265,98,131,50,9,1548,1333,86,131,35,15,1601,1342,85,154,71,17,1667,1117,99,178,91,16,1499,574,76,137,64,12,866,191,34,66,61,12,358,79,25,56,75,10,237,14136,698,1299,634,159,16931,1609,98,158,87,65,2025,694,39,76,91,142,1043,38699,3456,4476,1765,677,49077
110,32,4345,3878,393,543,141,51,5011,4152,466,644,166,55,5478,4078,526,756,233,63,5662,3602,484,781,257,71,5195,2078,376,683,291,68,3490,616,210,459,237,35,1565,121,85,254,172,7,646,56,54,165,168,17,459,34758,3246,5346,1864,527,45732,2735,3,16,44,42,2840,1890,12,39,18,26,1989,1539,18,81,21,16,1673,1687,35,157,43,16,1940,1635,62,176,56,16,1940,1761,88,220,62,18,2139,1794,70,207,61,24,2150,1852,83,239,76,24,2280,1775,112,286,112,33,2313,1374,95,284,128,35,1917,663,80,258,159,28,1189,273,62,171,140,20,666,101,36,126,143,16,428,19066,763,2245,1072,310,23457,2210,111,228,124,66,2738,1055,57,140,197,248,1689,57087,4172,7957,3264,1148,73620
