SA4_CODE_2016,CoPSW_2000_2999_H_0,CoPSW_2000_2999_H_1_15,CoPSW_2000_2999_H_16_24,CoPSW_2000_2999_H_25_34,CoPSW_2000_2999_H_35_39,CoPSW_2000_2999_H_40,CoPSW_2000_2999_H_41_48,CoPSW_2000_2999_H_49mo,CoPSW_2000_2999_H_NS,CoPSW_2000_2999_H_Tot,CoPSW_3000mo_H_0,CoPSW_3000mo_H_1_15,CoPSW_3000mo_H_16_24,CoPSW_3000mo_H_25_34,CoPSW_3000mo_H_35_39,CoPSW_3000mo_H_40,CoPSW_3000mo_H_41_48,CoPSW_3000mo_H_49mo,CoPSW_3000mo_H_NS,CoPSW_3000mo_H_Tot,CoPSW_PINS_H_0,CoPSW_PINS_H_1_15,CoPSW_PINS_H_16_24,CoPSW_PINS_H_25_34,CoPSW_PINS_H_35_39,CoPSW_PINS_H_40,CoPSW_PINS_H_41_48,CoPSW_PINS_H_49mo,CoPSW_PINS_H_NS,CoPSW_PINS_H_Tot,CoPSW_Tot_H_0,CoPSW_Tot_H_1_15,CoPSW_Tot_H_16_24,CoPSW_Tot_H_25_34,CoPSW_Tot_H_35_39,CoPSW_Tot_H_40,CoPSW_Tot_H_41_48,CoPSW_Tot_H_49mo,CoPSW_Tot_H_NS,CoPSW_Tot_H_Tot,ClAW_NNI_H_0,ClAW_NNI_H_1_15,ClAW_NNI_H_16_24,ClAW_NNI_H_25_34,ClAW_NNI_H_35_39,ClAW_NNI_H_40,ClAW_NNI_H_41_48,ClAW_NNI_H_49mo,ClAW_NNI_H_NS,ClAW_NNI_H_Tot,ClAW_1_149_H_0,ClAW_1_149_H_1_15,ClAW_1_149_H_16_24,ClAW_1_149_H_25_34,ClAW_1_149_H_35_39,ClAW_1_149_H_40,ClAW_1_149_H_41_48,ClAW_1_149_H_49mo,ClAW_1_149_H_NS,ClAW_1_149_H_Tot,ClAW_150_299_H_0,ClAW_150_299_H_1_15,ClAW_150_299_H_16_24,ClAW_150_299_H_25_34,ClAW_150_299_H_35_39,ClAW_150_299_H_40,ClAW_150_299_H_41_48,ClAW_150_299_H_49mo,ClAW_150_299_H_NS,ClAW_150_299_H_Tot,ClAW_300_399_H_0,ClAW_300_399_H_1_15,ClAW_300_399_H_16_24,ClAW_300_399_H_25_34,ClAW_300_399_H_35_39,ClAW_300_399_H_40,ClAW_300_399_H_41_48,ClAW_300_399_H_49mo,ClAW_300_399_H_NS,ClAW_300_399_H_Tot,ClAW_400_499_H_0,ClAW_400_499_H_1_15,ClAW_400_499_H_16_24,ClAW_400_499_H_25_34,ClAW_400_499_H_35_39,ClAW_400_499_H_40,ClAW_400_499_H_41_48,ClAW_400_499_H_49mo,ClAW_400_499_H_NS,ClAW_400_499_H_Tot,ClAW_500_649_H_0,ClAW_500_649_H_1_15,ClAW_500_649_H_16_24,ClAW_500_649_H_25_34,ClAW_500_649_H_35_39,ClAW_500_649_H_40,ClAW_500_649_H_41_48,ClAW_500_649_H_49mo,ClAW_500_649_H_NS,ClAW_500_649_H_Tot,ClAW_650_799_H_0,ClAW_650_799_H_1_15,ClAW_650_799_H_16_24,ClAW_650_799_H_25_34,ClAW_650_799_H_35_39,ClAW_650_799_H_40,ClAW_650_799_H_41_48,ClAW_650_799_H_49mo,ClAW_650_799_H_NS,ClAW_650_799_H_Tot,ClAW_800_999_H_0,ClAW_800_999_H_1_15,ClAW_800_999_H_16_24,ClAW_800_999_H_25_34,ClAW_800_999_H_35_39,ClAW_800_999_H_40,ClAW_800_999_H_41_48,ClAW_800_999_H_49mo,ClAW_800_999_H_NS,ClAW_800_999_H_Tot,ClAW_1000_1249_H_0,ClAW_1000_1249_H_1_15,ClAW_1000_1249_H_16_24,ClAW_1000_1249_H_25_34,ClAW_1000_1249_H_35_39,ClAW_1000_1249_H_40,ClAW_1000_1249_H_41_48,ClAW_1000_1249_H_49mo,ClAW_1000_1249_H_NS,ClAW_1000_1249_H_Tot,ClAW_1250_1499_H_0,ClAW_1250_1499_H_1_15,ClAW_1250_1499_H_16_24,ClAW_1250_1499_H_25_34,ClAW_1250_1499_H_35_39,ClAW_1250_1499_H_40,ClAW_1250_1499_H_41_48,ClAW_1250_1499_H_49mo,ClAW_1250_1499_H_NS,ClAW_1250_1499_H_Tot,ClAW_1500_1749_H_0,ClAW_1500_1749_H_1_15,ClAW_1500_1749_H_16_24,ClAW_1500_1749_H_25_34,ClAW_1500_1749_H_35_39,ClAW_1500_1749_H_40,ClAW_1500_1749_H_41_48,ClAW_1500_1749_H_49mo,ClAW_1500_1749_H_NS,ClAW_1500_1749_H_Tot,ClAW_1750_1999_H_0,ClAW_1750_1999_H_1_15,ClAW_1750_1999_H_16_24,ClAW_1750_1999_H_25_34,ClAW_1750_1999_H_35_39,ClAW_1750_1999_H_40,ClAW_1750_1999_H_41_48,ClAW_1750_1999_H_49mo,ClAW_1750_1999_H_NS,ClAW_1750_1999_H_Tot,ClAW_2000_2999_H_0,ClAW_2000_2999_H_1_15,ClAW_2000_2999_H_16_24,ClAW_2000_2999_H_25_34,ClAW_2000_2999_H_35_39,ClAW_2000_2999_H_40,ClAW_2000_2999_H_41_48,ClAW_2000_2999_H_49mo,ClAW_2000_2999_H_NS,ClAW_2000_2999_H_Tot,ClAW_3000mo_H_0,ClAW_3000mo_H_1_15,ClAW_3000mo_H_16_24,ClAW_3000mo_H_25_34,ClAW_3000mo_H_35_39,ClAW_3000mo_H_40,ClAW_3000mo_H_41_48,ClAW_3000mo_H_49mo,ClAW_3000mo_H_NS,ClAW_3000mo_H_Tot,ClAW_PINS_H_0,ClAW_PINS_H_1_15,ClAW_PINS_H_16_24,ClAW_PINS_H_25_34,ClAW_PINS_H_35_39,ClAW_PINS_H_40,ClAW_PINS_H_41_48,ClAW_PINS_H_49mo,ClAW_PINS_H_NS,ClAW_PINS_H_Tot,ClAW_Tot_H_0,ClAW_Tot_H_1_15,ClAW_Tot_H_16_24,ClAW_Tot_H_25_34,ClAW_Tot_H_35_39,ClAW_Tot_H_40,ClAW_Tot_H_41_48,ClAW_Tot_H_49mo,ClAW_Tot_H_NS,ClAW_Tot_H_Tot
101,22,7,7,5,94,52,57,76,3,335,3,3,7,0,11,4,0,18,0,52,5,26,16,19,22,3,4,9,11,114,358,1519,1335,1808,1540,794,522,701,145,8724,3,34,6,0,0,3,0,3,6,69,11,134,18,6,4,5,0,3,3,183,14,188,37,15,10,3,6,12,0,286,10,168,95,49,28,13,3,8,3,387,23,159,205,91,37,27,8,10,4,560,31,166,280,298,135,63,24,20,13,1034,51,81,207,341,339,146,65,41,3,1273,55,55,121,285,498,256,88,97,8,1466,58,59,79,175,543,267,110,109,10,1410,33,27,32,70,320,151,73,80,10,790,25,15,20,46,124,91,60,53,6,444,14,6,15,25,58,39,26,44,0,225,8,12,15,12,35,42,31,43,3,201,3,16,9,6,13,18,3,17,3,84,7,20,9,13,19,17,4,9,8,100,338,1142,1151,1433,2166,1140,510,553,80,8516
102,16,4,5,6,109,46,44,43,3,270,0,11,3,5,17,3,3,13,0,50,5,35,26,37,37,36,7,5,36,216,588,2546,2417,2857,2375,1365,693,672,207,13718,15,38,14,10,7,3,5,8,5,101,19,191,21,7,3,6,0,4,3,258,25,347,85,20,14,4,3,6,9,510,23,352,267,59,22,16,3,11,7,763,40,262,405,126,46,37,10,9,11,951,75,284,595,463,174,103,21,34,12,1750,63,173,376,564,520,235,66,48,14,2059,61,104,249,513,889,500,148,96,20,2590,93,78,137,342,847,543,186,130,19,2367,41,34,52,107,404,285,129,126,10,1175,29,31,32,68,222,188,73,88,9,745,9,10,20,21,106,69,50,51,0,337,7,21,9,31,90,100,61,89,3,418,6,12,15,10,22,27,8,39,0,144,3,27,28,24,31,24,13,5,12,174,505,1968,2309,2355,3405,2133,777,746,146,14350
103,18,3,7,5,104,57,37,74,3,310,3,3,5,3,19,7,3,7,0,40,4,18,13,16,18,13,3,10,24,119,419,1632,1413,1776,1740,1074,469,633,162,9330,5,34,10,8,6,0,3,3,8,78,7,88,7,3,4,4,0,0,0,119,14,215,64,21,8,5,0,9,8,356,20,203,133,46,22,25,7,15,5,477,21,144,225,94,35,37,7,15,7,589,52,161,323,302,149,71,23,29,5,1123,58,91,205,388,403,154,58,52,9,1437,50,52,135,334,579,288,127,82,10,1670,61,46,69,199,625,345,144,116,6,1616,57,41,27,70,378,208,96,87,6,959,23,22,30,47,192,130,62,87,3,592,9,9,14,26,72,61,44,48,0,280,15,14,14,20,66,50,49,87,0,323,0,10,15,20,5,14,5,37,0,108,3,21,14,24,31,15,4,11,8,127,411,1143,1286,1609,2580,1423,643,678,79,9848
104,10,3,0,0,43,24,30,34,0,154,0,7,3,0,4,0,0,5,0,20,0,6,9,23,12,3,4,0,13,69,293,1175,1072,1506,1073,488,323,418,112,6462,7,18,8,6,4,0,0,3,0,51,3,74,3,0,3,3,0,3,0,95,11,112,33,16,5,4,4,4,3,200,25,135,92,21,22,6,8,5,3,322,14,97,151,64,21,13,7,12,7,384,32,132,235,235,122,37,13,23,11,839,42,79,161,289,299,99,29,28,12,1043,28,39,100,237,422,209,79,47,8,1166,30,28,42,143,408,193,69,50,4,982,25,18,17,63,268,106,69,56,8,616,9,10,17,23,103,45,27,36,0,269,7,3,3,6,52,38,19,19,0,155,3,9,3,11,43,35,27,43,0,180,0,0,3,4,4,12,5,16,0,53,0,10,14,12,16,5,4,8,7,87,241,775,894,1145,1790,819,357,352,60,6428
105,22,0,0,3,90,48,33,40,0,238,3,5,3,0,3,0,3,10,0,32,3,7,16,13,17,9,0,11,7,86,288,761,679,1090,1278,681,319,404,96,5607,4,10,3,8,3,4,0,10,0,40,0,49,9,4,3,3,3,3,0,76,7,74,19,12,5,9,0,7,3,150,7,61,62,19,15,9,3,3,8,178,10,60,94,48,20,8,5,10,10,259,14,71,147,136,82,42,14,24,5,536,25,28,78,187,249,101,28,21,9,739,33,34,62,165,384,196,65,58,8,998,24,31,29,70,374,223,70,71,4,889,23,17,9,43,218,117,54,51,3,532,8,9,12,29,102,74,35,42,0,315,7,4,4,9,44,32,21,16,0,142,3,7,3,7,31,33,16,40,3,140,0,10,3,0,3,12,3,14,0,44,5,14,9,12,17,9,5,7,5,80,170,472,547,743,1559,869,327,376,61,5122
106,17,3,3,6,85,58,50,73,4,302,3,10,7,4,13,13,9,12,3,59,6,18,30,20,11,19,5,3,24,143,494,2064,1889,2128,1788,1216,809,888,201,11477,6,37,6,10,8,3,0,12,6,87,14,175,17,11,0,6,3,3,0,229,16,281,62,10,13,16,0,3,5,402,21,256,195,49,25,20,9,12,5,592,31,205,310,110,59,34,6,12,7,769,59,161,411,360,143,70,29,34,16,1283,63,101,277,431,467,213,49,37,7,1642,59,77,161,338,643,357,136,89,12,1875,63,56,73,200,619,348,166,128,17,1675,21,40,40,70,362,206,126,96,8,964,19,24,26,34,164,140,59,86,6,548,3,14,14,14,62,66,53,52,0,273,15,11,20,24,86,88,95,100,3,443,3,3,14,10,23,28,21,49,0,157,5,21,23,15,36,14,7,11,10,139,418,1455,1650,1678,2707,1610,763,717,104,11095
107,17,5,14,7,108,50,53,51,0,301,0,12,8,4,9,16,4,16,0,56,7,33,23,27,24,18,5,11,22,169,516,2807,2407,2451,2075,1304,641,609,161,12974,6,28,17,5,7,3,3,0,4,66,19,198,22,5,4,7,0,4,5,265,36,339,79,23,12,11,4,0,8,512,25,309,211,65,22,17,5,0,11,659,37,262,426,120,40,28,5,6,8,939,53,214,558,437,193,88,22,26,10,1611,69,148,405,556,581,238,66,50,12,2128,78,90,228,505,883,452,156,77,14,2480,80,75,118,276,944,539,218,154,11,2425,66,38,53,125,595,277,115,113,4,1388,21,30,28,56,247,202,96,101,3,798,15,3,17,22,103,82,46,49,5,339,15,8,17,19,92,87,58,95,4,391,6,18,12,13,17,26,18,44,0,159,4,18,28,25,21,31,8,8,18,163,520,1791,2214,2245,3771,2089,822,726,124,14317
108,13,0,14,3,64,38,39,43,0,219,0,0,9,7,4,3,6,11,3,43,7,25,20,25,22,14,4,14,28,149,420,1621,1583,2190,1516,768,429,477,182,9196,4,22,6,8,5,4,0,5,7,58,7,94,15,10,9,3,0,3,4,143,19,175,53,25,13,11,3,4,10,300,9,194,97,42,18,21,3,6,6,399,26,148,216,95,37,27,8,14,5,565,45,155,338,309,141,60,16,29,9,1096,44,96,194,440,390,165,57,44,10,1441,51,66,113,363,579,261,97,42,8,1597,46,41,71,165,464,272,110,72,9,1248,36,18,28,72,270,125,63,79,0,693,14,12,20,28,108,99,37,50,8,392,3,5,11,10,37,32,22,48,3,174,4,3,6,13,28,30,26,46,0,155,6,10,9,5,15,9,6,16,0,71,4,21,10,18,12,11,6,11,9,101,326,1064,1181,1604,2124,1151,456,464,81,8451
109,9,3,8,7,65,21,22,33,3,159,0,10,3,3,4,3,3,3,0,25,12,24,18,20,14,9,6,3,12,100,293,1130,965,1157,969,484,262,313,97,5673,6,18,7,0,0,3,3,9,0,43,7,71,7,0,0,3,0,3,0,98,3,121,39,17,7,3,6,3,3,193,8,124,77,26,13,9,0,6,3,274,18,98,152,85,32,23,10,5,8,434,20,91,210,237,90,46,14,19,7,732,47,72,121,289,253,102,29,25,8,955,45,29,80,238,430,185,70,49,3,1141,31,25,39,100,337,203,101,49,7,899,32,13,18,51,223,109,65,50,5,565,13,16,11,26,94,74,36,42,3,321,3,0,5,16,41,35,20,9,0,134,5,6,6,6,23,44,28,28,0,156,3,7,5,8,7,4,7,17,0,56,6,12,12,11,23,10,3,3,5,80,254,723,798,1117,1573,859,385,334,56,6100
110,18,0,0,10,87,41,43,59,0,267,0,9,3,0,11,3,0,8,0,30,3,15,18,22,16,13,5,11,21,121,365,1210,1142,1608,1495,775,415,572,174,7755,3,29,12,3,4,4,0,7,0,75,12,92,18,5,0,3,0,7,6,143,12,141,58,20,13,17,3,11,8,271,20,164,111,32,17,22,3,17,7,389,25,131,180,95,56,20,8,19,3,527,43,136,245,286,141,64,16,22,9,963,54,82,148,330,414,177,56,50,6,1321,42,53,105,257,600,296,123,80,16,1565,55,44,63,164,529,277,109,104,4,1347,32,21,28,53,296,140,78,75,3,725,13,24,18,30,155,77,78,60,5,457,9,4,7,10,63,42,23,27,0,197,7,12,11,12,49,37,27,42,3,206,3,10,13,9,21,14,6,25,3,105,3,18,11,9,34,22,3,16,14,125,326,955,1021,1325,2398,1214,543,559,92,8427
