SA4_CODE_2016,P_1_149_OM_UIE,P_1_149_CFW,P_1_149_ES_NS,P_1_149_Tot,P_150_299_E,P_150_299_OM_IE,P_150_299_OM_UIE,P_150_299_CFW,P_150_299_ES_NS,P_150_299_Tot,P_300_399_E,P_300_399_OM_IE,P_300_399_OM_UIE,P_300_399_CFW,P_300_399_ES_NS,P_300_399_Tot,P_400_499_E,P_400_499_OM_IE,P_400_499_OM_UIE,P_400_499_CFW,P_400_499_ES_NS,P_400_499_Tot,P_500_649_E,P_500_649_OM_IE,P_500_649_OM_UIE,P_500_649_CFW,P_500_649_ES_NS,P_500_649_Tot,P_650_799_E,P_650_799_OM_IE,P_650_799_OM_UIE,P_650_799_CFW,P_650_799_ES_NS,P_650_799_Tot,P_800_999_E,P_800_999_OM_IE,P_800_999_OM_UIE,P_800_999_CFW,P_800_999_ES_NS,P_800_999_Tot,P_1000_1249_E,P_1000_1249_OM_IE,P_1000_1249_OM_UIE,P_1000_1249_CFW,P_1000_1249_ES_NS,P_1000_1249_Tot,P_1250_1499_E,P_1250_1499_OM_IE,P_1250_1499_OM_UIE,P_1250_1499_CFW,P_1250_1499_ES_NS,P_1250_1499_Tot,P_1500_1749_E,P_1500_1749_OM_IE,P_1500_1749_OM_UIE,P_1500_1749_CFW,P_1500_1749_ES_NS,P_1500_1749_Tot,P_1750_1999_E,P_1750_1999_OM_IE,P_1750_1999_OM_UIE,P_1750_1999_CFW,P_1750_1999_ES_NS,P_1750_1999_Tot,P_2000_2999_E,P_2000_2999_OM_IE,P_2000_2999_OM_UIE,P_2000_2999_CFW,P_2000_2999_ES_NS,P_2000_2999_Tot,P_3000mor_E,P_3000mor_OM_IE,P_3000mor_OM_UIE,P_3000mor_CFW,P_3000mor_ES_NS,P_3000mor_Tot,P_PersInc_NS_E,P_PersInc_NS_OM_IE,P_PersInc_NS_OM_UIE,P_PersInc_NS_CFW,P_PersInc_NS_ES_NS,P_PersInc_NS_Tot,P_Tot_E,P_Tot_OM_IE,P_Tot_OM_UIE,P_Tot_CFW,P_Tot_ES_NS,P_Tot_Tot
101,228,184,55,2821,2093,122,497,268,60,3041,2417,202,577,200,80,3481,3370,205,695,222,85,4570,5676,444,985,228,98,7434,7205,481,949,184,80,8895,7939,602,953,155,108,9754,7156,729,853,143,90,8969,4464,537,609,82,43,5738,3361,568,418,64,37,4450,2599,281,241,44,14,3191,2978,447,327,67,34,3852,877,454,346,68,19,1766,853,91,147,80,79,1247,53502,5230,7921,2343,907,69907
102,306,140,58,4975,4091,143,554,153,67,5010,4286,280,672,177,94,5511,5452,304,764,128,97,6741,8954,494,1052,160,128,10791,11121,661,975,101,147,13007,12492,791,1054,99,110,14548,11112,1031,1068,77,99,13384,7030,732,624,41,52,8478,5637,741,496,30,40,6945,4088,408,294,24,26,4843,4239,788,386,37,39,5483,1364,710,361,26,29,2486,1259,127,142,46,109,1674,85835,7324,8816,1517,1114,104601
103,190,207,66,2996,2408,107,524,299,70,3411,2898,172,595,305,92,4059,3756,198,668,286,120,5025,6236,331,1027,308,148,8045,8076,413,927,249,125,9788,8837,552,1005,216,118,10725,8334,687,953,167,121,10259,5740,456,593,82,55,6935,4940,467,493,84,59,6041,3960,246,278,46,29,4567,5373,413,425,53,46,6309,1595,460,442,86,36,2622,974,68,173,140,117,1469,65859,4631,8456,3012,1225,83186
104,134,97,32,2051,1586,57,350,152,51,2190,1976,110,470,147,79,2779,2635,135,533,125,68,3497,4457,242,726,125,67,5620,5803,329,689,86,94,7006,5885,338,632,83,77,7013,4790,393,469,50,49,5760,2989,252,324,50,36,3655,2298,269,203,42,20,2828,1823,110,128,17,6,2083,1769,217,161,20,22,2193,510,254,154,15,9,936,542,42,88,35,51,765,38948,2797,5141,1280,682,48847
105,89,123,34,1379,1135,45,260,195,51,1683,1312,98,303,184,57,1960,1859,108,383,198,65,2619,3381,171,548,177,73,4346,4648,235,502,129,75,5595,5059,280,555,126,71,6084,4863,320,536,137,76,5934,3173,225,295,63,41,3788,2706,221,290,34,33,3289,2149,133,190,34,20,2530,2606,221,216,40,28,3102,677,231,259,44,18,1233,649,58,155,94,99,1053,35440,2387,4692,1914,770,45204
106,199,142,38,4033,3281,134,468,233,72,4196,3860,198,522,202,69,4850,4612,210,564,153,97,5636,7451,449,796,154,108,8949,9316,458,733,105,110,10716,10319,565,747,80,124,11837,10314,771,699,104,91,11979,7365,484,447,55,48,8397,6556,521,295,57,51,7481,5242,291,181,20,29,5766,8518,503,224,39,37,9320,2699,549,256,45,24,3580,1262,79,130,70,101,1649,84669,5295,6383,1828,1019,99196
107,252,113,55,4645,4244,113,484,132,66,5028,4293,179,540,129,72,5209,5340,219,630,100,94,6384,8078,414,881,113,102,9593,9599,520,758,76,102,11050,10629,677,857,97,107,12363,10652,878,791,65,85,12472,7343,602,548,35,59,8597,6297,676,407,47,46,7469,4879,349,232,17,22,5505,6247,633,310,19,33,7245,1891,637,321,23,15,2898,1171,90,130,33,87,1509,85134,6073,7223,1236,962,100628
108,196,156,77,2971,2075,87,561,290,72,3082,2660,195,721,265,132,3974,3749,211,725,202,109,5003,6401,383,1024,187,129,8130,7963,451,910,119,132,9579,8064,477,889,95,108,9630,6592,504,714,71,85,7962,4064,357,485,34,48,4985,3079,352,305,37,28,3795,2479,179,168,18,26,2867,2396,315,247,32,17,3008,714,390,253,19,25,1406,883,68,166,48,85,1252,53818,4018,7478,1898,1094,68308
109,102,132,27,1924,1587,78,208,169,43,2084,1792,126,310,168,62,2459,2444,158,331,145,53,3132,4113,325,519,198,70,5237,5088,362,538,124,86,6199,6002,389,533,116,67,7110,5297,438,561,114,66,6473,3467,329,328,82,32,4248,2478,335,271,33,21,3136,1720,182,161,28,19,2103,1832,270,229,59,26,2415,443,350,210,43,8,1060,667,56,96,70,74,966,38699,3456,4476,1765,677,49077
110,191,256,54,2695,2135,104,489,336,67,3128,2558,160,570,357,85,3727,3316,204,683,301,117,4616,5747,298,936,325,120,7427,7891,425,880,230,127,9561,8691,502,981,198,127,10500,7777,557,926,177,102,9544,4696,410,530,82,48,5771,3751,385,422,84,51,4684,2816,201,239,54,20,3341,3410,312,368,71,32,4192,987,451,363,76,27,1910,938,86,191,159,144,1511,57087,4172,7957,3264,1148,73620
