SA4_CODE_2016,EWFT_16_TechFEI_FT,EWFT_16_TechFEI_PT,EWFT_16_TechFEI_NS,EWFT_16_TechFEI_Tot,EWFT_16_UniOTIs_FT,EWFT_16_UniOTIs_PT,EWFT_16_UniOTIs_NS,EWFT_16_UniOTIs_Tot,EWFT_16_Other,EWFT_16_NS,EWFT_16_Tot,EWFT_17_TechFEI_FT,EWFT_17_TechFEI_PT,EWFT_17_TechFEI_NS,EWFT_17_TechFEI_Tot,EWFT_17_UniOTIs_FT,EWFT_17_UniOTIs_PT,EWFT_17_UniOTIs_NS,EWFT_17_UniOTIs_Tot,EWFT_17_Other,EWFT_17_NS,EWFT_17_Tot,EWFT_18_TechFEI_FT,EWFT_18_TechFEI_PT,EWFT_18_TechFEI_NS,EWFT_18_TechFEI_Tot,EWFT_18_UniOTIs_FT,EWFT_18_UniOTIs_PT,EWFT_18_UniOTIs_NS,EWFT_18_UniOTIs_Tot,EWFT_18_Other,EWFT_18_NS,EWFT_18_Tot,EWFT_19_TechFEI_FT,EWFT_19_TechFEI_PT,EWFT_19_TechFEI_NS,EWFT_19_TechFEI_Tot,EWFT_19_UniOTIs_FT,EWFT_19_UniOTIs_PT,EWFT_19_UniOTIs_NS,EWFT_19_UniOTIs_Tot,EWFT_19_Other,EWFT_19_NS,EWFT_19_Tot,EWFT_20_24_TechFEI_FT,EWFT_20_24_TechFEI_PT,EWFT_20_24_TechFEI_NS,EWFT_20_24_TechFEI_Tot,EWFT_20_24_UniOTIs_FT,EWFT_20_24_UniOTIs_PT,EWFT_20_24_UniOTIs_NS,EWFT_20_24_UniOTIs_Tot,EWFT_20_24_Other,EWFT_20_24_NS,EWFT_20_24_Tot,EWFT_25_29_TechFEI_FT,EWFT_25_29_TechFEI_PT,EWFT_25_29_TechFEI_NS,EWFT_25_29_TechFEI_Tot,EWFT_25_29_UniOTIs_FT,EWFT_25_29_UniOTIs_PT,EWFT_25_29_UniOTIs_NS,EWFT_25_29_UniOTIs_Tot,EWFT_25_29_Other,EWFT_25_29_NS,EWFT_25_29_Tot,EWFT_30over_TechFEI_FT,EWFT_30over_TechFEI_PT,EWFT_30over_TechFEI_NS,EWFT_30over_TechFEI_Tot,EWFT_30over_UniOTIs_FT,EWFT_30over_UniOTIs_PT,EWFT_30over_UniOTIs_NS,EWFT_30over_UniOTIs_Tot,EWFT_30over_Other,EWFT_30over_NS,EWFT_30over_Tot,EWFT_Tot_TechFEI_FT,EWFT_Tot_TechFEI_PT,EWFT_Tot_TechFEI_NS,EWFT_Tot_TechFEI_Tot,EWFT_Tot_UniOTIs_FT,EWFT_Tot_UniOTIs_PT,EWFT_Tot_UniOTIs_NS,EWFT_Tot_UniOTIs_Tot,EWFT_Tot_Other,EWFT_Tot_NS,EWFT_Tot_Tot,EWPT_16_TechFEI_FT,EWPT_16_TechFEI_PT,EWPT_16_TechFEI_NS,EWPT_16_TechFEI_Tot,EWPT_16_UniOTIs_FT,EWPT_16_UniOTIs_PT,EWPT_16_UniOTIs_NS,EWPT_16_UniOTIs_Tot,EWPT_16_Other,EWPT_16_NS,EWPT_16_Tot,EWPT_17_TechFEI_FT,EWPT_17_TechFEI_PT,EWPT_17_TechFEI_NS,EWPT_17_TechFEI_Tot,EWPT_17_UniOTIs_FT,EWPT_17_UniOTIs_PT,EWPT_17_UniOTIs_NS,EWPT_17_UniOTIs_Tot,EWPT_17_Other,EWPT_17_NS,EWPT_17_Tot,EWPT_18_TechFEI_FT,EWPT_18_TechFEI_PT,EWPT_18_TechFEI_NS,EWPT_18_TechFEI_Tot,EWPT_18_UniOTIs_FT,EWPT_18_UniOTIs_PT,EWPT_18_UniOTIs_NS,EWPT_18_UniOTIs_Tot,EWPT_18_Other,EWPT_18_NS,EWPT_18_Tot,EWPT_19_TechFEI_FT,EWPT_19_TechFEI_PT,EWPT_19_TechFEI_NS,EWPT_19_TechFEI_Tot,EWPT_19_UniOTIs_FT,EWPT_19_UniOTIs_PT,EWPT_19_UniOTIs_NS,EWPT_19_UniOTIs_Tot,EWPT_19_Other,EWPT_19_NS,EWPT_19_Tot,EWPT_20_24_TechFEI_FT,EWPT_20_24_TechFEI_PT,EWPT_20_24_TechFEI_NS,EWPT_20_24_TechFEI_Tot,EWPT_20_24_UniOTIs_FT,EWPT_20_24_UniOTIs_PT,EWPT_20_24_UniOTIs_NS,EWPT_20_24_UniOTIs_Tot,EWPT_20_24_Other,EWPT_20_24_NS,EWPT_20_24_Tot,EWPT_25_29_TechFEI_FT,EWPT_25_29_TechFEI_PT,EWPT_25_29_TechFEI_NS,EWPT_25_29_TechFEI_Tot,EWPT_25_29_UniOTIs_FT,EWPT_25_29_UniOTIs_PT,EWPT_25_29_UniOTIs_NS,EWPT_25_29_UniOTIs_Tot,EWPT_25_29_Other,EWPT_25_29_NS,EWPT_25_29_Tot,EWPT_30over_TechFEI_FT,EWPT_30over_TechFEI_PT,EWPT_30over_TechFEI_NS,EWPT_30over_TechFEI_Tot,EWPT_30over_UniOTIs_FT,EWPT_30over_UniOTIs_PT,EWPT_30over_UniOTIs_NS,EWPT_30over_UniOTIs_Tot,EWPT_30over_Other,EWPT_30over_NS,EWPT_30over_Tot,EWPT_Tot_TechFEI_FT,EWPT_Tot_TechFEI_PT,EWPT_Tot_TechFEI_NS,EWPT_Tot_TechFEI_Tot,EWPT_Tot_UniOTIs_FT,EWPT_Tot_UniOTIs_PT,EWPT_Tot_UniOTIs_NS,EWPT_Tot_UniOTIs_Tot,EWPT_Tot_Other,EWPT_Tot_NS,EWPT_Tot_Tot,EAFW_16_TechFEI_FT,EAFW_16_TechFEI_PT,EAFW_16_TechFEI_NS,EAFW_16_TechFEI_Tot,EAFW_16_UniOTIs_FT,EAFW_16_UniOTIs_PT,EAFW_16_UniOTIs_NS,EAFW_16_UniOTIs_Tot,EAFW_16_Other,EAFW_16_NS,EAFW_16_Tot,EAFW_17_TechFEI_FT,EAFW_17_TechFEI_PT,EAFW_17_TechFEI_NS,EAFW_17_TechFEI_Tot,EAFW_17_UniOTIs_FT,EAFW_17_UniOTIs_PT,EAFW_17_UniOTIs_NS,EAFW_17_UniOTIs_Tot,EAFW_17_Other,EAFW_17_NS,EAFW_17_Tot,EAFW_18_TechFEI_FT,EAFW_18_TechFEI_PT
101,3,16,0,12,0,0,0,0,3,0,19,3,40,0,44,0,0,0,0,0,3,49,11,95,0,103,3,6,0,10,5,5,127,13,120,0,134,21,13,0,30,11,7,183,32,307,4,342,69,118,0,184,38,29,598,25,166,0,188,28,158,0,186,40,24,442,24,371,4,403,70,573,5,643,143,350,1543,108,1116,15,1234,187,868,6,1064,237,419,2956,6,12,0,16,0,0,0,0,564,8,584,15,14,0,25,0,0,0,3,595,13,639,8,26,0,40,86,7,0,101,242,9,389,18,35,0,50,148,16,0,167,9,6,234,41,109,0,147,463,111,0,577,41,25,787,21,84,0,105,107,76,0,181,27,14,333,55,292,3,342,142,358,4,502,168,239,1259,161,559,3,729,950,566,7,1526,1650,322,4222,0,0,0,0,0,0,0,0,42,3,46,0,0,0,0,0,0,0,0,66,3,65,4,6
102,0,8,0,8,0,0,0,0,0,0,8,11,78,0,86,0,0,0,0,7,0,93,8,124,0,131,0,0,0,9,11,3,141,19,154,0,173,5,20,0,24,7,6,216,53,447,6,507,90,156,0,246,46,30,833,18,205,0,225,80,277,0,359,67,27,679,60,461,8,524,114,843,0,959,241,319,2048,163,1476,19,1657,298,1293,3,1594,369,394,4017,14,14,0,27,4,0,0,3,1071,26,1127,26,28,0,52,8,0,0,10,1111,25,1194,30,63,0,94,316,38,0,357,415,23,879,37,72,0,114,520,68,4,586,36,7,739,101,196,0,293,1446,321,4,1771,81,19,2165,38,119,0,155,305,167,6,473,40,20,692,79,489,3,577,278,564,8,845,266,247,1937,320,980,6,1305,2874,1153,16,4047,3013,369,8736,3,0,0,4,0,0,0,0,53,3,62,0,8,0,8,3,0,0,3,85,7,103,6,14
103,3,10,0,11,0,0,0,0,0,0,14,3,79,0,81,0,0,0,0,0,3,87,12,126,3,139,6,3,0,6,8,9,155,22,158,0,171,3,10,0,14,6,8,203,71,364,4,435,79,172,0,249,29,35,748,20,201,0,219,34,233,0,273,47,51,588,39,576,0,610,64,816,3,888,181,510,2197,157,1499,14,1672,189,1234,9,1432,280,621,4002,4,11,0,17,0,0,0,0,575,11,607,9,20,0,30,0,0,0,0,586,23,633,17,54,0,75,87,9,0,100,252,5,431,17,50,0,64,182,15,0,194,12,3,277,43,121,4,172,634,146,0,778,17,20,989,27,101,0,124,116,90,0,206,23,19,369,55,423,4,487,138,383,0,524,115,268,1395,173,775,10,959,1159,642,0,1801,1575,356,4699,0,0,0,0,0,0,0,0,47,3,56,3,3,0,3,0,0,0,0,64,3,68,5,4
104,0,5,0,3,0,0,0,0,0,0,5,3,19,0,20,0,0,0,0,0,0,22,7,56,0,62,0,0,0,3,7,3,75,0,71,0,73,3,4,0,10,3,3,88,25,181,4,210,43,65,0,113,12,13,353,7,79,0,94,20,87,0,101,14,13,230,6,251,3,266,32,395,3,423,100,201,995,52,666,8,724,94,547,3,648,144,242,1762,9,0,0,18,0,0,0,0,433,6,458,13,9,0,18,0,0,0,0,492,17,531,15,9,0,27,36,7,0,44,192,3,267,14,25,0,35,61,18,0,81,9,0,129,40,97,3,147,222,80,0,305,33,16,497,29,62,0,88,69,58,0,126,17,9,241,76,319,0,396,111,285,0,398,86,158,1041,187,525,4,721,498,450,3,955,1270,207,3151,0,3,0,5,0,0,0,0,37,3,46,0,0,0,0,0,0,0,0,58,0,62,0,0
105,0,12,0,11,0,0,0,0,0,0,11,3,28,0,31,0,0,0,0,3,0,37,5,42,0,51,0,3,0,3,4,3,59,3,69,0,75,0,3,0,3,3,3,88,39,195,3,229,50,81,0,123,15,24,398,18,120,0,143,32,149,0,185,19,22,364,17,329,3,352,39,423,3,464,103,268,1192,88,800,7,890,125,660,3,786,154,326,2155,5,5,0,5,0,0,0,0,249,9,268,6,3,0,7,0,0,0,0,288,14,309,6,20,0,25,17,0,0,18,125,4,172,10,26,0,39,24,3,0,25,6,6,76,22,80,0,105,96,51,0,148,15,23,285,11,63,0,77,39,38,0,72,16,8,183,27,196,0,221,33,169,3,205,50,147,622,94,389,0,479,206,262,3,468,754,205,1911,0,3,0,3,0,0,0,0,32,0,41,3,3,0,4,0,0,0,0,27,3,33,3,3
106,3,27,0,24,0,0,0,0,3,3,31,4,71,0,79,0,0,0,0,9,3,92,12,149,7,161,0,4,0,6,18,11,195,19,158,0,183,4,6,0,12,16,4,218,62,455,6,520,71,143,0,221,75,34,840,36,248,3,290,51,304,0,349,56,27,725,37,607,6,649,84,739,3,827,230,384,2091,175,1715,21,1901,211,1196,3,1413,412,466,4190,18,20,0,37,0,0,0,0,841,26,900,35,31,0,69,7,3,0,8,847,24,946,42,54,0,97,188,18,0,204,346,17,664,18,48,0,71,288,43,0,329,27,15,438,72,136,0,209,883,202,0,1088,63,18,1379,26,110,0,137,156,119,0,274,32,20,465,53,389,4,445,157,360,4,517,177,235,1376,264,784,3,1061,1674,748,6,2426,2328,348,6162,0,0,0,3,0,0,0,0,47,4,49,0,0,0,3,0,0,0,0,75,8,87,3,10
107,0,23,0,24,0,0,0,0,3,0,29,3,67,0,77,0,0,0,0,3,3,80,13,130,0,143,3,12,0,16,3,6,163,19,157,0,174,19,14,0,27,14,3,230,63,433,4,495,131,225,4,356,66,34,957,21,176,0,205,95,284,0,383,58,32,674,42,417,0,466,112,866,6,986,241,278,1975,161,1413,6,1581,356,1396,17,1774,391,355,4103,12,8,0,16,0,0,0,0,857,14,890,24,23,0,45,6,0,0,9,885,19,957,32,54,0,84,396,34,0,424,346,17,875,33,47,0,77,738,56,0,804,32,9,922,98,143,0,242,2614,323,3,2948,77,40,3308,50,97,0,149,510,195,3,706,72,17,945,108,375,3,480,368,560,8,935,245,209,1872,363,739,7,1101,4638,1171,17,5832,2510,334,9778,0,0,0,0,0,0,0,0,64,0,64,0,3,0,5,0,0,0,0,83,4,85,6,9
108,0,6,0,6,0,0,0,0,6,0,9,0,18,0,18,0,0,0,0,4,4,26,11,81,3,98,0,0,0,0,0,11,104,11,108,3,124,11,0,0,9,4,3,138,33,223,3,265,37,60,0,91,23,23,411,15,117,0,129,23,128,0,147,16,22,316,33,375,0,403,54,517,0,574,167,328,1477,111,919,9,1042,116,712,0,831,225,393,2486,12,3,0,18,0,0,0,0,693,18,737,17,16,0,27,3,0,0,3,635,24,694,19,27,0,48,29,11,0,41,251,10,347,20,36,0,52,107,13,0,127,10,4,198,37,112,0,143,246,79,0,329,20,16,510,34,70,0,107,79,74,0,151,23,17,296,78,363,7,450,141,339,3,478,148,263,1338,217,619,8,847,601,514,7,1127,1781,365,4119,0,3,0,3,0,0,0,0,63,6,70,0,7,0,4,0,0,0,0,92,3,106,0,10
109,0,6,0,9,0,0,0,0,6,3,15,3,23,0,28,0,0,0,0,3,0,30,9,68,0,77,0,0,0,0,3,0,83,7,86,0,90,4,10,0,14,5,4,109,30,204,3,232,37,79,0,113,24,14,392,20,95,0,111,21,119,0,134,36,19,300,21,227,0,249,42,338,4,385,91,254,979,85,708,3,800,104,544,4,648,166,298,1913,0,5,0,5,0,0,0,0,366,5,383,11,10,0,20,0,0,0,0,441,9,474,13,19,0,32,40,9,0,50,218,6,304,19,21,0,42,87,8,0,97,15,3,155,50,74,0,128,390,64,0,452,23,10,615,20,54,0,82,78,50,0,129,15,12,243,48,220,0,265,101,181,0,283,89,143,780,158,404,3,572,703,310,0,1012,1172,191,2950,0,0,0,0,0,0,0,0,37,3,40,0,3,0,3,0,0,0,0,35,4,42,0,0
110,3,19,0,20,0,0,0,0,5,0,30,3,43,0,39,0,0,0,0,4,0,54,5,85,4,89,0,0,0,0,3,6,103,13,82,0,97,7,15,0,28,4,5,132,47,258,0,306,57,168,0,220,27,48,596,32,144,0,179,45,201,4,251,35,38,505,30,393,4,425,85,623,6,718,156,440,1740,140,1015,15,1169,196,1020,8,1222,236,533,3161,10,6,0,16,0,0,0,0,549,18,578,12,9,0,21,0,0,0,0,539,12,569,11,25,0,41,82,15,0,98,207,10,353,19,33,0,47,120,16,0,132,9,3,196,46,116,0,160,405,160,0,570,22,18,771,18,75,0,89,118,91,0,214,19,16,343,27,294,0,329,145,277,3,427,121,254,1134,137,558,5,709,872,554,9,1433,1477,335,3945,0,4,0,4,0,0,0,0,59,4,64,0,0,0,0,0,0,0,0,63,4,75,3,0
