SA4_CODE_2016,NFANS_75ov_EWFT,NFANS_75ov_EWPT,NFANS_75ov_EAFW,NFANS_75ov_EHW_NS,NFANS_75ov_Tot,NFANS_Tot_EWFT,NFANS_Tot_EWPT,NFANS_Tot_EAFW,NFANS_Tot_EHW_NS,NFANS_Tot_Tot,Tot_15_19_EWFT,Tot_15_19_EWPT,Tot_15_19_EAFW,Tot_15_19_EHW_NS,Tot_15_19_Tot,Tot_20_24_EWFT,Tot_20_24_EWPT,Tot_20_24_EAFW,Tot_20_24_EHW_NS,Tot_20_24_Tot,Tot_25_29_EWFT,Tot_25_29_EWPT,Tot_25_29_EAFW,Tot_25_29_EHW_NS,Tot_25_29_Tot,Tot_30_34_EWFT,Tot_30_34_EWPT,Tot_30_34_EAFW,Tot_30_34_EHW_NS,Tot_30_34_Tot,Tot_35_39_EWFT,Tot_35_39_EWPT,Tot_35_39_EAFW,Tot_35_39_EHW_NS,Tot_35_39_Tot,Tot_40_44_EWFT,Tot_40_44_EWPT,Tot_40_44_EAFW,Tot_40_44_EHW_NS,Tot_40_44_Tot,Tot_45_49_EWFT,Tot_45_49_EWPT,Tot_45_49_EAFW,Tot_45_49_EHW_NS,Tot_45_49_Tot,Tot_50_54_EWFT,Tot_50_54_EWPT,Tot_50_54_EAFW,Tot_50_54_EHW_NS,Tot_50_54_Tot,Tot_55_59_EWFT,Tot_55_59_EWPT,Tot_55_59_EAFW,Tot_55_59_EHW_NS,Tot_55_59_Tot,Tot_60_64_EWFT,Tot_60_64_EWPT,Tot_60_64_EAFW,Tot_60_64_EHW_NS,Tot_60_64_Tot,Tot_65_69_EWFT,Tot_65_69_EWPT,Tot_65_69_EAFW,Tot_65_69_EHW_NS,Tot_65_69_Tot,Tot_70_74_EWFT,Tot_70_74_EWPT,Tot_70_74_EAFW,Tot_70_74_EHW_NS,Tot_70_74_Tot,Tot_75ov_EWFT,Tot_75ov_EWPT,Tot_75ov_EAFW,Tot_75ov_EHW_NS,Tot_75ov_Tot,Tot_Tot_EWFT,Tot_Tot_EWPT,Tot_Tot_EAFW,Tot_Tot_EHW_NS,Tot_Tot_Tot
101,6,3,0,3,18,565,413,25,49,1055,1131,2991,157,143,4423,3392,2039,163,193,5781,4096,1622,216,150,6074,3870,1813,302,117,6100,3783,1932,182,112,6017,4606,2243,176,134,7166,5135,2328,202,144,7805,5291,2620,251,133,8295,4585,2782,336,116,7814,2864,2405,306,89,5657,1230,1354,141,61,2794,458,652,69,36,1211,296,373,38,54,765,40746,25146,2532,1484,69907
102,3,7,0,0,11,738,566,55,86,1450,1428,5847,295,170,7736,4829,4444,318,260,9846,6050,2791,392,177,9414,5846,3270,479,167,9762,5784,3608,366,177,9929,6971,4016,275,191,11445,7522,4101,285,181,12089,7385,3966,349,173,11875,6440,3975,410,146,10975,3580,3055,332,110,7078,1129,1621,138,55,2945,282,692,47,33,1051,116,259,27,52,453,57355,41635,3721,1886,104601
103,9,9,0,4,26,738,448,59,87,1334,1357,3095,235,180,4871,4238,2305,250,196,6989,5269,1864,354,146,7637,5132,2332,401,155,8027,5142,2224,265,160,7792,5990,2505,210,146,8852,6410,2488,243,142,9283,6277,2547,264,154,9245,5709,2538,351,116,8715,3544,2141,300,101,6094,1567,1289,161,71,3087,605,747,87,62,1498,442,492,57,104,1089,51686,26583,3175,1750,83186
104,4,5,3,3,14,357,282,24,26,693,555,2319,140,99,3112,1876,1524,136,95,3636,2321,1273,166,87,3842,2397,1431,184,72,4084,2529,1592,142,68,4334,3274,1894,127,82,5379,3553,1995,134,94,5768,3538,2132,200,107,5979,3290,2321,248,81,5940,1997,1899,201,71,4167,654,888,84,39,1670,179,343,36,20,572,113,188,14,50,362,26277,19792,1812,960,48847
105,6,7,0,8,19,459,210,26,53,745,687,1432,94,86,2300,2443,1061,123,99,3732,3390,1023,207,99,4725,2944,1193,267,94,4503,2769,1122,136,80,4109,3133,1107,109,107,4454,3446,1182,105,95,4832,3663,1158,147,99,5057,3399,1240,208,86,4932,2147,1034,168,71,3417,966,638,84,49,1741,382,326,28,36,771,289,261,29,60,639,29654,12786,1700,1068,45204
106,3,4,0,5,14,704,457,40,69,1271,1561,4647,269,167,6643,5251,3389,293,220,9147,7079,2581,423,196,10282,6948,2876,509,165,10504,6593,2996,308,189,10080,7384,3299,315,186,11177,7500,3130,297,178,11104,7096,3076,322,169,10667,6026,2930,391,140,9490,3208,2335,262,99,5905,1115,1284,127,57,2579,350,552,48,36,989,213,331,26,61,626,60328,33427,3588,1850,99196
107,0,0,0,4,8,621,428,46,61,1155,1281,5031,252,141,6693,4843,5412,307,255,10817,6127,3026,409,182,9742,6176,3205,509,173,10059,6070,3558,389,139,10154,7010,3950,262,146,11367,7241,3542,266,177,11227,7215,3607,318,146,11282,6049,3286,382,121,9830,3033,2503,313,88,5939,925,1244,121,47,2337,250,457,39,28,780,103,208,30,49,387,56328,39027,3575,1696,100628
108,15,6,0,6,26,518,383,41,79,1024,787,3169,255,155,4368,2505,1894,208,155,4756,3066,1729,214,112,5121,3093,1893,291,96,5374,3339,2185,204,129,5853,4542,2489,197,134,7366,4949,2785,222,166,8121,5082,3110,286,154,8635,4758,3270,392,150,8572,2784,2666,299,102,5855,1027,1426,131,69,2651,334,583,56,60,1030,216,283,40,79,615,36473,27483,2790,1565,68308
109,3,3,3,0,9,379,244,35,41,691,741,2044,127,101,3018,2395,1557,126,125,4200,2851,1210,196,74,4331,2777,1407,237,90,4509,2718,1426,146,74,4359,3244,1517,126,87,4982,3614,1548,133,97,5396,3729,1601,195,87,5614,3482,1667,280,90,5510,2222,1499,234,75,4032,827,866,111,70,1876,292,358,63,29,737,185,237,43,43,512,29078,16931,2025,1043,49077
110,16,10,0,9,33,705,379,50,72,1209,1145,2840,209,176,4371,3612,1989,231,184,6019,4657,1673,298,135,6761,4468,1940,319,125,6857,4345,1940,238,131,6654,5011,2139,176,136,7464,5478,2150,198,144,7978,5662,2280,220,141,8307,5195,2313,311,161,7974,3490,1917,264,107,5786,1565,1189,147,74,2966,646,666,53,69,1439,459,428,77,93,1053,45732,23457,2738,1689,73620
