SA4_CODE_2016,Tot_Mng,Tot_Pro,Tot_Tech_trds_wks,Tot_Com_persl_svce_wks,Tot_Cler_admin_wks,Tot_Sales_wks,Tot_Mach_ops_dvrs,Tot_Labourers,Tot_IDNS,Tot_Tot
101,10800,11127,10024,8724,8516,7218,4494,7847,1172,69907
102,11074,20240,14072,13718,14350,12795,6081,10604,1672,104601
103,12875,13997,11695,9330,9848,7566,7103,9370,1409,83186
104,5998,9004,6112,6462,6428,5408,2813,5790,823,48847
105,7774,7325,5928,5607,5122,4018,3528,5081,828,45204
106,11197,14876,17309,11477,11095,9836,10923,10870,1602,99196
107,10332,21458,13702,12974,14317,10780,6388,9102,1577,100628
108,8279,12396,8969,9196,8451,7863,3915,8085,1157,68308
109,8120,7664,6452,5673,6100,4727,3482,6049,824,49077
110,12701,12413,9009,7755,8427,6760,5496,9765,1298,73620
111,15337,35909,20561,18806,23752,15857,9351,14298,2233,156101
112,11009,16941,10700,10899,10374,8896,4486,9923,1399,84622
113,10796,10897,9192,7855,7827,6257,4764,9290,1057,67936
114,6411,9470,8015,6930,6083,5902,2781,5542,836,51975
115,12048,19774,10650,8993,12022,9528,3984,7081,1525,85609
116,12233,17667,13338,9705,14643,10941,16263,11347,2075,108208
117,98950,203579,43891,40935,95904,42119,16336,25966,11803,579482
118,12228,28058,9865,13236,10467,9253,2572,5697,1657,93033
119,16916,31848,19769,16796,21192,14936,11412,13798,2983,149640
120,14651,28658,11314,11268,16781,11292,4876,6984,2069,107890
121,35455,72275,19220,18834,28935,17967,4318,9922,3736,210668
122,12822,20959,11808,10277,11628,9590,3656,6100,1383,88217
123,8068,13249,11503,8747,9789,8396,8638,8812,1354,78570
124,10640,20604,13402,12785,14068,10455,8523,10001,1733,102208
125,27428,49323,24801,19390,41096,17596,17898,17745,4956,220226
126,17170,34053,9438,8147,14509,7787,2096,5063,1830,100093
127,13750,20906,16341,12530,16764,11885,13064,12191,2790,120230
128,8152,14335,8830,8817,9084,8728,2978,5505,1027,67454
197,3,19,18,11,3,0,3,30,0,90
199,9963,14162,50067,12664,5609,6004,13366,28443,3083,143362
201,7420,12205,7992,7600,7558,6332,3212,6350,938,59603
202,7677,12321,7889,7468,7336,6241,3426,7436,917,60709
203,12505,23498,14548,14006,13573,12103,5810,10666,1676,108389
204,10864,10651,9309,8560,7110,6278,4647,8515,1117,67050
205,14877,15773,14452,11855,11582,10132,6011,11464,1651,97786
206,110372,239046,55898,56501,114527,51536,14593,32530,12426,687418
207,19311,44496,14035,17294,20829,15206,2811,7823,2321,144126
208,20199,35165,19463,18734,19318,19138,7065,11959,2366,153409
209,16126,34652,18806,18220,18050,17217,8457,13281,2278,147092
210,16515,20589,20650,14788,18984,14368,16191,14952,2610,139656
211,22829,32978,25730,19811,23172,20471,11011,17678,2766,176445
212,38086,61258,40520,27721,41539,29100,25583,28784,5071,297667
213,24239,38053,27374,24970,26124,24947,26482,22563,4031,218781
214,10647,16597,14083,12533,10931,10748,3893,9380,1369,90174
215,11564,9275,7083,6992,6472,5837,3674,7813,1012,59720
216,8864,9003,6933,5821,5913,5393,3521,7392,870,53711
217,9496,7613,6246,5319,5439,5243,3231,6014,778,49392
297,6,14,67,0,0,3,25,35,4,155
299,7931,11580,45843,10740,4300,5051,8961,22073,2556,119037
301,9610,12974,11789,9031,10817,8319,6765,9875,1239,80416
302,13555,21399,16466,12400,16930,12897,11075,12174,1832,118730
303,18155,35340,19150,16160,23292,14781,13936,12308,2577,155691
304,6972,16620,6686,9881,6781,6968,1823,4048,909,60680
305,44442,107770,26349,26493,61406,19648,5431,15211,5063,311812
306,12503,17643,13282,13366,12954,10679,5498,11753,1676,99348
307,11197,6673,8296,4824,5757,4068,5394,8814,903,55924
308,10478,14450,15753,9739,11613,8657,10370,10440,1344,92845
309,29537,44265,33866,29815,33808,30395,14348,24279,4150,244461
310,12360,17293,14878,14363,12819,10320,10264,14176,1869,108330
311,10612,15657,12781,11369,12858,11583,7108,10623,1569,94157
312,8722,10716,13796,7039,8774,6743,9576,8474,1211,75048
313,6625,11222,8506,9234,7936,7847,4191,8562,982,65099
314,5686,8313,7738,6386,6713,6548,3003,4879,728,49984
315,5571,5326,6234,3970,3624,1939,4479,4845,765,36755
316,15466,23003,18797,16148,17376,15824,6838,12956,1895,128313
317,6782,13015,8808,7580,9497,6529,4042,7084,766,64098
318,10760,18246,13647,14220,13385,9477,7010,10052,1419,98214
319,11940,14172,11736,12040,11099,9933,6375,13062,1470,91831
397,9,53,36,15,13,3,14,52,4,202
399,6496,8924,34880,7959,3724,4424,8990,21413,2113,98920
401,26986,64538,19161,25089,40758,17827,3805,13219,3261,214651
402,13617,22095,16280,16852,13565,14804,10730,15892,2018,125856
403,10268,22438,12879,14990,11856,11751,3920,9904,1246,99265
404,14840,19105,19309,12458,16839,12400,12255,13240,1950,122391
405,8023,5374,5199,4365,4245,3499,2940,6666,632,40942
406,5162,5217,5978,4035,3661,3080,4380,4312,709,36522
407,12617,8521,8425,7688,7149,6729,4715,11961,1020,68823
497,3,12,14,3,0,0,7,19,0,64
499,2141,3071,12099,3898,1273,1493,2399,7300,627,34306
501,9447,10483,12087,7199,7983,6879,6495,9263,1109,70945
502,2447,4302,4165,3822,3076,3521,1685,2907,411,26336
503,31016,83353,19946,21267,41344,13212,4313,10781,3719,228947
504,10422,13510,15464,10254,11169,9957,7694,9456,1468,89384
505,18123,31137,24044,19571,22049,20705,7446,15198,2408,160681
506,23385,34760,31313,23295,27145,19703,19920,19487,3299,202292
507,17073,31507,25125,18022,18885,16021,10191,14658,2499,153980
509,12814,7214,7803,5362,5820,4064,4890,7347,902,56206
510,5469,9041,19016,4681,5209,2505,12040,8227,1364,67549
511,6678,7825,10870,4785,5805,3611,7901,5446,1025,53941
597,89,301,529,41,30,0,188,379,35,1595
599,2643,4577,20738,4549,2026,2034,5905,10794,1106,54378
601,11351,22806,12595,13017,15337,10148,4676,9000,1733,100657
602,7016,9834,7065,6590,6794,5761,3848,6082,849,53845
603,1864,1170,1244,950,801,664,599,1806,167,9257
604,5316,6045,6136,5024,4902,4437,3486,6297,779,42413
