SA4_CODE_2016,Lab_1000_1249_H_0,Lab_1000_1249_H_1_15,Lab_1000_1249_H_16_24,Lab_1000_1249_H_25_34,Lab_1000_1249_H_35_39,Lab_1000_1249_H_40,Lab_1000_1249_H_41_48,Lab_1000_1249_H_49mo,Lab_1000_1249_H_NS,Lab_1000_1249_H_Tot,Lab_1250_1499_H_0,Lab_1250_1499_H_1_15,Lab_1250_1499_H_16_24,Lab_1250_1499_H_25_34,Lab_1250_1499_H_35_39,Lab_1250_1499_H_40,Lab_1250_1499_H_41_48,Lab_1250_1499_H_49mo,Lab_1250_1499_H_NS,Lab_1250_1499_H_Tot,Lab_1500_1749_H_0,Lab_1500_1749_H_1_15,Lab_1500_1749_H_16_24,Lab_1500_1749_H_25_34,Lab_1500_1749_H_35_39,Lab_1500_1749_H_40,Lab_1500_1749_H_41_48,Lab_1500_1749_H_49mo,Lab_1500_1749_H_NS,Lab_1500_1749_H_Tot,Lab_1750_1999_H_0,Lab_1750_1999_H_1_15,Lab_1750_1999_H_16_24,Lab_1750_1999_H_25_34,Lab_1750_1999_H_35_39,Lab_1750_1999_H_40,Lab_1750_1999_H_41_48,Lab_1750_1999_H_49mo,Lab_1750_1999_H_NS,Lab_1750_1999_H_Tot,Lab_2000_2999_H_0,Lab_2000_2999_H_1_15,Lab_2000_2999_H_16_24,Lab_2000_2999_H_25_34,Lab_2000_2999_H_35_39,Lab_2000_2999_H_40,Lab_2000_2999_H_41_48,Lab_2000_2999_H_49mo,Lab_2000_2999_H_NS,Lab_2000_2999_H_Tot,Lab_3000mo_H_0,Lab_3000mo_H_1_15,Lab_3000mo_H_16_24,Lab_3000mo_H_25_34,Lab_3000mo_H_35_39,Lab_3000mo_H_40,Lab_3000mo_H_41_48,Lab_3000mo_H_49mo,Lab_3000mo_H_NS,Lab_3000mo_H_Tot,Lab_PINS_H_0,Lab_PINS_H_1_15,Lab_PINS_H_16_24,Lab_PINS_H_25_34,Lab_PINS_H_35_39,Lab_PINS_H_40,Lab_PINS_H_41_48,Lab_PINS_H_49mo,Lab_PINS_H_NS,Lab_PINS_H_Tot,Lab_Tot_H_0,Lab_Tot_H_1_15,Lab_Tot_H_16_24,Lab_Tot_H_25_34,Lab_Tot_H_35_39,Lab_Tot_H_40,Lab_Tot_H_41_48,Lab_Tot_H_49mo,Lab_Tot_H_NS,Lab_Tot_H_Tot,OIDNS_NNI_H_0,OIDNS_NNI_H_1_15,OIDNS_NNI_H_16_24,OIDNS_NNI_H_25_34,OIDNS_NNI_H_35_39,OIDNS_NNI_H_40,OIDNS_NNI_H_41_48,OIDNS_NNI_H_49mo,OIDNS_NNI_H_NS,OIDNS_NNI_H_Tot,OIDNS_1_149_H_0,OIDNS_1_149_H_1_15,OIDNS_1_149_H_16_24,OIDNS_1_149_H_25_34,OIDNS_1_149_H_35_39,OIDNS_1_149_H_40,OIDNS_1_149_H_41_48,OIDNS_1_149_H_49mo,OIDNS_1_149_H_NS,OIDNS_1_149_H_Tot,OIDNS_150_299_H_0,OIDNS_150_299_H_1_15,OIDNS_150_299_H_16_24,OIDNS_150_299_H_25_34,OIDNS_150_299_H_35_39,OIDNS_150_299_H_40,OIDNS_150_299_H_41_48,OIDNS_150_299_H_49mo,OIDNS_150_299_H_NS,OIDNS_150_299_H_Tot,OIDNS_300_399_H_0,OIDNS_300_399_H_1_15,OIDNS_300_399_H_16_24,OIDNS_300_399_H_25_34,OIDNS_300_399_H_35_39,OIDNS_300_399_H_40,OIDNS_300_399_H_41_48,OIDNS_300_399_H_49mo,OIDNS_300_399_H_NS,OIDNS_300_399_H_Tot,OIDNS_400_499_H_0,OIDNS_400_499_H_1_15,OIDNS_400_499_H_16_24,OIDNS_400_499_H_25_34,OIDNS_400_499_H_35_39,OIDNS_400_499_H_40,OIDNS_400_499_H_41_48,OIDNS_400_499_H_49mo,OIDNS_400_499_H_NS,OIDNS_400_499_H_Tot,OIDNS_500_649_H_0,OIDNS_500_649_H_1_15,OIDNS_500_649_H_16_24,OIDNS_500_649_H_25_34,OIDNS_500_649_H_35_39,OIDNS_500_649_H_40,OIDNS_500_649_H_41_48,OIDNS_500_649_H_49mo,OIDNS_500_649_H_NS,OIDNS_500_649_H_Tot,OIDNS_650_799_H_0,OIDNS_650_799_H_1_15,OIDNS_650_799_H_16_24,OIDNS_650_799_H_25_34,OIDNS_650_799_H_35_39,OIDNS_650_799_H_40,OIDNS_650_799_H_41_48,OIDNS_650_799_H_49mo,OIDNS_650_799_H_NS,OIDNS_650_799_H_Tot,OIDNS_800_999_H_0,OIDNS_800_999_H_1_15,OIDNS_800_999_H_16_24,OIDNS_800_999_H_25_34,OIDNS_800_999_H_35_39,OIDNS_800_999_H_40,OIDNS_800_999_H_41_48,OIDNS_800_999_H_49mo,OIDNS_800_999_H_NS,OIDNS_800_999_H_Tot,OIDNS_1000_1249_H_0,OIDNS_1000_1249_H_1_15,OIDNS_1000_1249_H_16_24,OIDNS_1000_1249_H_25_34,OIDNS_1000_1249_H_35_39,OIDNS_1000_1249_H_40,OIDNS_1000_1249_H_41_48,OIDNS_1000_1249_H_49mo,OIDNS_1000_1249_H_NS,OIDNS_1000_1249_H_Tot,OIDNS_1250_1499_H_0,OIDNS_1250_1499_H_1_15,OIDNS_1250_1499_H_16_24,OIDNS_1250_1499_H_25_34,OIDNS_1250_1499_H_35_39,OIDNS_1250_1499_H_40,OIDNS_1250_1499_H_41_48,OIDNS_1250_1499_H_49mo,OIDNS_1250_1499_H_NS,OIDNS_1250_1499_H_Tot,OIDNS_1500_1749_H_0,OIDNS_1500_1749_H_1_15,OIDNS_1500_1749_H_16_24,OIDNS_1500_1749_H_25_34,OIDNS_1500_1749_H_35_39,OIDNS_1500_1749_H_40,OIDNS_1500_1749_H_41_48,OIDNS_1500_1749_H_49mo,OIDNS_1500_1749_H_NS,OIDNS_1500_1749_H_Tot,OIDNS_1750_1999_H_0,OIDNS_1750_1999_H_1_15,OIDNS_1750_1999_H_16_24,OIDNS_1750_1999_H_25_34,OIDNS_1750_1999_H_35_39,OIDNS_1750_1999_H_40,OIDNS_1750_1999_H_41_48,OIDNS_1750_1999_H_49mo,OIDNS_1750_1999_H_NS,OIDNS_1750_1999_H_Tot
101,19,30,26,42,220,210,117,109,16,782,10,7,6,20,76,87,44,81,9,334,6,9,3,8,24,34,17,49,0,152,5,0,4,4,7,14,18,27,0,84,4,3,3,0,12,11,3,22,0,64,0,10,4,3,11,7,0,8,0,40,3,39,22,12,25,19,13,15,16,161,264,1646,1029,1093,1375,1076,517,658,193,7847,6,3,5,0,0,0,4,3,20,46,4,10,0,0,0,0,0,0,19,39,3,18,3,4,0,5,0,0,20,57,12,15,3,4,0,6,0,0,31,73,3,11,18,0,3,9,0,7,19,77,0,12,9,15,16,13,3,3,34,101,6,4,8,12,31,10,3,7,29,108,7,0,4,9,22,30,3,12,29,116,8,6,3,9,33,25,14,22,19,134,0,0,0,4,17,25,9,10,13,80,4,3,0,6,6,10,9,10,4,50,0,0,3,5,5,13,6,9,9,55
102,31,26,24,70,218,248,131,129,6,883,20,12,19,10,70,101,60,80,9,375,8,6,6,9,46,74,40,62,8,250,5,0,6,3,16,41,14,38,3,123,0,6,0,5,10,17,12,37,0,84,3,14,5,7,3,8,3,9,0,48,0,33,12,17,23,22,7,8,23,152,353,2654,1529,1389,1821,1446,599,620,199,10604,7,4,0,0,0,3,0,6,35,61,3,24,3,0,3,0,3,4,21,64,3,19,9,3,0,0,0,0,20,59,4,10,15,6,8,3,0,0,43,96,3,3,17,6,5,5,3,5,47,85,3,19,16,13,20,17,3,6,33,126,12,11,11,23,37,24,3,11,28,167,3,5,10,16,36,43,12,21,32,191,15,9,3,19,63,44,21,19,33,220,0,5,4,3,30,28,9,23,9,107,3,4,4,3,20,25,7,12,19,97,0,8,3,4,13,12,3,11,4,64
103,31,25,35,43,213,219,122,145,15,854,15,7,15,22,86,90,55,104,10,398,9,6,10,10,54,66,41,91,4,281,7,0,3,3,27,21,30,62,3,162,3,5,7,3,18,18,21,55,0,134,3,10,9,10,5,15,7,12,0,69,9,28,13,10,17,25,12,21,29,168,359,1947,1138,1100,1662,1413,662,878,214,9370,12,4,4,0,0,0,0,5,34,55,3,17,0,3,0,3,0,0,31,58,4,8,4,0,0,0,0,0,42,67,3,19,12,8,7,0,0,8,39,93,10,8,9,4,8,4,0,3,41,92,11,11,16,15,4,9,0,9,45,111,11,12,10,12,17,15,11,8,40,136,9,9,10,12,31,27,11,16,31,162,3,7,4,6,26,22,12,15,25,121,4,4,3,5,23,21,5,21,9,83,4,7,0,7,24,10,13,19,8,84,0,3,0,0,9,7,6,6,3,40
104,8,14,27,34,83,107,57,69,11,403,5,3,5,9,21,48,25,53,4,180,3,4,3,9,15,19,12,29,6,98,0,4,0,0,5,5,3,10,0,37,0,8,0,0,0,8,3,14,0,42,0,4,0,0,4,8,0,6,0,27,0,27,12,10,14,12,0,7,15,96,196,1454,843,891,902,675,297,387,140,5790,0,0,3,0,0,0,0,3,19,29,4,17,3,5,0,0,0,0,6,31,0,7,5,0,0,0,0,3,16,32,9,12,5,5,0,0,0,3,36,72,3,3,9,4,0,0,0,6,36,61,6,8,13,11,8,9,0,7,16,76,5,5,5,11,20,16,0,9,14,82,3,6,0,7,27,14,7,11,15,89,4,4,3,3,23,12,4,7,12,78,3,0,0,3,9,14,3,4,11,43,0,3,0,0,4,12,3,10,7,47,0,0,0,0,9,3,0,0,3,21
105,14,18,18,21,82,132,50,117,13,476,8,3,11,10,40,47,20,64,3,200,0,3,5,6,25,27,10,42,3,117,0,3,0,0,4,9,6,33,0,60,0,0,3,0,8,9,4,21,0,46,0,6,0,3,3,6,3,16,0,33,4,24,18,11,21,19,11,22,21,138,158,923,612,587,886,847,293,643,139,5081,3,5,0,0,0,3,0,9,11,33,4,10,0,0,0,0,0,4,14,25,3,13,4,5,0,0,0,0,17,43,0,3,0,3,3,0,0,3,26,47,3,6,3,4,0,0,0,9,27,53,0,3,5,9,6,4,0,6,25,65,9,4,3,10,23,9,3,11,21,93,4,3,3,5,17,21,3,8,32,96,3,0,0,0,14,21,8,10,15,73,3,0,0,4,18,3,3,9,10,55,0,0,0,0,6,3,6,3,7,37,0,0,0,0,7,3,3,10,3,36
106,22,29,28,63,232,259,133,164,25,951,15,15,19,22,81,112,69,127,3,475,5,13,13,15,44,46,45,95,3,283,3,3,0,10,15,29,36,46,3,151,5,3,3,7,7,23,31,61,3,143,0,13,4,3,8,6,6,13,3,57,4,57,29,23,25,25,14,9,29,222,354,2712,1485,1394,1717,1492,648,857,218,10870,0,10,0,0,3,3,0,6,32,56,6,29,0,0,3,0,0,0,25,61,3,7,9,6,0,0,0,3,19,54,3,7,9,10,3,0,0,4,42,76,9,9,10,13,5,0,0,0,45,89,5,8,19,16,7,10,8,7,46,121,11,6,3,20,27,17,7,7,33,126,11,3,3,14,37,29,8,10,34,145,4,7,3,8,44,37,11,27,29,170,3,5,0,4,28,24,10,25,17,117,5,0,3,0,22,27,21,29,19,126,6,0,0,5,13,14,15,25,11,83
107,18,17,28,79,175,217,98,114,13,764,11,11,20,34,98,91,51,60,8,384,18,9,14,16,28,61,38,75,7,260,4,5,8,3,25,36,25,51,4,170,7,3,3,3,27,19,24,50,3,137,0,10,0,0,4,4,10,11,3,36,6,22,22,26,24,11,4,10,22,153,342,2321,1438,1239,1424,1114,457,605,166,9102,6,10,3,3,3,4,0,7,25,60,3,28,4,0,3,3,0,3,28,64,9,20,10,0,0,0,0,0,27,61,7,16,14,8,3,5,0,3,44,95,4,11,16,12,6,0,0,4,51,105,3,7,17,15,17,10,6,8,30,115,9,3,14,16,26,25,5,9,31,146,3,4,15,15,41,38,4,13,35,169,6,9,9,17,54,31,19,17,28,195,3,3,0,3,41,16,12,14,16,109,6,0,5,6,23,19,10,16,10,95,0,0,0,6,11,9,8,13,12,58
108,38,27,47,55,140,136,76,116,15,647,24,9,12,21,52,55,43,60,9,284,3,4,8,8,18,26,19,41,0,129,0,0,0,0,11,9,11,36,0,69,0,0,3,0,0,10,3,22,0,37,0,3,3,3,3,3,3,10,0,31,14,37,22,15,22,17,3,14,29,166,445,1981,1186,1161,1228,862,408,613,208,8085,3,7,0,0,4,0,0,9,28,55,5,16,0,4,0,0,0,0,31,62,8,12,8,3,3,6,0,6,19,63,9,13,5,3,3,4,3,3,54,95,3,9,12,6,3,3,0,3,58,101,4,13,6,16,11,4,0,6,41,100,12,8,3,14,30,16,4,16,39,138,5,5,3,10,26,29,3,12,27,117,9,3,7,5,22,10,7,15,19,99,3,5,0,0,4,10,10,11,11,51,0,0,0,3,11,6,3,10,8,46,0,0,3,0,3,6,3,6,3,18
109,23,19,13,36,153,203,85,92,7,634,13,4,3,20,41,89,49,48,0,274,5,4,3,3,32,42,35,33,3,153,0,5,0,3,10,8,12,15,0,52,4,3,4,6,3,3,6,14,0,40,3,9,3,4,3,4,3,7,0,36,4,28,15,10,10,21,6,11,26,126,249,1286,677,814,1001,936,428,506,157,6049,6,3,0,3,0,0,0,3,20,38,0,3,0,0,0,0,0,0,18,23,4,12,7,0,0,0,0,4,16,43,0,9,0,0,0,0,0,3,19,36,0,3,7,3,0,4,0,3,17,42,5,6,5,10,6,4,0,9,32,85,8,3,4,8,17,15,3,8,15,79,8,4,0,5,32,18,3,11,18,106,4,3,0,5,17,13,11,12,15,77,3,3,4,3,16,5,6,10,8,52,8,3,0,0,8,10,4,5,5,51,0,0,0,0,11,0,3,6,5,26
110,33,23,27,84,215,290,142,187,12,1009,7,9,13,31,55,83,63,96,6,359,7,4,8,16,20,33,23,40,3,155,5,3,0,0,11,7,12,27,0,69,0,0,4,0,3,7,12,29,0,59,0,13,0,4,10,12,8,11,3,56,4,44,12,24,24,38,11,30,32,218,320,1829,1028,1299,1699,1744,660,950,233,9765,8,8,0,0,0,4,0,8,25,55,5,18,5,0,0,0,0,3,27,60,10,9,0,3,0,3,0,7,32,65,4,11,9,4,5,6,0,6,37,81,4,10,14,8,0,4,0,4,23,74,6,6,10,23,17,8,0,13,46,127,8,4,5,9,24,13,3,7,40,115,3,3,3,5,44,33,4,16,32,148,11,4,6,3,27,22,9,23,29,140,0,3,0,0,20,16,6,16,9,71,3,3,0,4,19,8,3,16,3,52,0,3,0,0,7,8,3,3,6,33
