SA4_CODE_2016,Tot_1750_1999_A_55_64,Tot_1750_1999_A_65_74,Tot_1750_1999_A_75ov,Tot_1750_1999_Tot,Tot_2000_2999_A_15_19,Tot_2000_2999_A_20_24,Tot_2000_2999_A_25_34,Tot_2000_2999_A_35_44,Tot_2000_2999_A_45_54,Tot_2000_2999_A_55_64,Tot_2000_2999_A_65_74,Tot_2000_2999_A_75ov,Tot_2000_2999_Tot,Tot_3000mo_A_15_19,Tot_3000mo_A_20_24,Tot_3000mo_A_25_34,Tot_3000mo_A_35_44,Tot_3000mo_A_45_54,Tot_3000mo_A_55_64,Tot_3000mo_A_65_74,Tot_3000mo_A_75ov,Tot_3000mo_Tot,Tot_PINS_A_15_19,Tot_PINS_A_20_24,Tot_PINS_A_25_34,Tot_PINS_A_35_44,Tot_PINS_A_45_54,Tot_PINS_A_55_64,Tot_PINS_A_65_74,Tot_PINS_A_75ov,Tot_PINS_Tot,Tot_Tot_A_15_19,Tot_Tot_A_20_24,Tot_Tot_A_25_34,Tot_Tot_A_35_44,Tot_Tot_A_45_54,Tot_Tot_A_55_64,Tot_Tot_A_65_74,Tot_Tot_A_75ov,Tot_Tot_Tot
101,739,138,14,3191,3,28,563,1007,1249,801,165,41,3852,8,14,133,409,601,405,140,51,1766,119,102,196,208,235,251,103,32,1247,4423,5781,12172,13178,16100,13476,4008,765,69907
102,1012,124,7,4843,4,22,704,1637,1784,1124,197,24,5483,6,29,199,656,821,587,163,29,2486,170,154,276,287,392,286,93,26,1674,7736,9846,19178,21376,23970,18053,4001,453,104601
103,907,162,30,4567,0,73,1223,1844,1857,1103,175,29,6309,11,20,308,666,803,570,192,56,2622,127,112,223,265,306,247,135,64,1469,4871,6989,15666,16647,18529,14811,4587,1089,83186
104,522,57,8,2083,0,14,252,630,714,493,78,14,2193,0,7,89,235,275,233,80,10,936,69,59,104,129,183,152,42,24,765,3112,3636,7930,9709,11744,10106,2249,362,48847
105,552,98,17,2530,3,41,613,803,911,622,99,20,3102,9,6,146,307,361,279,100,31,1233,72,87,144,169,210,207,111,59,1053,2300,3732,9223,8562,9889,8345,2508,639,45204
106,1011,134,14,5766,4,97,1945,2874,2651,1533,187,28,9320,8,24,471,1034,1129,710,182,30,3580,138,163,282,301,366,283,88,26,1649,6643,9147,20787,21260,21772,15394,3563,626,99196
107,1153,149,14,5505,3,44,1004,2262,2292,1420,201,19,7245,11,15,235,835,973,656,150,14,2898,120,183,264,308,322,228,71,20,1509,6693,10817,19802,21522,22508,15772,3116,387,100628
108,680,84,15,2867,0,10,369,870,913,686,131,22,3008,7,16,114,352,449,350,108,17,1406,118,89,147,240,301,241,82,41,1252,4368,4756,10491,13214,16755,14422,3686,615,68308
109,438,81,14,2103,4,11,293,671,791,539,87,21,2415,3,12,67,226,330,296,106,17,1060,79,75,131,150,211,196,92,37,966,3018,4200,8837,9340,11013,9540,2614,512,49077
110,713,154,25,3341,0,40,661,1151,1287,845,167,40,4192,13,15,190,438,559,512,153,37,1910,123,115,213,214,295,307,169,82,1511,4371,6019,13617,14125,16279,13762,4405,1053,73620
111,1639,188,20,8626,3,76,1944,3733,3682,2319,294,38,12083,11,30,458,1638,1830,1266,256,40,5519,182,243,422,425,455,307,94,18,2143,9157,16097,33336,33337,34577,24398,4609,592,156101
112,835,133,17,3406,0,21,417,1049,1160,905,180,31,3767,7,16,153,457,620,492,155,42,1933,115,120,210,254,306,274,98,38,1407,5005,6029,13506,17160,20190,17556,4398,776,84622
