SA4_CODE_2016,Emp_15_19_HW_0,Emp_15_19_HW_1_15,Emp_15_19_HW_16_24,Emp_15_19_HW_25_34,Emp_15_19_HW_35_39,Emp_15_19_HW_40,Emp_15_19_HW_41_48,Emp_15_19_HW_49mor,Emp_15_19_HW_NS,Emp_15_19_Tot,Emp_20_24_HW_0,Emp_20_24_HW_1_15,Emp_20_24_HW_16_24,Emp_20_24_HW_25_34,Emp_20_24_HW_35_39,Emp_20_24_HW_40,Emp_20_24_HW_41_48,Emp_20_24_HW_49mor,Emp_20_24_HW_NS,Emp_20_24_Tot,Emp_25_29_HW_0,Emp_25_29_HW_1_15,Emp_25_29_HW_16_24,Emp_25_29_HW_25_34,Emp_25_29_HW_35_39,Emp_25_29_HW_40,Emp_25_29_HW_41_48,Emp_25_29_HW_49mor,Emp_25_29_HW_NS,Emp_25_29_Tot,Emp_30_34_HW_0,Emp_30_34_HW_1_15,Emp_30_34_HW_16_24,Emp_30_34_HW_25_34,Emp_30_34_HW_35_39,Emp_30_34_HW_40,Emp_30_34_HW_41_48,Emp_30_34_HW_49mor,Emp_30_34_HW_NS,Emp_30_34_Tot,Emp_35_39_HW_0,Emp_35_39_HW_1_15,Emp_35_39_HW_16_24,Emp_35_39_HW_25_34,Emp_35_39_HW_35_39,Emp_35_39_HW_40,Emp_35_39_HW_41_48,Emp_35_39_HW_49mor,Emp_35_39_HW_NS,Emp_35_39_Tot,Emp_40_44_HW_0,Emp_40_44_HW_1_15,Emp_40_44_HW_16_24,Emp_40_44_HW_25_34,Emp_40_44_HW_35_39,Emp_40_44_HW_40,Emp_40_44_HW_41_48,Emp_40_44_HW_49mor,Emp_40_44_HW_NS,Emp_40_44_Tot,Emp_45_49_HW_0,Emp_45_49_HW_1_15,Emp_45_49_HW_16_24,Emp_45_49_HW_25_34,Emp_45_49_HW_35_39,Emp_45_49_HW_40,Emp_45_49_HW_41_48,Emp_45_49_HW_49mor,Emp_45_49_HW_NS,Emp_45_49_Tot,Emp_50_54_HW_0,Emp_50_54_HW_1_15,Emp_50_54_HW_16_24,Emp_50_54_HW_25_34,Emp_50_54_HW_35_39,Emp_50_54_HW_40,Emp_50_54_HW_41_48,Emp_50_54_HW_49mor,Emp_50_54_HW_NS,Emp_50_54_Tot,Emp_55_59_HW_0,Emp_55_59_HW_1_15,Emp_55_59_HW_16_24,Emp_55_59_HW_25_34,Emp_55_59_HW_35_39,Emp_55_59_HW_40,Emp_55_59_HW_41_48,Emp_55_59_HW_49mor,Emp_55_59_HW_NS,Emp_55_59_Tot,Emp_60_64_HW_0,Emp_60_64_HW_1_15,Emp_60_64_HW_16_24,Emp_60_64_HW_25_34,Emp_60_64_HW_35_39,Emp_60_64_HW_40,Emp_60_64_HW_41_48,Emp_60_64_HW_49mor,Emp_60_64_HW_NS,Emp_60_64_Tot,Emp_65_69_HW_0,Emp_65_69_HW_1_15,Emp_65_69_HW_16_24,Emp_65_69_HW_25_34,Emp_65_69_HW_35_39,Emp_65_69_HW_40,Emp_65_69_HW_41_48,Emp_65_69_HW_49mor,Emp_65_69_HW_NS,Emp_65_69_Tot,Emp_70_74_HW_0,Emp_70_74_HW_1_15,Emp_70_74_HW_16_24,Emp_70_74_HW_25_34,Emp_70_74_HW_35_39,Emp_70_74_HW_40,Emp_70_74_HW_41_48,Emp_70_74_HW_49mor,Emp_70_74_HW_NS,Emp_70_74_Tot,Emp_75ov_HW_0,Emp_75ov_HW_1_15,Emp_75ov_HW_16_24,Emp_75ov_HW_25_34,Emp_75ov_HW_35_39,Emp_75ov_HW_40,Emp_75ov_HW_41_48,Emp_75ov_HW_49mor,Emp_75ov_HW_NS,Emp_75ov_Tot,Emp_Tot_HW_0,Emp_Tot_HW_1_15,Emp_Tot_HW_16_24,Emp_Tot_HW_25_34,Emp_Tot_HW_35_39,Emp_Tot_HW_40,Emp_Tot_HW_41_48,Emp_Tot_HW_49mor,Emp_Tot_HW_NS,Emp_Tot_Tot,OM_IEs_15_19_HW_0,OM_IEs_15_19_HW_1_15,OM_IEs_15_19_HW_16_24,OM_IEs_15_19_HW_25_34,OM_IEs_15_19_HW_35_39,OM_IEs_15_19_HW_40,OM_IEs_15_19_HW_41_48,OM_IEs_15_19_HW_49mor,OM_IEs_15_19_HW_NS,OM_IEs_15_19_Tot,OM_IEs_20_24_HW_0,OM_IEs_20_24_HW_1_15,OM_IEs_20_24_HW_16_24,OM_IEs_20_24_HW_25_34,OM_IEs_20_24_HW_35_39,OM_IEs_20_24_HW_40,OM_IEs_20_24_HW_41_48,OM_IEs_20_24_HW_49mor,OM_IEs_20_24_HW_NS,OM_IEs_20_24_Tot,OM_IEs_25_29_HW_0,OM_IEs_25_29_HW_1_15,OM_IEs_25_29_HW_16_24,OM_IEs_25_29_HW_25_34,OM_IEs_25_29_HW_35_39,OM_IEs_25_29_HW_40,OM_IEs_25_29_HW_41_48,OM_IEs_25_29_HW_49mor,OM_IEs_25_29_HW_NS,OM_IEs_25_29_Tot,OM_IEs_30_34_HW_0,OM_IEs_30_34_HW_1_15,OM_IEs_30_34_HW_16_24,OM_IEs_30_34_HW_25_34,OM_IEs_30_34_HW_35_39,OM_IEs_30_34_HW_40,OM_IEs_30_34_HW_41_48,OM_IEs_30_34_HW_49mor,OM_IEs_30_34_HW_NS,OM_IEs_30_34_Tot,OM_IEs_35_39_HW_0,OM_IEs_35_39_HW_1_15,OM_IEs_35_39_HW_16_24,OM_IEs_35_39_HW_25_34,OM_IEs_35_39_HW_35_39,OM_IEs_35_39_HW_40,OM_IEs_35_39_HW_41_48,OM_IEs_35_39_HW_49mor,OM_IEs_35_39_HW_NS,OM_IEs_35_39_Tot,OM_IEs_40_44_HW_0,OM_IEs_40_44_HW_1_15,OM_IEs_40_44_HW_16_24,OM_IEs_40_44_HW_25_34,OM_IEs_40_44_HW_35_39,OM_IEs_40_44_HW_40,OM_IEs_40_44_HW_41_48,OM_IEs_40_44_HW_49mor,OM_IEs_40_44_HW_NS,OM_IEs_40_44_Tot
101,150,2066,445,381,515,333,162,96,131,4280,146,581,611,757,1349,886,530,462,170,5488,201,371,478,606,1363,1027,632,705,117,5502,260,402,509,632,1082,895,562,712,86,5144,157,350,541,658,1042,788,508,623,81,4740,150,433,547,747,1181,974,548,747,93,5420,141,398,575,833,1338,980,616,796,91,5766,188,416,666,964,1420,971,574,766,95,6065,253,535,631,932,1249,822,471,645,65,5604,213,497,568,573,678,499,252,321,37,3642,76,330,238,153,214,136,64,107,15,1329,19,138,71,41,31,27,7,23,8,371,10,61,27,16,14,7,8,14,8,158,1965,6570,5915,7288,11469,8341,4938,6020,1004,53502,0,0,0,0,5,0,0,4,0,10,0,0,4,0,7,15,6,22,0,57,3,15,4,10,19,31,21,61,3,169,4,24,14,37,35,60,25,134,7,347,9,24,30,48,42,97,39,200,4,485,9,30,30,57,59,147,54,283,3,669
102,281,4100,1005,608,698,478,124,98,150,7552,310,1603,1307,1353,2089,1470,594,473,219,9408,364,703,807,963,2092,1778,810,839,148,8509,440,704,1120,928,1766,1571,776,878,121,8310,316,742,1090,1046,1608,1417,739,899,116,7981,238,726,1156,1292,1948,1758,798,959,115,9009,235,685,1123,1386,2104,1798,832,1129,131,9420,306,590,1084,1500,2231,1669,820,1017,115,9333,328,592,1056,1424,2088,1431,691,874,98,8590,259,622,835,819,1163,749,340,412,57,5255,97,405,383,244,291,190,65,117,34,1820,22,198,116,60,47,31,12,17,3,506,4,81,29,6,15,13,0,9,7,162,3204,11739,11117,11625,18146,14344,6613,7725,1318,85835,3,10,3,3,3,0,0,3,0,16,0,3,5,9,10,18,4,12,3,62,3,9,16,18,32,45,21,76,3,233,18,38,34,44,56,130,46,200,10,575,14,60,59,78,71,170,54,255,16,777,4,54,78,89,91,245,93,358,13,1020
103,214,2189,443,354,554,445,185,143,148,4664,242,807,627,761,1567,1203,625,644,170,6636,331,504,552,636,1542,1272,844,1145,119,6948,359,577,703,719,1298,1130,785,1174,119,6865,229,420,691,731,1239,1099,716,1110,120,6354,171,494,687,876,1480,1288,802,1187,96,7094,214,444,659,923,1642,1316,881,1154,104,7345,222,426,670,967,1736,1264,755,989,104,7141,281,467,672,862,1518,1173,643,887,76,6580,228,434,549,528,823,659,313,466,49,4056,92,320,251,179,236,195,91,132,21,1510,25,184,83,61,42,38,13,29,7,493,9,69,32,10,17,18,10,19,0,193,2623,7334,6620,7610,13700,11098,6659,9083,1133,65859,0,0,0,0,0,3,3,0,0,9,0,3,0,3,4,14,9,13,0,49,3,13,8,13,23,25,19,77,3,180,11,28,27,24,30,53,38,156,7,367,12,24,21,30,39,84,27,208,4,452,6,25,30,53,33,95,48,286,8,591
104,134,1650,340,267,305,146,55,31,85,3012,130,470,398,588,905,493,209,176,81,3442,152,313,369,468,892,566,293,368,67,3482,153,372,374,510,846,506,296,409,53,3511,120,332,457,542,754,542,316,412,45,3524,98,328,499,670,976,735,374,480,49,4216,103,344,517,712,1082,716,409,511,57,4466,163,317,541,852,1116,723,373,460,64,4597,202,407,608,813,1031,655,342,445,50,4540,148,417,451,524,558,352,181,224,31,2899,47,221,174,127,152,85,41,63,8,920,16,90,52,35,22,12,7,13,3,242,7,40,16,13,10,3,4,3,5,94,1476,5311,4794,6119,8645,5531,2890,3587,597,38948,0,0,0,0,0,0,0,0,0,4,0,0,0,7,0,3,4,11,0,21,0,3,8,6,7,8,5,29,0,68,5,12,7,13,19,38,16,46,0,153,4,14,16,26,28,58,19,74,0,231,8,19,18,40,32,80,36,137,5,389
105,86,984,224,172,291,181,91,102,72,2205,108,288,317,406,923,643,333,417,87,3518,191,258,288,393,1012,864,489,724,77,4301,245,266,372,399,826,667,393,629,76,3862,125,240,312,405,753,610,321,545,59,3359,96,211,282,433,836,645,363,579,63,3503,78,222,287,472,926,688,373,627,66,3741,116,211,286,445,1013,713,342,606,59,3793,153,225,305,467,857,654,352,534,54,3607,111,207,254,301,529,380,184,270,41,2268,49,156,131,104,153,142,41,93,19,898,14,76,58,26,27,32,11,15,8,258,5,34,24,10,11,20,8,7,3,125,1376,3379,3144,4038,8163,6232,3297,5143,675,35440,0,0,0,0,0,0,0,0,0,7,3,5,0,0,0,8,4,7,0,31,0,4,3,0,10,19,10,30,3,84,4,6,3,12,10,25,11,88,0,161,0,4,11,15,23,41,11,97,0,211,3,11,11,19,22,61,27,156,8,315
106,257,3285,763,497,649,466,211,202,142,6471,288,1151,984,1124,1946,1516,803,812,185,8802,404,639,786,922,2139,1825,1259,1481,163,9613,473,644,974,884,1802,1659,1264,1590,140,9425,276,693,939,934,1663,1480,1105,1579,143,8823,282,682,953,1143,1831,1691,1184,1564,133,9465,261,593,912,1115,1961,1656,1183,1519,134,9340,276,576,896,1077,1982,1508,1090,1283,113,8792,339,571,795,978,1627,1221,904,1084,88,7613,217,518,632,558,840,647,391,450,52,4307,78,369,254,151,211,164,96,122,19,1475,20,132,75,39,27,36,14,21,5,377,6,66,34,14,12,15,5,14,3,176,3177,9935,8995,9441,16679,13889,9512,11705,1331,84669,0,3,0,0,0,0,0,0,0,12,0,3,3,6,6,11,3,17,0,49,3,9,8,18,23,35,23,64,4,182,14,22,14,28,40,79,38,157,3,392,9,33,30,39,41,100,44,197,10,501,9,40,43,59,57,173,58,281,11,739
107,244,3669,800,438,571,472,121,84,107,6515,289,2288,1526,1404,1992,1534,584,522,230,10365,382,822,909,1011,2119,1862,836,816,137,8894,463,710,1086,970,1934,1641,809,955,130,8690,339,712,1164,1052,1804,1417,804,959,105,8357,227,673,1228,1298,1980,1667,933,1109,97,9221,225,695,1026,1202,2160,1714,922,1110,129,9180,273,627,1029,1294,2240,1649,890,1071,100,9172,341,643,921,1125,1950,1390,765,906,79,8112,248,570,724,612,930,666,302,448,49,4559,88,346,288,187,233,155,73,109,28,1503,28,142,60,52,42,41,11,24,4,404,7,61,19,12,13,8,6,8,12,148,3155,11961,10793,10637,17970,14218,7070,8111,1218,85134,0,4,0,0,3,0,0,0,4,12,3,8,5,7,12,13,5,17,0,77,6,17,17,17,32,56,24,84,8,260,10,19,31,46,48,125,60,174,10,517,8,61,49,64,87,176,47,254,5,759,15,53,49,83,78,194,70,326,8,883
108,241,2309,435,328,400,215,88,58,128,4191,192,579,534,688,1133,657,321,286,139,4530,194,435,492,644,1123,765,428,467,78,4635,261,398,522,682,986,728,379,551,62,4565,164,445,656,698,1004,757,405,524,96,4761,171,419,647,937,1288,999,540,669,87,5764,181,458,769,1029,1499,1070,538,706,106,6345,224,542,780,1203,1543,976,552,727,96,6644,307,562,861,1155,1449,968,474,594,85,6453,227,508,642,749,805,478,242,287,47,3984,92,368,281,218,192,139,54,66,22,1428,19,138,87,47,27,16,11,10,18,373,11,47,21,20,16,9,4,10,8,146,2286,7219,6723,8401,11472,7769,4034,4946,966,53818,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,9,0,4,0,26,3,11,4,4,15,19,8,28,3,88,3,17,19,21,24,51,11,77,3,227,9,18,28,26,36,67,21,130,3,335,5,34,37,52,51,102,41,182,10,514
109,126,1487,262,214,334,241,96,61,82,2894,111,568,398,530,986,700,346,251,107,4001,194,315,318,487,878,766,440,482,56,3928,211,338,427,457,832,645,411,468,64,3856,131,313,403,462,698,600,373,474,48,3510,106,288,423,552,785,755,430,492,65,3898,103,274,403,588,953,728,452,517,71,4097,156,259,417,651,984,747,439,544,61,4265,211,288,422,626,942,624,398,497,56,4077,164,337,374,403,561,426,197,252,38,2761,58,239,190,146,139,102,42,85,29,1029,21,102,52,35,8,20,3,20,9,271,11,44,21,9,5,6,3,7,5,118,1609,4868,4107,5163,8112,6361,3625,4155,694,38699,0,3,0,0,0,0,0,3,0,6,0,0,3,0,4,8,3,15,0,29,0,4,5,8,11,17,7,56,0,113,6,16,13,20,14,31,21,96,3,221,9,22,16,22,25,59,27,145,5,315,8,18,22,26,22,67,37,193,5,406
110,199,1943,423,373,523,339,129,122,136,4182,212,659,524,711,1415,988,526,515,164,5712,281,466,472,601,1469,1216,684,869,113,6171,298,423,585,672,1296,1029,669,852,90,5915,211,443,503,686,1177,956,524,881,90,5472,146,418,581,766,1341,1052,584,894,91,5868,160,407,535,850,1479,1098,594,981,93,6202,165,412,582,853,1540,1076,574,895,90,6187,253,391,571,815,1402,930,516,754,85,5714,184,380,461,536,818,557,270,425,49,3686,82,293,223,146,268,163,70,115,23,1382,20,157,68,48,38,35,8,37,17,425,8,63,26,21,14,18,3,15,3,172,2210,6452,5550,7062,12772,9465,5163,7358,1055,57087,0,0,0,0,0,0,0,0,0,7,4,3,0,8,3,9,6,14,0,47,0,5,5,5,19,18,10,67,0,137,6,9,13,14,21,44,15,112,4,244,9,19,18,25,32,66,27,166,3,364,7,17,19,47,38,87,32,232,7,495
