SA4_CODE_2016,Tot_65_69_HW_0,Tot_65_69_HW_1_15,Tot_65_69_HW_16_24,Tot_65_69_HW_25_34,Tot_65_69_HW_35_39,Tot_65_69_HW_40,Tot_65_69_HW_41_48,Tot_65_69_HW_49mor,Tot_65_69_HW_NS,Tot_65_69_Tot,Tot_70_74_HW_0,Tot_70_74_HW_1_15,Tot_70_74_HW_16_24,Tot_70_74_HW_25_34,Tot_70_74_HW_35_39,Tot_70_74_HW_40,Tot_70_74_HW_41_48,Tot_70_74_HW_49mor,Tot_70_74_HW_NS,Tot_70_74_Tot,Tot_75ov_HW_0,Tot_75ov_HW_1_15,Tot_75ov_HW_16_24,Tot_75ov_HW_25_34,Tot_75ov_HW_35_39,Tot_75ov_HW_40,Tot_75ov_HW_41_48,Tot_75ov_HW_49mor,Tot_75ov_HW_NS,Tot_75ov_Tot,Tot_Tot_HW_0,Tot_Tot_HW_1_15,Tot_Tot_HW_16_24,Tot_Tot_HW_25_34,Tot_Tot_HW_35_39,Tot_Tot_HW_40,Tot_Tot_HW_41_48,Tot_Tot_HW_49mor,Tot_Tot_HW_NS,Tot_Tot_Tot
101,141,633,392,325,287,309,141,498,61,2794,69,312,182,155,66,122,54,211,36,1211,38,175,97,99,49,88,28,129,54,765,2532,8737,7325,9086,12670,10946,6098,11037,1484,69907
102,138,691,561,375,357,327,127,317,55,2945,47,353,203,128,81,75,24,95,33,1051,27,149,69,46,25,38,14,40,52,453,3721,14632,13123,13883,19715,17614,7878,12150,1886,104601
103,161,532,421,337,311,409,193,660,71,3087,87,346,204,200,93,140,76,297,62,1498,57,219,135,130,63,114,51,216,104,1089,3175,9231,8049,9300,14907,13644,7900,15232,1750,83186
104,84,409,274,210,192,180,77,215,39,1670,36,152,109,79,37,49,25,67,20,572,14,96,58,37,27,27,13,46,50,362,1812,6772,5759,7263,9487,7027,3571,6196,960,48847
105,84,261,199,175,192,256,94,420,49,1741,28,141,100,80,53,99,38,193,36,771,29,115,79,72,28,95,28,144,60,639,1700,4248,3727,4804,8790,7637,3968,9250,1068,45204
106,127,601,404,278,266,304,154,393,57,2579,48,275,168,113,59,93,47,148,36,989,26,148,115,68,35,74,28,81,61,626,3588,12011,10377,11042,17824,16224,10497,15786,1850,99196
107,121,546,418,282,289,262,115,264,47,2337,39,253,116,88,67,78,25,79,28,780,30,121,42,41,25,29,14,38,49,387,3575,14228,12376,12423,19388,16881,8132,11929,1696,100628
108,131,622,427,370,267,295,113,354,69,2651,56,281,176,128,61,92,44,140,60,1030,40,153,63,66,45,61,21,92,79,615,2790,9343,8100,10034,12654,10035,4993,8796,1565,68308
109,111,377,265,222,180,217,84,345,70,1876,63,188,96,78,28,73,36,156,29,737,43,105,69,58,37,35,24,87,43,512,2025,5952,4852,6127,8796,7874,4350,8061,1043,49077
110,147,506,397,294,356,344,178,693,74,2966,53,314,180,164,76,165,63,341,69,1439,77,188,122,114,59,124,44,233,93,1053,2738,8122,6751,8582,13831,11806,6292,13804,1689,73620
