Australian Bureau of Statistics

"2016 Census - Counting Employed Persons, Place of Work (POW)"
"DZN (POW)"
"Counting: Persons Aged 15 Years and Over, Place of Work"

Filters:
"Default Summation","Persons Aged 15 Years and Over, Place of Work"


"DZN (POW)",
"110078098",139,
"110078099",736,
"110078100",175,
"110088084",789,
"110098077",5404,
"110108087",2742,
"110118090",415,
"110118091",724,
"110118092",1122,
"110118093",198,
"110118094",229,
"110118095",188,
"110128080",1339,
"110128081",748,
"110138120",162,
"110138121",508,
"110138122",205,
"110138123",148,
"110148117",3406,
"110158112",215,
"110158113",193,
"110158114",283,
"110168103",816,
"110168104",112,
"110168105",1580,
"110168106",229,
"110168107",270,
"110168108",445,
"110168109",1081,
"110178126",4203,
"110188129",1148,
"110198157",4597,
"110198158",280,
"110198159",218,
"110200001",170,
"110208162",110,
"110208163",102,
"110208164",265,
"110208165",657,
"110208166",85,
"110218132",695,
"110228147",7,
"110238175",1325,
"110248141",72,
"110248142",234,
"110248143",173,
"110248144",256,
"110258171",858,
"110258172",2720,
"110268135",414,
"110268136",2553,
"110268137",163,
"110268138",184,
"110278150",359,
"110278151",1056,
"110278152",473,
"110278153",97,
"110278154",493,
"115390001",5760,
"115390002",3231,
"115390003",747,
"115400001",311,
"115400002",396,
"115400003",631,
"115400004",357,
"115400005",604,
"115400006",117,
"115400007",270,
"115410001",1660,
"115410002",259,
"115420001",791,
"115420002",146,
"115420003",190,
"115420004",136,
"115420005",117,
"115420006",191,
"115420007",204,
"115420008",69,
"115430001",801,
"115430002",2628,
"115440001",860,
"115440002",510,
"115440003",323,
"115440004",9,
"110286283",307,
"110286284",787,
"110296249",495,
"110296250",206,
"110296251",438,
"110296252",130,
"110296253",72,
"110300001",706,
"110306039",800,
"110306040",203,
"110306041",170,
"110306042",2529,
"110306044",852,
"110316200",445,
"110316201",873,
"110316202",1096,
"110316203",1446,
"110316204",5221,
"110316205",194,
"110316206",138,
"110320001",668,
"110320002",691,
"110326132",317,
"110326133",1117,
"110326134",765,
"110326135",5871,
"110326136",3250,
"110326137",4123,
"110326138",1818,
"110336058",670,
"110336059",647,
"110346234",936,
"110346235",1103,
"110346236",146,
"110350001",391,
"110350002",180,
"110350003",88,
"110366085",424,
"110366086",1020,
"110366087",212,
"110366088",1007,
"110376116",132,
"110376117",304,
"110376118",413,
"110386186",254,
"110386187",446,
"110396266",277,
"110396267",1764,
"110396268",276,
"110396269",224,
"110396270",299,
"110406167",376,
"110406168",1130,
"110406169",266,
"110406170",410,
"110406171",223,
"110406172",957,
"110406173",284,
"110416219",542,
"110416220",326,
"110416221",639,
"110426151",413,
"110426152",397,
"110426153",1030,
"110426154",2010,
"110436101",848,
"110436102",943,
"110436103",721,
"110446472",263,
"110446473",509,
"110446474",126,
"110446475",664,
"110446476",232,
"110446477",1566,
"110446478",441,
"110446479",214,
"110450001",303,
"110450002",289,
"110456412",304,
"110466457",706,
"110466458",173,
"110466459",80,
"110476425",929,
"110476426",677,
"110476427",2434,
"110476428",87,
"110476429",826,
"110486393",594,
"110486394",358,
"110486395",297,
"110486396",478,
"110486397",586,
"110486398",1837,
"110496297",708,
"110496298",88,
"110506442",367,
"110506443",63,
