SA3_CODE_2016,P_OthSvs_H_0,P_OthSvs_H_1_15,P_OthSvs_H_16_24,P_OthSvs_H_25_34,P_OthSvs_H_35_39,P_OthSvs_H_40,P_OthSvs_H_41_48,P_OthSvs_H_49_more,P_OthSvs_H_NS,P_OthSvs_H_Tot,P_IDNS_H_0,P_IDNS_H_1_15,P_IDNS_H_16_24,P_IDNS_H_25_34,P_IDNS_H_35_39,P_IDNS_H_40,P_IDNS_H_41_48,P_IDNS_H_49_more,P_IDNS_H_NS,P_IDNS_H_Tot,P_Tot_H_0,P_Tot_H_1_15,P_Tot_H_16_24,P_Tot_H_25_34,P_Tot_H_35_39,P_Tot_H_40,P_Tot_H_41_48,P_Tot_H_49_more,P_Tot_H_NS,P_Tot_H_Tot
10102,16,75,60,58,122,135,82,109,6,666,25,80,36,64,103,143,45,112,136,751,480,1732,1250,1576,2675,2755,1574,2639,274,14949
10103,5,29,15,19,44,69,27,53,6,273,14,29,21,18,39,32,28,47,82,315,293,947,852,1262,1748,1328,983,2019,219,9656
10104,22,149,97,112,160,161,78,137,11,930,32,113,75,96,102,116,42,94,227,899,1009,3630,2946,3657,4257,3311,1735,2927,509,23975
10105,12,65,52,46,98,110,39,70,7,507,16,44,31,39,87,82,37,53,125,507,434,1374,1335,1517,2509,2110,1013,1864,275,12425
10106,17,62,35,42,65,74,38,50,8,390,17,44,36,29,61,76,21,60,92,428,313,1055,935,1085,1483,1440,788,1587,209,8897
10201,79,399,319,336,541,421,263,325,37,2710,90,275,204,200,365,388,116,280,421,2330,2090,8314,7444,7721,10682,9933,4374,6939,991,58479
10202,42,259,223,255,366,316,158,232,19,1870,59,218,162,142,358,321,110,204,411,1980,1636,6321,5680,6156,9031,7686,3507,5214,894,46120
10301,10,106,63,66,164,131,70,116,4,741,38,71,53,63,128,106,46,98,167,769,739,2460,1914,2143,4098,3261,1648,2917,389,19570
10302,15,93,78,80,141,181,89,140,7,813,40,69,53,62,118,134,57,112,252,877,813,2225,1978,2422,3259,3400,1993,4492,554,21138
10303,11,87,78,72,117,133,54,155,13,713,33,60,50,46,70,89,19,73,125,556,660,1939,1807,2030,2950,2711,1718,3215,356,17386
10304,32,103,90,81,181,175,128,222,8,1019,30,82,52,52,120,125,62,107,205,845,954,2609,2353,2707,4606,4272,2540,4613,443,25096
10401,21,81,52,92,147,124,49,102,6,675,33,85,48,50,91,74,31,46,163,620,639,2154,1918,2360,3116,2225,1230,2238,357,16233
10402,31,187,119,154,272,225,112,167,12,1286,37,140,132,115,180,155,54,115,256,1184,1167,4619,3839,4902,6372,4804,2343,3958,611,32611
10501,12,23,18,24,42,71,22,43,0,258,19,20,24,24,41,42,26,57,127,375,371,714,685,904,1386,1404,852,2770,281,9355
10502,7,36,30,38,62,56,28,43,3,302,16,21,13,20,40,21,21,37,97,284,353,791,632,874,1568,1267,617,1566,202,7870
10503,34,108,106,106,290,219,122,216,13,1215,41,88,59,67,141,170,67,118,263,1014,980,2747,2414,3024,5837,4972,2495,4921,586,27976
10601,52,181,131,148,238,211,143,241,14,1347,44,125,86,106,159,160,71,140,297,1181,1234,3811,3433,3361,5149,4987,3811,6130,672,32593
10602,29,148,139,153,271,254,152,213,6,1374,25,124,76,72,167,203,68,120,194,1052,886,3529,3059,3339,5038,4424,2291,3433,423,26419
10603,31,131,99,91,248,250,131,291,12,1279,23,114,67,97,178,152,61,133,218,1037,941,3261,2583,2921,5141,4685,2911,3716,479,26644
10604,11,47,42,53,102,91,43,74,7,474,11,53,39,35,76,83,28,50,104,475,523,1406,1295,1422,2495,2123,1482,2510,281,13538
10701,51,138,132,122,268,256,124,191,10,1283,42,92,92,83,226,254,86,149,203,1233,876,2839,2645,2860,5062,4844,2574,3683,434,25822
10702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,4,5,10,10,6,13,0,58
10703,19,173,110,117,194,193,75,114,10,1011,35,109,61,80,104,119,56,88,156,818,817,3778,3010,3097,3751,3438,1664,2567,354,22483
10704,58,278,238,246,384,376,171,268,18,2042,57,194,190,157,275,305,80,170,431,1855,1879,7604,6716,6460,10561,8593,3885,5663,902,52270
10801,10,64,36,43,56,66,24,60,7,377,16,39,30,20,43,42,15,25,103,333,370,1387,1188,1379,1536,1218,595,1105,205,8988
10802,18,72,67,48,111,79,42,62,6,509,34,62,33,55,80,43,29,54,187,574,611,1957,1839,2153,2752,1924,1078,2017,418,14753
10803,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7,11,24,27,21,27,19,44,17,31,9,214
10804,28,176,129,129,236,198,105,167,11,1188,36,124,54,85,117,111,48,96,218,902,1003,3645,3043,4020,5253,4344,2110,3595,528,27531
10805,20,53,71,59,127,152,58,78,11,634,25,61,48,62,93,84,40,55,194,662,788,2327,2011,2458,3094,2503,1188,2049,406,16815
10901,32,143,134,124,227,215,124,168,17,1183,50,106,64,75,177,166,51,124,219,1027,1113,3513,2908,3746,5340,4422,2674,3849,507,28063
10902,6,11,13,8,17,18,11,24,3,120,15,23,15,20,32,33,6,28,54,244,198,494,426,560,864,824,392,1214,153,5125
10903,17,69,46,49,80,91,52,95,12,500,38,60,37,59,99,111,38,74,168,686,706,1945,1522,1822,2590,2629,1287,3004,389,15892
11001,18,64,51,47,105,77,63,74,6,499,19,54,29,36,58,48,30,58,114,449,566,2072,1580,1862,3059,2194,1230,2571,313,15451
11002,13,66,47,43,107,96,39,81,13,506,30,58,46,41,78,71,25,57,164,574,514,1619,1325,1705,2405,1861,940,2595,372,13346
11003,22,46,29,39,90,113,59,78,0,475,17,45,35,34,66,98,29,73,119,522,452,954,833,1128,1920,1899,951,2592,292,11027
11004,37,159,118,135,312,266,133,245,18,1412,49,133,81,98,233,224,82,168,318,1382,1210,3476,3004,3883,6448,5847,3168,6037,716,33799
11101,48,252,221,235,443,355,208,238,25,2020,61,161,107,115,239,239,85,144,278,1416,1450,6128,5126,5261,7585,6708,3228,4209,617,40300
11102,19,114,65,76,113,136,64,59,0,657,14,82,57,53,126,130,44,87,142,732,677,2304,2073,2365,3240,2906,1537,2176,301,17577
11103,104,400,327,359,811,691,384,487,23,3594,100,290,211,266,555,593,219,342,703,3283,3705,10614,10655,11603,20039,18890,8964,12205,1537,98220
11201,33,170,138,139,185,187,68,122,16,1059,55,213,141,181,188,171,59,134,294,1432,925,4480,3887,4729,4870,4094,1945,3495,621,29042
11202,24,124,110,116,225,197,115,150,11,1068,54,105,82,94,126,164,42,109,285,1060,955,3559,3260,4340,5782,4458,2027,3605,590,28582
11203,15,183,126,135,168,208,70,186,12,1097,53,143,91,104,145,166,75,139,297,1211,913,3804,3311,4092,4765,4021,1958,3521,608,26997
11301,19,81,58,71,169,147,83,118,6,753,41,86,68,65,149,177,63,80,208,936,801,2055,1847,2183,4283,3954,2006,3575,511,21213
11302,5,16,9,11,32,29,17,31,0,150,9,17,16,20,41,43,23,51,75,296,226,636,563,625,992,817,577,1285,153,5889
11303,22,160,131,157,317,333,181,221,16,1544,52,135,95,88,233,247,83,167,325,1426,1419,4428,3736,4511,8285,7126,3690,6811,835,40838
11401,40,166,152,155,254,191,123,193,24,1292,54,169,111,104,186,183,61,114,342,1315,1304,4952,4051,4545,6120,5158,2931,4237,760,34050
11402,23,100,91,113,139,118,66,119,8,775,29,109,91,80,105,94,57,104,144,808,525,2671,2209,2316,2978,2820,1468,2627,296,17922
11501,40,271,285,260,414,504,220,329,21,2343,73,298,262,203,464,615,169,344,619,3044,1591,7677,6741,6208,10449,12691,5071,8761,1129,60322
11502,19,89,54,50,55,79,45,69,5,469,13,74,48,50,63,90,32,66,80,517,268,1610,1259,1160,1385,1763,852,1659,180,10139
11503,4,29,23,19,23,24,11,44,0,172,13,34,28,24,33,37,10,39,46,260,119,585,485,486,520,736,267,832,90,4114
11504,11,63,54,48,74,119,43,104,8,526,14,55,60,52,105,108,50,90,91,625,269,1671,1338,1232,1645,1948,877,1837,212,11035
11601,48,224,201,210,503,499,223,351,23,2281,66,218,237,234,625,618,187,335,524,3050,1319,4945,4777,4804,10709,9895,4322,6403,1062,48225
11602,12,89,76,69,98,97,41,87,10,577,18,77,82,74,137,146,42,107,153,839,418,2085,1734,1678,2464,2703,1180,2421,315,14999
