SA3_CODE_2016,P_75ov_EWFT,P_75ov_EWPT,P_75ov_EAFW,P_75ov_EHW_NS,P_75ov_Tot,P_Tot_EWFT,P_Tot_EWPT,P_Tot_EAFW,P_Tot_EHW_NS,P_Tot_Tot
10102,48,72,4,10,140,9644,4554,480,274,14949
10103,62,48,9,12,126,6077,3063,293,219,9656
10104,67,109,15,19,212,12230,10234,1009,509,23975
10105,51,73,8,8,131,7495,4224,434,275,12425
10106,65,66,8,7,149,5305,3072,313,209,8897
10201,74,160,13,31,281,31925,23482,2090,991,58479
10202,39,103,12,23,175,25433,18160,1636,894,46120
10301,56,92,8,13,174,11926,6512,739,389,19570
10302,196,182,23,48,450,13142,6630,813,554,21138
10303,88,100,6,20,217,10587,5771,660,356,17386
10304,100,120,11,28,253,16028,7668,954,443,25096
10401,63,96,8,19,185,8807,6432,639,357,16233
10402,52,95,7,28,182,17469,13364,1167,611,32611
10501,95,65,12,11,186,6404,2303,371,281,9355
10502,25,23,7,16,64,5020,2297,353,202,7870
10503,174,174,11,29,390,18230,8187,980,586,27976
10601,80,104,8,22,218,20077,10607,1234,672,32593
10602,29,55,3,16,108,15185,9932,886,423,26419
10603,39,97,7,3,150,16453,8765,941,479,26644
10604,61,68,9,17,146,8611,4128,523,281,13538
10701,28,36,4,12,84,16160,8348,876,434,25822
10702,0,0,0,0,0,47,14,3,0,58
10703,33,60,9,10,108,11422,9879,817,354,22483
10704,48,113,12,26,191,28703,20784,1879,902,52270
10801,34,40,3,14,91,4456,3957,370,205,8988
10802,67,63,15,18,158,7773,5949,611,418,14753
10803,0,3,0,0,7,112,76,24,9,214
10804,56,105,9,17,192,15297,10701,1003,528,27531
10805,58,81,11,23,175,8832,6794,788,406,16815
10901,59,100,19,17,190,16279,10171,1113,507,28063
10902,32,31,3,5,74,3297,1479,198,153,5125
10903,97,110,22,16,245,9507,5286,706,389,15892
11001,93,98,14,10,215,9057,5518,566,313,15451
11002,138,124,18,40,319,7808,4653,514,372,13346
11003,77,49,25,8,153,7361,2925,452,292,11027
11004,157,158,19,29,361,21512,10365,1210,716,33799
11101,45,86,12,14,153,21724,16515,1450,617,40300
11102,12,63,4,6,81,9864,6740,677,301,17577
11103,76,218,20,44,355,60102,32872,3705,1537,98220
11201,89,129,5,26,249,14410,13093,925,621,29042
11202,123,125,17,49,308,15874,11163,955,590,28582
11203,69,124,12,16,221,14269,11209,913,608,26997
11301,86,117,17,25,242,13811,6087,801,511,21213
11302,43,42,4,6,97,3672,1832,226,153,5889
11303,150,183,14,46,390,25913,12671,1419,835,40838
11401,49,119,12,27,206,18449,13545,1304,760,34050
11402,78,149,11,10,253,9895,7199,525,296,17922
11501,63,171,8,20,258,36973,20631,1591,1129,60322
11502,33,69,10,6,124,5657,4028,268,180,10139
11503,29,32,0,4,65,2354,1549,119,90,4114
11504,17,33,0,3,51,6313,4244,269,212,11035
11601,41,83,14,16,149,31321,14521,1319,1062,48225
11602,16,27,0,4,46,8767,5492,418,315,14999
11603,19,38,3,12,68,31600,11069,1168,1153,44987
11701,46,82,4,11,148,41039,14860,2204,1261,59366
11702,36,66,3,3,105,15212,7814,569,488,24081
11703,446,709,73,96,1325,372411,100931,14469,8227,496038
11801,139,371,17,27,551,28916,19339,1248,947,50448
11802,67,156,10,18,243,25113,15353,1280,829,42583
11901,87,133,18,18,246,38934,18443,1592,1462,60435
11902,54,71,13,5,144,17012,10004,765,720,28506
11903,42,122,6,3,166,14769,11307,804,638,27520
11904,45,115,8,4,168,19662,11778,1006,737,33180
12001,42,84,10,11,141,21637,10163,955,659,33410
12002,42,87,6,4,133,12971,7370,576,410,21324
12003,84,176,13,18,290,32508,18015,1498,1137,53154
12101,99,269,20,13,402,53799,22558,2145,1302,79807
12102,41,101,3,7,161,13773,8956,709,445,23876
12103,63,322,14,16,413,15384,13472,882,472,30213
12104,120,280,21,24,439,55473,18142,1988,1173,76772
12201,32,91,9,11,144,7062,5997,404,226,13686
12202,51,138,5,13,205,11272,8894,602,337,21101
12203,83,277,15,19,391,31757,19477,1345,841,53428
12301,14,27,4,10,53,12352,7074,568,411,20406
12302,28,84,8,7,130,29933,15739,1423,1031,48132
12303,22,36,5,3,67,6351,3122,344,207,10027
12401,34,104,7,6,145,8712,8774,598,284,18361
12402,0,0,0,0,0,3,6,0,0,16
12403,42,89,8,16,151,28853,17056,1578,901,48388
12404,30,47,0,3,77,10656,5609,490,367,17121
12405,19,34,0,8,62,12547,4871,501,400,18318
12501,58,66,6,5,136,40019,13016,1411,1117,55559
12502,27,59,9,8,101,13090,5756,478,421,19749
12503,55,79,3,9,143,35307,13477,1143,1383,51310
12504,62,157,14,14,249,63134,25255,3249,1973,93612
12601,18,69,5,4,101,5699,4283,280,178,10433
12602,82,230,16,30,357,62823,22888,2399,1553,89659
12701,24,37,7,4,66,9535,5544,477,420,15974
12702,56,81,13,18,166,33296,16613,1234,1448,52594
12703,59,89,21,16,184,34392,14666,1406,1200,51662
12801,53,160,13,15,247,22450,16794,1202,762,41211
12802,32,70,9,8,114,14402,10622,771,448,26249
19797,0,0,0,0,0,52,18,9,0,90
19999,130,389,76,91,688,81622,51876,6077,3790,143362
20101,57,109,12,26,195,25295,17490,1818,831,45430
20102,46,63,11,3,118,3672,3202,334,161,7376
20103,33,40,13,8,97,3661,2684,300,162,6801
20201,55,89,8,17,170,22640,15933,1744,677,40993
20202,70,108,7,12,196,8488,6397,622,314,15823
20203,37,44,4,6,91,2506,1111,168,107,3890
20301,22,37,7,9,72,2135,1580,145,96,3958
20302,91,194,17,35,334,49273,32747,3271,1494,86786
20303,35,78,11,7,127,8257,8334,705,337,17636
20401,123,151,23,24,318,11180,7292,820,470,19755
20402,98,103,27,15,244,10244,6541,795,392,17974
20403,100,110,14,26,251,17485,10072,1172,584,29310
20501,73,108,7,12,197,9014,6456,611,357,16436
20502,83,106,19,22,228,8208,6362,805,353,15725
20503,101,146,29,30,302,10614,8671,1041,436,20763
20504,41,98,10,16,165,16111,10052,1251,561,27973
20505,79,80,5,17,182,10110,5700,727,360,16891
20601,43,66,5,6,127,13058,9969,677,531,24227
20602,29,30,3,4,72,8095,5639,386,270,14387
