SA3_CODE_2016,SWs_NNI_H_0,SWs_NNI_H_1_15,SWs_NNI_H_16_24,SWs_NNI_H_25_34,SWs_NNI_H_35_39,SWs_NNI_H_40,SWs_NNI_H_41_48,SWs_NNI_H_49mo,SWs_NNI_H_NS,SWs_NNI_H_Tot,SWs_1_149_H_0,SWs_1_149_H_1_15,SWs_1_149_H_16_24,SWs_1_149_H_25_34,SWs_1_149_H_35_39,SWs_1_149_H_40,SWs_1_149_H_41_48,SWs_1_149_H_49mo,SWs_1_149_H_NS,SWs_1_149_H_Tot,SWs_150_299_H_0,SWs_150_299_H_1_15,SWs_150_299_H_16_24,SWs_150_299_H_25_34,SWs_150_299_H_35_39,SWs_150_299_H_40,SWs_150_299_H_41_48,SWs_150_299_H_49mo,SWs_150_299_H_NS,SWs_150_299_H_Tot,SWs_300_399_H_0,SWs_300_399_H_1_15,SWs_300_399_H_16_24,SWs_300_399_H_25_34,SWs_300_399_H_35_39,SWs_300_399_H_40,SWs_300_399_H_41_48,SWs_300_399_H_49mo,SWs_300_399_H_NS,SWs_300_399_H_Tot,SWs_400_499_H_0,SWs_400_499_H_1_15,SWs_400_499_H_16_24,SWs_400_499_H_25_34,SWs_400_499_H_35_39,SWs_400_499_H_40,SWs_400_499_H_41_48,SWs_400_499_H_49mo,SWs_400_499_H_NS,SWs_400_499_H_Tot,SWs_500_649_H_0,SWs_500_649_H_1_15,SWs_500_649_H_16_24,SWs_500_649_H_25_34,SWs_500_649_H_35_39,SWs_500_649_H_40,SWs_500_649_H_41_48,SWs_500_649_H_49mo,SWs_500_649_H_NS,SWs_500_649_H_Tot,SWs_650_799_H_0,SWs_650_799_H_1_15,SWs_650_799_H_16_24,SWs_650_799_H_25_34,SWs_650_799_H_35_39,SWs_650_799_H_40,SWs_650_799_H_41_48,SWs_650_799_H_49mo,SWs_650_799_H_NS,SWs_650_799_H_Tot,SWs_800_999_H_0,SWs_800_999_H_1_15,SWs_800_999_H_16_24,SWs_800_999_H_25_34,SWs_800_999_H_35_39,SWs_800_999_H_40,SWs_800_999_H_41_48,SWs_800_999_H_49mo,SWs_800_999_H_NS,SWs_800_999_H_Tot,SWs_1000_1249_H_0,SWs_1000_1249_H_1_15,SWs_1000_1249_H_16_24,SWs_1000_1249_H_25_34,SWs_1000_1249_H_35_39,SWs_1000_1249_H_40,SWs_1000_1249_H_41_48,SWs_1000_1249_H_49mo,SWs_1000_1249_H_NS,SWs_1000_1249_H_Tot,SWs_1250_1499_H_0,SWs_1250_1499_H_1_15,SWs_1250_1499_H_16_24,SWs_1250_1499_H_25_34,SWs_1250_1499_H_35_39,SWs_1250_1499_H_40,SWs_1250_1499_H_41_48,SWs_1250_1499_H_49mo,SWs_1250_1499_H_NS,SWs_1250_1499_H_Tot,SWs_1500_1749_H_0,SWs_1500_1749_H_1_15,SWs_1500_1749_H_16_24,SWs_1500_1749_H_25_34,SWs_1500_1749_H_35_39,SWs_1500_1749_H_40,SWs_1500_1749_H_41_48,SWs_1500_1749_H_49mo,SWs_1500_1749_H_NS,SWs_1500_1749_H_Tot,SWs_1750_1999_H_0,SWs_1750_1999_H_1_15,SWs_1750_1999_H_16_24,SWs_1750_1999_H_25_34,SWs_1750_1999_H_35_39,SWs_1750_1999_H_40,SWs_1750_1999_H_41_48,SWs_1750_1999_H_49mo,SWs_1750_1999_H_NS,SWs_1750_1999_H_Tot,SWs_2000_2999_H_0,SWs_2000_2999_H_1_15,SWs_2000_2999_H_16_24,SWs_2000_2999_H_25_34,SWs_2000_2999_H_35_39,SWs_2000_2999_H_40,SWs_2000_2999_H_41_48,SWs_2000_2999_H_49mo,SWs_2000_2999_H_NS,SWs_2000_2999_H_Tot,SWs_3000mo_H_0,SWs_3000mo_H_1_15,SWs_3000mo_H_16_24,SWs_3000mo_H_25_34,SWs_3000mo_H_35_39,SWs_3000mo_H_40,SWs_3000mo_H_41_48,SWs_3000mo_H_49mo,SWs_3000mo_H_NS,SWs_3000mo_H_Tot,SWs_PINS_H_0,SWs_PINS_H_1_15,SWs_PINS_H_16_24,SWs_PINS_H_25_34,SWs_PINS_H_35_39,SWs_PINS_H_40,SWs_PINS_H_41_48,SWs_PINS_H_49mo,SWs_PINS_H_NS,SWs_PINS_H_Tot,SWs_Tot_H_0,SWs_Tot_H_1_15,SWs_Tot_H_16_24,SWs_Tot_H_25_34,SWs_Tot_H_35_39,SWs_Tot_H_40,SWs_Tot_H_41_48,SWs_Tot_H_49mo,SWs_Tot_H_NS,SWs_Tot_H_Tot,MaOpD_NNI_H_0,MaOpD_NNI_H_1_15,MaOpD_NNI_H_16_24,MaOpD_NNI_H_25_34,MaOpD_NNI_H_35_39,MaOpD_NNI_H_40,MaOpD_NNI_H_41_48,MaOpD_NNI_H_49mo,MaOpD_NNI_H_NS,MaOpD_NNI_H_Tot,MaOpD_1_149_H_0,MaOpD_1_149_H_1_15,MaOpD_1_149_H_16_24,MaOpD_1_149_H_25_34,MaOpD_1_149_H_35_39,MaOpD_1_149_H_40,MaOpD_1_149_H_41_48,MaOpD_1_149_H_49mo,MaOpD_1_149_H_NS,MaOpD_1_149_H_Tot,MaOpD_150_299_H_0,MaOpD_150_299_H_1_15,MaOpD_150_299_H_16_24,MaOpD_150_299_H_25_34,MaOpD_150_299_H_35_39,MaOpD_150_299_H_40,MaOpD_150_299_H_41_48,MaOpD_150_299_H_49mo,MaOpD_150_299_H_NS,MaOpD_150_299_H_Tot,MaOpD_300_399_H_0,MaOpD_300_399_H_1_15,MaOpD_300_399_H_16_24,MaOpD_300_399_H_25_34,MaOpD_300_399_H_35_39,MaOpD_300_399_H_40,MaOpD_300_399_H_41_48,MaOpD_300_399_H_49mo,MaOpD_300_399_H_NS,MaOpD_300_399_H_Tot
10102,3,4,0,0,0,3,0,0,0,13,9,190,18,3,0,0,0,0,3,226,0,65,28,4,0,0,0,0,0,103,3,36,37,14,0,0,0,0,0,96,4,21,45,33,4,0,4,6,0,120,3,13,26,61,29,3,5,5,0,147,6,9,15,36,60,30,13,8,0,177,4,4,12,11,47,31,21,15,0,144,10,3,3,9,21,31,12,19,0,113,0,0,0,5,13,11,14,8,0,61,3,0,3,3,6,9,4,20,0,43,0,0,0,0,0,9,4,9,0,24,0,0,0,0,3,6,9,13,0,29,0,0,0,3,0,3,3,8,0,20,0,7,3,0,0,0,0,0,3,20,48,357,188,176,188,146,90,121,13,1325,0,0,0,0,0,0,0,3,0,4,0,7,3,0,0,0,0,3,0,16,0,10,0,6,4,0,0,0,0,16,0,11,5,3,3,0,0,0,0,23
10103,0,4,0,0,0,0,0,4,0,8,8,70,17,8,3,0,0,0,4,103,7,25,9,6,0,3,0,3,0,60,6,10,20,12,10,3,0,0,0,66,0,9,27,23,14,10,3,6,0,90,0,13,20,47,31,10,9,20,4,150,0,3,16,36,71,21,22,8,0,182,4,4,0,11,49,22,26,14,0,137,3,3,0,6,12,14,10,19,0,72,0,0,0,0,4,4,6,11,0,26,0,3,0,0,0,3,0,10,0,22,0,0,0,0,0,0,0,6,0,11,0,0,0,0,0,0,0,7,0,10,0,4,0,0,0,0,0,4,0,9,0,10,4,0,3,0,0,0,3,22,33,158,118,146,198,94,81,115,12,961,0,0,0,0,0,0,0,0,0,3,0,9,0,3,4,0,0,0,0,18,4,3,5,3,3,6,0,0,0,23,0,4,0,4,10,4,0,0,0,28
10104,0,25,0,0,0,4,0,5,0,33,30,349,18,3,0,0,4,0,13,416,7,147,51,16,4,3,0,7,5,233,19,67,78,34,3,10,3,6,4,220,12,69,116,82,26,11,4,11,0,322,16,53,89,160,72,24,6,13,3,436,22,23,38,120,150,52,30,17,5,447,14,20,12,40,118,57,28,34,3,324,7,3,3,10,40,41,27,41,3,182,3,8,6,5,17,15,16,16,0,84,0,4,7,11,7,6,3,12,0,48,0,0,0,3,0,4,0,6,0,19,3,3,0,0,0,7,3,9,0,27,3,0,0,0,0,3,0,7,0,20,4,22,5,5,3,4,3,3,7,61,137,789,421,495,434,241,136,182,45,2880,0,0,0,0,0,4,0,0,0,4,0,12,0,0,0,0,0,0,0,12,3,17,5,0,4,0,0,0,0,27,0,15,18,0,3,0,0,4,0,49
10105,3,4,0,3,3,0,0,0,0,18,13,173,11,4,0,0,0,3,0,206,7,72,34,5,0,6,4,0,7,129,0,22,46,14,4,3,0,0,0,97,4,19,47,23,9,5,0,3,5,114,9,17,32,65,34,5,0,3,3,172,6,11,18,38,59,29,7,11,3,187,4,7,7,15,50,31,17,6,0,118,3,0,4,3,14,20,19,19,0,90,3,0,0,0,9,7,7,6,3,36,0,0,0,0,3,6,0,13,0,31,0,0,0,0,0,0,0,6,0,12,0,0,0,0,3,10,7,14,0,29,0,0,0,0,0,0,6,7,0,10,0,5,3,3,5,0,7,0,6,25,56,330,197,182,202,125,64,89,22,1274,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,9,0,14,0,0,0,0,0,0,0,20,3,5,10,3,0,3,0,0,3,25
10106,0,0,0,0,0,0,0,7,0,9,4,61,10,0,4,0,0,0,0,75,4,36,13,3,0,0,0,0,0,62,4,28,14,11,0,3,3,9,3,68,3,18,29,18,4,3,0,3,3,77,0,5,25,45,13,7,0,3,0,102,0,7,4,19,44,16,16,10,0,118,0,0,5,11,25,19,17,8,0,97,0,5,0,7,10,10,15,11,0,58,0,0,0,0,3,7,7,13,0,32,0,3,0,0,3,3,0,10,0,23,0,0,0,0,0,3,4,3,0,14,0,0,0,0,0,5,0,3,0,11,0,0,0,0,4,0,0,4,0,6,0,3,0,3,0,0,0,0,0,10,23,173,107,117,115,85,66,82,11,778,0,0,0,4,3,0,0,0,0,3,0,4,3,0,0,0,0,0,0,6,0,3,0,0,0,0,0,3,0,9,0,4,4,3,0,0,0,3,0,16
10201,8,26,11,3,3,5,0,4,3,66,57,887,63,5,4,0,0,0,12,1024,39,480,166,35,9,8,3,8,8,760,25,233,221,76,16,9,0,6,9,595,20,126,263,153,39,21,7,13,8,646,31,106,214,316,126,58,25,17,16,904,23,56,91,233,281,119,45,45,8,892,17,30,43,90,245,158,84,47,7,718,10,6,11,27,113,126,59,87,6,440,9,6,10,17,47,67,38,58,3,242,0,3,7,5,21,57,24,55,0,176,0,0,4,5,20,22,10,38,0,104,0,3,0,4,16,19,15,62,0,119,3,12,3,8,3,11,10,23,0,70,10,35,15,11,12,6,0,3,7,102,243,2012,1115,991,936,696,315,463,89,6863,0,0,3,0,0,0,0,3,0,10,3,55,3,0,0,0,0,0,0,66,4,55,23,5,3,0,0,0,0,100,3,30,16,14,6,4,0,3,3,83
10202,5,34,3,0,3,3,0,4,5,61,70,807,60,13,3,0,4,3,10,975,33,428,165,35,9,7,4,0,7,688,19,228,214,74,18,18,3,0,9,579,17,110,219,129,48,12,7,10,11,571,35,98,202,281,114,52,11,18,10,814,36,46,83,208,244,69,24,34,6,745,15,23,29,77,221,110,59,52,11,581,9,10,13,27,90,104,49,52,4,345,0,4,5,4,35,48,29,56,3,176,3,7,3,5,21,27,24,27,0,115,0,0,0,0,7,7,8,27,0,55,3,3,3,4,9,15,10,32,0,75,3,3,3,0,3,11,4,23,3,58,4,29,10,16,19,6,3,6,10,98,250,1826,997,876,835,489,233,336,90,5939,0,0,0,0,0,0,0,0,0,5,3,50,7,3,0,0,0,0,0,62,3,43,24,6,3,0,0,0,7,95,3,35,30,14,6,3,0,0,0,100
10301,0,5,0,0,3,0,0,3,0,14,20,234,12,0,3,0,3,3,4,286,14,131,34,16,0,0,0,5,8,208,7,72,53,23,8,0,0,3,3,170,4,52,79,43,12,5,0,5,0,208,13,36,64,94,44,20,6,3,9,286,7,10,13,54,136,35,19,10,3,284,11,0,16,26,83,37,28,22,4,227,11,0,5,9,31,27,15,20,4,114,0,0,3,0,8,18,3,19,0,59,0,0,3,0,3,8,9,14,3,40,0,0,0,0,3,7,6,10,0,22,0,0,0,0,3,3,5,9,0,26,0,3,0,0,3,0,0,10,0,21,0,8,0,3,6,0,0,0,3,31,94,562,285,264,343,155,107,134,40,1986,0,0,0,0,0,0,0,0,0,6,0,4,3,0,0,0,0,0,0,4,0,10,0,0,3,0,0,3,0,18,0,12,7,7,0,0,0,0,0,32
10302,3,18,0,0,0,0,0,3,0,24,15,211,23,0,3,0,0,0,7,258,15,59,42,13,8,6,3,3,3,146,7,48,40,23,9,3,3,4,3,136,11,37,46,50,13,9,8,10,7,172,7,26,51,94,43,17,11,11,4,264,11,11,10,62,105,47,22,15,6,291,14,5,10,15,59,40,38,31,0,215,10,4,8,12,24,40,23,26,7,148,8,0,3,3,5,13,7,16,0,67,0,0,4,0,3,3,8,13,0,35,0,0,0,0,3,0,0,5,0,13,0,0,0,0,4,5,3,24,0,29,0,3,0,0,0,0,0,9,0,15,0,10,4,5,5,10,0,0,4,40,92,431,239,274,281,198,127,169,35,1847,0,0,0,0,0,3,0,5,0,15,0,8,4,0,0,0,0,0,0,15,0,13,4,0,0,0,0,4,0,26,4,18,11,5,8,3,0,4,0,51
10303,0,16,0,3,0,0,0,0,0,17,19,147,10,3,0,0,0,0,10,188,4,115,23,9,6,0,0,3,3,167,7,46,45,19,11,3,4,3,4,141,3,29,66,27,17,7,3,9,0,159,7,20,41,72,37,11,4,3,4,214,7,17,13,65,86,26,11,8,3,235,3,3,7,28,63,24,18,20,0,164,3,0,4,8,28,14,8,20,0,86,3,0,0,3,3,6,8,17,0,35,0,0,0,3,0,3,3,5,0,20,0,0,0,0,0,0,3,13,0,15,0,0,0,0,0,3,0,5,0,16,0,0,3,0,0,3,0,6,0,21,0,11,3,3,0,3,0,0,0,24,65,396,235,238,247,114,68,116,27,1495,3,3,0,0,4,0,0,0,0,7,0,3,3,0,0,0,0,0,3,11,0,5,6,3,0,3,0,0,0,20,0,13,10,3,6,0,0,4,0,40
