SA3_CODE_2016,Tot_1750_1999_A_55_64,Tot_1750_1999_A_65_74,Tot_1750_1999_A_75ov,Tot_1750_1999_Tot,Tot_2000_2999_A_15_19,Tot_2000_2999_A_20_24,Tot_2000_2999_A_25_34,Tot_2000_2999_A_35_44,Tot_2000_2999_A_45_54,Tot_2000_2999_A_55_64,Tot_2000_2999_A_65_74,Tot_2000_2999_A_75ov,Tot_2000_2999_Tot,Tot_3000mo_A_15_19,Tot_3000mo_A_20_24,Tot_3000mo_A_25_34,Tot_3000mo_A_35_44,Tot_3000mo_A_45_54,Tot_3000mo_A_55_64,Tot_3000mo_A_65_74,Tot_3000mo_A_75ov,Tot_3000mo_Tot,Tot_PINS_A_15_19,Tot_PINS_A_20_24,Tot_PINS_A_25_34,Tot_PINS_A_35_44,Tot_PINS_A_45_54,Tot_PINS_A_55_64,Tot_PINS_A_65_74,Tot_PINS_A_75ov,Tot_PINS_Tot,Tot_Tot_A_15_19,Tot_Tot_A_20_24,Tot_Tot_A_25_34,Tot_Tot_A_35_44,Tot_Tot_A_45_54,Tot_Tot_A_55_64,Tot_Tot_A_65_74,Tot_Tot_A_75ov,Tot_Tot_Tot
10102,176,32,3,877,0,11,203,361,415,216,38,9,1253,3,0,38,142,201,99,34,10,531,29,17,35,31,47,32,24,3,223,1044,1371,3112,3003,3238,2340,700,140,14949
10103,93,17,4,384,0,0,56,121,137,88,11,7,416,0,3,21,46,73,44,10,4,212,24,23,29,34,27,36,17,4,178,638,1144,1814,1640,2069,1642,581,126,9656
10104,241,41,4,890,0,4,86,202,290,234,44,9,877,0,6,25,84,119,120,40,7,404,39,38,53,66,83,112,30,9,438,1538,1461,3235,4345,6013,5756,1419,212,23975
10105,160,21,0,644,0,11,132,192,255,147,39,0,772,0,3,29,83,99,65,33,14,324,19,14,50,43,48,46,13,6,240,789,1063,2496,2396,2767,2141,650,131,12425
10106,72,29,0,398,0,3,83,133,156,105,30,17,525,0,0,15,62,107,67,30,12,299,7,12,24,35,38,26,21,5,166,421,746,1524,1794,2006,1602,657,149,8897
10201,621,76,5,2848,3,10,391,936,1049,689,126,16,3222,0,9,104,372,500,375,112,25,1493,94,88,151,162,221,148,50,15,927,4115,5382,10493,11883,13540,10395,2401,281,58479
10202,389,47,4,1998,0,7,310,694,731,438,75,4,2266,3,14,102,281,321,219,54,9,996,73,64,124,122,164,136,44,6,742,3623,4469,8685,9490,10427,7659,1603,175,46120
10301,237,40,5,1125,0,7,174,343,406,272,41,3,1245,0,0,40,87,132,126,41,8,439,35,30,41,50,76,50,21,9,310,1247,1974,3757,3823,4233,3350,1005,174,19570
10302,188,61,7,894,0,11,196,298,332,226,41,11,1119,0,3,40,111,168,131,56,20,530,29,27,73,69,82,67,58,33,436,1195,1716,3586,3943,4693,4130,1433,450,21138
10303,201,21,7,984,0,38,423,522,500,272,34,7,1798,3,12,146,203,238,148,38,7,790,21,21,46,62,65,55,19,14,306,960,1291,3194,3470,4149,3190,913,217,17386
10304,284,41,9,1558,0,23,428,686,616,338,59,5,2145,0,8,81,267,272,170,61,20,865,41,27,60,79,83,69,36,14,411,1477,2013,5121,5406,5452,4137,1238,253,25096
10401,177,21,4,700,0,5,87,207,222,165,20,6,720,0,3,41,73,91,81,29,7,325,21,10,34,59,59,53,14,13,265,1010,1123,2316,3176,3978,3605,829,185,16233
10402,344,37,3,1382,0,10,167,422,489,325,57,6,1468,0,3,50,157,185,152,57,4,612,48,51,75,67,120,100,26,15,498,2106,2508,5609,6531,7764,6496,1412,182,32611
10501,108,22,4,526,0,20,229,209,201,111,30,10,814,0,4,48,103,115,70,27,11,368,10,20,36,41,55,43,35,18,255,300,687,1976,1749,2089,1741,616,186,9355
10502,126,15,0,526,0,8,141,157,194,161,21,0,682,0,0,23,43,51,53,15,4,192,11,22,20,30,43,48,15,6,205,400,663,1607,1424,1725,1613,368,64,7870
10503,310,53,14,1474,0,8,246,434,506,347,45,12,1607,3,4,78,151,197,162,59,17,673,44,41,87,103,112,111,56,30,594,1599,2384,5639,5382,6072,4989,1523,390,27976
10601,315,35,3,1958,0,62,967,1324,1077,646,69,8,4153,3,8,251,461,453,255,68,10,1512,50,60,95,109,146,78,25,7,573,2148,2899,6863,7203,7100,5000,1161,218,32593
10602,243,30,3,1318,0,8,255,504,482,311,47,6,1617,0,8,73,201,225,166,46,9,733,33,51,64,72,89,54,20,4,394,1969,2691,5654,5660,5664,3857,823,108,26419
10603,320,37,5,1700,0,13,370,633,657,356,43,5,2074,0,4,68,206,254,164,46,6,745,41,42,72,68,85,81,24,4,410,1746,2417,5402,5576,6050,4338,979,150,26644
10604,137,26,0,789,0,20,346,412,438,217,33,6,1479,6,3,74,164,196,118,25,7,590,21,16,44,51,49,65,15,14,277,786,1148,2868,2827,2962,2196,605,146,13538
10701,373,40,3,1703,0,19,331,663,761,418,44,0,2240,7,5,54,194,245,168,33,0,702,18,38,81,79,91,64,20,9,401,1458,2417,4870,5564,6262,4401,757,84,25822
10702,3,0,0,7,0,0,6,4,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,20,12,12,7,0,0,58
10703,211,19,3,994,0,6,129,346,354,230,33,11,1103,5,4,40,139,139,95,26,4,446,22,43,53,67,54,42,14,3,303,1973,2505,4135,4618,4867,3540,738,108,22483
10704,567,83,11,2799,0,20,532,1248,1173,777,123,5,3885,0,4,142,505,586,393,96,7,1747,79,99,128,156,174,124,38,3,797,3262,5886,10774,11336,11365,7825,1624,191,52270
10801,92,16,4,325,0,3,34,108,110,89,21,4,371,0,3,12,34,42,46,13,8,154,24,17,14,38,36,41,9,3,172,614,587,1262,1684,2199,2011,535,91,8988
10802,142,20,3,623,0,7,67,181,174,128,26,4,589,0,4,25,68,82,69,24,3,276,15,19,41,44,61,54,26,3,272,904,1044,2232,2797,3499,3249,865,158,14753
10803,0,0,0,6,0,0,0,5,0,3,3,0,10,0,0,0,0,0,4,0,0,7,0,0,0,0,3,0,0,0,6,6,14,41,56,45,41,15,7,214
10804,251,27,3,1276,0,4,193,431,460,302,41,9,1450,3,4,58,187,225,156,50,0,682,40,32,67,101,115,89,26,19,486,1798,1898,4457,5645,6856,5426,1267,192,27531
10805,196,19,4,637,0,3,68,145,170,161,40,3,594,0,3,17,70,91,82,24,3,294,32,24,23,57,89,61,15,15,316,1042,1204,2504,3041,4153,3700,1006,175,16815
10901,270,40,7,1305,0,9,191,411,510,327,41,10,1494,4,4,41,135,209,182,50,3,633,41,45,75,87,113,83,34,7,496,1903,2593,5501,5540,6217,4910,1212,190,28063
10902,47,6,0,242,0,4,26,85,83,56,15,4,270,0,7,11,22,34,35,18,3,126,12,3,11,16,26,18,14,6,113,220,390,791,946,1230,1149,321,74,5125
10903,124,24,6,556,4,0,72,177,197,156,30,6,647,0,0,18,66,84,80,37,10,300,26,23,42,52,76,86,45,18,358,895,1218,2546,2855,3562,3485,1081,245,15892
11001,158,39,5,722,0,3,80,237,341,258,59,3,977,0,0,21,79,119,116,44,6,389,27,32,42,46,58,52,32,14,301,990,1484,2718,2805,3449,2831,952,215,15451
11002,113,35,9,469,0,7,57,128,151,96,30,8,465,3,5,17,35,58,80,31,7,235,12,21,21,35,55,72,47,29,287,764,958,1973,2450,3025,2788,1070,319,13346
11003,107,37,3,523,0,10,130,182,169,103,28,8,632,3,0,55,112,131,120,24,10,454,24,26,44,35,59,56,38,14,292,556,837,2137,2177,2417,2067,680,153,11027
11004,329,43,5,1625,0,22,400,612,623,391,46,13,2111,6,4,102,206,251,198,52,11,834,62,33,110,95,122,132,54,24,627,2064,2737,6788,6688,7390,6072,1699,361,33799
11101,321,35,10,1718,0,10,264,634,602,381,72,7,1968,3,7,79,275,311,205,57,13,952,70,70,116,103,129,78,23,0,593,3480,4753,8272,8049,8481,5887,1220,153,40300
11102,203,25,4,846,0,16,203,309,316,265,40,7,1154,0,4,77,164,200,151,30,3,627,22,42,46,50,62,52,20,0,291,1046,1578,3294,3589,3955,3269,767,81,17577
