SA3_CODE_2016,FTS_None_Mng,FTS_None_Pro,FTS_None_TecTW,FTS_None_CoPSW,FTS_None_ClAW,FTS_None_SWks,FTS_None_MaOpDv,FTS_None_Lab,FTS_None_IDNS,FTS_None_Tot,FTS_1_15_Mng,FTS_1_15_Pro,FTS_1_15_TecTW,FTS_1_15_CoPSW,FTS_1_15_ClAW,FTS_1_15_SWks,FTS_1_15_MaOpDv,FTS_1_15_Lab,FTS_1_15_IDNS,FTS_1_15_Tot,FTS_16_24_Mng,FTS_16_24_Pro,FTS_16_24_TecTW,FTS_16_24_CoPSW,FTS_16_24_ClAW,FTS_16_24_SWks,FTS_16_24_MaOpDv,FTS_16_24_Lab,FTS_16_24_IDNS,FTS_16_24_Tot,FTS_25_34_Mng,FTS_25_34_Pro,FTS_25_34_TecTW,FTS_25_34_CoPSW,FTS_25_34_ClAW,FTS_25_34_SWks,FTS_25_34_MaOpDv,FTS_25_34_Lab,FTS_25_34_IDNS,FTS_25_34_Tot,FTS_35_39_Mng,FTS_35_39_Pro,FTS_35_39_TecTW,FTS_35_39_CoPSW,FTS_35_39_ClAW,FTS_35_39_SWks,FTS_35_39_MaOpDv,FTS_35_39_Lab,FTS_35_39_IDNS,FTS_35_39_Tot,FTS_40_Mng,FTS_40_Pro,FTS_40_TecTW,FTS_40_CoPSW,FTS_40_ClAW,FTS_40_SWks,FTS_40_MaOpDv,FTS_40_Lab,FTS_40_IDNS,FTS_40_Tot,FTS_41_48_Mng,FTS_41_48_Pro,FTS_41_48_TecTW,FTS_41_48_CoPSW,FTS_41_48_ClAW,FTS_41_48_SWks,FTS_41_48_MaOpDv,FTS_41_48_Lab,FTS_41_48_IDNS,FTS_41_48_Tot,FTS_49mo_Mng,FTS_49mo_Pro,FTS_49mo_TecTW,FTS_49mo_CoPSW,FTS_49mo_ClAW,FTS_49mo_SWks,FTS_49mo_MaOpDv,FTS_49mo_Lab,FTS_49mo_IDNS,FTS_49mo_Tot,FTS_NS_Mng,FTS_NS_Pro,FTS_NS_TecTW,FTS_NS_CoPSW,FTS_NS_ClAW,FTS_NS_SWks,FTS_NS_MaOpDv,FTS_NS_Lab,FTS_NS_IDNS,FTS_NS_Tot,FTS_Tot_Mng,FTS_Tot_Pro,FTS_Tot_TecTW,FTS_Tot_CoPSW,FTS_Tot_ClAW,FTS_Tot_SWks,FTS_Tot_MaOpDv,FTS_Tot_Lab,FTS_Tot_Inad_des_Tot,FTS_Tot_Tot,PTS_None_Mng,PTS_None_Pro,PTS_None_TecTW,PTS_None_CoPSW,PTS_None_ClAW,PTS_None_SWks,PTS_None_MaOpDv,PTS_None_Lab,PTS_None_IDNS,PTS_None_Tot,PTS_1_15_Mng,PTS_1_15_Pro,PTS_1_15_TecTW,PTS_1_15_CoPSW,PTS_1_15_ClAW,PTS_1_15_SWks,PTS_1_15_MaOpDv,PTS_1_15_Lab,PTS_1_15_IDNS,PTS_1_15_Tot,PTS_16_24_Mng,PTS_16_24_Pro,PTS_16_24_TecTW,PTS_16_24_CoPSW,PTS_16_24_ClAW,PTS_16_24_SWks,PTS_16_24_MaOpDv,PTS_16_24_Lab,PTS_16_24_IDNS,PTS_16_24_Tot,PTS_25_34_Mng,PTS_25_34_Pro,PTS_25_34_TecTW,PTS_25_34_CoPSW,PTS_25_34_ClAW,PTS_25_34_SWks,PTS_25_34_MaOpDv,PTS_25_34_Lab,PTS_25_34_IDNS,PTS_25_34_Tot,PTS_35_39_Mng,PTS_35_39_Pro,PTS_35_39_TecTW,PTS_35_39_CoPSW,PTS_35_39_ClAW,PTS_35_39_SWks,PTS_35_39_MaOpDv,PTS_35_39_Lab,PTS_35_39_IDNS,PTS_35_39_Tot,PTS_40_Mng,PTS_40_Pro,PTS_40_TecTW,PTS_40_CoPSW,PTS_40_ClAW,PTS_40_SWks,PTS_40_MaOpDv,PTS_40_Lab,PTS_40_IDNS,PTS_40_Tot,PTS_41_48_Mng,PTS_41_48_Pro,PTS_41_48_TecTW,PTS_41_48_CoPSW,PTS_41_48_ClAW,PTS_41_48_SWks,PTS_41_48_MaOpDv,PTS_41_48_Lab,PTS_41_48_IDNS,PTS_41_48_Tot,PTS_49mo_Mng,PTS_49mo_Pro,PTS_49mo_TecTW,PTS_49mo_CoPSW,PTS_49mo_ClAW,PTS_49mo_SWks,PTS_49mo_MaOpDv,PTS_49mo_Lab,PTS_49mo_IDNS,PTS_49mo_Tot,PTS_NS_Mng,PTS_NS_Pro,PTS_NS_TecTW,PTS_NS_CoPSW,PTS_NS_ClAW,PTS_NS_SWks,PTS_NS_MaOpDv,PTS_NS_Lab,PTS_NS_IDNS,PTS_NS_Tot,PTS_Tot_Mng,PTS_Tot_Pro,PTS_Tot_TecTW,PTS_Tot_CoPSW,PTS_Tot_ClAW,PTS_Tot_SWks,PTS_Tot_MaOpDv,PTS_Tot_Lab,PTS_Tot_Inad_des_Tot,PTS_Tot_Tot
10102,0,0,0,12,6,8,0,9,0,27,3,16,12,154,39,254,7,111,3,607,0,3,4,33,14,55,0,27,0,139,0,3,0,19,3,11,3,4,0,48,0,0,5,3,4,7,0,3,0,24,0,0,6,0,4,0,0,4,0,15,0,0,3,0,0,0,0,0,0,7,0,0,4,0,0,3,0,0,0,11,0,3,0,4,0,10,0,3,4,25,10,26,31,228,65,342,18,158,12,899,0,0,3,0,3,0,0,0,0,5,0,3,5,14,3,8,3,4,0,34,0,0,3,4,0,6,0,3,0,23,3,0,3,9,4,16,0,0,0,37,0,0,46,11,8,0,0,7,0,73,0,3,68,8,9,0,0,3,0,92,0,0,35,3,0,0,0,3,0,42,0,3,6,0,0,0,0,3,0,18,0,3,3,0,0,0,0,0,0,10,3,13,180,45,29,30,6,25,5,337
10103,0,0,3,0,3,4,0,7,0,17,5,3,7,49,5,82,4,45,5,209,0,0,0,16,3,14,0,9,0,45,0,0,7,7,0,4,0,4,0,22,0,0,0,5,0,4,5,0,0,18,0,0,0,3,0,3,0,0,0,9,0,0,0,0,0,0,3,0,0,4,0,0,0,4,0,0,0,0,0,8,0,0,3,0,0,3,0,0,0,10,8,10,20,82,10,116,11,68,9,331,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,3,0,7,0,15,0,0,0,6,0,7,0,3,0,14,0,0,0,9,4,3,0,4,0,19,0,5,18,4,3,4,10,0,0,46,0,0,14,4,0,3,0,0,0,18,0,0,4,4,0,4,0,7,0,19,0,7,12,8,0,3,0,3,0,24,0,0,0,3,0,0,0,0,0,4,8,9,48,40,13,21,11,19,5,167
10104,0,0,5,12,0,28,0,10,0,65,0,3,18,133,10,390,5,155,7,721,0,0,8,15,0,27,0,18,3,70,0,0,3,6,0,9,0,0,0,17,0,0,16,4,4,0,0,0,0,27,0,0,4,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,14,0,4,5,37,3,11,52,178,19,467,5,193,16,944,0,0,0,0,0,0,0,0,0,7,0,0,3,10,0,16,0,4,0,38,0,0,0,5,3,17,0,3,0,24,0,4,13,16,3,4,0,3,0,46,0,6,56,10,16,5,0,5,0,96,0,0,43,0,3,3,0,3,0,55,3,0,17,0,3,0,0,3,0,27,0,0,10,0,0,0,0,3,0,15,0,0,6,0,0,0,0,0,0,5,10,17,146,46,28,48,4,27,4,323
10105,0,0,0,9,0,15,0,3,0,32,3,10,10,64,12,212,8,74,3,385,0,7,0,14,4,36,5,16,0,76,0,0,3,10,0,5,0,3,0,24,0,0,3,3,0,0,0,7,0,20,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,3,0,0,4,12,10,16,14,109,16,282,6,102,6,568,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,8,0,4,0,25,0,3,5,12,0,3,0,0,0,28,0,4,3,10,5,7,3,4,0,31,0,3,20,5,3,8,0,0,0,51,0,12,31,6,0,0,0,3,0,52,0,0,19,0,0,3,0,0,0,25,0,0,7,0,3,0,0,0,0,10,0,0,0,3,0,0,0,0,0,3,3,19,87,49,22,30,6,10,3,230
10106,0,0,0,8,0,8,0,0,0,16,6,13,4,41,6,72,0,56,0,199,3,0,6,16,3,13,0,11,0,54,0,0,3,6,3,3,0,0,0,17,0,0,3,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,3,3,15,11,13,14,78,12,97,0,70,5,307,0,0,3,0,0,0,0,0,0,7,0,0,0,6,0,4,0,3,0,16,0,0,0,8,3,5,0,0,0,16,0,0,3,7,3,4,0,0,0,16,3,10,18,5,10,5,0,0,0,52,3,3,15,0,3,0,0,0,0,33,0,0,10,0,0,3,0,0,0,9,0,0,3,0,3,0,0,0,0,7,0,0,3,0,0,0,0,3,0,12,5,12,56,30,18,14,0,7,0,161
10201,3,4,9,46,5,79,0,32,0,185,17,69,33,543,86,1154,60,553,16,2539,14,24,17,155,33,237,21,98,3,606,9,10,7,68,11,51,4,27,0,185,5,9,21,15,9,6,0,5,0,65,0,3,7,5,4,4,0,3,0,30,0,5,3,0,4,0,0,0,0,11,0,0,3,0,0,0,0,0,0,4,0,0,3,12,7,25,0,4,20,73,51,126,98,848,159,1550,85,728,41,3689,0,0,10,0,0,5,0,3,0,23,3,9,16,50,9,63,3,35,0,189,0,10,13,42,7,59,4,22,0,160,3,5,24,47,8,37,3,8,0,127,5,15,122,44,16,14,3,7,5,233,5,12,146,30,18,6,3,3,0,220,3,3,57,4,6,0,3,0,0,83,7,3,29,3,4,0,0,0,0,49,0,0,7,0,0,4,0,0,0,11,27,59,422,225,70,178,17,87,10,1103
10202,3,3,3,26,7,85,4,22,0,154,8,33,28,328,46,1015,49,479,9,2004,4,18,9,101,23,165,25,85,0,433,9,4,10,42,9,47,4,19,0,139,0,3,13,13,3,6,0,6,0,53,0,3,10,7,0,3,4,0,0,24,0,3,8,3,0,0,0,0,0,9,0,0,3,3,0,4,0,0,0,10,0,7,0,8,0,20,0,14,8,57,30,64,77,532,87,1347,88,628,26,2886,0,0,3,6,4,4,0,3,0,27,3,7,4,39,7,61,6,25,4,154,3,8,15,38,7,43,9,16,0,137,3,6,30,26,7,30,0,12,3,127,3,8,122,32,21,22,0,10,0,219,3,9,112,12,12,8,5,3,0,159,0,7,40,3,0,3,0,0,0,63,0,4,24,0,0,0,0,0,0,26,0,0,7,0,0,3,0,3,0,24,21,52,360,165,61,173,17,70,8,936
10301,0,4,5,22,0,31,0,10,4,81,12,33,12,236,26,324,4,164,6,818,3,5,6,57,4,61,4,20,0,164,3,5,3,27,0,16,0,5,0,72,0,3,9,7,3,5,0,3,0,33,0,3,3,4,0,3,0,3,0,19,0,0,4,3,0,0,0,0,0,5,0,0,3,4,0,0,0,0,0,5,0,3,0,18,0,7,0,5,12,50,30,59,39,373,44,459,10,211,21,1247,0,0,3,5,0,0,0,0,0,12,0,7,4,12,7,11,0,11,0,52,0,6,0,22,0,15,0,6,0,46,0,5,5,13,3,13,0,4,0,44,0,8,40,11,5,10,0,3,0,84,0,14,50,10,9,3,0,0,0,81,0,0,22,3,4,0,0,0,0,33,5,3,14,0,0,0,0,0,0,23,0,0,3,0,0,0,0,0,0,4,8,34,145,80,27,54,3,26,0,375
10302,0,3,0,13,3,25,0,11,3,63,10,9,11,65,12,218,9,102,3,438,3,0,4,9,0,32,4,11,0,67,0,4,0,8,0,6,3,4,3,24,0,0,4,9,4,3,0,0,0,23,0,4,6,0,0,0,0,0,0,11,0,0,4,0,0,0,0,0,0,7,0,0,3,0,0,0,0,0,0,7,0,0,0,3,0,7,0,9,7,31,13,20,32,109,20,297,19,140,14,661,0,0,3,8,0,0,0,0,0,10,0,0,0,15,10,15,0,6,0,44,0,3,3,8,0,6,0,3,0,27,0,6,4,12,3,4,0,6,0,35,0,12,53,22,10,7,4,6,0,110,5,9,35,8,0,6,0,3,0,64,0,3,26,4,3,0,0,3,0,40,0,0,8,0,0,3,0,6,0,17,0,0,4,0,0,0,0,0,0,4,11,26,138,70,26,41,7,30,3,354
10303,0,0,0,12,0,21,0,9,0,39,3,6,6,70,12,165,3,102,3,371,0,4,3,15,4,19,0,5,0,54,0,0,0,4,0,3,0,7,0,15,0,0,4,3,0,3,0,0,0,12,0,0,3,0,0,0,0,0,0,6,0,0,5,0,3,0,0,0,0,9,0,0,0,4,0,0,0,0,0,3,0,0,5,0,0,8,0,3,10,23,3,16,28,105,17,220,3,126,8,531,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,16,0,3,0,32,0,0,0,7,3,3,0,3,0,27,0,4,4,12,0,3,0,7,0,30,3,6,38,5,8,5,0,5,0,75,5,0,46,4,3,3,0,3,0,65,0,0,24,0,4,0,0,0,0,34,0,0,8,6,0,5,3,3,0,26,0,0,5,0,0,0,0,0,0,8,9,15,133,52,20,27,7,30,0,302
