SA3_CODE_2016,P_40_44_OM_UIE,P_40_44_CFW,P_40_44_ES_NS,P_40_44_Total,P_45_49_E,P_45_49_OM_IE,P_45_49_OM_UIE,P_45_49_CFW,P_45_49_ES_NS,P_45_49_Total,P_50_54_E,P_50_54_OM_IE,P_50_54_OM_UIE,P_50_54_CFW,P_50_54_ES_NS,P_50_54_Total,P_55_59_E,P_55_59_OM_IE,P_55_59_OM_UIE,P_55_59_CFW,P_55_59_ES_NS,P_55_59_Total,P_60_64_E,P_60_64_OM_IE,P_60_64_OM_UIE,P_60_64_CFW,P_60_64_ES_NS,P_60_64_Total,P_65_69_E,P_65_69_OM_IE,P_65_69_OM_UIE,P_65_69_CFW,P_65_69_ES_NS,P_65_69_Total,P_70_74_E,P_70_74_OM_IE,P_70_74_OM_UIE,P_70_74_CFW,P_70_74_ES_NS,P_70_74_Total,P_75ov_E,P_75ov_OM_IE,P_75ov_OM_UIE,P_75ov_CFW,P_75ov_ES_NS,P_75ov_Total,P_Total_E,P_Total_OM_IE,P_Total_OM_UIE,P_Total_CFW,P_Total_ES_NS,P_Total_Total
10304,233,34,33,2839,2310,205,224,39,30,2815,2119,192,235,56,37,2642,1967,168,261,55,29,2480,1173,144,226,91,23,1652,446,102,168,104,17,844,137,52,112,78,20,395,58,15,71,78,22,253,20646,1385,2090,652,330,25096
10401,203,26,21,1756,1500,116,222,40,33,1911,1592,160,223,63,39,2066,1593,126,297,79,33,2120,1034,131,221,74,26,1485,314,58,138,63,17,591,93,17,73,41,11,237,51,18,54,47,16,185,12784,904,1765,503,281,16233
10402,405,75,46,3626,2966,320,450,81,37,3856,3009,317,460,77,47,3907,2956,267,460,99,44,3823,1869,218,439,102,44,2674,607,115,254,86,13,1074,152,49,89,46,5,337,45,16,52,36,25,182,26163,1888,3378,778,400,32611
10501,95,48,24,913,712,91,123,68,16,1013,741,77,153,82,27,1076,656,63,173,113,22,1020,419,48,152,88,16,728,188,25,110,70,17,409,57,14,65,57,6,210,24,15,63,79,11,186,6798,489,1170,692,214,9355
10502,55,21,13,750,694,38,56,20,13,811,756,56,64,19,14,910,762,69,92,27,16,969,469,39,83,41,18,649,167,29,37,27,6,263,51,8,24,11,7,100,16,10,13,13,9,64,6580,342,576,216,147,7870
10503,285,62,33,2794,2329,217,319,98,44,3003,2304,246,372,104,46,3074,2194,205,387,118,44,2942,1381,151,371,112,28,2040,540,106,256,121,36,1063,151,55,129,104,13,461,86,37,131,115,26,390,22066,1555,2950,1001,402,27976
10601,208,50,36,3743,3119,252,229,55,37,3691,2830,215,247,60,49,3411,2522,196,278,78,36,3106,1368,178,228,86,33,1899,444,125,146,108,20,840,102,55,79,75,5,322,50,33,71,51,10,218,27954,1632,1955,685,368,32593
10602,193,39,24,2949,2473,228,175,29,29,2929,2260,209,202,39,26,2733,1970,198,200,38,17,2437,1080,142,155,32,12,1421,403,91,85,36,7,622,109,33,33,21,3,199,46,12,20,17,16,108,22765,1527,1564,341,222,26419
10603,228,33,21,2980,2523,205,238,35,25,3032,2466,241,242,46,30,3016,2066,236,272,41,31,2642,1215,186,217,52,26,1697,404,119,124,44,16,698,100,57,69,38,15,274,57,23,22,34,10,150,22563,1563,1860,396,260,26644
10604,108,25,17,1498,1223,85,106,30,13,1454,1233,80,121,49,15,1502,1052,71,124,48,19,1306,643,66,114,44,13,893,230,40,95,46,11,415,62,12,66,40,9,187,21,17,41,56,10,146,11388,578,1007,404,162,13538
