SA3_CODE_2016,Tot_65_69_HW_0,Tot_65_69_HW_1_15,Tot_65_69_HW_16_24,Tot_65_69_HW_25_34,Tot_65_69_HW_35_39,Tot_65_69_HW_40,Tot_65_69_HW_41_48,Tot_65_69_HW_49mor,Tot_65_69_HW_NS,Tot_65_69_Tot,Tot_70_74_HW_0,Tot_70_74_HW_1_15,Tot_70_74_HW_16_24,Tot_70_74_HW_25_34,Tot_70_74_HW_35_39,Tot_70_74_HW_40,Tot_70_74_HW_41_48,Tot_70_74_HW_49mor,Tot_70_74_HW_NS,Tot_70_74_Tot,Tot_75ov_HW_0,Tot_75ov_HW_1_15,Tot_75ov_HW_16_24,Tot_75ov_HW_25_34,Tot_75ov_HW_35_39,Tot_75ov_HW_40,Tot_75ov_HW_41_48,Tot_75ov_HW_49mor,Tot_75ov_HW_NS,Tot_75ov_Tot,Tot_Tot_HW_0,Tot_Tot_HW_1_15,Tot_Tot_HW_16_24,Tot_Tot_HW_25_34,Tot_Tot_HW_35_39,Tot_Tot_HW_40,Tot_Tot_HW_41_48,Tot_Tot_HW_49mor,Tot_Tot_HW_NS,Tot_Tot_Tot
10102,19,102,64,65,57,62,27,97,5,494,14,59,39,23,5,17,12,35,3,209,4,29,24,17,7,15,5,24,10,140,480,1732,1250,1576,2675,2755,1574,2639,274,14949
10103,18,66,42,40,37,51,21,90,6,372,13,41,34,18,12,22,10,54,11,215,9,22,15,6,7,14,9,30,12,126,293,947,852,1262,1748,1328,983,2019,219,9656
10104,62,290,161,115,103,91,47,145,29,1046,26,113,50,60,19,36,7,48,16,373,15,58,28,29,11,19,5,33,19,212,1009,3630,2946,3657,4257,3311,1735,2927,509,23975
10105,18,88,60,54,47,58,20,88,18,444,3,49,35,26,12,20,15,40,3,199,8,39,16,24,7,16,3,20,8,131,434,1374,1335,1517,2509,2110,1013,1864,275,12425
10106,20,85,64,55,45,49,26,82,3,436,15,56,22,24,17,29,14,33,4,217,8,27,14,25,11,30,6,24,7,149,313,1055,935,1085,1483,1440,788,1587,209,8897
10201,79,442,338,214,197,193,80,186,31,1760,33,210,121,81,45,52,15,64,21,634,13,94,40,23,16,23,13,27,31,281,2090,8314,7444,7721,10682,9933,4374,6939,991,58479
10202,66,247,223,157,163,133,47,128,24,1187,16,141,81,55,32,27,16,36,10,414,12,58,30,15,12,13,0,13,23,175,1636,6321,5680,6156,9031,7686,3507,5214,894,46120
10301,33,132,99,67,72,98,44,135,13,695,23,94,43,35,21,28,9,48,9,310,8,50,19,21,11,14,3,28,13,174,739,2460,1914,2143,4098,3261,1648,2917,389,19570
10302,33,120,125,94,83,131,76,267,30,959,31,83,56,64,25,52,20,112,19,472,23,75,49,57,16,57,26,98,48,450,813,2225,1978,2422,3259,3400,1993,4492,554,21138
10303,36,117,85,79,62,64,21,121,10,588,14,84,41,41,28,35,12,57,16,325,6,40,29,29,17,23,10,35,20,217,660,1939,1807,2030,2950,2711,1718,3215,356,17386
10304,58,164,118,94,90,115,44,132,25,844,21,85,64,48,24,34,26,76,17,395,11,50,44,26,21,15,14,53,28,253,954,2609,2353,2707,4606,4272,2540,4613,443,25096
10401,30,136,103,80,51,65,24,81,25,591,17,60,47,27,11,27,15,33,12,237,8,46,29,20,13,13,7,30,19,185,639,2154,1918,2360,3116,2225,1230,2238,357,16233
10402,57,272,169,133,141,107,50,133,17,1074,22,94,59,53,28,25,14,39,5,337,7,49,29,18,18,18,0,18,28,182,1167,4619,3839,4902,6372,4804,2343,3958,611,32611
10501,24,56,38,32,35,74,14,117,16,409,3,33,23,23,20,27,9,58,12,210,12,28,15,18,6,24,4,60,11,186,371,714,685,904,1386,1404,852,2770,281,9355
10502,18,54,39,20,32,32,16,59,3,263,4,25,7,8,8,11,7,25,5,100,7,8,4,8,0,10,3,9,16,64,353,791,632,874,1568,1267,617,1566,202,7870
10503,49,152,125,118,125,148,65,250,33,1063,15,81,73,49,33,59,27,112,11,461,11,72,57,44,23,56,20,77,29,390,980,2747,2414,3024,5837,4972,2495,4921,586,27976
10601,43,196,139,88,76,95,61,142,14,840,11,71,63,48,11,34,18,59,13,322,8,44,42,19,9,18,19,38,22,218,1234,3811,3433,3361,5149,4987,3811,6130,672,32593
10602,33,139,115,68,81,66,28,71,14,622,8,69,34,21,12,18,13,17,6,199,3,27,15,10,5,6,0,16,16,108,886,3529,3059,3339,5038,4424,2291,3433,423,26419
10603,32,180,95,82,72,83,41,94,18,698,16,101,39,23,19,15,13,29,18,274,7,44,31,17,11,12,3,20,3,150,941,3261,2583,2921,5141,4685,2911,3716,479,26644
10604,20,86,58,35,34,60,27,85,14,415,9,37,33,19,15,18,10,51,6,187,9,27,20,24,6,30,4,17,17,146,523,1406,1295,1422,2495,2123,1482,2510,281,13538
10701,33,122,99,66,76,75,37,81,13,588,8,53,25,16,13,14,7,23,3,167,4,23,3,13,8,9,3,9,12,84,876,2839,2645,2860,5062,4844,2574,3683,434,25822
