SA3_CODE_2016,P_M3_Trn_and_2_oth_Ms_15_24,P_M3_Trn_and_2_oth_Ms_25_34,P_M3_Trn_and_2_oth_Ms_35_44,P_M3_Trn_and_2_oth_Ms_45_54,P_M3_Trn_and_2_oth_Ms_55_64,P_M3_Trn_and_2_oth_Ms_65_74,P_M3_Trn_and_2_oth_Ms_75ov,P_M3_Trn_and_2_oth_Ms_Tot,P_M3_Bus2othMs_ex_tn_15_24,P_M3_Bus2othMs_ex_tn_25_34,P_M3_Bus2othMs_ex_tn_35_44,P_M3_Bus2othMs_ex_tn_45_54,P_M3_Bus2othMs_ex_tn_55_64,P_M3_Bus2othMs_ex_tn_65_74,P_M3_Bus2othMs_ex_tn_75ov,P_M3_Bus2othMs_ex_tn_Tot,P_M3_Other_M3_15_24,P_M3_Other_M3_25_34,P_M3_Other_M3_35_44,P_M3_Other_M3_45_54,P_M3_Other_M3_55_64,P_M3_Other_M3_65_74,P_M3_Other_M3_75ov,P_M3_Other_M3_Tot,P_M3_Tot_M3_15_24,P_M3_Tot_M3_25_34,P_M3_Tot_M3_35_44,P_M3_Tot_M3_45_54,P_M3_Tot_M3_55_64,P_M3_Tot_M3_65_74,P_M3_Tot_M3_75ov,P_M3_Tot_M3_Tot,P_Wkd_at_home_15_24,P_Wkd_at_home_25_34,P_Wkd_at_home_35_44,P_Wkd_at_home_45_54,P_Wkd_at_home_55_64,P_Wkd_at_home_65_74,P_Wkd_at_home_75ov,P_Wkd_at_home_Tot,P_Did_not_go_to_work_15_24,P_Did_not_go_to_work_25_34,P_Did_not_go_to_work_35_44,P_Did_not_go_to_work_45_54,P_Did_not_go_to_work_55_64,P_Did_not_go_to_work_65_74,P_Did_not_go_to_work_75ov,P_Did_not_go_to_work_Tot,P_MT_NS_15_24,P_MT_NS_25_34,P_MT_NS_35_44,P_MT_NS_45_54,P_MT_NS_55_64,P_MT_NS_65_74,P_MT_NS_75ov,P_MT_NS_Tot,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75ov,P_Tot_Tot
10102,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,5,3,0,0,0,0,7,20,107,188,253,245,174,51,1046,354,226,211,218,206,79,16,1312,35,34,26,27,24,6,7,150,2412,3112,3003,3238,2340,700,140,14949
10103,20,8,0,0,3,0,0,31,0,0,0,0,0,0,0,3,3,3,0,0,3,0,0,6,22,9,3,6,3,0,0,43,32,70,126,189,199,140,58,821,197,189,135,149,194,66,12,937,25,8,27,21,20,14,9,123,1778,1814,1640,2069,1642,581,126,9656
10104,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,11,0,0,0,4,6,0,0,14,22,103,280,377,538,323,84,1722,521,396,422,586,747,216,19,2897,76,48,45,53,61,31,19,333,2999,3235,4345,6013,5756,1419,212,23975
10105,0,6,4,0,0,0,0,14,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,6,9,0,3,0,0,18,23,72,121,169,215,181,55,836,268,265,200,240,202,70,17,1269,21,29,13,25,22,8,4,121,1851,2496,2396,2767,2141,650,131,12425
10106,3,0,3,0,3,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,8,0,0,5,0,3,0,0,17,27,67,157,234,262,222,83,1046,138,156,161,154,148,65,9,818,16,19,27,20,19,9,0,108,1166,1524,1794,2006,1602,657,149,8897
10201,21,15,9,16,12,3,0,82,8,3,0,3,3,0,0,18,0,0,3,3,0,0,0,7,27,23,18,22,21,3,0,104,96,422,1027,1033,845,461,77,3962,1653,1237,1086,1095,1139,334,43,6585,116,93,97,123,84,47,32,592,9491,10493,11883,13540,10395,2401,281,58479
10202,18,11,7,10,3,3,0,53,8,3,0,0,0,0,0,11,4,0,4,3,0,0,0,12,20,17,14,11,6,3,0,72,72,300,612,636,546,227,41,2434,1346,949,880,882,870,222,27,5162,129,88,77,91,78,29,18,511,8092,8685,9490,10427,7659,1603,175,46120
10301,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,9,10,5,0,0,0,0,0,16,32,102,174,212,245,216,68,1046,548,374,307,298,345,112,22,2008,52,38,42,42,33,22,9,236,3220,3757,3823,4233,3350,1005,174,19570
10302,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3,0,3,4,0,7,0,20,5,4,3,3,0,7,0,27,56,186,356,483,612,427,188,2306,377,376,282,377,368,135,32,1948,67,43,40,60,52,37,31,330,2907,3586,3943,4693,4130,1433,450,21138
10303,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,7,0,0,0,3,3,3,0,12,30,97,170,241,284,248,82,1146,323,412,364,398,344,114,9,1969,62,31,41,42,33,23,17,240,2250,3194,3470,4149,3190,913,217,17386
