SA3_CODE_2016,F_EWFT_25_29_OM_UIE,F_EWFT_25_29_CFW,F_EWFT_25_29_ES_NS,F_EWFT_25_29_Tot,F_EWFT_30_34_E,F_EWFT_30_34_OM_IE,F_EWFT_30_34_OM_UIE,F_EWFT_30_34_CFW,F_EWFT_30_34_ES_NS,F_EWFT_30_34_Tot,F_EWFT_35_39_E,F_EWFT_35_39_OM_IE,F_EWFT_35_39_OM_UIE,F_EWFT_35_39_CFW,F_EWFT_35_39_ES_NS,F_EWFT_35_39_Tot,F_EWFT_40_44_E,F_EWFT_40_44_OM_IE,F_EWFT_40_44_OM_UIE,F_EWFT_40_44_CFW,F_EWFT_40_44_ES_NS,F_EWFT_40_44_Tot,F_EWFT_45_49_E,F_EWFT_45_49_OM_IE,F_EWFT_45_49_OM_UIE,F_EWFT_45_49_CFW,F_EWFT_45_49_ES_NS,F_EWFT_45_49_Tot,F_EWFT_50_54_E,F_EWFT_50_54_OM_IE,F_EWFT_50_54_OM_UIE,F_EWFT_50_54_CFW,F_EWFT_50_54_ES_NS,F_EWFT_50_54_Tot,F_EWFT_55_59_E,F_EWFT_55_59_OM_IE,F_EWFT_55_59_OM_UIE,F_EWFT_55_59_CFW,F_EWFT_55_59_ES_NS,F_EWFT_55_59_Tot,F_EWFT_60_64_E,F_EWFT_60_64_OM_IE,F_EWFT_60_64_OM_UIE,F_EWFT_60_64_CFW,F_EWFT_60_64_ES_NS,F_EWFT_60_64_Tot,F_EWFT_65_69_E,F_EWFT_65_69_OM_IE,F_EWFT_65_69_OM_UIE,F_EWFT_65_69_CFW,F_EWFT_65_69_ES_NS,F_EWFT_65_69_Tot,F_EWFT_70_74_E,F_EWFT_70_74_OM_IE,F_EWFT_70_74_OM_UIE,F_EWFT_70_74_CFW,F_EWFT_70_74_ES_NS,F_EWFT_70_74_Tot,F_EWFT_75ov_E,F_EWFT_75ov_OM_IE,F_EWFT_75ov_OM_UIE,F_EWFT_75ov_CFW,F_EWFT_75ov_ES_NS,F_EWFT_75ov_Tot,F_EWFT_Tot_E,F_EWFT_Tot_OM_IE,F_EWFT_Tot_OM_UIE,F_EWFT_Tot_CFW,F_EWFT_Tot_ES_NS,F_EWFT_Tot_Tot,F_EWPT_15_19_E,F_EWPT_15_19_OM_IE,F_EWPT_15_19_OM_UIE,F_EWPT_15_19_CFW,F_EWPT_15_19_ES_NS,F_EWPT_15_19_Tot,F_EWPT_20_24_E,F_EWPT_20_24_OM_IE,F_EWPT_20_24_OM_UIE,F_EWPT_20_24_CFW,F_EWPT_20_24_ES_NS,F_EWPT_20_24_Tot,F_EWPT_25_29_E,F_EWPT_25_29_OM_IE,F_EWPT_25_29_OM_UIE,F_EWPT_25_29_CFW,F_EWPT_25_29_ES_NS,F_EWPT_25_29_Tot,F_EWPT_30_34_E,F_EWPT_30_34_OM_IE,F_EWPT_30_34_OM_UIE,F_EWPT_30_34_CFW,F_EWPT_30_34_ES_NS,F_EWPT_30_34_Tot,F_EWPT_35_39_E,F_EWPT_35_39_OM_IE,F_EWPT_35_39_OM_UIE,F_EWPT_35_39_CFW,F_EWPT_35_39_ES_NS,F_EWPT_35_39_Tot,F_EWPT_40_44_E,F_EWPT_40_44_OM_IE,F_EWPT_40_44_OM_UIE,F_EWPT_40_44_CFW,F_EWPT_40_44_ES_NS,F_EWPT_40_44_Tot,F_EWPT_45_49_E,F_EWPT_45_49_OM_IE,F_EWPT_45_49_OM_UIE,F_EWPT_45_49_CFW,F_EWPT_45_49_ES_NS,F_EWPT_45_49_Tot,F_EWPT_50_54_E,F_EWPT_50_54_OM_IE,F_EWPT_50_54_OM_UIE,F_EWPT_50_54_CFW,F_EWPT_50_54_ES_NS,F_EWPT_50_54_Tot,F_EWPT_55_59_E,F_EWPT_55_59_OM_IE,F_EWPT_55_59_OM_UIE,F_EWPT_55_59_CFW,F_EWPT_55_59_ES_NS,F_EWPT_55_59_Tot,F_EWPT_60_64_E,F_EWPT_60_64_OM_IE,F_EWPT_60_64_OM_UIE,F_EWPT_60_64_CFW,F_EWPT_60_64_ES_NS,F_EWPT_60_64_Tot,F_EWPT_65_69_E,F_EWPT_65_69_OM_IE,F_EWPT_65_69_OM_UIE,F_EWPT_65_69_CFW,F_EWPT_65_69_ES_NS,F_EWPT_65_69_Tot,F_EWPT_70_74_E,F_EWPT_70_74_OM_IE,F_EWPT_70_74_OM_UIE,F_EWPT_70_74_CFW,F_EWPT_70_74_ES_NS,F_EWPT_70_74_Tot,F_EWPT_75ov_E,F_EWPT_75ov_OM_IE,F_EWPT_75ov_OM_UIE,F_EWPT_75ov_CFW,F_EWPT_75ov_ES_NS,F_EWPT_75ov_Tot,F_EWPT_Tot_E,F_EWPT_Tot_OM_IE,F_EWPT_Tot_OM_UIE,F_EWPT_Tot_CFW,F_EWPT_Tot_ES_NS,F_EWPT_Tot_Tot,F_EAFW_E,F_EAFW_OM_IE,F_EAFW_OM_UIE,F_EAFW_CFW,F_EAFW_ES_NS,F_EAFW_Tot,F_H_NS_E,F_H_NS_OM_IE,F_H_NS_OM_UIE,F_H_NS_CFW,F_H_NS_ES_NS,F_H_NS_Tot,F_Tot_E,F_Tot_OM_IE,F_Tot_OM_UIE,F_Tot_CFW,F_Tot_ES_NS,F_Tot_Tot,P_EWFT_15_19_E,P_EWFT_15_19_OM_IE,P_EWFT_15_19_OM_UIE,P_EWFT_15_19_CFW,P_EWFT_15_19_ES_NS,P_EWFT_15_19_Tot,P_EWFT_20_24_E,P_EWFT_20_24_OM_IE,P_EWFT_20_24_OM_UIE,P_EWFT_20_24_CFW,P_EWFT_20_24_ES_NS,P_EWFT_20_24_Tot,P_EWFT_25_29_E,P_EWFT_25_29_OM_IE,P_EWFT_25_29_OM_UIE,P_EWFT_25_29_CFW,P_EWFT_25_29_ES_NS,P_EWFT_25_29_Tot,P_EWFT_30_34_E,P_EWFT_30_34_OM_IE,P_EWFT_30_34_OM_UIE,P_EWFT_30_34_CFW,P_EWFT_30_34_ES_NS,P_EWFT_30_34_Tot,P_EWFT_35_39_E,P_EWFT_35_39_OM_IE,P_EWFT_35_39_OM_UIE,P_EWFT_35_39_CFW
10102,11,0,0,335,248,15,19,9,0,285,268,17,17,3,3,305,296,25,18,3,0,350,315,42,51,10,3,424,309,38,49,4,4,406,234,26,26,13,3,304,147,14,20,14,0,197,35,10,18,11,4,74,8,5,3,3,0,22,3,0,3,3,0,13,2505,189,248,72,24,3032,407,0,3,4,0,415,232,0,7,0,0,235,189,4,10,3,0,201,182,15,26,3,3,225,193,21,26,13,0,245,257,21,34,12,4,319,232,31,30,17,5,313,217,23,28,8,0,274,221,12,35,12,0,280,150,15,34,11,0,213,59,8,21,18,0,107,22,5,10,14,0,53,4,3,4,14,0,23,2357,151,262,122,12,2907,213,9,12,5,4,248,71,6,3,4,10,98,5143,357,531,201,58,6280,248,3,0,0,7,257,795,20,19,3,7,837,1078,52,45,4,3,1179,917,88,58,11,5,1089,831,115,70,4
10103,12,3,0,293,174,14,9,0,0,199,125,12,20,6,0,169,192,21,31,5,0,252,211,35,37,15,0,290,241,41,29,11,3,328,161,19,35,9,3,222,70,16,26,5,3,123,34,12,11,10,0,72,5,4,10,6,0,34,3,0,3,3,0,16,1926,179,238,81,15,2433,202,0,0,0,3,211,175,0,3,0,0,184,147,0,6,4,0,158,145,3,3,3,4,156,151,10,16,7,0,183,143,15,22,4,0,184,171,13,14,8,0,207,173,9,23,7,0,204,159,8,17,8,0,191,108,10,21,7,3,147,52,7,13,9,4,84,22,0,8,14,0,45,10,0,8,3,5,16,1668,77,138,77,23,1983,125,6,10,10,7,153,69,3,16,12,9,107,3780,259,401,181,47,4671,234,0,0,0,0,234,721,4,8,3,3,751,680,9,21,11,6,721,450,24,48,4,3,527,342,40,50,12
10104,17,4,7,350,291,18,25,3,0,333,307,17,38,13,6,379,458,53,65,6,3,586,581,48,85,15,6,737,597,56,86,21,10,769,550,44,87,17,10,707,289,24,55,9,9,390,57,19,20,11,3,117,5,6,15,9,0,31,10,0,5,3,0,17,3881,295,506,109,50,4848,640,0,3,3,10,657,328,0,7,0,5,344,325,3,13,11,3,356,431,12,27,9,3,483,487,25,56,20,0,596,542,27,65,23,7,665,605,26,75,21,10,728,759,32,82,18,6,902,775,43,91,26,8,947,545,32,99,44,8,722,195,24,55,17,0,297,42,14,31,14,0,97,16,0,13,3,0,27,5689,248,606,207,61,6815,497,22,53,17,10,599,147,5,22,23,37,229,10211,577,1176,355,161,12488,317,0,3,0,6,322,708,11,41,4,4,761,777,15,58,4,10,862,821,55,102,3,3,990,810,97,128,21
10105,14,0,0,349,249,3,7,0,0,271,224,14,17,5,0,255,282,14,31,3,0,332,335,21,28,0,4,383,335,13,45,17,0,412,252,17,23,15,3,307,155,11,11,5,0,190,44,8,12,9,0,75,10,3,7,8,0,28,3,0,3,9,0,13,2509,109,203,74,14,2914,303,0,0,0,7,313,227,0,6,0,0,230,196,3,3,5,4,212,242,15,17,7,0,281,247,3,22,5,3,284,242,10,23,6,0,289,241,12,18,5,3,282,291,9,22,7,4,339,259,10,20,8,4,302,180,3,18,13,6,213,59,10,20,16,0,108,22,10,4,7,3,48,13,0,9,9,0,26,2529,93,181,92,37,2926,237,8,16,4,5,263,88,0,3,5,10,110,5367,206,401,175,71,6217,177,0,0,0,6,186,589,7,15,0,3,618,758,33,47,0,4,845,667,43,47,8,4,774,600,53,53,4
10106,10,0,0,207,137,6,12,0,0,163,139,19,15,14,3,190,155,18,22,11,5,217,179,26,39,12,0,257,188,14,31,8,0,235,142,18,25,15,0,202,76,15,26,15,0,139,14,10,23,17,0,62,0,0,8,7,0,24,0,0,7,9,0,20,1445,135,230,104,23,1936,134,0,0,3,3,141,162,0,3,8,0,171,96,4,11,4,0,117,139,16,16,4,0,173,171,15,26,10,3,227,172,4,30,14,0,223,184,12,28,19,5,244,183,13,26,11,5,238,156,8,27,8,3,210,94,13,34,17,0,162,53,6,21,18,0,103,16,4,15,15,0,58,4,0,7,8,0,22,1562,92,251,152,20,2078,147,7,25,16,0,197,59,3,14,8,6,87,3210,238,526,277,52,4300,128,0,3,0,0,136,407,5,20,0,0,426,435,21,33,3,0,493,397,45,54,3,0,493,378,65,60,16
10201,41,3,8,1474,999,54,54,7,4,1122,1001,63,87,18,3,1180,1322,120,116,11,10,1578,1581,138,142,22,9,1890,1495,125,127,24,19,1790,1414,107,96,17,14,1642,709,51,50,10,3,831,156,27,21,8,3,211,26,5,16,4,0,55,8,3,3,3,0,17,11570,702,769,131,82,13253,1895,5,8,6,21,1936,1368,3,35,7,8,1419,899,17,60,19,8,1006,1193,39,128,21,6,1398,1337,80,198,33,4,1658,1557,110,205,42,8,1928,1595,113,223,47,18,1992,1526,88,151,25,14,1806,1490,78,161,39,19,1782,986,58,118,33,14,1213,397,57,65,24,7,562,115,24,32,11,0,179,21,12,13,5,0,54,14374,688,1403,322,147,16931,1211,44,64,23,24,1359,344,17,29,25,43,457,27498,1456,2266,500,286,32007,717,4,4,0,7,731,2595,17,53,3,18,2685,3070,92,165,12,17,3352,2724,217,206,15,20,3184,2567,320,269,35
10202,41,4,7,1128,848,43,37,5,3,931,776,64,51,7,8,904,1080,86,84,12,12,1280,1205,97,89,10,10,1425,1173,90,84,15,9,1370,982,63,58,18,9,1135,481,30,39,13,8,574,91,25,11,3,0,131,13,5,5,3,0,32,0,3,0,0,0,6,8826,529,518,106,72,10050,1635,0,4,3,21,1662,1187,0,21,10,13,1223,796,9,61,13,6,888,1016,47,90,26,8,1176,1093,59,115,23,6,1291,1189,55,133,23,6,1408,1132,66,89,30,12,1333,1147,50,94,23,6,1321,1009,59,98,29,13,1210,690,43,84,31,3,846,245,31,46,11,7,336,89,19,17,12,0,136,18,3,6,6,0,35,11247,426,848,234,110,12869,956,20,42,13,20,1046,296,17,20,19,51,403,21324,999,1428,372,254,24372,681,3,0,0,11,695,2024,23,68,4,21,2141,2443,84,150,4,11,2694,2274,211,154,12,11,2661,2104,235,213,16
10301,9,0,3,479,343,25,7,0,0,381,358,20,41,8,0,431,486,21,30,9,4,549,549,50,35,14,8,649,526,31,40,18,10,617,456,29,38,13,6,537,252,14,22,14,0,304,55,6,31,16,3,113,11,3,6,8,0,28,4,0,4,3,0,14,3951,207,276,102,35,4571,537,0,0,3,4,547,515,3,10,6,9,536,323,5,10,8,0,340,377,10,26,3,3,427,361,13,39,14,0,426,425,12,39,9,4,484,374,24,28,8,5,445,343,19,25,17,7,407,349,21,40,14,9,421,252,13,34,8,0,307,105,15,33,16,3,165,38,8,24,10,4,82,6,0,7,4,3,30,4009,143,313,111,44,4616,413,11,10,9,13,455,138,4,14,9,23,193,8508,365,616,235,116,9838,279,0,0,3,0,280,933,12,21,3,11,977,1193,38,61,5,12,1304,1000,101,60,0,8,1168,973,84,108,13
10302,12,3,4,382,288,7,39,7,5,356,313,16,37,11,3,386,394,22,59,23,11,504,455,37,75,28,12,614,453,40,86,27,5,616,355,18,89,38,8,508,207,21,77,38,5,352,60,6,52,28,4,158,5,5,20,22,3,55,10,0,22,21,3,52,3406,202,584,249,59,4502,424,0,3,4,3,437,284,3,8,4,0,299,273,7,15,10,3,306,385,18,29,22,8,462,351,11,53,17,0,433,428,22,49,16,7,525,412,16,40,19,3,491,436,18,61,17,9,534,390,16,57,16,3,480,274,24,68,38,5,408,110,9,39,23,0,184,43,0,27,17,3,86,14,6,26,22,0,76,3836,153,469,225,53,4725,403,16,48,25,9,498,144,5,16,37,38,239,7792,372,1117,539,160,9970,347,4,3,3,9,368,1076,13,40,5,12,1147,1012,29,71,22,10,1137,914,72,141,34,7,1164,893,101,181,33
10303,14,0,0,317,208,3,25,3,0,245,229,18,35,0,3,285,332,26,49,8,9,423,372,39,31,3,6,447,347,39,46,18,4,460,328,33,38,11,3,407,151,19,28,22,0,220,40,5,15,16,0,81,7,7,4,10,0,28,7,3,12,9,3,35,2669,205,305,109,31,3316,330,0,7,8,5,348,233,0,6,3,4,249,244,3,13,7,3,270,328,16,36,15,3,398,325,14,33,7,4,391,413,23,35,9,3,482,441,20,34,13,8,513,423,12,45,16,4,500,380,20,33,15,9,463,226,11,31,21,10,295,89,12,27,17,8,149,37,4,21,17,0,79,5,0,12,8,0,30,3484,130,326,157,59,4162,303,14,28,11,6,359,105,6,6,16,21,155,6565,350,668,287,117,7998,293,3,0,0,0,298,798,10,23,8,12,839,975,31,35,3,9,1053,935,31,63,10,8,1050,861,60,79,4
