SA3_CODE_2016,TaTW_2000_2999_A_45_54,TaTW_2000_2999_A_55_64,TaTW_2000_2999_A_65_74,TaTW_2000_2999_A_75ov,TaTW_2000_2999_Tot,TaTW_3000mo_A_15_19,TaTW_3000mo_A_20_24,TaTW_3000mo_A_25_34,TaTW_3000mo_A_35_44,TaTW_3000mo_A_45_54,TaTW_3000mo_A_55_64,TaTW_3000mo_A_65_74,TaTW_3000mo_A_75ov,TaTW_3000mo_Tot,TaTW_PINS_A_15_19,TaTW_PINS_A_20_24,TaTW_PINS_A_25_34,TaTW_PINS_A_35_44,TaTW_PINS_A_45_54,TaTW_PINS_A_55_64,TaTW_PINS_A_65_74,TaTW_PINS_A_75ov,TaTW_PINS_Tot,TaTW_Tot_A_15_19,TaTW_Tot_A_20_24,TaTW_Tot_A_25_34,TaTW_Tot_A_35_44,TaTW_Tot_A_45_54,TaTW_Tot_A_55_64,TaTW_Tot_A_65_74,TaTW_Tot_A_75ov,TaTW_Tot_Tot,CoPSW_NNI_A_15_19,CoPSW_NNI_A_20_24,CoPSW_NNI_A_25_34,CoPSW_NNI_A_35_44,CoPSW_NNI_A_45_54,CoPSW_NNI_A_55_64,CoPSW_NNI_A_65_74,CoPSW_NNI_A_75ov,CoPSW_NNI_Tot,CoPSW_1_149_A_15_19,CoPSW_1_149_A_20_24,CoPSW_1_149_A_25_34,CoPSW_1_149_A_35_44,CoPSW_1_149_A_45_54,CoPSW_1_149_A_55_64,CoPSW_1_149_A_65_74,CoPSW_1_149_A_75ov,CoPSW_1_149_Tot,CoPSW_150_299_A_15_19,CoPSW_150_299_A_20_24,CoPSW_150_299_A_25_34,CoPSW_150_299_A_35_44,CoPSW_150_299_A_45_54,CoPSW_150_299_A_55_64,CoPSW_150_299_A_65_74,CoPSW_150_299_A_75ov,CoPSW_150_299_Tot,CoPSW_300_399_A_15_19,CoPSW_300_399_A_20_24,CoPSW_300_399_A_25_34,CoPSW_300_399_A_35_44,CoPSW_300_399_A_45_54,CoPSW_300_399_A_55_64,CoPSW_300_399_A_65_74,CoPSW_300_399_A_75ov,CoPSW_300_399_Tot,CoPSW_400_499_A_15_19,CoPSW_400_499_A_20_24,CoPSW_400_499_A_25_34,CoPSW_400_499_A_35_44,CoPSW_400_499_A_45_54,CoPSW_400_499_A_55_64,CoPSW_400_499_A_65_74,CoPSW_400_499_A_75ov,CoPSW_400_499_Tot,CoPSW_500_649_A_15_19,CoPSW_500_649_A_20_24,CoPSW_500_649_A_25_34,CoPSW_500_649_A_35_44,CoPSW_500_649_A_45_54,CoPSW_500_649_A_55_64,CoPSW_500_649_A_65_74,CoPSW_500_649_A_75ov,CoPSW_500_649_Tot,CoPSW_650_799_A_15_19,CoPSW_650_799_A_20_24,CoPSW_650_799_A_25_34,CoPSW_650_799_A_35_44,CoPSW_650_799_A_45_54,CoPSW_650_799_A_55_64,CoPSW_650_799_A_65_74,CoPSW_650_799_A_75ov,CoPSW_650_799_Tot,CoPSW_800_999_A_15_19,CoPSW_800_999_A_20_24,CoPSW_800_999_A_25_34,CoPSW_800_999_A_35_44,CoPSW_800_999_A_45_54,CoPSW_800_999_A_55_64,CoPSW_800_999_A_65_74,CoPSW_800_999_A_75ov,CoPSW_800_999_Tot,CoPSW_1000_1249_A_15_19,CoPSW_1000_1249_A_20_24,CoPSW_1000_1249_A_25_34,CoPSW_1000_1249_A_35_44,CoPSW_1000_1249_A_45_54,CoPSW_1000_1249_A_55_64,CoPSW_1000_1249_A_65_74,CoPSW_1000_1249_A_75ov,CoPSW_1000_1249_Tot,CoPSW_1250_1499_A_15_19,CoPSW_1250_1499_A_20_24,CoPSW_1250_1499_A_25_34,CoPSW_1250_1499_A_35_44,CoPSW_1250_1499_A_45_54,CoPSW_1250_1499_A_55_64,CoPSW_1250_1499_A_65_74,CoPSW_1250_1499_A_75ov,CoPSW_1250_1499_Tot,CoPSW_1500_1749_A_15_19,CoPSW_1500_1749_A_20_24,CoPSW_1500_1749_A_25_34,CoPSW_1500_1749_A_35_44,CoPSW_1500_1749_A_45_54,CoPSW_1500_1749_A_55_64,CoPSW_1500_1749_A_65_74,CoPSW_1500_1749_A_75ov,CoPSW_1500_1749_Tot,CoPSW_1750_1999_A_15_19,CoPSW_1750_1999_A_20_24,CoPSW_1750_1999_A_25_34,CoPSW_1750_1999_A_35_44,CoPSW_1750_1999_A_45_54,CoPSW_1750_1999_A_55_64,CoPSW_1750_1999_A_65_74,CoPSW_1750_1999_A_75ov,CoPSW_1750_1999_Tot,CoPSW_2000_2999_A_15_19,CoPSW_2000_2999_A_20_24,CoPSW_2000_2999_A_25_34,CoPSW_2000_2999_A_35_44,CoPSW_2000_2999_A_45_54,CoPSW_2000_2999_A_55_64,CoPSW_2000_2999_A_65_74,CoPSW_2000_2999_A_75ov,CoPSW_2000_2999_Tot,CoPSW_3000mo_A_15_19,CoPSW_3000mo_A_20_24,CoPSW_3000mo_A_25_34,CoPSW_3000mo_A_35_44,CoPSW_3000mo_A_45_54,CoPSW_3000mo_A_55_64,CoPSW_3000mo_A_65_74,CoPSW_3000mo_A_75ov,CoPSW_3000mo_Tot,CoPSW_PINS_A_15_19,CoPSW_PINS_A_20_24,CoPSW_PINS_A_25_34,CoPSW_PINS_A_35_44,CoPSW_PINS_A_45_54,CoPSW_PINS_A_55_64,CoPSW_PINS_A_65_74,CoPSW_PINS_A_75ov,CoPSW_PINS_Tot,CoPSW_Tot_A_15_19,CoPSW_Tot_A_20_24,CoPSW_Tot_A_25_34,CoPSW_Tot_A_35_44,CoPSW_Tot_A_45_54,CoPSW_Tot_A_55_64,CoPSW_Tot_A_65_74,CoPSW_Tot_A_75ov,CoPSW_Tot_Tot,ClAW_NNI_A_15_19,ClAW_NNI_A_20_24,ClAW_NNI_A_25_34,ClAW_NNI_A_35_44,ClAW_NNI_A_45_54,ClAW_NNI_A_55_64,ClAW_NNI_A_65_74,ClAW_NNI_A_75ov,ClAW_NNI_Tot,ClAW_1_149_A_15_19,ClAW_1_149_A_20_24,ClAW_1_149_A_25_34,ClAW_1_149_A_35_44,ClAW_1_149_A_45_54,ClAW_1_149_A_55_64,ClAW_1_149_A_65_74,ClAW_1_149_A_75ov,ClAW_1_149_Tot,ClAW_150_299_A_15_19,ClAW_150_299_A_20_24,ClAW_150_299_A_25_34,ClAW_150_299_A_35_44,ClAW_150_299_A_45_54,ClAW_150_299_A_55_64
10102,53,24,0,0,166,0,0,9,13,8,9,0,0,37,4,7,11,6,3,6,0,0,38,160,375,742,551,483,299,74,12,2689,10,3,0,0,0,0,0,0,14,103,8,4,7,4,3,0,0,133,35,36,16,12,12,14,0,0,130,15,25,16,14,29,11,0,0,110,12,21,19,19,16,10,4,0,113,5,32,43,25,20,23,4,0,163,9,35,66,48,40,19,6,0,214,6,37,71,42,47,24,0,0,223,3,12,38,40,38,15,9,0,150,0,12,32,27,20,9,0,0,93,0,3,23,23,24,5,0,0,85,0,0,7,22,16,13,0,0,65,0,0,21,31,31,8,0,0,87,0,0,0,0,12,0,0,0,17,7,3,0,3,0,0,5,0,17,207,225,368,319,320,150,32,0,1618,3,0,4,0,3,5,4,0,14,8,4,3,3,9,3,0,0,36,10,7,8,13,9,10
10103,13,4,0,0,43,0,0,3,3,3,0,0,0,9,0,4,3,12,3,8,3,0,27,69,176,307,236,230,149,45,4,1212,8,3,0,0,0,3,0,0,19,51,5,4,0,3,3,0,0,66,16,26,12,7,5,9,4,0,77,18,24,19,9,12,13,3,0,97,18,35,26,19,16,10,0,0,123,18,73,72,34,33,21,0,4,258,14,89,68,45,41,25,3,0,286,3,54,63,22,29,36,10,0,223,0,13,35,21,14,21,4,0,107,0,4,9,16,17,14,3,0,58,0,0,14,10,9,15,0,0,47,0,0,4,19,14,5,0,0,45,0,0,5,7,13,9,0,0,42,0,5,3,0,0,5,0,0,14,3,4,7,0,0,3,0,0,18,148,324,343,211,215,199,36,6,1485,0,0,3,3,3,0,0,0,13,3,0,3,0,3,9,0,0,21,3,0,0,4,6,6
10104,18,15,0,0,73,0,0,0,5,4,0,0,0,19,3,10,3,14,11,20,0,0,66,208,345,634,632,764,641,109,19,3345,5,0,0,0,3,0,0,0,13,132,13,4,8,11,8,0,0,177,46,25,28,31,36,26,9,0,204,24,32,42,42,48,43,14,0,243,16,38,67,51,74,73,13,0,334,23,57,85,91,133,113,27,0,529,8,53,96,76,145,116,23,0,520,0,30,60,97,120,127,7,0,449,0,3,36,52,74,66,4,0,236,0,3,14,18,36,30,3,0,108,0,0,8,16,23,25,0,0,70,0,0,18,28,30,6,0,0,82,0,0,5,25,44,22,4,0,97,0,3,6,3,5,0,0,0,15,3,4,3,6,10,9,5,0,48,258,261,478,548,780,678,105,4,3116,0,0,0,3,3,12,3,0,18,8,3,4,6,13,22,7,0,73,3,7,10,18,27,32
10105,26,11,0,0,75,0,4,5,8,6,0,0,0,27,4,0,11,8,6,0,0,0,32,95,245,404,314,314,179,59,5,1611,3,3,3,0,3,0,0,0,12,45,8,3,3,11,0,0,0,75,26,19,7,22,8,15,0,0,95,24,21,16,7,16,12,3,0,96,17,26,23,25,26,22,3,0,135,16,42,63,35,35,27,10,0,228,11,22,58,50,54,32,8,0,240,3,23,60,30,64,50,3,0,230,0,19,52,35,44,36,0,0,179,0,6,24,20,27,17,0,0,92,0,0,16,15,19,5,3,0,60,0,0,5,22,21,9,0,0,58,0,0,6,33,28,11,0,0,87,0,0,0,0,4,0,0,0,12,0,3,3,0,10,3,3,0,18,143,186,337,313,362,242,31,0,1612,0,0,4,0,0,5,0,0,11,11,3,3,9,3,3,3,0,35,0,0,7,5,7,11
10106,13,7,0,0,48,0,0,0,3,7,0,0,0,13,3,0,3,4,0,3,0,0,16,67,159,286,216,227,168,42,3,1168,3,0,0,0,0,0,0,0,4,31,0,3,0,3,0,0,0,44,15,4,9,9,3,8,0,0,51,11,22,13,10,13,9,3,0,78,3,11,10,24,17,15,0,0,84,10,25,29,29,28,25,9,0,147,8,21,32,32,32,21,0,0,157,0,15,25,28,33,28,4,0,132,0,9,17,16,28,7,0,0,80,0,3,5,5,5,3,0,0,23,0,0,7,11,13,6,3,0,37,0,0,7,5,5,3,0,0,25,0,0,4,9,8,7,0,0,26,0,0,0,0,0,0,0,0,0,0,3,0,3,0,7,3,0,14,87,121,168,176,184,138,23,3,902,0,0,0,3,0,0,0,0,13,3,3,3,3,6,3,0,0,27,0,4,11,12,8,6
10201,94,47,11,0,296,0,0,8,14,21,10,3,0,60,9,21,20,27,21,14,3,0,123,409,1031,1838,1533,1510,1081,202,19,7628,19,0,7,10,10,0,0,0,39,358,60,24,39,23,12,5,0,526,146,151,63,77,63,36,9,0,549,90,142,101,95,89,77,13,0,605,81,139,134,124,141,101,16,3,733,38,240,226,223,263,185,28,0,1203,26,211,265,196,264,196,45,0,1201,10,103,226,208,273,203,26,0,1062,4,39,128,133,192,131,8,0,637,0,12,71,68,85,60,13,0,315,0,3,59,93,92,58,10,0,313,0,0,24,62,53,32,0,0,166,0,3,21,45,48,33,0,0,147,0,0,3,6,9,5,0,0,22,22,16,27,13,21,15,0,0,118,789,1115,1386,1401,1637,1138,173,6,7641,3,0,10,11,20,8,8,0,60,56,8,23,34,20,18,8,0,158,28,24,46,72,55,53
10202,76,56,3,0,258,0,5,11,22,27,16,0,0,78,19,14,18,18,21,18,7,0,117,420,795,1464,1390,1321,899,149,13,6451,11,3,4,4,3,3,0,0,22,216,39,20,19,18,8,0,0,323,112,102,42,52,51,35,3,0,397,59,125,86,83,63,46,16,0,480,44,122,109,91,104,87,15,0,587,38,192,207,160,201,147,24,0,971,25,149,219,199,240,153,16,3,1012,5,92,180,162,229,159,23,0,855,0,34,106,113,158,123,19,0,545,0,15,51,68,65,57,7,0,259,0,9,51,48,73,44,3,0,228,0,0,27,44,50,25,0,0,149,0,0,13,38,58,12,0,0,123,0,3,3,3,10,3,0,0,26,8,13,21,14,23,19,3,0,97,529,894,1142,1114,1347,913,131,10,6076,0,3,11,8,7,18,0,0,48,19,5,9,25,17,12,10,0,101,21,20,32,44,35,45
10301,30,13,0,0,131,0,0,5,6,3,5,0,0,22,4,11,8,8,7,5,0,0,49,166,366,697,529,457,328,73,17,2633,5,3,0,3,3,0,0,0,19,79,39,10,10,0,3,0,0,146,48,73,31,22,11,13,11,0,201,32,66,38,16,12,13,4,0,181,20,69,45,31,29,25,13,0,235,17,83,76,50,59,47,5,0,340,6,68,72,67,71,41,8,0,332,3,47,84,47,89,52,13,0,328,0,18,64,50,58,40,10,0,251,0,14,30,26,47,27,3,0,143,0,3,30,48,53,26,6,0,165,0,0,16,30,46,24,5,0,119,0,0,15,35,43,8,0,0,107,0,0,0,0,0,3,0,0,6,4,3,5,0,4,7,4,0,31,224,482,524,440,525,338,76,4,2614,0,3,4,3,3,5,3,0,24,8,6,7,3,3,0,0,0,23,4,11,12,18,10,10
10302,32,26,0,0,138,0,0,3,5,7,3,4,0,28,4,3,13,18,3,13,0,0,56,181,386,564,499,498,432,94,18,2666,7,0,3,4,0,0,0,0,20,66,4,4,9,11,6,3,0,104,22,23,26,16,15,20,5,0,129,14,24,23,28,31,27,8,0,158,17,38,50,36,49,30,10,0,231,13,46,87,59,70,50,13,0,335,5,59,86,68,79,54,6,3,351,3,21,48,49,88,55,8,5,284,0,7,35,30,52,40,0,0,172,0,6,20,19,19,15,0,0,84,0,3,27,14,12,5,0,0,61,0,0,24,23,12,7,0,0,61,0,0,9,24,27,8,0,0,66,0,0,0,7,3,9,0,0,15,0,3,6,4,4,3,3,0,24,157,242,452,388,473,327,54,12,2098,0,0,5,3,3,7,4,0,16,10,0,9,4,4,10,0,0,43,10,0,18,19,23,20
10303,88,50,6,0,398,0,8,75,67,63,36,3,0,251,6,6,19,10,11,4,0,0,51,153,362,734,547,580,397,94,15,2876,3,0,3,0,0,0,0,0,12,61,11,8,13,0,6,0,0,98,27,17,20,13,16,15,0,0,105,19,12,34,26,35,26,7,0,152,15,22,29,34,49,26,6,0,185,12,36,45,64,63,65,10,0,295,21,51,63,53,69,47,19,0,326,15,24,55,49,53,39,6,0,234,3,16,37,31,38,37,9,0,169,0,4,20,13,13,6,0,0,69,0,3,25,16,21,17,3,0,77,0,0,21,25,35,16,0,0,94,0,0,4,25,30,7,3,0,78,0,0,3,0,3,0,0,0,8,0,0,0,3,8,3,0,0,13,176,204,358,379,424,309,59,0,1914,0,0,0,0,3,3,3,0,16,6,0,3,8,3,4,0,0,28,3,4,15,17,20,23
