SA3_CODE_2016,SG_400_499_Mng,SG_400_499_Pro,SG_400_499_TecTW,SG_400_499_CoPSW,SG_400_499_ClAW,SG_400_499_SWks,SG_400_499_MaOpDv,SG_400_499_Lab,SG_400_499_IDNS,SG_400_499_Tot,SG_500_649_Mng,SG_500_649_Pro,SG_500_649_TecTW,SG_500_649_CoPSW,SG_500_649_ClAW,SG_500_649_SWks,SG_500_649_MaOpDv,SG_500_649_Lab,SG_500_649_IDNS,SG_500_649_Tot,SG_650_799_Mng,SG_650_799_Pro,SG_650_799_TecTW,SG_650_799_CoPSW,SG_650_799_ClAW,SG_650_799_SWks,SG_650_799_MaOpDv,SG_650_799_Lab,SG_650_799_IDNS,SG_650_799_Tot,SG_800_999_Mng,SG_800_999_Pro,SG_800_999_TecTW,SG_800_999_CoPSW,SG_800_999_ClAW,SG_800_999_SWks,SG_800_999_MaOpDv,SG_800_999_Lab,SG_800_999_IDNS,SG_800_999_Tot,SG_1000_1249_Mng,SG_1000_1249_Pro,SG_1000_1249_TecTW,SG_1000_1249_CoPSW,SG_1000_1249_ClAW,SG_1000_1249_SWks,SG_1000_1249_MaOpDv,SG_1000_1249_Lab,SG_1000_1249_IDNS,SG_1000_1249_Tot,SG_1250_1499_Mng,SG_1250_1499_Pro,SG_1250_1499_TecTW,SG_1250_1499_CoPSW,SG_1250_1499_ClAW,SG_1250_1499_SWks,SG_1250_1499_MaOpDv,SG_1250_1499_Lab,SG_1250_1499_IDNS,SG_1250_1499_Tot,SG_1500_1749_Mng,SG_1500_1749_Pro,SG_1500_1749_TecTW,SG_1500_1749_CoPSW,SG_1500_1749_ClAW,SG_1500_1749_SWks,SG_1500_1749_MaOpDv,SG_1500_1749_Lab,SG_1500_1749_IDNS,SG_1500_1749_Tot,SG_1750_1999_Mng,SG_1750_1999_Pro,SG_1750_1999_TecTW,SG_1750_1999_CoPSW,SG_1750_1999_ClAW,SG_1750_1999_SWks,SG_1750_1999_MaOpDv,SG_1750_1999_Lab,SG_1750_1999_IDNS,SG_1750_1999_Tot,SG_2000_2999_Mng,SG_2000_2999_Pro,SG_2000_2999_TecTW,SG_2000_2999_CoPSW,SG_2000_2999_ClAW,SG_2000_2999_SWks,SG_2000_2999_MaOpDv,SG_2000_2999_Lab,SG_2000_2999_IDNS,SG_2000_2999_Tot,SG_3000mo_Mng,SG_3000mo_Pro,SG_3000mo_TecTW,SG_3000mo_CoPSW,SG_3000mo_ClAW,SG_3000mo_SWks,SG_3000mo_MaOpDv,SG_3000mo_Lab,SG_3000mo_IDNS,SG_3000mo_Tot,SG_PINS_Mng,SG_PINS_Pro,SG_PINS_TecTW,SG_PINS_CoPSW,SG_PINS_ClAW,SG_PINS_SWks,SG_PINS_MaOpDv,SG_PINS_Lab,SG_PINS_IDNS,SG_PINS_Tot,SG_Tot_Mng,SG_Tot_Pro,SG_Tot_TecTW,SG_Tot_CoPSW,SG_Tot_ClAW,SG_Tot_SWks,SG_Tot_MaOpDv,SG_Tot_Lab,SG_Tot_IDNS,SG_Tot_Tot,LG_NNI_Mng,LG_NNI_Pro,LG_NNI_TecTW,LG_NNI_CoPSW,LG_NNI_ClAW,LG_NNI_SWks,LG_NNI_MaOpDv,LG_NNI_Lab,LG_NNI_IDNS,LG_NNI_Tot,LG_1_149_Mng,LG_1_149_Pro,LG_1_149_TecTW,LG_1_149_CoPSW,LG_1_149_ClAW,LG_1_149_SWks,LG_1_149_MaOpDv,LG_1_149_Lab,LG_1_149_IDNS,LG_1_149_Tot,LG_150_299_Mng,LG_150_299_Pro,LG_150_299_TecTW,LG_150_299_CoPSW,LG_150_299_ClAW,LG_150_299_SWks,LG_150_299_MaOpDv,LG_150_299_Lab,LG_150_299_IDNS,LG_150_299_Tot,LG_300_399_Mng,LG_300_399_Pro,LG_300_399_TecTW,LG_300_399_CoPSW,LG_300_399_ClAW,LG_300_399_SWks,LG_300_399_MaOpDv,LG_300_399_Lab,LG_300_399_IDNS,LG_300_399_Tot,LG_400_499_Mng,LG_400_499_Pro,LG_400_499_TecTW,LG_400_499_CoPSW,LG_400_499_ClAW,LG_400_499_SWks,LG_400_499_MaOpDv,LG_400_499_Lab,LG_400_499_IDNS,LG_400_499_Tot,LG_500_649_Mng,LG_500_649_Pro,LG_500_649_TecTW,LG_500_649_CoPSW,LG_500_649_ClAW,LG_500_649_SWks,LG_500_649_MaOpDv,LG_500_649_Lab,LG_500_649_IDNS,LG_500_649_Tot,LG_650_799_Mng,LG_650_799_Pro,LG_650_799_TecTW,LG_650_799_CoPSW,LG_650_799_ClAW,LG_650_799_SWks,LG_650_799_MaOpDv,LG_650_799_Lab,LG_650_799_IDNS,LG_650_799_Tot,LG_800_999_Mng,LG_800_999_Pro,LG_800_999_TecTW,LG_800_999_CoPSW,LG_800_999_ClAW,LG_800_999_SWks,LG_800_999_MaOpDv,LG_800_999_Lab,LG_800_999_IDNS,LG_800_999_Tot
10304,0,25,3,18,14,0,0,8,0,64,3,38,4,28,42,0,5,23,0,141,3,65,13,52,50,0,9,26,3,220,9,85,15,88,90,0,11,24,0,319,5,235,24,70,149,0,14,18,3,526,5,293,18,51,94,3,3,4,3,468,20,313,22,60,76,0,0,0,4,498,35,307,19,49,39,0,0,0,3,459,149,318,11,46,43,3,0,3,9,581,55,64,3,0,7,0,0,0,0,139,0,14,0,6,0,0,0,0,0,20,295,1774,127,520,609,9,45,126,22,3524,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,3,3,0,0,0,0,10,0,0,0,6,3,0,0,0,0,18,0,0,7,4,0,0,0,3,0,16,3,9,3,14,14,0,3,7,0,42,0,7,5,9,13,3,8,9,0,64,3,12,13,18,19,3,26,18,3,107
10401,0,19,0,20,9,0,0,5,0,52,3,37,3,26,29,0,0,9,3,99,5,49,9,39,31,0,0,26,0,157,3,71,12,56,50,0,3,19,0,218,5,154,16,63,65,0,0,6,0,311,6,121,12,53,67,5,3,5,4,281,11,189,13,72,26,8,4,4,0,310,14,221,4,60,27,0,0,7,0,334,73,115,8,57,26,0,0,6,0,288,19,33,0,4,3,0,0,0,0,54,0,11,0,7,4,0,0,5,0,28,134,1037,82,470,341,16,12,97,14,2203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,3,0,3,0,0,0,0,8,0,0,0,5,0,0,0,0,0,10,0,3,4,7,6,0,0,5,0,28,0,12,4,10,13,0,9,12,0,57,3,4,13,6,21,0,29,29,3,108
10402,4,38,0,35,15,0,0,10,0,110,3,68,3,46,40,0,0,9,0,172,0,100,3,73,62,0,6,23,0,266,3,161,8,81,103,3,11,37,4,403,9,252,10,78,105,0,6,13,3,467,7,319,7,34,52,0,0,4,0,433,19,328,14,54,29,0,0,4,0,435,31,360,3,63,19,3,0,0,0,481,120,202,3,68,28,3,3,0,3,429,23,44,0,3,4,0,0,0,0,74,0,9,0,5,4,0,0,0,3,27,217,1923,62,575,465,16,26,105,14,3405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,0,3,0,5,5,0,0,3,0,20,0,7,4,7,10,0,0,11,0,48,4,4,17,3,16,3,28,31,0,107
10501,0,7,3,9,3,0,0,4,0,25,0,15,0,22,5,0,0,8,0,50,0,26,4,32,23,0,0,9,0,92,3,32,10,46,27,0,0,18,0,128,3,77,0,44,24,0,0,9,0,155,0,85,0,38,14,0,0,7,0,145,9,81,0,42,5,0,0,0,0,148,10,49,0,49,4,0,0,0,0,124,46,48,0,50,11,0,0,3,0,164,13,9,0,4,0,0,0,0,0,23,0,3,0,7,0,0,0,0,0,13,80,440,16,374,119,0,9,59,7,1110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,0,0,0,0,3,0,0,0,3,0,0,0,3,0,13,0,0,0,3,0,0,0,4,0,12,0,3,6,3,6,0,5,8,0,23,4,0,9,4,9,0,14,11,0,58,3,6,20,0,22,0,25,26,3,112
10502,0,5,0,5,4,0,0,0,0,15,0,12,0,20,7,0,0,3,0,42,0,13,3,27,11,0,4,3,0,59,0,19,3,41,30,0,0,8,0,107,3,82,6,39,37,0,0,7,3,180,0,94,7,27,27,6,8,3,0,174,10,96,12,49,16,0,3,4,0,186,9,83,5,48,5,0,0,0,3,158,43,75,3,46,6,0,0,0,0,175,7,13,0,4,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,7,79,510,43,313,139,9,21,46,12,1157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4,0,3,0,0,0,6,0,0,0,0,0,3,0,3,0,3,4,0,0,0,0,19,0,0,0,10,11,0,8,9,0,40
10503,0,13,6,32,17,0,0,10,0,79,0,46,3,47,31,9,0,11,0,145,0,67,8,99,85,3,7,27,5,301,6,109,27,105,95,0,13,24,0,384,13,246,31,132,144,3,14,25,6,609,11,271,27,84,89,3,11,8,0,491,34,304,23,125,60,3,6,3,3,547,49,354,14,110,35,0,0,3,4,575,129,264,7,107,34,4,4,3,3,555,33,52,0,8,0,0,0,0,0,99,0,17,0,12,8,0,0,0,0,35,279,1769,137,894,603,20,56,119,32,3915,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,3,0,9,0,0,0,3,5,0,0,3,0,9,0,3,5,8,0,0,0,3,0,20,7,3,0,8,7,0,0,11,0,38,0,0,8,18,19,0,12,16,3,78,3,7,20,8,35,3,45,19,0,148
10601,0,23,3,24,15,0,0,12,0,72,0,52,7,63,27,0,0,16,0,168,0,74,4,75,39,0,3,17,0,216,4,112,12,79,55,3,3,32,0,299,4,205,15,101,56,0,3,13,0,401,6,176,12,72,28,0,4,9,0,312,16,196,17,120,16,0,0,8,3,369,17,219,11,82,9,0,0,0,0,335,85,122,12,65,8,0,0,0,0,295,7,8,0,5,0,0,0,0,0,26,0,18,0,3,14,0,0,3,0,43,150,1234,96,760,271,4,22,122,9,2673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,0,6,0,0,3,0,4,0,0,9,0,19,0,0,3,0,6,0,0,0,0,10,0,0,0,5,16,0,0,6,0,26,0,3,3,3,16,0,9,20,0,53,0,16,9,3,29,0,19,20,0,94
10602,0,18,0,25,14,0,3,4,0,69,0,32,4,32,34,0,4,10,0,117,7,81,0,60,49,4,4,14,0,220,4,127,15,57,109,0,9,15,0,342,3,215,18,48,127,6,5,10,3,432,11,278,17,45,119,4,4,11,0,497,15,231,28,64,56,3,0,0,9,410,20,265,16,51,15,0,0,0,4,371,64,202,16,58,24,0,0,0,4,375,31,40,6,4,0,0,0,0,0,83,5,9,0,5,3,0,0,0,0,25,157,1541,137,501,576,16,29,67,22,3057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,3,0,0,0,0,13,0,0,0,0,13,0,0,5,0,8,0,0,0,0,16,0,7,3,3,11,0,3,9,0,36,0,7,13,0,15,0,10,14,3,61
10603,0,14,3,33,10,0,0,6,0,67,3,24,3,25,5,0,0,0,0,65,3,40,4,32,35,0,0,3,0,120,4,48,3,36,21,0,0,6,0,122,4,100,11,33,31,0,0,7,0,185,3,79,16,26,15,0,0,3,0,142,8,122,20,44,10,0,4,3,0,209,12,148,6,42,3,0,0,0,0,208,42,75,4,46,3,0,0,0,0,186,6,4,0,4,0,0,0,0,0,20,3,5,0,0,0,0,0,0,0,11,86,688,72,362,147,5,7,40,6,1410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,7,0,0,0,0,0,0,0,5,0,3,0,3,0,0,6,0,0,3,0,13,0,0,3,0,10,0,0,5,0,23,3,3,3,5,12,0,3,14,0,39,4,9,14,3,20,0,13,15,0,77
10604,0,12,0,16,8,0,0,3,0,42,0,16,3,25,19,0,0,8,0,70,4,35,3,30,15,0,0,8,0,97,0,64,11,28,30,0,3,22,0,150,0,86,7,41,19,0,3,8,0,171,6,90,12,25,19,0,3,0,0,154,7,92,9,28,4,0,0,0,0,150,10,88,3,40,4,0,0,0,0,139,24,58,3,28,4,0,0,0,0,122,5,10,0,0,0,0,0,0,0,21,0,7,0,0,0,0,0,0,0,8,71,574,48,295,126,3,12,56,8,1191,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,12,0,0,0,3,0,0,0,0,0,8,0,0,3,0,0,0,0,0,0,6,0,3,0,0,5,0,0,0,0,8,0,4,4,5,11,0,0,3,0,28,3,0,3,4,4,0,4,9,0,34,3,12,10,6,17,0,21,13,0,85
