SA3_CODE_2016,Tot_Mng,Tot_Pro,Tot_Tech_trds_wks,Tot_Com_persl_svce_wks,Tot_Cler_admin_wks,Tot_Sales_wks,Tot_Mach_ops_dvrs,Tot_Labourers,Tot_IDNS,Tot_Tot
10102,2263,2314,2689,1618,1992,1325,1093,1389,271,14949
10103,1760,1199,1212,1485,979,961,711,1190,156,9656
10104,3151,3989,3345,3116,2945,2880,1260,2907,384,23975
10105,1748,2256,1611,1612,1499,1274,875,1354,191,12425
10106,1878,1365,1168,902,1106,778,549,1006,160,8897
10201,6386,12304,7628,7641,8204,6863,2881,5649,928,58479
10202,4684,7930,6451,6076,6147,5939,3201,4948,744,46120
10301,2555,3564,2633,2614,2362,1986,1291,2244,317,19570
10302,4648,2990,2666,2098,2206,1847,1717,2567,407,21138
10303,2276,2371,2876,1914,1995,1495,2248,1913,295,17386
10304,3400,5074,3513,2696,3288,2233,1844,2644,394,25096
10401,1948,2776,2121,2296,2036,1825,1084,1863,278,16233
10402,4044,6226,3992,4167,4392,3587,1727,3931,547,32611
10501,2151,1242,1206,1066,856,484,1040,1105,198,9355
10502,1047,1278,1057,1144,790,713,738,932,161,7870
10503,4566,4803,3664,3397,3472,2821,1751,3040,466,27976
10601,3560,4215,5577,3919,3051,2874,5242,3606,551,32593
10602,2634,5038,3938,3128,3706,3168,1798,2640,372,26419
10603,3198,3769,5321,3196,2998,2736,2233,2718,478,26644
10604,1814,1863,2474,1237,1335,1054,1653,1909,198,13538
10701,2597,3820,4638,2722,3107,2404,3272,2822,443,25822
10702,9,11,16,8,4,0,17,3,0,58
10703,2364,4018,3097,3465,2612,3290,1144,2184,310,22483
10704,5361,13609,5954,6784,8600,5090,1953,4097,818,52270
10801,1082,1410,1252,1238,1011,1245,477,1096,176,8988
10802,1891,2403,1851,2213,1597,1442,971,2083,295,14753
10803,56,18,36,25,24,11,4,39,11,214
10804,3127,5508,3735,3549,3882,3195,1452,2680,411,27531
10805,2127,3053,2105,2160,1937,1964,1015,2194,266,16815
