SA3_CODE_2016,CL_nfd_400_499_Mng,CL_nfd_400_499_Pro,CL_nfd_400_499_TecTW,CL_nfd_400_499_CoPSW,CL_nfd_400_499_ClAW,CL_nfd_400_499_SWks,CL_nfd_400_499_MaOpDv,CL_nfd_400_499_Lab,CL_nfd_400_499_IDNS,CL_nfd_400_499_Tot,CL_nfd_500_649_Mng,CL_nfd_500_649_Pro,CL_nfd_500_649_TecTW,CL_nfd_500_649_CoPSW,CL_nfd_500_649_ClAW,CL_nfd_500_649_SWks,CL_nfd_500_649_MaOpDv,CL_nfd_500_649_Lab,CL_nfd_500_649_IDNS,CL_nfd_500_649_Tot,CL_nfd_650_799_Mng,CL_nfd_650_799_Pro,CL_nfd_650_799_TecTW,CL_nfd_650_799_CoPSW,CL_nfd_650_799_ClAW,CL_nfd_650_799_SWks,CL_nfd_650_799_MaOpDv,CL_nfd_650_799_Lab,CL_nfd_650_799_IDNS,CL_nfd_650_799_Tot,CL_nfd_800_999_Mng,CL_nfd_800_999_Pro,CL_nfd_800_999_TecTW,CL_nfd_800_999_CoPSW,CL_nfd_800_999_ClAW,CL_nfd_800_999_SWks,CL_nfd_800_999_MaOpDv,CL_nfd_800_999_Lab,CL_nfd_800_999_IDNS,CL_nfd_800_999_Tot,CL_nfd_1000_1249_Mng,CL_nfd_1000_1249_Pro,CL_nfd_1000_1249_TecTW,CL_nfd_1000_1249_CoPSW,CL_nfd_1000_1249_ClAW,CL_nfd_1000_1249_SWks,CL_nfd_1000_1249_MaOpDv,CL_nfd_1000_1249_Lab,CL_nfd_1000_1249_IDNS,CL_nfd_1000_1249_Tot,CL_nfd_1250_1499_Mng,CL_nfd_1250_1499_Pro,CL_nfd_1250_1499_TecTW,CL_nfd_1250_1499_CoPSW,CL_nfd_1250_1499_ClAW,CL_nfd_1250_1499_SWks,CL_nfd_1250_1499_MaOpDv,CL_nfd_1250_1499_Lab,CL_nfd_1250_1499_IDNS,CL_nfd_1250_1499_Tot,CL_nfd_1500_1749_Mng,CL_nfd_1500_1749_Pro,CL_nfd_1500_1749_TecTW,CL_nfd_1500_1749_CoPSW,CL_nfd_1500_1749_ClAW,CL_nfd_1500_1749_SWks,CL_nfd_1500_1749_MaOpDv,CL_nfd_1500_1749_Lab,CL_nfd_1500_1749_IDNS,CL_nfd_1500_1749_Tot,CL_nfd_1750_1999_Mng,CL_nfd_1750_1999_Pro,CL_nfd_1750_1999_TecTW,CL_nfd_1750_1999_CoPSW,CL_nfd_1750_1999_ClAW,CL_nfd_1750_1999_SWks,CL_nfd_1750_1999_MaOpDv,CL_nfd_1750_1999_Lab,CL_nfd_1750_1999_IDNS,CL_nfd_1750_1999_Tot,CL_nfd_2000_2999_Mng,CL_nfd_2000_2999_Pro,CL_nfd_2000_2999_TecTW,CL_nfd_2000_2999_CoPSW,CL_nfd_2000_2999_ClAW,CL_nfd_2000_2999_SWks,CL_nfd_2000_2999_MaOpDv,CL_nfd_2000_2999_Lab,CL_nfd_2000_2999_IDNS,CL_nfd_2000_2999_Tot,CL_nfd_3000mo_Mng,CL_nfd_3000mo_Pro,CL_nfd_3000mo_TecTW,CL_nfd_3000mo_CoPSW,CL_nfd_3000mo_ClAW,CL_nfd_3000mo_SWks,CL_nfd_3000mo_MaOpDv,CL_nfd_3000mo_Lab,CL_nfd_3000mo_IDNS,CL_nfd_3000mo_Tot,CL_nfd_PINS_Mng,CL_nfd_PINS_Pro,CL_nfd_PINS_TecTW,CL_nfd_PINS_CoPSW,CL_nfd_PINS_ClAW,CL_nfd_PINS_SWks,CL_nfd_PINS_MaOpDv,CL_nfd_PINS_Lab,CL_nfd_PINS_IDNS,CL_nfd_PINS_Tot,CL_nfd_Tot_Mng,CL_nfd_Tot_Pro,CL_nfd_Tot_TecTW,CL_nfd_Tot_CoPSW,CL_nfd_Tot_ClAW,CL_nfd_Tot_SWks,CL_nfd_Tot_MaOpDv,CL_nfd_Tot_Lab,CL_nfd_Tot_IDNS,CL_nfd_Tot_Tot,CIII_IV_NNI_Mng,CIII_IV_NNI_Pro,CIII_IV_NNI_TecTW,CIII_IV_NNI_CoPSW,CIII_IV_NNI_ClAW,CIII_IV_NNI_SWks,CIII_IV_NNI_MaOpDv,CIII_IV_NNI_Lab,CIII_IV_NNI_IDNS,CIII_IV_NNI_Tot,CIII_IV_1_149_Mng,CIII_IV_1_149_Pro,CIII_IV_1_149_TecTW,CIII_IV_1_149_CoPSW,CIII_IV_1_149_ClAW,CIII_IV_1_149_SWks,CIII_IV_1_149_MaOpDv,CIII_IV_1_149_Lab,CIII_IV_1_149_IDNS,CIII_IV_1_149_Tot,CIII_IV_150_299_Mng,CIII_IV_150_299_Pro,CIII_IV_150_299_TecTW,CIII_IV_150_299_CoPSW,CIII_IV_150_299_ClAW,CIII_IV_150_299_SWks,CIII_IV_150_299_MaOpDv,CIII_IV_150_299_Lab,CIII_IV_150_299_IDNS,CIII_IV_150_299_Tot,CIII_IV_300_399_Mng,CIII_IV_300_399_Pro,CIII_IV_300_399_TecTW,CIII_IV_300_399_CoPSW,CIII_IV_300_399_ClAW,CIII_IV_300_399_SWks,CIII_IV_300_399_MaOpDv,CIII_IV_300_399_Lab,CIII_IV_300_399_IDNS,CIII_IV_300_399_Tot,CIII_IV_400_499_Mng,CIII_IV_400_499_Pro,CIII_IV_400_499_TecTW,CIII_IV_400_499_CoPSW,CIII_IV_400_499_ClAW,CIII_IV_400_499_SWks,CIII_IV_400_499_MaOpDv,CIII_IV_400_499_Lab,CIII_IV_400_499_IDNS,CIII_IV_400_499_Tot,CIII_IV_500_649_Mng,CIII_IV_500_649_Pro,CIII_IV_500_649_TecTW,CIII_IV_500_649_CoPSW,CIII_IV_500_649_ClAW,CIII_IV_500_649_SWks,CIII_IV_500_649_MaOpDv,CIII_IV_500_649_Lab,CIII_IV_500_649_IDNS,CIII_IV_500_649_Tot,CIII_IV_650_799_Mng,CIII_IV_650_799_Pro,CIII_IV_650_799_TecTW,CIII_IV_650_799_CoPSW,CIII_IV_650_799_ClAW,CIII_IV_650_799_SWks,CIII_IV_650_799_MaOpDv,CIII_IV_650_799_Lab,CIII_IV_650_799_IDNS,CIII_IV_650_799_Tot,CIII_IV_800_999_Mng,CIII_IV_800_999_Pro,CIII_IV_800_999_TecTW,CIII_IV_800_999_CoPSW,CIII_IV_800_999_ClAW,CIII_IV_800_999_SWks,CIII_IV_800_999_MaOpDv,CIII_IV_800_999_Lab,CIII_IV_800_999_IDNS,CIII_IV_800_999_Tot
10102,0,0,0,4,3,4,0,3,0,18,4,0,0,9,3,7,0,5,0,29,3,3,0,16,16,3,3,7,0,53,6,0,3,11,8,3,7,4,0,46,6,3,3,3,13,7,0,5,0,32,10,0,3,3,16,3,0,0,3,42,0,0,0,3,4,0,0,0,0,15,3,0,0,3,8,0,0,0,0,19,7,0,0,0,0,0,0,0,0,16,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,48,16,24,57,75,35,23,33,3,315,14,0,7,0,0,0,4,3,0,30,4,4,3,13,3,0,3,6,0,35,5,0,19,16,11,7,3,12,0,73,15,3,23,24,8,4,3,12,3,103,9,3,43,18,10,20,4,16,0,133,22,3,73,44,22,23,20,19,3,237,28,12,127,45,41,20,23,37,8,347,52,8,228,48,71,20,71,46,3,549
10103,4,0,0,3,5,0,0,5,0,23,8,0,3,4,9,0,6,9,0,31,5,3,0,5,11,5,0,5,0,36,9,0,0,7,7,9,3,0,0,41,10,4,3,7,5,7,0,3,0,33,0,0,0,0,3,0,3,0,0,13,7,0,0,3,3,0,0,0,0,15,0,3,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,49,11,10,40,46,30,19,31,4,242,6,0,5,0,0,0,0,0,0,14,3,0,3,6,3,8,3,3,0,33,10,6,13,16,0,11,3,20,0,80,12,4,21,29,10,12,7,20,0,115,17,7,21,18,15,22,6,12,3,125,32,9,67,59,30,30,18,34,3,288,49,13,92,77,44,34,31,51,4,396,69,12,169,63,27,23,52,53,5,466
10104,4,4,3,15,10,15,0,15,0,64,19,3,11,24,22,15,3,13,0,108,14,11,3,32,26,25,3,18,0,133,10,4,6,15,30,10,4,14,0,97,15,5,3,13,19,9,3,5,0,70,10,3,3,3,5,3,0,11,0,36,8,3,3,0,0,0,0,0,0,21,3,3,0,0,0,3,0,0,0,13,0,0,0,0,0,0,0,0,0,8,3,0,0,0,0,0,0,0,0,8,3,0,0,3,3,5,0,3,0,14,101,54,42,138,144,98,22,91,9,696,10,0,14,0,4,3,0,9,3,47,13,7,22,17,5,10,3,19,0,95,23,9,66,43,20,20,7,28,6,224,28,15,88,65,23,35,10,46,3,316,37,16,120,105,52,46,10,58,8,458,74,42,194,188,83,112,25,86,11,802,92,40,334,188,92,115,58,110,7,1034,129,48,427,155,121,81,85,139,14,1204
10105,0,0,0,4,4,3,0,0,0,20,9,0,0,9,21,6,0,5,0,52,3,3,3,5,16,6,3,5,0,61,9,3,0,4,32,3,0,6,0,53,5,3,9,8,14,7,0,8,0,47,8,3,0,3,8,0,0,5,0,31,0,0,0,0,5,3,3,0,0,15,0,0,0,0,3,3,3,0,0,10,3,0,0,3,0,4,4,0,0,9,0,0,0,0,3,3,0,0,0,7,0,0,0,0,0,0,0,3,0,3,43,20,17,63,114,42,12,37,3,347,13,0,8,3,5,0,0,3,0,35,8,0,9,8,12,9,0,3,0,45,11,4,12,19,4,14,3,11,0,79,12,4,32,27,7,13,10,13,3,117,16,3,35,46,19,18,6,23,0,160,29,22,72,78,35,28,14,29,9,306,33,21,116,87,36,34,19,59,3,413,58,28,186,74,67,35,47,40,3,518
10106,5,0,3,3,0,0,0,0,0,22,9,0,4,9,9,5,0,3,0,42,5,0,3,5,4,3,5,8,0,40,3,0,3,4,7,4,3,3,0,37,9,0,3,4,6,3,3,0,0,27,8,3,0,0,6,0,0,0,0,19,3,0,0,0,0,0,4,0,0,14,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,0,6,51,14,21,34,57,30,20,21,4,248,9,0,3,0,0,0,0,5,3,25,10,0,5,3,0,0,0,0,0,17,6,4,9,13,13,5,8,19,3,71,6,0,21,13,11,7,6,9,0,76,18,5,42,25,9,18,8,19,7,151,33,17,55,44,29,14,8,16,3,223,37,14,79,51,40,19,14,38,0,300,59,12,137,42,45,21,38,45,0,410
10201,6,9,14,35,28,20,3,12,0,118,10,13,12,62,59,17,11,31,3,215,11,18,17,54,66,41,11,18,3,243,18,12,22,42,71,34,6,29,0,245,19,30,10,24,75,13,17,15,0,205,26,12,7,13,44,11,6,0,0,113,11,9,3,18,20,6,7,3,0,77,17,9,3,3,5,0,4,3,0,46,15,9,0,3,5,16,3,0,0,53,12,6,0,0,3,3,0,0,0,28,3,3,0,6,8,0,0,3,0,24,151,135,102,315,411,191,70,149,19,1543,14,3,18,11,11,4,4,7,4,77,10,11,36,42,30,35,4,27,4,194,13,37,79,97,38,81,13,67,4,434,30,31,137,135,84,70,18,71,4,582,25,46,200,184,97,93,31,85,3,765,82,86,322,376,231,156,54,132,6,1436,105,132,586,384,259,185,111,204,19,1985,203,143,869,378,378,173,158,205,26,2534
10202,3,3,6,26,15,27,8,13,0,98,10,13,9,42,40,23,3,20,7,166,5,14,6,54,58,34,11,16,5,213,12,14,17,40,55,34,21,17,0,213,10,10,8,26,48,11,10,0,0,137,6,6,4,10,18,5,10,10,3,72,15,9,9,16,9,7,3,3,0,67,3,0,0,5,6,0,3,3,0,21,7,3,3,3,5,5,0,0,0,30,3,0,0,3,0,8,0,0,0,18,3,0,0,8,3,0,0,4,0,22,90,93,74,268,298,189,80,105,20,1222,7,3,15,5,8,9,0,3,6,56,4,12,26,31,6,45,3,22,4,144,21,14,82,73,39,64,14,47,4,356,27,30,95,130,60,64,22,66,10,496,24,45,178,187,89,81,23,69,4,700,57,79,289,340,158,158,46,115,8,1253,98,116,471,380,219,140,130,142,16,1705,181,107,719,279,284,130,171,185,26,2077
10301,9,0,0,3,9,6,3,5,0,40,4,3,0,13,16,14,3,12,0,61,18,9,7,15,13,21,3,16,3,99,6,0,6,15,31,10,5,14,0,97,10,3,7,4,20,3,8,9,0,58,6,5,3,3,12,0,3,3,0,33,3,3,6,4,8,3,8,4,0,37,4,3,4,3,4,0,0,0,0,18,3,3,3,3,5,0,0,3,0,23,3,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,4,67,34,44,81,137,68,32,73,11,542,6,3,8,3,9,0,0,4,3,33,3,0,5,10,0,4,0,8,0,39,7,8,24,34,10,25,3,19,3,138,14,6,37,30,20,10,7,22,0,157,18,4,61,65,21,32,8,21,4,240,37,16,133,105,49,52,22,49,5,478,52,25,190,119,71,63,40,62,7,626,77,36,285,110,107,56,102,71,10,847
10302,21,3,5,15,8,7,4,9,0,70,17,9,3,20,20,7,3,14,0,93,9,12,4,21,22,10,4,9,0,85,12,7,3,16,23,4,9,7,0,83,21,6,8,5,17,4,6,6,0,77,15,0,0,0,9,4,8,6,0,45,8,3,0,3,3,4,3,0,0,34,9,0,0,0,0,0,4,0,0,13,5,0,0,0,0,3,3,0,0,13,9,0,0,0,0,0,0,0,0,13,4,0,3,0,0,0,3,0,0,10,163,43,32,98,129,54,49,67,6,638,45,0,5,6,3,0,3,4,3,62,19,7,5,13,13,9,3,3,7,78,40,9,36,34,18,15,4,33,3,177,54,19,46,36,28,20,13,31,3,250,44,14,67,65,27,30,13,33,6,305,108,21,147,122,63,62,34,67,7,620,109,51,204,135,82,64,55,104,11,815,149,40,301,98,109,45,71,99,17,940
10303,4,4,0,12,10,3,0,7,0,32,5,0,8,10,15,0,0,4,0,51,9,4,3,10,18,4,3,11,0,62,10,0,4,17,18,3,0,0,0,66,3,4,0,7,17,5,8,5,0,56,7,3,0,0,8,4,4,0,0,24,3,0,0,4,3,0,4,0,0,21,0,0,0,3,0,0,5,0,0,10,3,0,3,4,0,0,13,0,0,33,4,0,8,0,0,0,3,0,0,21,0,0,0,0,0,0,0,0,0,10,66,22,44,77,106,37,39,37,7,445,24,3,7,3,0,0,0,3,0,42,12,8,8,12,3,7,0,9,0,57,27,3,34,23,20,29,0,25,4,167,27,12,49,47,24,24,14,35,4,230,19,11,42,45,35,26,12,36,0,232,40,23,116,92,62,41,16,48,7,439,50,28,140,113,73,45,23,65,9,542,67,24,234,71,80,40,52,69,5,644
