SA3_CODE_2016,P_Philippines_E,P_Philippines_OM_IE,P_Philippines_OM_UIE,P_Philippines_CFW,P_Philippines_ES_NS,P_Philippines_Tot,P_Poland_E,P_Poland_OM_IE,P_Poland_OM_UIE,P_Poland_CFW,P_Poland_ES_NS,P_Poland_Tot,P_Singapore_E,P_Singapore_OM_IE,P_Singapore_OM_UIE,P_Singapore_CFW,P_Singapore_ES_NS,P_Singapore_Tot,P_SthAfrica_E,P_SthAfrica_OM_IE,P_SthAfrica_OM_UIE,P_SthAfrica_CFW,P_SthAfrica_ES_NS,P_SthAfrica_Tot,P_SriLanka_E,P_SriLanka_OM_IE,P_SriLanka_OM_UIE,P_SriLanka_CFW,P_SriLanka_ES_NS,P_SriLanka_Tot,P_Thailand_E,P_Thailand_OM_IE,P_Thailand_OM_UIE,P_Thailand_CFW,P_Thailand_ES_NS,P_Thailand_Tot,P_Turkey_E,P_Turkey_OM_IE,P_Turkey_OM_UIE,P_Turkey_CFW,P_Turkey_ES_NS,P_Turkey_Tot,P_UK_E,P_UK_OM_IE,P_UK_OM_UIE,P_UK_CFW,P_UK_ES_NS,P_UK_Tot,P_USA_E,P_USA_OM_IE,P_USA_OM_UIE,P_USA_CFW,P_USA_ES_NS,P_USA_Tot,P_Vietnam_E,P_Vietnam_OM_IE,P_Vietnam_OM_UIE,P_Vietnam_CFW,P_Vietnam_ES_NS,P_Vietnam_Tot,P_Zimbabwe_E,P_Zimbabwe_OM_IE,P_Zimbabwe_OM_UIE,P_Zimbabwe_CFW,P_Zimbabwe_ES_NS,P_Zimbabwe_Tot,P_Elsewhere_E,P_Elsewhere_OM_IE,P_Elsewhere_OM_UIE,P_Elsewhere_CFW,P_Elsewhere_ES_NS,P_Elsewhere_Tot,P_COB_NS_E,P_COB_NS_OM_IE,P_COB_NS_OM_UIE,P_COB_NS_CFW,P_COB_NS_ES_NS,P_COB_NS_Tot,P_Tot_E,P_Tot_OM_IE,P_Tot_OM_UIE,P_Tot_CFW,P_Tot_ES_NS,P_Tot_Tot
10102,149,7,3,5,0,167,13,0,3,0,0,18,16,3,4,0,0,25,51,7,4,0,0,66,52,0,0,0,0,51,20,3,3,0,0,30,8,0,0,0,0,8,382,46,71,13,3,520,52,3,10,4,0,68,29,7,10,0,0,45,22,0,0,0,0,25,486,58,47,13,6,609,140,22,19,13,16,205,11703,1370,1333,396,147,14949
10103,17,0,0,0,0,18,14,0,3,3,0,19,4,0,0,0,0,10,27,0,5,0,0,29,16,0,0,0,0,16,20,0,4,3,0,29,6,3,0,0,0,8,270,24,51,20,5,372,36,3,9,0,0,47,3,0,3,0,0,8,4,0,3,0,0,11,188,15,26,9,0,240,179,19,34,24,3,258,7461,649,1050,382,118,9656
10104,93,3,4,0,3,101,14,3,0,0,3,22,10,0,0,0,0,12,54,17,9,4,0,87,9,3,3,0,0,11,26,5,8,0,3,37,3,0,0,0,0,3,718,70,181,21,11,998,58,10,15,4,0,90,16,3,16,3,0,40,13,0,4,3,0,18,264,32,53,9,0,360,439,35,77,19,24,600,18185,1729,3076,630,368,23975
10105,92,0,10,3,0,107,11,0,0,0,0,12,8,3,0,0,0,13,29,5,4,3,0,44,23,0,0,0,0,26,15,0,0,0,0,22,16,0,0,0,0,17,258,23,35,21,7,341,29,0,3,3,0,32,51,5,8,0,3,70,15,0,0,0,0,13,329,14,27,9,4,379,170,11,28,12,8,235,9985,738,1153,399,153,12425
10106,44,3,0,0,0,48,4,0,3,0,0,6,3,0,0,0,0,6,28,0,0,0,0,31,30,0,4,0,0,35,11,0,0,0,0,14,7,0,0,0,0,6,182,25,33,21,3,268,13,0,4,3,0,26,36,0,5,3,0,45,6,0,0,0,0,5,228,12,22,8,6,280,129,5,30,8,10,182,6168,751,1316,545,120,8897
10201,349,22,12,7,6,396,48,5,13,0,0,70,30,4,7,0,0,42,293,45,74,9,3,426,69,14,5,0,0,91,147,18,19,6,3,187,9,4,10,0,0,28,2440,356,422,61,35,3310,193,20,26,7,5,247,93,9,20,4,3,132,67,3,0,0,0,73,973,132,153,32,6,1298,638,58,78,19,33,827,47489,4281,5231,870,606,58479
10202,304,20,15,4,3,339,17,0,3,0,0,19,19,5,3,0,0,26,160,24,28,3,0,207,33,5,3,0,0,45,85,4,19,9,3,122,3,0,4,0,0,9,1607,161,204,36,26,2030,108,16,13,3,0,134,67,6,20,4,3,102,46,3,6,0,0,62,634,91,87,29,9,855,584,38,79,24,40,765,38341,3040,3583,647,506,46120
10301,95,0,0,3,0,100,4,0,0,0,0,7,10,0,3,0,0,16,62,10,3,0,0,72,28,4,3,0,0,34,34,3,3,0,0,43,0,0,0,0,0,0,384,24,42,18,10,484,38,3,7,3,0,50,22,3,6,0,0,31,16,0,0,0,0,18,219,13,28,8,3,266,241,27,39,13,15,336,16165,1099,1573,493,238,19570
10302,86,0,3,3,3,99,3,0,0,0,0,5,3,0,0,0,0,3,48,6,7,5,3,70,16,0,0,0,0,17,7,5,0,0,0,17,0,0,0,0,0,3,203,27,52,17,3,299,20,3,4,7,0,31,5,0,4,5,0,17,11,0,0,0,0,10,92,14,14,7,6,131,320,48,88,63,29,542,15070,1200,3203,1253,405,21138
10303,71,10,3,0,0,88,4,0,0,0,0,8,3,0,0,0,0,6,40,5,4,0,0,53,13,0,0,0,0,11,23,0,0,3,3,29,0,0,0,0,0,4,344,29,62,24,4,471,33,0,6,3,3,42,13,7,5,8,0,32,9,0,0,0,0,15,123,15,19,3,4,171,316,23,53,25,25,443,13980,953,1584,608,254,17386
10304,136,3,0,0,0,144,8,0,4,0,3,15,18,0,0,0,0,20,83,11,13,3,0,111,25,3,0,0,0,29,28,3,0,0,0,40,7,0,0,0,0,15,483,26,64,16,3,595,53,0,0,0,3,64,19,4,0,3,0,30,72,3,3,0,0,76,329,19,33,4,3,383,323,20,44,17,19,424,20646,1385,2090,652,330,25096
10401,37,0,8,0,0,47,0,0,0,0,0,3,3,0,0,0,0,3,38,6,3,6,0,52,14,0,0,0,0,13,14,0,3,0,0,17,0,0,0,0,0,0,308,38,50,12,8,426,33,3,10,0,0,44,7,0,3,3,3,17,16,0,4,0,0,19,122,13,20,11,4,164,303,24,58,17,18,411,12784,904,1765,503,281,16233
10402,152,5,12,3,0,179,15,0,3,0,0,18,11,0,3,0,0,12,148,26,25,4,0,201,9,0,0,0,0,10,41,3,9,3,4,57,7,0,3,0,0,12,1000,85,182,41,18,1329,103,7,20,0,0,124,31,0,10,0,0,34,30,4,3,0,0,34,736,46,94,17,13,906,405,22,65,7,33,528,26163,1888,3378,778,400,32611
10501,39,0,0,0,0,43,7,0,0,0,0,7,0,0,0,0,0,0,32,0,3,3,0,41,9,3,3,0,0,18,4,0,0,0,0,4,0,0,0,0,0,4,113,8,16,7,0,138,8,0,3,0,0,12,3,0,0,0,0,4,13,0,0,0,0,10,108,10,8,3,0,127,218,13,44,30,17,326,6798,489,1170,692,214,9355
10502,61,0,0,3,0,63,0,0,0,0,0,0,3,0,0,0,0,3,16,0,3,0,0,18,6,0,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,78,0,12,14,3,102,12,0,0,0,0,12,0,0,0,0,0,0,5,0,0,0,0,5,41,5,7,5,3,55,157,19,17,3,16,215,6580,342,576,216,147,7870
10503,160,0,3,0,0,164,14,0,0,0,0,10,7,0,4,0,0,11,69,4,4,0,0,83,79,8,8,0,0,96,24,0,0,4,0,27,3,0,0,0,0,7,327,23,24,23,3,403,30,0,5,0,0,41,37,3,4,0,0,51,49,0,0,0,0,48,443,22,37,7,9,509,392,27,67,29,38,566,22066,1555,2950,1001,402,27976
10601,118,6,7,6,0,128,6,0,0,0,0,9,5,0,3,0,0,13,106,9,15,5,0,126,17,6,0,0,0,29,40,0,9,4,4,48,6,0,3,0,0,9,582,76,84,29,8,775,56,4,3,0,0,77,29,0,7,0,0,39,31,3,0,0,0,35,249,27,30,6,3,311,452,40,43,29,33,601,27954,1632,1955,685,368,32593
10602,120,0,3,0,0,125,16,0,0,0,0,16,12,3,4,0,0,20,110,5,6,4,0,128,30,3,3,0,0,38,17,0,4,0,0,23,0,0,0,0,0,0,589,52,58,20,3,716,63,0,7,0,0,69,21,3,4,3,3,33,36,0,0,3,0,36,222,35,27,3,3,286,246,17,20,8,15,304,22765,1527,1564,341,222,26419
10603,93,4,5,0,3,109,17,0,3,0,0,21,15,0,0,0,0,15,106,14,22,7,0,146,18,0,0,0,0,16,36,4,6,0,0,46,3,3,3,3,0,11,841,80,126,21,11,1078,80,6,5,3,0,92,21,6,6,3,0,29,25,0,0,0,0,25,328,18,29,14,3,390,303,29,47,9,18,411,22563,1563,1860,396,260,26644
