SA3_CODE_2016,TaTW_1000_1249_H_0,TaTW_1000_1249_H_1_15,TaTW_1000_1249_H_16_24,TaTW_1000_1249_H_25_34,TaTW_1000_1249_H_35_39,TaTW_1000_1249_H_40,TaTW_1000_1249_H_41_48,TaTW_1000_1249_H_49mo,TaTW_1000_1249_H_NS,TaTW_1000_1249_H_Tot,TaTW_1250_1499_H_0,TaTW_1250_1499_H_1_15,TaTW_1250_1499_H_16_24,TaTW_1250_1499_H_25_34,TaTW_1250_1499_H_35_39,TaTW_1250_1499_H_40,TaTW_1250_1499_H_41_48,TaTW_1250_1499_H_49mo,TaTW_1250_1499_H_NS,TaTW_1250_1499_H_Tot,TaTW_1500_1749_H_0,TaTW_1500_1749_H_1_15,TaTW_1500_1749_H_16_24,TaTW_1500_1749_H_25_34,TaTW_1500_1749_H_35_39,TaTW_1500_1749_H_40,TaTW_1500_1749_H_41_48,TaTW_1500_1749_H_49mo,TaTW_1500_1749_H_NS,TaTW_1500_1749_H_Tot,TaTW_1750_1999_H_0,TaTW_1750_1999_H_1_15,TaTW_1750_1999_H_16_24,TaTW_1750_1999_H_25_34,TaTW_1750_1999_H_35_39,TaTW_1750_1999_H_40,TaTW_1750_1999_H_41_48,TaTW_1750_1999_H_49mo,TaTW_1750_1999_H_NS,TaTW_1750_1999_H_Tot,TaTW_2000_2999_H_0,TaTW_2000_2999_H_1_15,TaTW_2000_2999_H_16_24,TaTW_2000_2999_H_25_34,TaTW_2000_2999_H_35_39,TaTW_2000_2999_H_40,TaTW_2000_2999_H_41_48,TaTW_2000_2999_H_49mo,TaTW_2000_2999_H_NS,TaTW_2000_2999_H_Tot,TaTW_3000mo_H_0,TaTW_3000mo_H_1_15,TaTW_3000mo_H_16_24,TaTW_3000mo_H_25_34,TaTW_3000mo_H_35_39,TaTW_3000mo_H_40,TaTW_3000mo_H_41_48,TaTW_3000mo_H_49mo,TaTW_3000mo_H_NS,TaTW_3000mo_H_Tot,TaTW_PINS_H_0,TaTW_PINS_H_1_15,TaTW_PINS_H_16_24,TaTW_PINS_H_25_34,TaTW_PINS_H_35_39,TaTW_PINS_H_40,TaTW_PINS_H_41_48,TaTW_PINS_H_49mo,TaTW_PINS_H_NS,TaTW_PINS_H_Tot,TaTW_Tot_H_0,TaTW_Tot_H_1_15,TaTW_Tot_H_16_24,TaTW_Tot_H_25_34,TaTW_Tot_H_35_39,TaTW_Tot_H_40,TaTW_Tot_H_41_48,TaTW_Tot_H_49mo,TaTW_Tot_H_NS,TaTW_Tot_H_Tot,CoPSW_NNI_H_0,CoPSW_NNI_H_1_15,CoPSW_NNI_H_16_24,CoPSW_NNI_H_25_34,CoPSW_NNI_H_35_39,CoPSW_NNI_H_40,CoPSW_NNI_H_41_48,CoPSW_NNI_H_49mo,CoPSW_NNI_H_NS,CoPSW_NNI_H_Tot,CoPSW_1_149_H_0,CoPSW_1_149_H_1_15,CoPSW_1_149_H_16_24,CoPSW_1_149_H_25_34,CoPSW_1_149_H_35_39,CoPSW_1_149_H_40,CoPSW_1_149_H_41_48,CoPSW_1_149_H_49mo,CoPSW_1_149_H_NS,CoPSW_1_149_H_Tot,CoPSW_150_299_H_0,CoPSW_150_299_H_1_15,CoPSW_150_299_H_16_24,CoPSW_150_299_H_25_34,CoPSW_150_299_H_35_39,CoPSW_150_299_H_40,CoPSW_150_299_H_41_48,CoPSW_150_299_H_49mo,CoPSW_150_299_H_NS,CoPSW_150_299_H_Tot,CoPSW_300_399_H_0,CoPSW_300_399_H_1_15,CoPSW_300_399_H_16_24,CoPSW_300_399_H_25_34,CoPSW_300_399_H_35_39,CoPSW_300_399_H_40,CoPSW_300_399_H_41_48,CoPSW_300_399_H_49mo,CoPSW_300_399_H_NS,CoPSW_300_399_H_Tot,CoPSW_400_499_H_0,CoPSW_400_499_H_1_15,CoPSW_400_499_H_16_24,CoPSW_400_499_H_25_34,CoPSW_400_499_H_35_39,CoPSW_400_499_H_40,CoPSW_400_499_H_41_48,CoPSW_400_499_H_49mo,CoPSW_400_499_H_NS,CoPSW_400_499_H_Tot,CoPSW_500_649_H_0,CoPSW_500_649_H_1_15,CoPSW_500_649_H_16_24,CoPSW_500_649_H_25_34,CoPSW_500_649_H_35_39,CoPSW_500_649_H_40,CoPSW_500_649_H_41_48,CoPSW_500_649_H_49mo,CoPSW_500_649_H_NS,CoPSW_500_649_H_Tot,CoPSW_650_799_H_0,CoPSW_650_799_H_1_15,CoPSW_650_799_H_16_24,CoPSW_650_799_H_25_34,CoPSW_650_799_H_35_39,CoPSW_650_799_H_40,CoPSW_650_799_H_41_48,CoPSW_650_799_H_49mo,CoPSW_650_799_H_NS,CoPSW_650_799_H_Tot,CoPSW_800_999_H_0,CoPSW_800_999_H_1_15,CoPSW_800_999_H_16_24,CoPSW_800_999_H_25_34,CoPSW_800_999_H_35_39,CoPSW_800_999_H_40,CoPSW_800_999_H_41_48,CoPSW_800_999_H_49mo,CoPSW_800_999_H_NS,CoPSW_800_999_H_Tot,CoPSW_1000_1249_H_0,CoPSW_1000_1249_H_1_15,CoPSW_1000_1249_H_16_24,CoPSW_1000_1249_H_25_34,CoPSW_1000_1249_H_35_39,CoPSW_1000_1249_H_40,CoPSW_1000_1249_H_41_48,CoPSW_1000_1249_H_49mo,CoPSW_1000_1249_H_NS,CoPSW_1000_1249_H_Tot,CoPSW_1250_1499_H_0,CoPSW_1250_1499_H_1_15,CoPSW_1250_1499_H_16_24,CoPSW_1250_1499_H_25_34,CoPSW_1250_1499_H_35_39,CoPSW_1250_1499_H_40,CoPSW_1250_1499_H_41_48,CoPSW_1250_1499_H_49mo,CoPSW_1250_1499_H_NS,CoPSW_1250_1499_H_Tot,CoPSW_1500_1749_H_0,CoPSW_1500_1749_H_1_15,CoPSW_1500_1749_H_16_24,CoPSW_1500_1749_H_25_34,CoPSW_1500_1749_H_35_39,CoPSW_1500_1749_H_40,CoPSW_1500_1749_H_41_48,CoPSW_1500_1749_H_49mo,CoPSW_1500_1749_H_NS,CoPSW_1500_1749_H_Tot,CoPSW_1750_1999_H_0,CoPSW_1750_1999_H_1_15,CoPSW_1750_1999_H_16_24,CoPSW_1750_1999_H_25_34,CoPSW_1750_1999_H_35_39,CoPSW_1750_1999_H_40,CoPSW_1750_1999_H_41_48,CoPSW_1750_1999_H_49mo,CoPSW_1750_1999_H_NS,CoPSW_1750_1999_H_Tot
10102,13,11,4,21,110,153,84,82,7,486,5,9,0,11,64,107,68,83,5,354,4,4,6,12,42,92,52,85,0,293,3,3,3,0,21,45,22,49,0,154,7,0,0,4,29,38,28,59,0,166,0,0,0,0,0,4,5,23,0,37,0,3,0,0,4,9,0,12,3,38,55,116,108,161,531,755,387,533,40,2689,0,4,3,0,0,0,0,0,0,14,5,118,9,0,0,0,0,0,3,133,6,82,27,9,3,3,0,0,0,130,3,52,36,11,7,5,0,0,0,110,4,33,34,17,5,3,5,7,3,113,8,21,41,49,26,10,0,3,4,163,11,13,17,61,77,21,14,8,3,214,3,11,26,52,73,36,13,16,3,223,3,4,9,20,43,23,21,22,5,150,0,0,6,8,24,11,19,25,0,93,6,0,0,4,20,17,20,17,0,85,5,0,0,3,20,8,11,14,0,65
10103,7,4,3,11,30,44,32,56,7,189,5,0,3,6,14,27,23,27,0,97,5,0,0,0,13,18,14,23,0,79,3,4,0,3,4,3,6,12,0,34,0,0,0,0,11,3,8,23,0,43,0,0,0,0,3,3,0,0,0,9,0,4,0,0,4,4,0,6,7,27,29,73,58,97,233,232,176,282,30,1212,0,7,0,0,0,0,0,7,0,19,3,52,11,3,0,0,0,0,5,66,0,35,15,8,0,4,3,3,0,77,0,26,23,23,9,7,3,7,3,97,5,14,31,38,11,4,0,8,0,123,3,22,48,70,38,25,22,23,4,258,3,14,22,89,60,26,43,26,7,286,9,5,14,46,38,40,31,35,0,223,4,0,4,14,26,19,11,35,3,107,0,0,0,7,13,10,11,16,0,58,0,3,3,7,7,9,3,12,0,47,0,0,0,3,17,5,6,7,0,45
10104,15,6,14,18,113,115,74,63,3,433,3,3,3,4,63,92,40,50,3,272,3,0,4,4,38,36,27,42,0,157,0,0,0,0,15,22,17,27,0,88,0,0,0,0,12,12,17,26,3,73,0,3,0,0,3,0,0,10,0,19,3,3,0,7,11,12,5,10,10,66,91,285,270,356,755,719,349,460,74,3345,3,4,0,0,0,0,0,3,0,13,11,145,11,4,0,0,0,0,4,177,9,139,38,16,0,0,0,3,6,204,16,96,76,30,10,8,3,3,5,243,16,85,124,55,17,9,4,12,10,334,28,74,142,175,61,15,9,19,4,529,24,46,79,193,110,30,13,27,7,520,15,15,42,147,116,50,26,34,3,449,6,7,9,54,72,33,22,28,0,236,0,0,6,20,30,16,9,10,0,108,4,3,0,11,19,11,10,14,0,70,6,0,3,7,29,12,14,15,0,82
10105,0,4,3,18,74,88,44,44,4,282,0,3,4,8,44,44,30,29,3,164,0,4,4,3,30,26,12,23,3,107,0,0,0,0,15,12,16,18,0,57,0,0,0,0,7,20,14,27,0,75,0,0,0,5,0,3,0,14,0,27,3,0,0,3,9,3,0,4,4,32,29,96,94,121,394,388,206,250,37,1611,3,4,0,0,0,3,0,0,0,12,3,65,0,3,0,0,0,0,3,75,6,50,22,4,3,0,0,0,10,95,9,33,36,11,4,3,0,3,3,96,6,24,58,33,3,3,0,4,3,135,9,21,66,80,17,13,10,3,3,228,3,8,40,87,57,29,9,10,3,240,3,5,22,60,65,39,14,20,0,230,10,3,17,34,58,37,11,12,3,179,4,0,4,19,27,20,7,13,0,92,7,0,0,0,17,15,11,7,0,60,3,0,0,5,18,12,8,9,0,58
10106,3,3,0,9,51,48,18,49,0,179,0,4,0,3,17,28,24,25,3,100,3,0,0,4,7,20,15,26,0,75,0,0,0,3,9,9,11,18,0,49,3,0,0,0,3,12,11,16,0,48,0,0,0,0,0,0,0,8,0,13,0,3,3,0,7,0,0,0,3,16,36,79,61,99,245,252,144,222,23,1168,0,3,0,0,0,0,0,0,0,4,3,31,0,0,0,3,0,0,0,44,0,25,11,8,0,0,0,0,0,51,4,26,21,9,0,0,0,3,0,78,4,13,26,26,6,0,3,0,3,84,4,14,47,55,8,7,3,5,0,147,9,8,21,42,36,18,8,11,0,157,8,6,11,33,41,24,10,5,0,132,3,3,0,13,25,20,3,7,4,80,0,5,3,0,13,5,0,3,0,23,0,0,3,3,10,6,4,10,0,37,0,0,0,0,5,8,3,8,4,25
10201,24,23,44,66,312,376,199,227,17,1286,14,3,10,22,130,253,119,160,6,724,15,10,9,28,70,149,73,144,3,499,6,0,5,7,37,77,37,101,3,277,3,7,8,4,31,76,38,129,3,296,4,3,3,4,4,11,3,32,3,60,4,10,7,7,20,29,16,16,25,123,192,481,545,708,1644,1895,856,1179,121,7628,8,22,6,3,4,4,0,0,0,39,28,442,36,12,0,5,0,0,4,526,27,315,122,46,10,12,0,8,9,549,38,218,208,77,22,23,7,13,8,605,26,179,271,155,48,40,6,12,11,733,44,171,331,384,133,62,26,38,16,1203,42,78,185,406,283,105,51,43,13,1201,31,49,84,279,299,178,66,63,8,1062,23,13,48,130,166,137,47,58,4,637,14,9,10,43,83,71,45,33,5,315,17,4,11,27,89,52,73,43,3,313,11,0,3,11,46,37,39,15,0,166
10202,25,13,36,46,226,360,149,177,17,1061,13,9,6,28,120,219,99,121,4,625,8,0,7,13,98,151,57,106,8,458,4,3,4,5,59,76,34,80,3,268,11,3,0,4,47,52,49,89,0,258,0,0,0,3,15,13,16,27,0,78,0,9,3,6,23,29,6,17,26,117,151,373,419,599,1504,1697,670,923,124,6451,0,16,0,0,0,0,0,0,0,22,21,254,24,10,3,3,0,3,8,323,29,229,92,23,5,10,0,0,8,397,26,164,191,61,19,12,8,4,4,480,27,126,241,111,34,16,5,15,13,587,42,90,267,336,118,52,20,28,13,971,36,52,148,350,236,86,34,48,11,1012,32,28,68,221,274,130,45,50,10,855,22,16,33,88,174,117,50,43,12,545,13,7,16,30,64,59,41,28,3,259,8,6,7,13,49,47,50,34,4,228,8,0,3,9,56,21,32,20,0,149
10301,7,6,9,12,129,115,75,67,3,420,6,0,4,7,64,67,54,63,0,268,3,0,0,3,47,58,29,67,6,209,3,0,3,10,26,34,25,47,0,139,4,3,4,0,25,20,23,58,0,131,5,0,0,0,0,4,0,8,0,22,0,0,0,0,7,7,7,10,6,49,69,122,127,185,652,619,340,479,49,2633,0,3,3,0,0,3,3,0,0,19,10,131,7,0,0,0,0,0,9,146,11,137,32,11,3,0,0,0,6,201,16,89,48,17,10,4,0,0,7,181,11,61,84,44,13,9,3,7,7,235,15,52,81,103,34,22,5,15,6,340,18,21,48,103,78,31,18,10,0,332,12,12,16,83,90,59,24,25,4,328,11,8,18,49,74,62,13,18,0,251,4,3,6,20,45,30,21,18,0,143,6,3,3,7,55,47,13,20,5,165,5,3,3,3,58,26,12,13,0,119
10302,4,8,8,17,77,113,68,86,5,385,3,3,3,4,27,51,47,58,3,208,8,0,5,3,29,38,22,46,4,153,0,0,0,3,18,12,21,44,0,104,9,0,0,0,18,10,38,58,5,138,0,0,0,0,0,4,3,13,0,28,0,5,4,4,6,11,8,13,7,56,69,133,162,195,578,615,358,493,61,2666,0,10,3,3,0,0,0,3,0,20,8,84,3,0,0,0,0,4,3,104,9,69,28,10,0,3,0,9,3,129,4,57,46,16,3,6,6,3,4,158,4,46,83,56,23,5,6,9,3,231,9,39,102,99,42,13,11,9,3,335,19,16,45,118,74,56,11,9,3,351,12,10,22,63,79,54,17,17,7,284,12,0,9,27,51,41,10,22,0,172,3,0,4,14,20,22,7,12,0,84,4,0,0,8,17,15,4,4,0,61,3,0,0,3,24,7,12,13,0,61
10303,11,3,11,21,84,116,50,77,3,378,4,6,0,7,42,70,40,55,3,227,4,0,4,6,40,58,33,61,0,202,0,0,0,3,37,33,28,52,3,169,21,0,4,10,58,64,101,152,4,398,14,0,3,3,28,25,33,134,3,251,0,8,3,0,9,11,3,10,10,51,84,123,141,191,576,655,402,654,57,2876,0,7,0,0,0,0,0,0,0,12,9,78,5,3,0,0,0,0,3,98,4,59,16,10,0,3,0,0,3,105,4,60,47,29,10,4,3,0,0,152,8,31,73,51,9,3,7,7,5,185,7,41,81,102,26,15,8,9,3,295,3,20,44,106,60,32,13,39,9,326,11,14,21,59,57,24,19,32,6,234,3,4,10,25,52,47,17,12,3,169,0,0,3,5,19,16,13,10,0,69,3,3,3,3,32,10,7,16,3,77,3,0,4,0,36,15,15,14,4,94
