SA3_CODE_2016,M_M2_BusTot_15_24,M_M2_BusTot_25_34,M_M2_BusTot_35_44,M_M2_BusTot_45_54,M_M2_BusTot_55_64,M_M2_BusTot_65_74,M_M2_BusTot_75ov,M_M2_BusTot_Tot,M_M2_Other_M2_15_24,M_M2_Other_M2_25_34,M_M2_Other_M2_35_44,M_M2_Other_M2_45_54,M_M2_Other_M2_55_64,M_M2_Other_M2_65_74,M_M2_Other_M2_75ov,M_M2_Other_M2_Tot,M_M2_Tot_M2_15_24,M_M2_Tot_M2_25_34,M_M2_Tot_M2_35_44,M_M2_Tot_M2_45_54,M_M2_Tot_M2_55_64,M_M2_Tot_M2_65_74,M_M2_Tot_M2_75ov,M_M2_Tot_M2_Tot,M_M3_Trn_and_2_oth_Ms_15_24,M_M3_Trn_and_2_oth_Ms_25_34,M_M3_Trn_and_2_oth_Ms_35_44,M_M3_Trn_and_2_oth_Ms_45_54,M_M3_Trn_and_2_oth_Ms_55_64,M_M3_Trn_and_2_oth_Ms_65_74,M_M3_Trn_and_2_oth_Ms_75ov,M_M3_Trn_and_2_oth_Ms_Tot,M_M3_Bus2othMs_ex_tn_15_24,M_M3_Bus2othMs_ex_tn_25_34,M_M3_Bus2othMs_ex_tn_35_44,M_M3_Bus2othMs_ex_tn_45_54,M_M3_Bus2othMs_ex_tn_55_64,M_M3_Bus2othMs_ex_tn_65_74,M_M3_Bus2othMs_ex_tn_75ov,M_M3_Bus2othMs_ex_tn_Tot,M_M3_Other_M3_15_24,M_M3_Other_M3_25_34,M_M3_Other_M3_35_44,M_M3_Other_M3_45_54,M_M3_Other_M3_55_64,M_M3_Other_M3_65_74,M_M3_Other_M3_75ov,M_M3_Other_M3_Tot,M_M3_Tot_M3_15_24,M_M3_Tot_M3_25_34,M_M3_Tot_M3_35_44,M_M3_Tot_M3_45_54,M_M3_Tot_M3_55_64,M_M3_Tot_M3_65_74,M_M3_Tot_M3_75ov,M_M3_Tot_M3_Tot,M_Wkd_at_home_15_24,M_Wkd_at_home_25_34,M_Wkd_at_home_35_44,M_Wkd_at_home_45_54,M_Wkd_at_home_55_64,M_Wkd_at_home_65_74,M_Wkd_at_home_75ov,M_Wkd_at_home_Tot,M_Did_not_go_to_work_15_24,M_Did_not_go_to_work_25_34,M_Did_not_go_to_work_35_44,M_Did_not_go_to_work_45_54,M_Did_not_go_to_work_55_64,M_Did_not_go_to_work_65_74,M_Did_not_go_to_work_75ov,M_Did_not_go_to_work_Tot,M_MT_NS_15_24,M_MT_NS_25_34,M_MT_NS_35_44,M_MT_NS_45_54,M_MT_NS_55_64,M_MT_NS_65_74,M_MT_NS_75ov,M_MT_NS_Tot,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75ov,M_Tot_Tot,F_M1_Train_15_24,F_M1_Train_25_34,F_M1_Train_35_44,F_M1_Train_45_54,F_M1_Train_55_64,F_M1_Train_65_74,F_M1_Train_75ov,F_M1_Train_Tot,F_M1_Bus_15_24,F_M1_Bus_25_34,F_M1_Bus_35_44,F_M1_Bus_45_54,F_M1_Bus_55_64,F_M1_Bus_65_74,F_M1_Bus_75ov,F_M1_Bus_Tot,F_M1_Ferry_15_24,F_M1_Ferry_25_34,F_M1_Ferry_35_44,F_M1_Ferry_45_54,F_M1_Ferry_55_64,F_M1_Ferry_65_74,F_M1_Ferry_75ov,F_M1_Ferry_Tot,F_M1_Tram_Inc_LR_15_24,F_M1_Tram_Inc_LR_25_34,F_M1_Tram_Inc_LR_35_44,F_M1_Tram_Inc_LR_45_54,F_M1_Tram_Inc_LR_55_64,F_M1_Tram_Inc_LR_65_74,F_M1_Tram_Inc_LR_75ov,F_M1_Tram_Inc_LR_Tot,F_M1_Taxi_15_24,F_M1_Taxi_25_34,F_M1_Taxi_35_44,F_M1_Taxi_45_54,F_M1_Taxi_55_64,F_M1_Taxi_65_74,F_M1_Taxi_75ov,F_M1_Taxi_Tot,F_M1_CarAsDriv_15_24,F_M1_CarAsDriv_25_34,F_M1_CarAsDriv_35_44,F_M1_CarAsDriv_45_54,F_M1_CarAsDriv_55_64,F_M1_CarAsDriv_65_74,F_M1_CarAsDriv_75ov,F_M1_CarAsDriv_Tot,F_M1_CarAsPas_15_24,F_M1_CarAsPas_25_34,F_M1_CarAsPas_35_44,F_M1_CarAsPas_45_54,F_M1_CarAsPas_55_64,F_M1_CarAsPas_65_74,F_M1_CarAsPas_75ov,F_M1_CarAsPas_Tot,F_M1_Truck_15_24,F_M1_Truck_25_34,F_M1_Truck_35_44,F_M1_Truck_45_54,F_M1_Truck_55_64,F_M1_Truck_65_74,F_M1_Truck_75ov,F_M1_Truck_Tot,F_M1_MBikeScoot_15_24,F_M1_MBikeScoot_25_34,F_M1_MBikeScoot_35_44,F_M1_MBikeScoot_45_54,F_M1_MBikeScoot_55_64,F_M1_MBikeScoot_65_74,F_M1_MBikeScoot_75ov,F_M1_MBikeScoot_Tot,F_M1_Bicycle_15_24,F_M1_Bicycle_25_34,F_M1_Bicycle_35_44,F_M1_Bicycle_45_54,F_M1_Bicycle_55_64,F_M1_Bicycle_65_74,F_M1_Bicycle_75ov,F_M1_Bicycle_Tot,F_M1_Other_15_24,F_M1_Other_25_34,F_M1_Other_35_44,F_M1_Other_45_54,F_M1_Other_55_64,F_M1_Other_65_74,F_M1_Other_75ov,F_M1_Other_Tot,F_M1_WlkOnly_15_24,F_M1_WlkOnly_25_34,F_M1_WlkOnly_35_44,F_M1_WlkOnly_45_54,F_M1_WlkOnly_55_64,F_M1_WlkOnly_65_74,F_M1_WlkOnly_75ov,F_M1_WlkOnly_Tot,F_M1_Tot_M1_15_24,F_M1_Tot_M1_25_34,F_M1_Tot_M1_35_44,F_M1_Tot_M1_45_54,F_M1_Tot_M1_55_64,F_M1_Tot_M1_65_74,F_M1_Tot_M1_75ov,F_M1_Tot_M1_Tot,F_M2_TrnBus_15_24,F_M2_TrnBus_25_34,F_M2_TrnBus_35_44,F_M2_TrnBus_45_54,F_M2_TrnBus_55_64,F_M2_TrnBus_65_74,F_M2_TrnBus_75ov,F_M2_TrnBus_Tot
10102,6,5,0,3,0,0,0,14,13,18,4,18,8,0,0,62,17,20,8,19,8,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,3,12,35,52,88,98,102,37,425,172,92,86,101,88,46,10,603,18,20,12,12,22,3,3,91,1386,1975,1720,1765,1281,439,100,8662,0,0,0,0,0,0,0,0,12,14,5,3,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,3,0,0,15,580,716,861,1032,658,111,4,3955,168,95,62,51,39,16,6,440,0,0,0,3,0,3,0,9,0,3,0,0,0,0,0,7,0,3,0,3,3,0,0,11,0,4,12,12,8,3,0,36,55,75,57,72,69,14,0,348,828,915,1001,1175,784,146,13,4854,0,0,0,0,0,0,0,0
10103,0,0,0,0,0,0,0,3,8,7,7,4,11,3,0,45,58,29,12,17,16,5,0,128,8,4,0,0,3,0,0,20,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,4,8,4,5,3,3,0,0,23,21,34,48,88,113,79,41,416,85,69,49,61,81,33,10,387,17,4,13,13,7,8,3,66,917,949,815,987,900,325,90,4986,4,3,0,5,4,0,0,18,7,0,3,0,5,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,9,355,450,542,707,413,108,7,2583,132,66,25,49,37,9,0,318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,4,0,0,0,16,13,12,6,7,14,12,0,58,138,142,56,101,57,21,3,524,655,677,640,872,529,154,15,3540,0,0,0,0,0,0,0,0
10104,7,0,0,0,0,0,0,7,10,13,16,18,13,3,0,76,12,14,16,21,19,3,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,0,3,0,0,6,9,30,102,165,244,169,64,787,217,133,155,209,280,98,15,1101,38,26,23,23,20,20,11,153,1438,1588,2013,2722,2758,806,151,11487,0,3,0,0,0,0,0,3,19,4,13,5,4,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,822,1126,1666,2351,1914,268,22,8161,249,68,77,119,91,22,0,634,0,0,0,8,3,0,0,17,3,0,4,4,0,0,0,13,5,5,13,9,8,0,0,38,3,8,8,17,20,4,0,63,85,64,81,139,135,27,3,535,1186,1276,1866,2660,2192,324,22,9522,0,0,0,0,0,0,0,0
10105,3,0,0,0,0,0,0,5,7,8,8,6,6,3,0,45,17,23,23,17,8,5,0,86,0,3,5,0,0,0,0,7,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3,3,0,0,0,0,15,13,17,43,73,123,110,37,420,125,76,68,93,70,26,10,466,15,15,10,18,10,5,0,64,946,1270,1174,1302,1066,374,86,6210,10,15,15,5,9,0,0,58,16,21,6,12,15,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,3,0,3,0,0,14,502,796,895,1058,691,120,16,4081,152,55,30,65,43,10,0,362,0,0,0,7,0,3,0,12,3,0,0,0,0,0,0,5,0,0,3,0,0,0,0,7,0,3,3,0,12,7,0,24,34,56,41,45,54,18,0,244,730,952,991,1206,828,158,14,4876,8,9,4,4,4,0,0,26
10106,0,0,0,0,0,0,0,0,5,7,5,10,13,3,0,41,15,18,8,15,16,5,0,71,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,0,12,13,29,54,108,146,121,45,515,53,45,47,53,52,32,5,281,5,11,11,14,10,3,0,55,578,796,894,980,844,392,105,4597,12,19,3,8,3,0,0,37,9,7,6,6,5,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,6,349,465,579,664,433,88,3,2581,61,27,25,39,24,11,0,184,0,3,3,0,0,0,0,8,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,7,0,4,5,3,0,22,46,34,39,62,62,18,3,254,475,558,658,788,530,128,6,3143,5,6,8,0,0,0,0,16
10201,16,6,8,3,3,0,0,32,39,45,30,47,38,11,0,197,91,84,82,90,75,13,0,445,7,6,4,7,12,3,0,40,3,0,0,0,0,0,0,5,0,0,3,3,0,0,0,6,16,7,8,8,7,3,0,56,38,128,328,392,389,268,62,1601,638,325,287,341,373,138,27,2127,55,48,47,55,33,25,15,280,4377,5030,5222,5735,4611,1312,191,26478,56,55,48,34,43,7,0,248,155,86,60,77,77,14,0,468,3,0,3,0,0,0,0,7,0,0,0,0,0,0,0,3,10,11,7,9,0,3,0,28,2864,3635,4643,5665,3950,561,29,21346,654,198,153,259,204,41,4,1518,0,0,0,0,3,0,0,10,3,3,6,4,4,0,0,17,10,3,12,19,5,0,0,46,0,11,12,23,29,6,0,82,128,118,99,147,125,28,5,656,3877,4124,5049,6238,4443,665,37,24424,28,29,16,21,12,5,0,105
10202,17,7,0,0,0,0,0,26,32,33,33,27,22,0,0,152,72,61,68,41,38,4,0,287,5,6,3,3,0,3,0,25,3,0,0,0,0,0,0,0,4,0,4,0,0,0,0,11,11,6,9,7,0,3,0,33,39,66,167,237,224,121,31,881,494,246,226,291,309,97,16,1680,69,51,35,38,34,16,4,247,3782,4232,4333,4724,3648,911,120,21755,28,22,21,12,8,3,0,95,135,49,40,52,40,8,0,318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,3,0,0,0,12,2367,3101,3708,4215,2723,366,16,16498,623,150,130,191,160,40,3,1300,0,4,3,4,0,0,0,14,0,3,0,5,3,0,0,8,3,5,9,14,4,0,0,37,6,14,14,19,13,4,0,70,103,72,68,93,88,23,0,447,3266,3426,3989,4620,3042,436,23,18800,17,10,3,12,7,3,0,49
10301,0,4,3,4,0,0,0,11,12,23,4,10,11,5,0,64,13,23,11,15,10,5,0,75,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,4,6,5,0,0,0,0,0,16,10,40,52,84,111,111,52,459,192,117,106,103,136,53,20,734,26,22,19,24,19,14,4,127,1527,1958,1841,2015,1679,580,130,9733,0,3,0,0,0,0,0,6,9,6,7,3,7,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,3,0,0,0,21,970,1264,1512,1674,1132,201,16,6767,213,88,69,96,89,16,0,560,0,0,0,0,3,4,0,9,3,0,0,0,0,0,0,5,3,0,5,3,0,0,0,17,8,10,3,3,12,5,0,34,87,78,34,80,69,23,3,373,1287,1447,1637,1865,1315,248,17,7820,0,0,0,0,0,0,0,0
10302,0,4,10,7,0,0,0,25,10,16,18,15,10,12,5,80,13,20,26,19,11,13,5,110,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,3,3,0,7,0,16,3,4,3,3,0,7,0,23,37,82,156,264,339,244,112,1236,146,109,89,122,141,69,15,694,40,26,21,31,29,13,18,183,1529,1891,1986,2328,2242,896,291,11164,3,0,0,0,0,0,0,5,4,3,4,3,4,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,4,4,0,0,17,778,1119,1355,1619,1127,213,33,6238,204,85,72,74,67,10,6,519,0,0,0,3,4,4,4,21,0,0,4,0,3,3,0,15,0,3,3,9,3,0,0,18,0,8,10,15,19,7,0,63,92,72,88,130,133,35,10,552,1092,1298,1536,1857,1362,276,50,7466,0,0,0,0,0,0,0,0
10303,0,4,0,0,0,0,0,5,6,21,17,19,14,4,0,76,9,27,21,21,13,4,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,8,0,0,0,0,4,3,0,8,19,30,53,102,148,148,54,550,129,143,166,188,156,60,4,850,36,15,14,26,20,8,8,128,1204,1833,1799,2156,1727,534,137,9388,3,7,0,4,0,0,0,9,3,3,0,4,11,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,8,0,0,18,573,879,1197,1438,932,161,21,5200,162,60,48,75,57,9,3,415,0,0,0,4,5,3,0,10,4,0,0,0,3,0,0,10,0,0,3,3,3,0,0,9,0,0,0,4,5,4,0,20,63,55,72,88,98,22,7,413,810,1011,1325,1620,1109,206,34,6113,0,0,0,0,0,0,0,0
