SA3_CODE_2016,F_SriLanka_ES_NS,F_SriLanka_Tot,F_Thailand_E,F_Thailand_OM_IE,F_Thailand_OM_UIE,F_Thailand_CFW,F_Thailand_ES_NS,F_Thailand_Tot,F_Turkey_E,F_Turkey_OM_IE,F_Turkey_OM_UIE,F_Turkey_CFW,F_Turkey_ES_NS,F_Turkey_Tot,F_UK_E,F_UK_OM_IE,F_UK_OM_UIE,F_UK_CFW,F_UK_ES_NS,F_UK_Tot,F_USA_E,F_USA_OM_IE,F_USA_OM_UIE,F_USA_CFW,F_USA_ES_NS,F_USA_Tot,F_Vietnam_E,F_Vietnam_OM_IE,F_Vietnam_OM_UIE,F_Vietnam_CFW,F_Vietnam_ES_NS,F_Vietnam_Tot,F_Zimbabwe_E,F_Zimbabwe_OM_IE,F_Zimbabwe_OM_UIE,F_Zimbabwe_CFW,F_Zimbabwe_ES_NS,F_Zimbabwe_Tot,F_Elsewhere_E,F_Elsewhere_OM_IE,F_Elsewhere_OM_UIE,F_Elsewhere_CFW,F_Elsewhere_ES_NS,F_Elsewhere_Tot,F_COB_NS_E,F_COB_NS_OM_IE,F_COB_NS_OM_UIE,F_COB_NS_CFW,F_COB_NS_ES_NS,F_COB_NS_Tot,F_Tot_E,F_Tot_OM_IE,F_Tot_OM_UIE,F_Tot_CFW,F_Tot_ES_NS,F_Tot_Tot,P_Australia_E,P_Australia_OM_IE,P_Australia_OM_UIE,P_Australia_CFW,P_Australia_ES_NS,P_Australia_Tot,P_Canada_E,P_Canada_OM_IE,P_Canada_OM_UIE,P_Canada_CFW,P_Canada_ES_NS,P_Canada_Tot,P_China_E,P_China_OM_IE,P_China_OM_UIE,P_China_CFW,P_China_ES_NS,P_China_Tot,P_Croatia_E,P_Croatia_OM_IE,P_Croatia_OM_UIE,P_Croatia_CFW,P_Croatia_ES_NS,P_Croatia_Tot,P_Egypt_E,P_Egypt_OM_IE,P_Egypt_OM_UIE,P_Egypt_CFW,P_Egypt_ES_NS,P_Egypt_Tot,P_Fiji_E,P_Fiji_OM_IE,P_Fiji_OM_UIE,P_Fiji_CFW,P_Fiji_ES_NS,P_Fiji_Tot,P_FYROM_E,P_FYROM_OM_IE,P_FYROM_OM_UIE,P_FYROM_CFW,P_FYROM_ES_NS,P_FYROM_Tot,P_Germany_E,P_Germany_OM_IE,P_Germany_OM_UIE,P_Germany_CFW,P_Germany_ES_NS,P_Germany_Tot,P_Greece_E,P_Greece_OM_IE,P_Greece_OM_UIE,P_Greece_CFW,P_Greece_ES_NS,P_Greece_Tot,P_HongKong_E,P_HongKong_OM_IE,P_HongKong_OM_UIE,P_HongKong_CFW,P_HongKong_ES_NS,P_HongKong_Tot,P_India_E,P_India_OM_IE,P_India_OM_UIE,P_India_CFW,P_India_ES_NS,P_India_Tot,P_Indonesia_E,P_Indonesia_OM_IE,P_Indonesia_OM_UIE,P_Indonesia_CFW,P_Indonesia_ES_NS,P_Indonesia_Tot,P_Iran_E,P_Iran_OM_IE,P_Iran_OM_UIE,P_Iran_CFW,P_Iran_ES_NS,P_Iran_Tot,P_Iraq_E,P_Iraq_OM_IE,P_Iraq_OM_UIE,P_Iraq_CFW,P_Iraq_ES_NS,P_Iraq_Tot,P_Ireland_E,P_Ireland_OM_IE,P_Ireland_OM_UIE,P_Ireland_CFW,P_Ireland_ES_NS,P_Ireland_Tot,P_Italy_E,P_Italy_OM_IE,P_Italy_OM_UIE,P_Italy_CFW,P_Italy_ES_NS,P_Italy_Tot,P_Japan_E,P_Japan_OM_IE,P_Japan_OM_UIE,P_Japan_CFW,P_Japan_ES_NS,P_Japan_Tot,P_KoreaSouth_E,P_KoreaSouth_OM_IE,P_KoreaSouth_OM_UIE,P_KoreaSouth_CFW,P_KoreaSouth_ES_NS,P_KoreaSouth_Tot,P_Lebanon_E,P_Lebanon_OM_IE,P_Lebanon_OM_UIE,P_Lebanon_CFW,P_Lebanon_ES_NS,P_Lebanon_Tot,P_Malaysia_E,P_Malaysia_OM_IE,P_Malaysia_OM_UIE,P_Malaysia_CFW,P_Malaysia_ES_NS,P_Malaysia_Tot,P_Malta_E,P_Malta_OM_IE,P_Malta_OM_UIE,P_Malta_CFW,P_Malta_ES_NS,P_Malta_Tot,P_Netherlands_E,P_Netherlands_OM_IE,P_Netherlands_OM_UIE,P_Netherlands_CFW,P_Netherlands_ES_NS,P_Netherlands_Tot,P_NZ_E,P_NZ_OM_IE,P_NZ_OM_UIE,P_NZ_CFW,P_NZ_ES_NS,P_NZ_Tot,P_Pakistan_E,P_Pakistan_OM_IE,P_Pakistan_OM_UIE,P_Pakistan_CFW,P_Pakistan_ES_NS,P_Pakistan_Tot
11502,0,30,12,3,0,0,0,21,3,0,0,0,0,4,162,36,23,8,0,228,22,5,3,0,0,31,24,3,3,0,0,30,9,0,0,0,0,5,169,16,22,15,3,229,32,3,4,0,3,43,3695,525,444,174,35,4873,5198,1088,775,191,60,7308,15,3,5,0,0,25,95,28,28,14,0,161,17,3,0,4,0,23,14,3,0,0,0,16,50,3,3,0,0,57,5,0,0,0,0,6,13,5,12,0,0,32,3,3,0,0,0,7,38,0,5,0,0,45,173,14,17,4,3,213,21,0,0,0,0,26,27,6,5,0,0,40,15,3,3,0,0,17,20,16,3,0,0,41,43,16,34,12,0,104,6,0,0,0,0,6,38,6,10,9,0,65,37,21,17,6,3,87,33,5,7,0,0,44,10,3,10,3,0,24,13,4,8,0,0,27,141,29,15,6,0,192,23,8,10,0,0,36
11503,0,3,0,0,0,0,0,3,0,0,0,0,0,0,49,9,14,15,3,90,3,0,3,0,0,7,0,0,0,0,0,3,0,0,0,0,0,0,19,6,6,0,0,30,23,4,4,3,0,32,1211,240,281,127,31,1890,2004,541,633,159,56,3391,0,4,0,0,0,9,10,0,13,3,0,35,8,0,0,0,0,9,0,0,0,0,0,0,7,0,3,0,0,12,0,0,0,0,0,3,9,6,3,0,0,29,0,3,0,0,0,3,4,0,0,0,0,3,30,4,3,0,0,36,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,3,4,9,0,0,0,12,8,0,3,4,0,16,6,0,0,0,0,7,3,3,3,0,0,10,0,0,6,0,0,12,3,0,0,0,0,3,11,0,13,4,0,32,4,8,0,0,0,14,46,16,14,3,0,81,0,0,0,0,0,3
11504,0,23,25,0,0,0,0,29,5,0,0,0,0,4,159,18,17,3,3,202,17,3,3,0,0,21,23,3,3,4,0,30,4,0,0,0,0,4,147,16,12,6,0,182,40,3,4,3,3,55,4316,403,364,123,34,5235,6254,871,577,124,56,7890,12,0,0,0,0,16,143,34,44,13,3,235,8,4,0,0,0,18,24,10,6,0,0,33,62,3,3,3,0,72,9,0,0,0,0,9,19,4,0,0,0,31,9,0,7,0,0,12,35,4,4,3,0,39,270,41,17,4,0,333,24,0,3,0,0,25,33,12,3,3,3,56,27,3,7,0,0,35,61,23,3,0,0,87,26,7,5,3,0,40,9,3,0,0,0,13,36,11,5,0,0,55,29,14,18,4,3,64,19,4,3,0,0,32,33,7,15,3,0,59,14,4,0,0,0,17,193,22,8,3,0,226,37,10,8,0,0,51
11601,3,324,82,3,3,3,0,89,42,3,6,4,0,59,539,28,23,8,3,598,65,3,0,0,0,64,244,18,21,8,0,298,32,0,0,0,0,33,1386,77,91,23,23,1601,209,16,8,6,15,253,19824,814,845,252,182,21910,24345,1634,1152,207,245,27576,50,3,3,0,0,56,1012,186,140,45,11,1393,118,10,14,0,7,148,162,33,26,6,3,230,691,53,33,6,10,799,48,6,3,0,0,56,117,11,6,0,0,134,46,4,8,3,0,68,235,19,24,3,0,281,2557,329,272,40,22,3221,174,17,12,0,3,208,193,43,15,10,0,259,188,18,22,3,0,232,118,18,9,0,3,145,147,34,13,4,0,201,25,0,4,0,0,36,299,55,69,11,3,443,234,67,54,3,3,365,234,42,29,4,0,300,154,10,23,0,6,197,63,9,10,0,0,76,1089,65,36,8,19,1220,224,28,23,4,5,289
11602,0,81,15,0,0,0,0,13,10,0,3,0,0,7,180,12,23,3,0,213,19,0,0,3,0,26,38,7,6,3,0,56,9,0,0,0,0,9,292,29,58,6,0,393,60,3,16,4,3,80,5873,404,663,148,56,7147,7615,768,763,120,75,9355,19,4,4,0,0,30,163,63,62,26,3,321,26,7,8,0,0,34,38,13,10,0,0,62,147,30,14,3,3,199,7,0,0,0,0,7,28,6,4,3,0,38,10,4,3,0,0,15,51,7,14,0,0,70,647,173,193,35,14,1064,37,6,15,3,0,65,58,22,23,3,0,101,37,0,5,3,4,47,44,13,3,3,0,61,26,10,3,0,0,44,10,0,0,0,0,14,61,8,22,3,0,95,53,18,17,5,3,94,46,11,13,3,0,76,31,10,21,0,0,64,19,0,3,0,0,20,280,22,27,3,0,340,83,31,27,4,0,139
11603,0,113,46,0,0,0,0,50,34,3,3,0,0,44,487,16,10,3,0,518,25,0,0,0,0,24,241,7,24,5,3,286,7,0,0,0,0,9,1117,42,109,17,24,1314,228,4,7,3,16,259,16126,406,556,126,171,17386,24580,855,624,112,214,26380,41,4,0,0,0,48,638,76,49,12,6,775,111,4,3,0,5,125,157,43,10,0,4,215,823,73,53,6,12,964,60,3,5,0,0,77,77,5,0,0,0,84,33,7,7,0,3,51,133,7,3,0,0,145,1826,143,105,20,22,2113,136,4,9,0,0,155,109,4,5,0,0,130,302,53,27,0,4,386,120,13,0,0,0,129,136,11,13,0,4,170,19,3,0,0,0,20,161,19,19,0,0,194,244,31,40,5,13,333,144,16,11,4,0,170,156,11,6,0,0,176,53,3,0,0,0,53,1645,15,36,7,18,1719,294,52,91,6,5,450
11701,0,62,286,7,13,3,0,310,54,0,0,0,0,59,626,22,24,3,7,677,98,3,3,0,0,105,305,9,12,3,0,337,19,0,0,0,0,17,2228,56,57,12,24,2377,221,8,10,3,15,253,20846,503,445,120,178,22083,29814,1312,657,113,236,32127,139,3,3,0,0,150,2013,139,105,31,12,2296,106,6,10,0,0,125,287,29,7,0,5,326,599,14,7,0,6,629,357,14,4,0,8,381,235,7,8,4,3,255,288,27,25,3,4,350,578,11,20,0,7,612,1790,50,35,4,14,1883,942,37,37,6,11,1038,157,11,9,3,0,176,169,17,13,0,3,201,374,30,15,0,3,414,309,17,8,4,5,341,252,7,6,0,0,269,375,27,16,4,5,423,405,40,32,3,4,484,378,16,10,3,4,417,66,3,3,0,0,73,84,7,0,0,0,88,1893,54,35,4,21,2002,257,4,18,0,4,276
11702,0,37,132,3,9,0,0,149,16,0,0,0,0,16,240,31,51,5,0,328,47,8,7,0,0,57,425,35,44,15,3,519,9,0,0,0,0,9,984,47,66,14,15,1124,85,5,12,3,9,113,8379,610,847,145,93,10073,9516,1128,1160,115,102,12025,43,7,3,0,0,52,1183,201,127,36,12,1560,26,7,3,0,6,38,68,20,9,3,3,100,129,5,3,5,0,144,99,6,0,4,0,115,61,6,10,0,0,80,203,49,38,6,3,300,204,18,11,3,3,238,511,28,37,8,8,599,330,11,19,0,0,361,54,11,9,4,0,71,43,5,3,0,0,59,114,23,14,3,0,147,155,27,21,3,3,213,62,7,8,0,0,80,135,18,14,0,0,166,177,48,40,7,0,274,112,14,17,0,0,145,18,3,3,0,0,31,21,0,4,0,0,26,506,56,48,5,3,620,110,13,24,0,3,150
11703,3,1461,3047,69,90,34,39,3287,303,19,20,3,0,350,12035,373,337,28,63,12833,2196,54,69,7,13,2338,3133,97,105,27,37,3397,274,10,3,0,0,285,18445,427,446,94,149,19554,1676,60,55,18,104,1914,218952,5881,5618,890,1440,232779,229548,11741,9171,740,1485,252682,2077,123,84,6,3,2292,25465,1956,1042,351,147,28960,641,38,27,0,5,716,1045,87,45,7,5,1192,2896,62,32,4,22,3023,879,45,21,6,13,962,2319,122,95,16,4,2551,817,94,74,6,14,1004,7148,303,224,31,37,7743,20353,557,220,42,79,21254,6698,180,118,32,45,7066,1746,126,85,9,12,1982,674,41,31,3,11,765,4365,240,91,4,28,4727,2461,154,118,18,28,2778,2596,137,106,9,20,2869,5110,445,266,75,47,5947,1494,203,144,18,22,1881,5042,256,174,16,21,5513,231,16,11,0,6,264,970,71,39,3,9,1092,12268,694,434,39,96,13528,1995,58,64,8,21,2150
11801,0,51,355,10,20,3,3,386,26,3,0,0,0,31,1099,160,195,25,6,1485,226,26,43,3,0,305,198,12,27,7,5,250,38,0,9,0,0,47,2553,219,318,81,27,3204,196,16,30,10,19,270,20950,2074,2672,498,217,26407,20345,3182,2821,448,217,27023,195,33,24,0,3,262,1078,170,142,38,7,1437,37,10,9,0,0,61,87,28,10,3,0,123,170,15,8,3,3,193,54,8,3,3,0,63,215,46,44,9,3,319,93,24,28,4,3,152,259,32,22,7,0,322,816,40,38,13,7,920,574,13,13,7,4,617,113,23,20,3,0,154,48,8,13,3,0,64,445,59,43,6,4,556,392,55,41,3,5,494,193,26,19,4,0,239,323,47,51,5,5,426,104,40,27,3,0,170,227,18,10,6,5,267,29,0,8,0,0,39,72,14,17,0,0,108,1035,217,198,16,15,1482,99,8,3,3,0,108
