SA3_CODE_2016,EAFW_18_TechFEI_NS,EAFW_18_TechFEI_Tot,EAFW_18_UniOTIs_FT,EAFW_18_UniOTIs_PT,EAFW_18_UniOTIs_NS,EAFW_18_UniOTIs_Tot,EAFW_18_Other,EAFW_18_NS,EAFW_18_Tot,EAFW_19_TechFEI_FT,EAFW_19_TechFEI_PT,EAFW_19_TechFEI_NS,EAFW_19_TechFEI_Tot,EAFW_19_UniOTIs_FT,EAFW_19_UniOTIs_PT,EAFW_19_UniOTIs_NS,EAFW_19_UniOTIs_Tot,EAFW_19_Other,EAFW_19_NS,EAFW_19_Tot,EAFW_20_24_TechFEI_FT,EAFW_20_24_TechFEI_PT,EAFW_20_24_TechFEI_NS,EAFW_20_24_TechFEI_Tot,EAFW_20_24_UniOTIs_FT,EAFW_20_24_UniOTIs_PT,EAFW_20_24_UniOTIs_NS,EAFW_20_24_UniOTIs_Tot,EAFW_20_24_Other,EAFW_20_24_NS,EAFW_20_24_Tot,EAFW_25_29_TechFEI_FT,EAFW_25_29_TechFEI_PT,EAFW_25_29_TechFEI_NS,EAFW_25_29_TechFEI_Tot,EAFW_25_29_UniOTIs_FT,EAFW_25_29_UniOTIs_PT,EAFW_25_29_UniOTIs_NS,EAFW_25_29_UniOTIs_Tot,EAFW_25_29_Other,EAFW_25_29_NS,EAFW_25_29_Tot,EAFW_30over_TechFEI_FT,EAFW_30over_TechFEI_PT,EAFW_30over_TechFEI_NS,EAFW_30over_TechFEI_Tot,EAFW_30over_UniOTIs_FT,EAFW_30over_UniOTIs_PT,EAFW_30over_UniOTIs_NS,EAFW_30over_UniOTIs_Tot,EAFW_30over_Other,EAFW_30over_NS,EAFW_30over_Tot,EAFW_Tot_TechFEI_FT,EAFW_Tot_TechFEI_PT,EAFW_Tot_TechFEI_NS,EAFW_Tot_TechFEI_Tot,EAFW_Tot_UniOTIs_FT,EAFW_Tot_UniOTIs_PT,EAFW_Tot_UniOTIs_NS,EAFW_Tot_UniOTIs_Tot,EAFW_Tot_Other,EAFW_Tot_NS,EAFW_Tot_Tot,Tot_16_TechFEI_FT,Tot_16_TechFEI_PT,Tot_16_TechFEI_NS,Tot_16_TechFEI_Tot,Tot_16_UniOTIs_FT,Tot_16_UniOTIs_PT,Tot_16_UniOTIs_NS,Tot_16_UniOTIs_Tot,Tot_16_Other,Tot_16_NS,Tot_16_Tot,Tot_17_TechFEI_FT,Tot_17_TechFEI_PT,Tot_17_TechFEI_NS,Tot_17_TechFEI_Tot,Tot_17_UniOTIs_FT,Tot_17_UniOTIs_PT,Tot_17_UniOTIs_NS,Tot_17_UniOTIs_Tot,Tot_17_Other,Tot_17_NS,Tot_17_Tot,Tot_18_TechFEI_FT,Tot_18_TechFEI_PT,Tot_18_TechFEI_NS,Tot_18_TechFEI_Tot,Tot_18_UniOTIs_FT,Tot_18_UniOTIs_PT,Tot_18_UniOTIs_NS,Tot_18_UniOTIs_Tot,Tot_18_Other,Tot_18_NS,Tot_18_Tot,Tot_19_TechFEI_FT,Tot_19_TechFEI_PT,Tot_19_TechFEI_NS,Tot_19_TechFEI_Tot,Tot_19_UniOTIs_FT,Tot_19_UniOTIs_PT,Tot_19_UniOTIs_NS,Tot_19_UniOTIs_Tot,Tot_19_Other,Tot_19_NS,Tot_19_Tot,Tot_20_24_TechFEI_FT,Tot_20_24_TechFEI_PT,Tot_20_24_TechFEI_NS,Tot_20_24_TechFEI_Tot,Tot_20_24_UniOTIs_FT,Tot_20_24_UniOTIs_PT,Tot_20_24_UniOTIs_NS,Tot_20_24_UniOTIs_Tot,Tot_20_24_Other,Tot_20_24_NS,Tot_20_24_Tot,Tot_25_29_TechFEI_FT,Tot_25_29_TechFEI_PT,Tot_25_29_TechFEI_NS,Tot_25_29_TechFEI_Tot,Tot_25_29_UniOTIs_FT,Tot_25_29_UniOTIs_PT,Tot_25_29_UniOTIs_NS,Tot_25_29_UniOTIs_Tot,Tot_25_29_Other,Tot_25_29_NS,Tot_25_29_Tot,Tot_30over_TechFEI_FT,Tot_30over_TechFEI_PT,Tot_30over_TechFEI_NS,Tot_30over_TechFEI_Tot,Tot_30over_UniOTIs_FT,Tot_30over_UniOTIs_PT,Tot_30over_UniOTIs_NS,Tot_30over_UniOTIs_Tot,Tot_30over_Other,Tot_30over_NS,Tot_30over_Tot,Tot_Tot_TechFEI_FT,Tot_Tot_TechFEI_PT,Tot_Tot_TechFEI_NS,Tot_Tot_TechFEI_Tot,Tot_Tot_UniOTIs_FT,Tot_Tot_UniOTIs_PT,Tot_Tot_UniOTIs_NS,Tot_Tot_UniOTIs_Tot,Tot_Tot_Other,Tot_Tot_NS,Tot_Tot_Tot
10102,0,3,0,0,0,0,0,0,7,0,0,0,0,5,0,0,5,0,0,5,0,0,0,0,14,9,0,18,0,3,22,0,3,0,3,4,3,0,3,0,0,6,3,3,0,6,0,13,0,10,0,12,28,3,15,0,15,21,19,0,39,32,13,102,0,8,0,7,0,0,0,0,150,3,156,3,9,0,14,0,0,0,0,177,6,201,5,33,0,32,40,3,0,48,80,0,164,14,59,0,74,79,3,0,81,7,3,167,36,124,0,157,209,64,0,273,21,17,470,11,69,0,87,46,77,0,126,14,8,232,29,162,3,192,60,243,0,299,83,103,681,100,468,3,566,427,402,0,830,526,139,2058
10103,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,3,0,0,9,0,0,0,0,5,0,0,7,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,7,0,7,0,15,22,0,6,0,6,5,9,0,18,12,20,52,0,3,0,3,0,0,0,0,69,3,77,0,5,0,5,0,0,0,0,66,3,76,3,13,0,15,3,3,0,5,22,3,50,0,20,0,20,16,6,0,23,3,0,49,10,58,0,65,66,43,0,112,10,16,198,3,44,0,46,16,42,0,54,14,8,127,11,120,0,131,13,120,0,136,33,90,387,22,264,0,285,117,212,3,330,218,124,964
10104,0,0,0,0,0,0,13,3,16,3,0,0,4,3,0,0,3,0,0,6,0,11,0,11,8,0,0,8,0,4,26,0,3,0,7,3,5,0,10,0,0,22,0,8,0,11,10,13,0,21,9,23,65,5,21,0,28,31,22,0,51,67,36,183,0,8,0,8,0,0,0,0,235,4,252,8,26,0,35,3,0,0,3,252,8,293,12,34,0,46,11,0,0,12,116,8,179,15,33,0,47,18,6,0,21,13,6,85,16,126,0,145,77,43,0,114,23,15,298,14,70,0,80,27,49,0,77,12,12,191,19,206,4,234,78,325,3,408,101,280,1025,83,507,3,589,209,426,3,636,744,343,2317
10105,0,0,0,0,0,0,3,0,5,0,0,0,0,5,0,0,5,0,0,8,0,4,0,4,11,0,0,17,0,0,23,0,3,0,3,3,0,0,4,3,0,6,0,4,0,8,3,6,0,13,3,13,35,0,10,0,12,25,8,0,32,22,15,85,3,6,0,8,0,0,0,0,115,0,126,9,15,0,18,0,0,0,0,104,0,119,0,29,0,26,23,3,0,29,35,3,94,3,33,0,34,42,11,0,55,3,3,96,14,79,0,97,141,36,0,182,19,9,305,9,44,0,53,28,44,0,77,20,5,150,13,110,5,130,47,172,3,223,70,108,527,46,310,6,361,281,273,6,562,364,126,1412
10106,0,4,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,3,0,4,0,6,5,7,0,14,0,0,21,0,0,0,0,0,4,0,3,0,0,5,0,7,0,7,3,3,0,6,0,5,19,3,15,0,14,14,10,0,25,13,4,68,0,0,0,0,0,0,0,0,41,0,46,0,3,0,3,0,0,0,0,56,3,61,5,21,0,23,14,3,0,15,17,3,61,0,11,0,14,29,3,0,34,0,0,47,7,44,0,55,90,52,0,147,12,13,220,13,30,0,45,32,34,0,64,13,6,121,10,81,0,98,33,109,0,138,49,74,354,35,198,3,241,197,197,0,400,186,91,915
10201,0,8,4,0,0,7,27,0,40,0,3,0,3,21,0,0,21,0,0,23,9,10,0,20,77,6,0,84,3,6,118,6,12,0,15,20,19,0,36,8,4,61,0,19,0,21,16,26,0,45,14,48,131,22,55,3,81,140,58,0,201,125,58,465,4,9,0,18,3,0,0,3,609,15,640,16,58,0,74,9,3,0,12,667,16,763,24,105,0,131,208,23,0,233,251,11,625,34,115,0,155,342,54,4,400,22,11,584,97,377,5,480,984,271,4,1257,66,35,1837,35,189,0,225,243,267,3,517,70,31,837,78,541,6,626,249,842,4,1099,307,352,2389,302,1396,20,1712,2041,1462,15,3512,1988,466,7683
10202,0,6,8,0,0,5,30,0,44,0,0,0,0,7,3,0,8,0,0,12,0,11,0,15,67,10,0,82,3,3,104,0,3,0,6,9,7,0,15,4,4,29,3,20,0,23,10,26,0,39,14,46,127,10,45,0,53,103,53,0,154,121,69,394,8,18,0,24,0,0,0,3,514,18,562,15,54,0,72,3,0,0,3,542,21,630,14,86,0,106,126,15,0,141,228,12,483,19,111,0,134,205,39,0,247,23,11,410,66,293,0,355,699,228,0,921,65,29,1378,27,151,0,174,171,198,0,379,46,25,619,60,455,3,524,176,614,4,794,220,309,1851,215,1163,10,1384,1380,1101,5,2489,1640,422,5939
10301,0,3,14,0,0,14,8,0,19,0,5,0,5,14,0,0,14,0,0,16,5,4,0,10,55,5,0,62,0,0,70,0,7,0,3,9,0,0,12,0,0,21,0,13,0,16,8,18,0,26,3,23,58,9,29,0,37,95,27,0,125,29,27,219,0,5,0,3,0,0,0,0,146,6,155,5,20,0,31,0,0,0,0,159,6,196,13,42,0,52,71,3,0,72,63,0,189,7,50,0,56,123,5,0,131,5,0,200,33,110,3,149,482,114,0,596,11,12,770,18,72,0,94,68,92,0,163,24,19,291,33,248,0,279,71,391,0,459,80,179,994,106,544,4,665,813,609,4,1422,487,222,2799
10302,0,0,8,0,0,8,15,0,26,0,0,0,0,7,0,0,12,0,0,9,0,3,0,3,14,0,3,15,0,8,29,0,3,0,3,0,6,0,12,0,0,12,0,17,0,16,0,14,0,17,0,32,64,0,24,0,31,32,24,3,56,52,43,179,0,8,0,4,0,0,0,0,158,0,162,4,19,0,25,0,0,0,0,155,6,190,8,53,3,57,12,3,0,11,78,5,154,8,56,0,58,24,8,0,33,11,7,106,21,118,0,137,72,67,3,136,19,20,312,0,58,0,60,21,62,0,86,8,16,167,12,221,4,233,24,183,0,209,67,266,774,57,526,5,584,150,322,3,476,493,325,1876
10303,0,3,0,0,0,0,8,0,15,3,3,0,8,3,0,0,3,0,0,9,0,3,0,3,7,3,0,11,0,6,20,0,4,0,4,0,0,0,0,0,0,9,0,7,0,5,0,12,0,18,4,17,43,7,15,0,24,15,16,0,30,33,28,118,0,8,0,11,0,0,0,0,116,0,131,0,23,0,22,0,0,0,0,115,7,152,10,35,0,47,15,0,0,15,52,3,125,13,51,0,62,20,3,0,20,5,3,92,18,105,5,127,59,56,0,109,9,20,266,6,68,0,69,20,58,0,74,15,17,181,14,195,0,212,42,212,0,247,67,201,736,66,487,9,555,144,326,0,475,384,263,1680
