STE_CODE_2016,M_M2_BusTot_15_24,M_M2_BusTot_25_34,M_M2_BusTot_35_44,M_M2_BusTot_45_54,M_M2_BusTot_55_64,M_M2_BusTot_65_74,M_M2_BusTot_75ov,M_M2_BusTot_Tot,M_M2_Other_M2_15_24,M_M2_Other_M2_25_34,M_M2_Other_M2_35_44,M_M2_Other_M2_45_54,M_M2_Other_M2_55_64,M_M2_Other_M2_65_74,M_M2_Other_M2_75ov,M_M2_Other_M2_Tot,M_M2_Tot_M2_15_24,M_M2_Tot_M2_25_34,M_M2_Tot_M2_35_44,M_M2_Tot_M2_45_54,M_M2_Tot_M2_55_64,M_M2_Tot_M2_65_74,M_M2_Tot_M2_75ov,M_M2_Tot_M2_Tot,M_M3_Trn_and_2_oth_Ms_15_24,M_M3_Trn_and_2_oth_Ms_25_34,M_M3_Trn_and_2_oth_Ms_35_44,M_M3_Trn_and_2_oth_Ms_45_54,M_M3_Trn_and_2_oth_Ms_55_64,M_M3_Trn_and_2_oth_Ms_65_74,M_M3_Trn_and_2_oth_Ms_75ov,M_M3_Trn_and_2_oth_Ms_Tot,M_M3_Bus2othMs_ex_tn_15_24,M_M3_Bus2othMs_ex_tn_25_34,M_M3_Bus2othMs_ex_tn_35_44,M_M3_Bus2othMs_ex_tn_45_54,M_M3_Bus2othMs_ex_tn_55_64,M_M3_Bus2othMs_ex_tn_65_74,M_M3_Bus2othMs_ex_tn_75ov,M_M3_Bus2othMs_ex_tn_Tot,M_M3_Other_M3_15_24,M_M3_Other_M3_25_34,M_M3_Other_M3_35_44,M_M3_Other_M3_45_54,M_M3_Other_M3_55_64,M_M3_Other_M3_65_74,M_M3_Other_M3_75ov,M_M3_Other_M3_Tot,M_M3_Tot_M3_15_24,M_M3_Tot_M3_25_34,M_M3_Tot_M3_35_44,M_M3_Tot_M3_45_54,M_M3_Tot_M3_55_64,M_M3_Tot_M3_65_74,M_M3_Tot_M3_75ov,M_M3_Tot_M3_Tot,M_Wkd_at_home_15_24,M_Wkd_at_home_25_34,M_Wkd_at_home_35_44,M_Wkd_at_home_45_54,M_Wkd_at_home_55_64,M_Wkd_at_home_65_74,M_Wkd_at_home_75ov,M_Wkd_at_home_Tot,M_Did_not_go_to_work_15_24,M_Did_not_go_to_work_25_34,M_Did_not_go_to_work_35_44,M_Did_not_go_to_work_45_54,M_Did_not_go_to_work_55_64,M_Did_not_go_to_work_65_74,M_Did_not_go_to_work_75ov,M_Did_not_go_to_work_Tot,M_MT_NS_15_24,M_MT_NS_25_34,M_MT_NS_35_44,M_MT_NS_45_54,M_MT_NS_55_64,M_MT_NS_65_74,M_MT_NS_75ov,M_MT_NS_Tot,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75ov,M_Tot_Tot,F_M1_Train_15_24,F_M1_Train_25_34,F_M1_Train_35_44,F_M1_Train_45_54,F_M1_Train_55_64,F_M1_Train_65_74,F_M1_Train_75ov,F_M1_Train_Tot,F_M1_Bus_15_24,F_M1_Bus_25_34,F_M1_Bus_35_44,F_M1_Bus_45_54,F_M1_Bus_55_64,F_M1_Bus_65_74,F_M1_Bus_75ov,F_M1_Bus_Tot,F_M1_Ferry_15_24,F_M1_Ferry_25_34,F_M1_Ferry_35_44,F_M1_Ferry_45_54,F_M1_Ferry_55_64,F_M1_Ferry_65_74,F_M1_Ferry_75ov,F_M1_Ferry_Tot,F_M1_Tram_Inc_LR_15_24,F_M1_Tram_Inc_LR_25_34,F_M1_Tram_Inc_LR_35_44,F_M1_Tram_Inc_LR_45_54,F_M1_Tram_Inc_LR_55_64,F_M1_Tram_Inc_LR_65_74,F_M1_Tram_Inc_LR_75ov,F_M1_Tram_Inc_LR_Tot,F_M1_Taxi_15_24,F_M1_Taxi_25_34,F_M1_Taxi_35_44,F_M1_Taxi_45_54,F_M1_Taxi_55_64,F_M1_Taxi_65_74,F_M1_Taxi_75ov,F_M1_Taxi_Tot,F_M1_CarAsDriv_15_24,F_M1_CarAsDriv_25_34,F_M1_CarAsDriv_35_44,F_M1_CarAsDriv_45_54,F_M1_CarAsDriv_55_64,F_M1_CarAsDriv_65_74,F_M1_CarAsDriv_75ov,F_M1_CarAsDriv_Tot,F_M1_CarAsPas_15_24,F_M1_CarAsPas_25_34,F_M1_CarAsPas_35_44,F_M1_CarAsPas_45_54,F_M1_CarAsPas_55_64,F_M1_CarAsPas_65_74,F_M1_CarAsPas_75ov,F_M1_CarAsPas_Tot,F_M1_Truck_15_24,F_M1_Truck_25_34,F_M1_Truck_35_44,F_M1_Truck_45_54,F_M1_Truck_55_64,F_M1_Truck_65_74,F_M1_Truck_75ov,F_M1_Truck_Tot,F_M1_MBikeScoot_15_24,F_M1_MBikeScoot_25_34,F_M1_MBikeScoot_35_44,F_M1_MBikeScoot_45_54,F_M1_MBikeScoot_55_64,F_M1_MBikeScoot_65_74,F_M1_MBikeScoot_75ov,F_M1_MBikeScoot_Tot,F_M1_Bicycle_15_24,F_M1_Bicycle_25_34,F_M1_Bicycle_35_44,F_M1_Bicycle_45_54,F_M1_Bicycle_55_64,F_M1_Bicycle_65_74,F_M1_Bicycle_75ov,F_M1_Bicycle_Tot,F_M1_Other_15_24,F_M1_Other_25_34,F_M1_Other_35_44,F_M1_Other_45_54,F_M1_Other_55_64,F_M1_Other_65_74,F_M1_Other_75ov,F_M1_Other_Tot,F_M1_WlkOnly_15_24,F_M1_WlkOnly_25_34,F_M1_WlkOnly_35_44,F_M1_WlkOnly_45_54,F_M1_WlkOnly_55_64,F_M1_WlkOnly_65_74,F_M1_WlkOnly_75ov,F_M1_WlkOnly_Tot,F_M1_Tot_M1_15_24,F_M1_Tot_M1_25_34,F_M1_Tot_M1_35_44,F_M1_Tot_M1_45_54,F_M1_Tot_M1_55_64,F_M1_Tot_M1_65_74,F_M1_Tot_M1_75ov,F_M1_Tot_M1_Tot,F_M2_TrnBus_15_24,F_M2_TrnBus_25_34,F_M2_TrnBus_35_44,F_M2_TrnBus_45_54,F_M2_TrnBus_55_64,F_M2_TrnBus_65_74,F_M2_TrnBus_75ov,F_M2_TrnBus_Tot
1,1113,1508,1609,1073,606,130,28,6064,2009,3117,2893,2603,1582,396,80,12675,11660,21699,18617,13411,8011,1896,233,75516,1443,2326,1920,1205,764,173,23,7859,90,173,154,120,47,17,0,596,62,147,171,169,98,37,3,694,1602,2645,2251,1497,910,226,22,9159,2205,6816,13447,16691,16854,10975,3555,70540,27005,19897,18171,17814,18424,7399,1320,110028,3664,4002,3300,3251,2449,1122,646,18441,236695,409588,397624,367595,268023,75606,12682,1767809,19006,47100,25806,17669,9719,1481,114,120894,13539,23419,14924,11250,6941,1549,109,71728,193,1153,984,571,245,64,0,3207,193,473,357,211,96,18,3,1357,333,738,624,557,347,92,12,2706,102457,173056,201296,219524,141395,24064,1749,863539,26764,14813,11154,14177,11623,2644,306,81483,25,92,121,199,171,99,38,737,315,703,612,450,214,33,16,2348,568,1599,1300,1135,498,46,8,5163,599,1268,1400,1477,1108,418,84,6351,12588,18602,11814,11670,9072,2220,311,66280,176586,283017,270391,278886,181433,32732,2753,1225792,5724,11301,5746,4281,2908,648,47,30652
2,868,729,563,414,282,77,14,2948,1782,2966,2307,2059,1229,295,50,10689,7885,15994,13754,9457,5416,1147,119,53760,1498,3051,2519,1415,846,192,24,9547,90,90,72,44,27,6,0,335,78,183,127,144,85,23,0,643,1667,3327,2721,1603,961,216,27,10526,1783,6081,10992,12969,13153,8310,2445,55742,24251,16851,14706,13801,14456,6151,1089,91298,2801,3109,2489,2544,1913,909,522,14288,190262,343177,321728,297873,213260,59774,9793,1435860,10470,28051,17023,11495,6149,951,75,74224,4738,4167,2228,2210,1488,291,24,15154,26,47,31,37,18,3,3,163,5222,12483,4942,3215,1860,435,38,28195,246,516,352,322,223,41,17,1710,83866,161908,172261,192420,120096,19886,1417,751848,24843,12184,7816,9153,7202,1657,218,63069,32,51,50,114,90,30,10,383,117,264,274,278,110,20,4,1071,1128,3740,2308,1678,778,97,14,9737,405,1003,1086,1046,793,283,41,4648,9319,12763,6739,7223,5880,1493,207,43619,140410,237160,215113,229192,144680,25189,2074,993810,2055,3460,1828,1331,879,182,14,9752
3,956,1215,1058,782,387,79,9,4476,1656,2527,2288,2114,1340,257,31,10222,4273,6404,6271,5280,3068,552,59,25910,443,490,444,320,181,27,5,1915,174,350,363,247,102,11,0,1253,76,160,164,153,95,20,0,666,694,1005,967,720,383,60,4,3834,1666,4660,8750,11431,11610,7024,2077,47223,18892,15591,14710,14667,13687,4863,678,83095,2000,2038,1796,1862,1428,670,382,10177,164577,243796,242652,235139,166612,44689,6679,1104143,3822,6713,4872,3986,2185,292,16,21882,8371,9886,5721,5000,3050,506,32,32569,211,500,272,230,132,21,3,1363,295,368,109,123,82,9,0,995,351,401,275,317,190,42,6,1584,86002,132388,149472,158022,95457,15401,869,637610,23841,11911,8400,9861,7024,1585,171,62803,35,68,99,155,130,42,10,549,199,522,457,529,225,43,4,1978,715,1563,1211,1157,524,45,7,5225,433,943,960,1103,861,297,63,4658,7597,8575,5654,6334,4930,1162,155,34407,131880,173850,177515,186810,114792,19441,1337,805624,920,1104,629,539,379,67,0,3632
4,367,490,474,359,205,26,6,1921,483,850,712,712,489,102,13,3369,1224,1872,1648,1438,915,168,26,7293,77,101,84,46,31,10,0,352,56,45,48,32,17,0,0,193,17,55,52,45,31,8,0,211,148,200,186,125,78,18,0,755,496,1285,2489,3527,3897,2580,689,14960,7054,5403,4804,5115,5125,1950,305,29755,686,633,624,631,484,248,161,3465,51639,82203,81427,84666,64781,17518,2815,385046,751,1321,1035,967,614,71,4,4754,2959,4417,3124,3181,2224,343,24,16275,3,12,6,7,5,3,0,36,261,481,338,283,180,24,3,1567,61,118,94,111,94,17,4,507,27548,44355,48665,57091,38708,6315,396,223073,6287,3970,2918,3518,2745,599,76,20111,9,25,16,35,26,12,3,127,51,86,85,89,37,8,3,360,211,458,416,435,236,28,5,1786,93,229,231,291,246,85,26,1193,1788,1982,1525,2075,1731,473,80,9656,40031,57461,58446,68069,46859,7978,621,279462,157,199,119,119,95,18,0,714
5,447,647,452,310,197,38,5,2092,757,1320,1061,1013,601,128,17,4892,3053,5413,5065,3945,2256,430,41,20195,462,589,534,356,210,27,0,2187,62,121,92,64,37,0,0,381,30,67,63,67,32,6,0,265,551,782,691,487,286,39,0,2831,655,1997,3490,4869,5019,3145,946,20119,9968,11256,10274,10078,8365,2926,402,53259,1188,1856,1663,1607,1036,401,170,7920,82252,149232,140139,133524,93193,25777,3757,627870,2113,4477,2792,2340,1408,207,9,13335,3650,5429,2735,2421,1569,269,16,16089,11,21,17,17,8,0,0,74,9,8,13,6,9,0,0,48,165,204,125,129,80,6,3,717,41543,73751,75512,82143,52345,9057,644,334991,10884,6386,4056,4433,3318,716,106,29891,17,41,47,100,48,11,8,274,171,174,142,177,69,13,4,744,366,842,663,641,327,52,3,2893,327,831,657,763,508,167,23,3272,3186,3800,2516,3049,2480,580,65,15667,62430,95966,89266,96215,62177,11072,883,418006,1608,2013,1234,1079,740,160,10,6844
6,64,69,51,57,35,8,0,284,134,226,184,167,150,20,5,883,199,305,245,237,189,33,8,1210,3,0,0,6,0,0,0,10,8,10,14,9,6,0,0,48,3,7,14,11,13,3,0,49,13,24,23,25,19,4,0,102,134,383,733,1015,1292,894,278,4725,2084,1479,1460,1730,1802,659,97,9300,220,205,157,227,210,101,62,1186,15103,21090,21843,25067,20321,5247,899,109567,3,14,3,8,3,0,0,28,765,579,525,537,418,48,3,2870,0,0,5,3,0,0,0,13,5,3,0,4,0,0,0,16,66,54,48,45,36,3,0,251,7326,11828,14912,17799,12147,1781,122,65923,2497,1370,995,1367,965,172,19,7388,0,4,8,10,12,9,0,43,45,33,33,26,17,0,0,163,49,95,94,88,47,0,0,373,29,59,71,92,95,27,3,380,976,1138,841,1074,900,163,23,5122,11769,15177,17546,21051,14647,2207,180,82565,0,3,0,0,0,0,0,3
7,67,477,305,177,86,7,3,1121,97,179,141,119,84,16,3,643,171,658,459,298,169,26,6,1785,3,3,3,9,0,0,0,17,9,32,27,20,7,0,0,91,7,17,13,11,3,3,0,54,14,47,43,36,9,3,0,156,67,131,227,274,261,157,34,1156,710,986,906,882,772,186,19,4453,166,249,165,154,120,31,14,898,7731,15961,13718,12537,8641,2074,215,60869,6,6,0,3,0,0,0,18,324,500,311,291,175,30,3,1640,0,0,0,3,3,0,0,5,0,0,3,0,0,0,0,6,31,38,30,27,18,3,0,146,3346,7331,6910,6585,4001,791,62,29028,908,1046,762,718,531,90,5,4053,4,6,0,4,7,3,0,25,31,100,50,46,37,4,0,265,110,391,214,208,121,6,0,1047,62,116,81,85,72,7,0,428,755,1450,903,919,626,124,9,4785,5578,10979,9268,8889,5588,1055,83,41449,0,0,0,0,0,0,0,3
8,173,225,218,155,89,17,3,877,125,302,272,217,116,25,0,1062,310,547,505,394,223,45,3,2023,0,10,14,4,0,0,0,29,21,27,26,17,3,0,0,90,3,28,17,15,10,0,0,66,21,56,52,39,15,0,0,193,167,318,566,627,612,437,106,2830,2135,1624,1432,1356,1110,464,69,8186,136,179,157,132,78,42,22,742,16379,28343,27234,24135,14672,3766,446,114980,3,12,6,15,0,0,0,40,1376,2048,1129,1110,719,120,3,6507,5,7,0,5,3,0,0,12,0,7,0,10,5,0,0,24,29,39,37,27,17,4,0,157,8947,16212,17552,16592,8745,1422,104,69572,1937,2469,1630,1853,1062,160,6,9120,0,5,4,4,3,0,0,19,28,54,63,65,18,0,0,231,278,490,374,370,145,10,0,1670,38,93,79,82,40,15,3,351,1132,1548,701,595,354,70,3,4394,13777,22985,21572,20711,11118,1803,124,92096,0,4,4,0,5,0,0,13
9,0,3,3,3,0,0,0,8,0,3,7,5,3,3,0,19,4,4,9,7,7,3,0,29,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6,0,0,3,0,0,0,0,5,0,0,7,3,0,0,0,9,0,3,14,10,22,5,4,65,11,37,28,37,49,16,0,172,3,4,3,4,12,3,3,30,136,283,335,379,333,141,23,1633,0,3,0,0,0,0,0,3,0,10,3,9,4,0,0,28,0,0,3,6,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,111,167,168,132,60,7,696,10,22,11,18,17,4,0,70,0,0,0,0,0,3,0,8,4,3,0,0,0,0,0,13,0,0,3,3,0,0,0,6,5,4,0,5,3,0,0,20,12,22,14,22,17,3,0,92,87,168,208,233,179,72,6,951,0,0,0,0,0,0,0,0
