STE_CODE_2016,M_Australia_E,M_Australia_OM_IE,M_Australia_OM_UIE,M_Australia_CFW,M_Australia_ES_NS,M_Australia_Tot,M_Canada_E,M_Canada_OM_IE,M_Canada_OM_UIE,M_Canada_CFW,M_Canada_ES_NS,M_Canada_Tot,M_China_E,M_China_OM_IE,M_China_OM_UIE,M_China_CFW,M_China_ES_NS,M_China_Tot,M_Croatia_E,M_Croatia_OM_IE,M_Croatia_OM_UIE,M_Croatia_CFW,M_Croatia_ES_NS,M_Croatia_Tot,M_Egypt_E,M_Egypt_OM_IE,M_Egypt_OM_UIE,M_Egypt_CFW,M_Egypt_ES_NS,M_Egypt_Tot,M_Fiji_E,M_Fiji_OM_IE,M_Fiji_OM_UIE,M_Fiji_CFW,M_Fiji_ES_NS,M_Fiji_Tot,M_FYROM_E,M_FYROM_OM_IE,M_FYROM_OM_UIE,M_FYROM_CFW,M_FYROM_ES_NS,M_FYROM_Tot,M_Germany_E,M_Germany_OM_IE,M_Germany_OM_UIE,M_Germany_CFW,M_Germany_ES_NS,M_Germany_Tot,M_Greece_E,M_Greece_OM_IE,M_Greece_OM_UIE,M_Greece_CFW,M_Greece_ES_NS,M_Greece_Tot,M_HongKong_E,M_HongKong_OM_IE,M_HongKong_OM_UIE,M_HongKong_CFW,M_HongKong_ES_NS,M_HongKong_Tot,M_India_E,M_India_OM_IE,M_India_OM_UIE,M_India_CFW,M_India_ES_NS,M_India_Tot,M_Indonesia_E,M_Indonesia_OM_IE,M_Indonesia_OM_UIE,M_Indonesia_CFW,M_Indonesia_ES_NS,M_Indonesia_Tot,M_Iran_E,M_Iran_OM_IE,M_Iran_OM_UIE,M_Iran_CFW,M_Iran_ES_NS,M_Iran_Tot,M_Iraq_E,M_Iraq_OM_IE,M_Iraq_OM_UIE,M_Iraq_CFW,M_Iraq_ES_NS,M_Iraq_Tot,M_Ireland_E,M_Ireland_OM_IE,M_Ireland_OM_UIE,M_Ireland_CFW,M_Ireland_ES_NS,M_Ireland_Tot,M_Italy_E,M_Italy_OM_IE,M_Italy_OM_UIE,M_Italy_CFW,M_Italy_ES_NS,M_Italy_Tot,M_Japan_E,M_Japan_OM_IE,M_Japan_OM_UIE,M_Japan_CFW,M_Japan_ES_NS,M_Japan_Tot,M_KoreaSouth_E,M_KoreaSouth_OM_IE,M_KoreaSouth_OM_UIE,M_KoreaSouth_CFW,M_KoreaSouth_ES_NS,M_KoreaSouth_Tot,M_Lebanon_E,M_Lebanon_OM_IE,M_Lebanon_OM_UIE,M_Lebanon_CFW,M_Lebanon_ES_NS,M_Lebanon_Tot,M_Malaysia_E,M_Malaysia_OM_IE,M_Malaysia_OM_UIE,M_Malaysia_CFW,M_Malaysia_ES_NS,M_Malaysia_Tot,M_Malta_E,M_Malta_OM_IE,M_Malta_OM_UIE,M_Malta_CFW,M_Malta_ES_NS,M_Malta_Tot,M_Netherlands_E,M_Netherlands_OM_IE,M_Netherlands_OM_UIE,M_Netherlands_CFW,M_Netherlands_ES_NS,M_Netherlands_Tot,M_NZ_E,M_NZ_OM_IE,M_NZ_OM_UIE,M_NZ_CFW,M_NZ_ES_NS,M_NZ_Tot,M_Pakistan_E,M_Pakistan_OM_IE,M_Pakistan_OM_UIE,M_Pakistan_CFW,M_Pakistan_ES_NS,M_Pakistan_Tot,M_Philippines_E,M_Philippines_OM_IE,M_Philippines_OM_UIE,M_Philippines_CFW,M_Philippines_ES_NS,M_Philippines_Tot,M_Poland_E,M_Poland_OM_IE,M_Poland_OM_UIE,M_Poland_CFW,M_Poland_ES_NS,M_Poland_Tot,M_Singapore_E,M_Singapore_OM_IE,M_Singapore_OM_UIE,M_Singapore_CFW,M_Singapore_ES_NS,M_Singapore_Tot,M_SthAfrica_E,M_SthAfrica_OM_IE,M_SthAfrica_OM_UIE,M_SthAfrica_CFW,M_SthAfrica_ES_NS,M_SthAfrica_Tot,M_SriLanka_E,M_SriLanka_OM_IE,M_SriLanka_OM_UIE,M_SriLanka_CFW,M_SriLanka_ES_NS,M_SriLanka_Tot,M_Thailand_E,M_Thailand_OM_IE,M_Thailand_OM_UIE,M_Thailand_CFW,M_Thailand_ES_NS,M_Thailand_Tot,M_Turkey_E,M_Turkey_OM_IE,M_Turkey_OM_UIE,M_Turkey_CFW,M_Turkey_ES_NS,M_Turkey_Tot,M_UK_E,M_UK_OM_IE,M_UK_OM_UIE,M_UK_CFW,M_UK_ES_NS,M_UK_Tot,M_USA_E,M_USA_OM_IE,M_USA_OM_UIE,M_USA_CFW,M_USA_ES_NS,M_USA_Tot,M_Vietnam_E,M_Vietnam_OM_IE
1,900807,105641,112166,17048,12434,1148101,3389,464,338,54,16,4261,38175,7706,5742,1383,368,53366,2158,411,346,45,38,2998,3478,920,587,74,77,5137,9131,854,559,98,128,10760,2973,485,334,53,40,3885,4526,678,740,134,52,6127,2445,673,703,105,85,4018,10382,1244,1073,122,70,12883,50117,4003,2645,419,404,57590,8652,505,609,74,65,9896,4937,889,769,93,78,6765,4975,1127,891,78,116,7189,7355,1270,671,50,76,9421,6613,1514,1352,277,154,9919,2285,312,225,35,26,2884,10172,2369,1987,339,139,15008,8051,3317,3099,311,355,15130,7488,944,699,86,60,9269,1483,259,328,66,54,2192,2348,433,447,94,37,3359,31984,3592,3282,373,429,39657,7581,735,1065,62,141,9585,22727,555,643,100,154,24169,2353,423,509,43,38,3368,2581,298,239,31,16,3163,11630,2351,1290,153,101,15535,8996,667,430,66,84,10250,5375,264,318,78,81,6120,2393,514,598,86,62,3652,60829,8740,7796,1000,587,78948,6951,685,703,80,60,8481,17599,2107
2,743739,95872,90058,13563,10324,953565,2311,252,215,18,9,2805,22018,5163,3272,1534,222,32211,2122,449,394,63,50,3081,2101,536,365,48,36,3083,2945,237,193,47,38,3468,3152,549,352,64,81,4196,3854,627,603,124,59,5257,4119,1087,934,172,116,6428,5120,587,476,78,25,6286,59322,5164,3427,547,700,69159,3988,296,217,58,27,4586,3325,457,470,64,59,4368,2331,466,517,71,64,3451,4502,513,387,38,45,5488,7562,1970,1549,442,237,11762,1279,122,121,19,17,1550,3234,400,393,84,38,4149,2261,821,989,113,111,4287,11325,1276,870,156,75,13706,1999,318,306,35,47,2705,2416,546,567,107,62,3704,26163,2240,2255,252,312,31213,7115,523,697,55,100,8488,12974,266,325,75,105,13750,2215,468,500,58,46,3288,3136,298,246,37,16,3732,7560,1129,704,82,56,9528,17389,1423,934,177,190,20115,2308,153,157,40,24,2678,2595,730,652,110,88,4182,46319,5864,5626,687,442,58935,4500,433,410,53,37,5435,17246,1827
3,643642,68890,72948,13235,7495,806213,2490,278,285,43,15,3106,6614,1521,793,401,40,9376,467,102,119,27,10,735,372,104,67,9,4,556,3166,395,278,61,30,3932,188,26,29,8,3,261,2964,431,588,90,48,4126,369,101,111,28,12,616,2243,318,258,38,9,2868,16625,1629,1168,229,217,19875,1157,112,104,13,16,1403,1467,192,249,31,20,1952,328,65,58,4,7,464,3089,450,313,31,34,3914,1792,370,408,177,49,2797,1819,238,176,35,18,2296,4156,600,570,126,53,5505,249,95,76,21,6,447,3193,416,352,53,23,4030,267,47,75,22,12,415,1920,363,383,55,25,2742,52639,5321,5712,645,662,64976,1326,213,162,21,23,1740,7823,185,212,33,75,8331,860,120,155,6,11,1153,1327,133,100,17,9,1578,10933,1570,1046,175,70,13798,2814,236,171,36,15,3268,1217,93,102,32,22,1469,335,93,85,16,3,528,44238,5856,6302,765,473,57630,3631,355,420,80,23,4510,3612,426
4,226892,21618,31895,5118,3045,288570,510,66,72,4,3,654,3167,584,406,218,26,4409,298,67,108,10,11,497,230,51,35,5,3,326,313,22,25,6,3,369,49,13,15,5,0,73,1121,161,247,36,25,1591,575,190,237,64,26,1095,694,81,48,6,7,829,8641,657,711,115,104,10223,354,14,31,6,3,405,832,93,126,16,12,1076,181,15,30,8,10,248,739,65,96,3,13,922,1578,472,633,115,45,2846,216,14,24,0,3,253,647,92,98,36,7,881,181,62,106,7,9,373,1490,183,198,23,13,1911,133,30,32,5,8,215,700,118,207,43,23,1097,3365,319,432,48,35,4200,860,71,64,7,13,1006,2677,32,67,6,27,2808,772,100,164,15,13,1068,453,58,42,15,3,570,1772,139,171,13,9,2100,1082,61,68,14,8,1229,449,34,29,11,3,523,102,26,25,8,3,153,21413,1976,3497,285,238,27403,978,82,107,8,7,1189,2391,292
5,300732,30587,35584,5762,3380,376047,1374,135,124,18,12,1662,5239,686,500,199,38,6666,720,98,151,21,12,1005,430,54,70,9,3,565,413,14,16,3,7,453,597,95,122,15,16,840,1941,240,331,43,14,2577,236,55,70,10,4,371,1516,126,140,32,8,1821,15966,1143,1215,147,148,18620,2290,215,152,30,20,2708,1400,148,223,40,17,1832,449,65,107,14,15,653,5768,517,534,45,53,6915,2655,642,675,156,57,4183,711,55,47,10,3,826,1791,271,183,28,24,2305,197,53,59,14,3,320,6574,681,652,92,44,8046,151,26,21,6,0,209,1355,205,286,38,18,1902,26154,1595,2074,216,288,30323,1782,102,212,17,18,2133,8459,73,111,37,64,8744,953,118,234,19,10,1336,3251,312,286,41,25,3922,11535,1260,1023,122,74,14009,2476,145,146,15,28,2810,925,44,49,12,11,1047,224,66,71,11,6,391,54842,5451,8307,691,532,69815,2266,191,194,48,16,2703,3099,379
6,75136,6103,10299,1512,1168,94214,187,13,20,3,0,234,403,50,57,16,0,537,16,4,0,0,0,27,20,5,5,0,0,32,51,5,3,0,0,66,10,0,0,0,0,10,245,34,57,17,4,362,32,16,24,5,3,81,89,19,8,4,0,114,562,56,80,13,8,724,48,7,3,0,0,51,58,10,6,4,3,79,19,0,0,0,0,27,148,13,15,3,0,179,80,12,33,7,3,133,53,3,9,0,0,69,112,18,7,3,0,132,14,4,7,0,0,22,222,20,17,8,0,269,12,7,5,0,0,26,200,47,94,13,8,353,1138,104,185,40,19,1487,91,13,9,3,3,124,187,3,7,3,4,208,74,7,18,0,0,100,70,7,14,4,3,91,343,56,54,12,4,464,100,13,15,0,0,124,67,6,11,3,0,80,7,5,10,0,0,20,3234,349,751,112,40,4473,313,30,55,9,0,411,64,3
7,37256,2352,2020,278,423,42335,108,8,6,0,3,132,314,25,20,9,5,366,17,0,4,0,0,21,13,3,0,0,0,22,163,5,3,0,0,174,8,0,3,0,0,11,198,15,30,4,0,246,230,73,66,11,15,402,98,3,11,0,0,112,1417,54,71,8,9,1560,215,4,13,3,3,245,70,0,0,0,0,77,15,0,3,0,3,23,519,22,16,4,5,559,137,14,21,12,7,181,170,3,0,0,0,175,160,12,4,3,3,184,21,4,4,0,0,27,213,16,15,0,3,250,14,0,0,0,0,13,125,13,9,0,0,151,1981,103,104,12,19,2222,146,11,14,0,3,174,1738,15,10,8,25,1795,38,3,3,0,0,45,96,5,5,0,0,107,440,11,24,3,0,482,273,15,10,0,0,307,127,0,8,4,0,139,15,3,3,0,0,25,2548,175,175,12,18,2927,443,7,13,0,4,470,180,32
8,71578,5145,4022,406,444,81590,345,25,18,8,0,397,1827,172,99,36,7,2139,145,54,42,10,3,252,128,9,7,3,0,145,294,13,10,0,3,326,172,31,9,8,0,217,420,39,40,8,3,509,111,29,16,5,3,168,438,55,25,4,0,514,3886,266,131,25,30,4329,270,6,11,0,0,289,241,38,19,3,3,297,103,15,14,0,0,136,235,35,17,0,3,286,307,69,62,13,4,455,91,7,6,0,3,108,554,96,41,9,5,696,83,13,26,3,3,125,658,38,39,6,6,744,56,9,9,0,0,69,188,18,17,4,0,226,1652,105,100,17,9,1878,734,43,42,0,4,827,1028,25,14,9,5,1075,191,29,32,0,0,248,258,13,13,0,0,291,665,55,33,0,4,757,916,32,28,3,3,982,249,14,11,3,0,276,73,11,10,0,4,89,4497,311,274,22,23,5127,761,43,30,6,3,840,833,59
9,840,34,90,12,16,993,4,0,0,0,0,3,16,3,0,3,0,23,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,19,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,3,3,0,0,0,0,5,11,0,0,0,0,12,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,3,3,6,6,156,0,0,0,0,0,0,0,0,0,0,0,3,73,10,37,4,3,125,3,0,0,0,0,3,17,0,0,0,0,17,4,0,0,0,0,4,24,0,0,0,0,31,13,4,0,0,0,20,0,0,0,0,0,3,8,0,0,0,0,8,0,0,0,0,0,0,61,8,8,4,0,78,3,0,0,0,0,5,0,0
