STE_CODE_2016,F_IDNS_H_0,F_IDNS_H_1_15,F_IDNS_H_16_24,F_IDNS_H_25_34,F_IDNS_H_35_39,F_IDNS_H_40,F_IDNS_H_41_48,F_IDNS_H_49_more,F_IDNS_H_NS,F_IDNS_H_Tot,F_Tot_H_0,F_Tot_H_1_15,F_Tot_H_16_24,F_Tot_H_25_34,F_Tot_H_35_39,F_Tot_H_40,F_Tot_H_41_48,F_Tot_H_49_more,F_Tot_H_NS,F_Tot_H_Tot,P_AgFF_H_0,P_AgFF_H_1_15,P_AgFF_H_16_24,P_AgFF_H_25_34,P_AgFF_H_35_39,P_AgFF_H_40,P_AgFF_H_41_48,P_AgFF_H_49_more,P_AgFF_H_NS,P_AgFF_H_Tot,P_Min_H_0,P_Min_H_1_15,P_Min_H_16_24,P_Min_H_25_34,P_Min_H_35_39,P_Min_H_40,P_Min_H_41_48,P_Min_H_49_more,P_Min_H_NS,P_Min_H_Tot,P_Mnf_H_0,P_Mnf_H_1_15,P_Mnf_H_16_24,P_Mnf_H_25_34,P_Mnf_H_35_39,P_Mnf_H_40,P_Mnf_H_41_48,P_Mnf_H_49_more,P_Mnf_H_NS,P_Mnf_H_Tot,P_EGWWS_H_0,P_EGWWS_H_1_15,P_EGWWS_H_16_24,P_EGWWS_H_25_34,P_EGWWS_H_35_39,P_EGWWS_H_40,P_EGWWS_H_41_48,P_EGWWS_H_49_more,P_EGWWS_H_NS,P_EGWWS_H_Tot,P_Const_H_0,P_Const_H_1_15,P_Const_H_16_24,P_Const_H_25_34,P_Const_H_35_39,P_Const_H_40,P_Const_H_41_48,P_Const_H_49_more,P_Const_H_NS,P_Const_H_Tot,P_WST_H_0,P_WST_H_1_15,P_WST_H_16_24,P_WST_H_25_34,P_WST_H_35_39,P_WST_H_40,P_WST_H_41_48,P_WST_H_49_more,P_WST_H_NS,P_WST_H_Tot,P_RetT_H_0,P_RetT_H_1_15,P_RetT_H_16_24,P_RetT_H_25_34,P_RetT_H_35_39,P_RetT_H_40,P_RetT_H_41_48,P_RetT_H_49_more,P_RetT_H_NS,P_RetT_H_Tot,P_AcFd_H_0,P_AcFd_H_1_15,P_AcFd_H_16_24,P_AcFd_H_25_34,P_AcFd_H_35_39,P_AcFd_H_40,P_AcFd_H_41_48,P_AcFd_H_49_more,P_AcFd_H_NS,P_AcFd_H_Tot,P_TPW_H_0,P_TPW_H_1_15,P_TPW_H_16_24,P_TPW_H_25_34,P_TPW_H_35_39,P_TPW_H_40,P_TPW_H_41_48,P_TPW_H_49_more,P_TPW_H_NS,P_TPW_H_Tot,P_IMT_H_0,P_IMT_H_1_15,P_IMT_H_16_24,P_IMT_H_25_34,P_IMT_H_35_39,P_IMT_H_40,P_IMT_H_41_48,P_IMT_H_49_more,P_IMT_H_NS,P_IMT_H_Tot,P_FinIns_H_0,P_FinIns_H_1_15,P_FinIns_H_16_24,P_FinIns_H_25_34,P_FinIns_H_35_39,P_FinIns_H_40,P_FinIns_H_41_48,P_FinIns_H_49_more,P_FinIns_H_NS,P_FinIns_H_Tot,P_RHRE_H_0,P_RHRE_H_1_15,P_RHRE_H_16_24,P_RHRE_H_25_34,P_RHRE_H_35_39,P_RHRE_H_40,P_RHRE_H_41_48,P_RHRE_H_49_more,P_RHRE_H_NS,P_RHRE_H_Tot,P_ProSTS_H_0,P_ProSTS_H_1_15,P_ProSTS_H_16_24,P_ProSTS_H_25_34,P_ProSTS_H_35_39,P_ProSTS_H_40,P_ProSTS_H_41_48,P_ProSTS_H_49_more,P_ProSTS_H_NS,P_ProSTS_H_Tot,P_AdSup_H_0,P_AdSup_H_1_15,P_AdSup_H_16_24,P_AdSup_H_25_34,P_AdSup_H_35_39,P_AdSup_H_40,P_AdSup_H_41_48,P_AdSup_H_49_more,P_AdSup_H_NS,P_AdSup_H_Tot,P_PubAS_H_0,P_PubAS_H_1_15,P_PubAS_H_16_24,P_PubAS_H_25_34,P_PubAS_H_35_39,P_PubAS_H_40,P_PubAS_H_41_48,P_PubAS_H_49_more,P_PubAS_H_NS,P_PubAS_H_Tot,P_EdTrn_H_0,P_EdTrn_H_1_15,P_EdTrn_H_16_24,P_EdTrn_H_25_34,P_EdTrn_H_35_39,P_EdTrn_H_40,P_EdTrn_H_41_48,P_EdTrn_H_49_more,P_EdTrn_H_NS,P_EdTrn_H_Tot,P_HltHC_SA_H_0,P_HltHC_SA_H_1_15,P_HltHC_SA_H_16_24,P_HltHC_SA_H_25_34,P_HltHC_SA_H_35_39,P_HltHC_SA_H_40,P_HltHC_SA_H_41_48,P_HltHC_SA_H_49_more,P_HltHC_SA_H_NS,P_HltHC_SA_H_Tot,P_ArtsR_H_0,P_ArtsR_H_1_15,P_ArtsR_H_16_24,P_ArtsR_H_25_34,P_ArtsR_H_35_39,P_ArtsR_H_40,P_ArtsR_H_41_48,P_ArtsR_H_49_more,P_ArtsR_H_NS,P_ArtsR_H_Tot
1,2213,8283,6969,6058,9134,8506,2404,3743,13237,60540,64275,233491,234865,231531,305572,255671,103022,133854,28090,1590382,2255,6530,5771,6961,7422,11912,5556,25347,1379,73129,1357,569,779,1038,4308,4981,6122,10890,403,30441,4479,10391,11400,12665,52087,46750,25129,32198,1806,196905,937,713,1129,1596,9129,8906,3761,5232,286,31693,6439,15389,18498,21419,39818,80523,32441,62008,4015,280555,2201,5006,6191,6580,24301,27507,12869,18592,713,103953,10224,64727,48461,42993,58557,41974,21972,32489,3827,325233,6850,64015,43075,30385,29603,23229,13033,25045,3520,238758,5397,10035,12216,14989,30192,32439,17251,33450,2328,158296,1933,4588,4229,4504,15858,19837,8543,13065,483,73040,6005,5510,9828,12347,36631,47131,18582,29959,1191,167187,1454,4895,4862,4812,10449,13887,6461,12001,483,59306,6696,21067,21895,22306,44488,71905,29214,52789,1833,272197,3367,18200,17251,14762,21377,20961,7795,11592,1516,116819,9384,8195,12193,14315,64510,39862,25064,21360,1734,196610,10088,42178,34532,35880,49710,44409,22692,38319,2472,280283,17849,40344,66795,73320,84868,74834,23748,34027,4191,419982,1812,11019,6050,6145,7535,8311,3657,6362,625,51518
2,1977,7328,5459,5155,7246,6162,1794,2695,10551,48350,55539,214439,196063,203717,235044,185828,82575,98699,22575,1294480,2182,5893,4770,5866,6508,9637,4681,19641,1145,60336,424,246,277,294,881,1576,1200,2835,72,7809,5222,12133,11870,13971,57305,51587,28253,30672,1937,212948,1125,897,1320,1696,8425,8372,3855,4768,255,30712,5643,11356,12231,16861,35219,69257,27488,46151,3195,227399,2144,5249,5816,6305,20672,22381,10972,14177,601,88311,8688,63562,39268,35952,47985,35274,19583,26173,3191,279679,4978,56454,30174,21360,19995,15935,10034,18264,2871,180061,4428,7554,9541,12612,24785,28121,15571,25197,1847,129639,1448,3924,3444,3802,11963,13526,5905,7679,423,52106,3999,3822,7139,8377,22262,32190,11433,16534,755,106519,1133,3604,3493,3533,7984,9299,4805,8805,375,43030,5821,18224,17254,19430,36930,56630,23441,37832,1440,217013,2739,15876,14154,12235,17580,14842,6202,8502,1225,93360,7781,8563,11532,13565,37499,32314,17004,14634,1165,144059,7992,35659,30521,30694,41951,33535,20828,33095,1947,236222,16691,37197,56386,71023,63009,49308,19813,24684,3356,341462,1754,12821,6116,6211,7322,7745,3718,6181,595,52469
3,1272,5167,3596,4029,4762,4125,1276,2440,7292,33954,42207,154165,139750,173083,204446,138954,66925,90632,16565,1026718,1564,4781,4164,5693,5990,9164,4583,23453,1074,60459,3088,841,964,1215,4029,5418,8448,23681,623,48308,2960,6360,5918,8853,33617,28369,19068,22311,1205,128666,857,576,790,1215,5327,6823,3304,4755,156,23806,4814,9852,9710,14965,26770,46870,24824,49579,2382,189766,1213,2927,2921,4024,13339,13006,7664,10550,403,56050,6174,44142,28558,31822,39515,22235,14881,22038,2140,211506,4078,44158,24194,23206,18860,13358,9148,17748,2185,156938,4007,5948,7570,10637,20874,19488,12638,24975,1526,107676,745,2176,1756,2298,6466,5083,2607,3999,184,25317,2017,2338,3744,5066,14050,12599,5630,8449,330,54230,958,3730,3204,4067,7988,8396,4339,9520,344,42545,3482,11864,10694,12456,23121,30681,13897,25650,834,132686,2227,12605,10522,10498,13592,11138,5147,8655,914,75300,7289,5303,7392,9772,43734,31188,17412,15778,1293,139160,7373,26831,21998,32881,32661,26576,15426,27482,1480,192699,13279,24076,38586,55123,63708,41928,15935,22152,2604,277396,1158,7310,3886,4692,5549,4720,2322,3764,389,33784
4,416,1573,956,1093,1185,804,299,505,2157,8985,16690,61975,54336,65562,70277,38121,21121,24465,5239,357781,1186,2818,2180,3028,3525,5054,2745,9003,498,30022,595,194,274,272,838,1124,1161,4153,95,8702,1567,3571,3140,4498,17373,12610,8381,7901,486,59528,355,326,366,557,2453,2252,1301,1397,71,9081,1564,3679,3209,5261,9608,14302,6920,10900,655,56095,571,1327,1182,1642,5327,4716,2890,3251,149,21056,2732,19251,10813,12413,13718,7311,5893,6701,780,79614,1478,16736,7653,7233,4918,3366,2845,4634,695,49555,1211,2092,2397,3357,5955,5007,3845,6529,414,30806,313,936,723,820,2671,2083,898,1078,68,9597,887,1020,1771,2460,5660,3981,2063,2290,109,20236,338,1025,875,1021,2191,1675,1030,1719,78,9953,1231,4327,3588,4373,8266,8395,4244,6425,253,41104,856,5375,3948,3985,5073,3142,1766,2187,290,26614,2754,2044,3468,4810,17183,11308,6113,4623,380,52676,2608,8854,7981,9651,11536,8462,5700,9212,427,64429,5751,12100,17757,24991,25021,10781,5625,7250,1002,110283,340,2721,1171,1444,1458,1254,645,965,119,10126
5,806,3365,2132,2028,2554,2481,723,1284,3608,18984,23856,91415,79931,83988,99082,74287,33222,44159,8426,538376,1294,2710,2264,2551,2221,4499,2377,10348,466,28733,6192,1622,1888,1602,4626,9569,10320,39592,1008,76417,1887,4093,3533,4210,15336,14491,9726,10979,505,64757,601,377,502,686,3355,3061,2061,2866,101,13602,3981,6332,6308,8589,14825,29352,13342,31260,1496,115482,769,1745,1714,2098,6284,7356,4008,5294,199,29457,3463,26070,16401,15401,18679,12121,7013,10031,1140,110316,2366,22653,11990,9274,8098,6607,4103,8590,1086,74770,2443,3481,3740,5499,8442,10235,6699,12571,779,53882,326,1423,917,995,2456,2689,1151,1351,100,11409,1103,1560,2342,2555,5831,7114,2815,3758,153,27222,575,1962,1618,1860,3803,4281,2027,3887,140,20151,2356,6938,6072,6516,11927,18324,8034,13991,418,74572,1332,6975,5688,4938,5563,5729,2566,4872,438,38101,3849,3873,4967,5149,20467,16692,8648,7942,577,72161,3981,14556,13132,14910,17260,15386,8458,12486,815,100988,6495,15471,21012,25494,30538,18362,7429,9991,1238,136028,717,4575,2228,2246,2896,2553,1224,1847,190,18475
6,156,502,300,332,313,196,70,124,698,2694,5452,18951,17183,19286,19487,11013,5670,7145,1614,105795,446,1029,859,1162,1433,2053,1047,3158,199,11390,112,41,52,48,144,238,530,680,37,1881,526,1143,999,1204,3619,3104,2106,1972,131,14804,133,103,122,194,1134,800,476,505,20,3493,476,928,868,1438,2774,5019,2059,2583,189,16330,159,392,295,392,1220,1011,573,715,36,4797,950,5394,3239,3481,4408,2349,1580,1948,219,23564,657,5582,2423,2176,1749,1148,854,1658,236,16488,520,749,813,910,1442,1490,1052,1974,136,9080,125,275,252,307,797,547,315,274,16,2909,229,259,425,564,1370,868,367,419,19,4520,97,279,235,255,649,423,259,463,21,2668,356,1191,966,1200,2139,1879,945,1398,64,10142,243,1476,929,849,1163,749,374,506,100,6384,999,814,1495,2095,5541,2754,1541,1482,135,16851,766,2715,2911,3096,3639,2647,1636,2470,140,20016,1666,3294,5194,7071,5809,3393,1604,2336,263,30633,153,946,496,554,684,532,245,365,48,4021
7,100,146,112,139,270,235,72,169,546,1793,2456,4175,4096,5545,12249,8488,4065,6642,1165,48883,77,105,98,108,194,407,142,1119,52,2304,401,59,71,58,140,304,380,2343,44,3802,85,132,98,132,497,596,357,643,23,2563,83,23,21,67,464,377,234,427,17,1716,515,358,327,551,1261,1976,1176,6081,179,12418,44,59,60,91,447,407,247,417,10,1782,269,1185,813,953,1681,942,634,988,119,7587,172,1066,904,828,1207,1034,635,1269,117,7231,217,206,266,423,928,868,592,1154,71,4717,47,90,64,64,283,215,109,143,16,1024,73,45,43,109,283,294,103,200,10,1161,51,98,72,99,353,283,185,362,18,1526,261,327,279,398,949,1151,561,2607,53,6584,111,339,313,390,629,532,298,602,52,3262,1222,438,574,986,5365,4462,2463,3217,244,18967,431,743,790,1007,2269,1775,934,1649,120,9728,590,655,982,1445,3555,2277,830,1241,175,11746,80,314,199,247,482,442,168,293,34,2263
8,111,340,218,210,366,296,118,151,568,2375,6299,13255,11878,14747,26705,18540,9577,9944,1542,112482,26,64,43,66,122,92,37,72,8,526,5,4,8,3,12,14,10,22,0,79,94,364,210,221,714,799,436,595,22,3457,69,29,48,71,483,426,213,244,12,1592,282,544,557,837,1710,3867,1729,3129,173,12828,54,150,120,139,500,559,306,446,12,2299,546,3909,2216,2115,2971,1575,1109,1462,206,16109,452,4328,2205,1666,1733,1348,784,1373,277,14157,239,327,325,523,1124,1093,648,925,60,5261,164,297,261,312,1078,987,475,492,30,4097,146,190,201,299,942,824,401,475,21,3496,87,195,147,193,678,701,358,560,19,2941,632,1244,1255,1758,4558,6001,2639,3377,134,21603,203,858,812,677,1110,1028,408,580,72,5738,4134,1485,2899,5194,21119,17717,9629,9317,468,71961,913,3091,1964,2350,4583,3169,1969,3116,183,21343,1150,2304,3047,3866,5789,3537,1428,2032,195,23352,149,973,426,437,727,477,279,397,54,3922
9,4,7,3,4,13,7,0,6,20,57,76,139,122,146,269,153,92,128,35,1173,0,3,4,4,6,4,3,15,0,41,32,8,4,3,59,17,29,56,8,202,5,9,6,3,12,5,5,7,4,51,0,3,0,0,12,11,3,11,0,45,15,8,8,17,32,41,27,35,0,184,3,0,0,0,3,10,7,5,0,32,6,31,21,33,33,20,26,28,3,198,17,43,35,35,66,25,17,37,10,276,16,17,7,14,23,26,7,13,3,131,0,4,0,0,8,3,0,0,0,27,4,3,3,3,3,3,0,5,0,26,0,7,3,4,3,7,0,6,0,26,10,3,3,7,15,24,10,12,0,79,8,22,15,32,40,17,9,11,6,152,38,18,22,16,158,96,140,198,8,686,14,20,21,37,34,35,18,27,3,190,17,18,7,16,32,35,4,10,0,136,8,3,11,11,32,13,11,3,0,85
