STE_CODE_2016,P_OthSvs_H_0,P_OthSvs_H_1_15,P_OthSvs_H_16_24,P_OthSvs_H_25_34,P_OthSvs_H_35_39,P_OthSvs_H_40,P_OthSvs_H_41_48,P_OthSvs_H_49_more,P_OthSvs_H_NS,P_OthSvs_H_Tot,P_IDNS_H_0,P_IDNS_H_1_15,P_IDNS_H_16_24,P_IDNS_H_25_34,P_IDNS_H_35_39,P_IDNS_H_40,P_IDNS_H_41_48,P_IDNS_H_49_more,P_IDNS_H_NS,P_IDNS_H_Tot,P_Tot_H_0,P_Tot_H_1_15,P_Tot_H_16_24,P_Tot_H_25_34,P_Tot_H_35_39,P_Tot_H_40,P_Tot_H_41_48,P_Tot_H_49_more,P_Tot_H_NS,P_Tot_H_Tot
1,2952,15354,13035,12891,24220,24164,11893,17843,1484,123844,4711,14817,13205,11785,25552,29075,9436,17549,32298,158428,106407,363538,351397,351700,640626,672584,305224,500132,66574,3358185
2,2500,13102,10471,11037,20081,18436,8946,12530,1139,98239,4152,12817,10199,9973,21919,23014,7684,13819,25386,128962,90855,328949,285987,304804,510266,532976,251402,372183,52916,2730338
3,2116,10582,8136,10051,16601,14785,8042,12178,902,83385,2964,8848,6545,7683,14519,15093,5661,12439,17432,91188,72375,235260,201255,256209,410308,366926,200976,349159,38400,2130860
4,829,3958,2903,3652,6292,4905,2770,3462,284,29061,980,2813,1792,2196,4105,3363,1403,2534,5098,24294,28154,95174,77188,97666,153155,115081,68237,96218,11961,742831
5,1308,6237,4654,5108,8574,8440,4287,6838,489,45936,2122,5670,3910,3897,7666,9656,3714,8224,8904,53762,47166,138312,114890,123569,198855,206518,109980,206712,20244,1166240
6,240,1155,907,1031,1674,1372,704,924,90,8085,373,863,553,679,1087,1021,390,706,1626,7309,9226,28606,24035,28727,42458,33388,18657,26550,3723,215365
7,129,380,323,402,992,873,386,688,108,4281,237,298,217,289,730,760,305,964,1288,5084,5095,6921,6517,8650,22711,19976,10727,26413,2751,109749
8,165,858,651,747,1423,1150,701,961,81,6732,204,618,394,400,906,1008,387,644,1394,5966,9719,21832,17789,21869,52293,46374,23953,30210,3431,227464
9,4,5,11,10,11,11,4,7,3,73,15,12,6,15,26,26,4,19,37,157,199,236,183,248,602,425,326,510,81,2804
