STE_CODE_2016,UIE_IDNS_OMOE_Nil_em,UIE_IDNS_OMOE_1_19_em,UIE_IDNS_OMOE_20more_em,UIE_IDNS_OMOE_NE_NS,UIE_IDNS_Tot,UIE_Tot_OMOE_Nil_em,UIE_Tot_OMOE_1_19_em,UIE_Tot_OMOE_20more_em,UIE_Tot_OMOE_NE_NS,UIE_Tot_Tot
1,9490,1626,71,287,11482,201452,57829,3356,3633,266267
2,7989,1311,62,245,9610,158721,40459,2544,2936,204656
3,6437,1222,52,159,7868,124259,35047,1781,2128,163219
4,2029,361,11,73,2467,48239,14953,768,976,64939
5,3663,806,44,112,4622,67964,21522,1200,1124,91805
6,531,123,4,14,674,13763,4905,234,298,19207
7,186,43,0,10,241,3727,1043,62,105,4932
8,323,49,5,4,377,7259,1720,202,72,9251
9,7,3,0,0,11,171,101,0,9,279
