STE_CODE_2016,M_Tot_H_0,M_Tot_H_1_15,M_Tot_H_16_24,M_Tot_H_25_34,M_Tot_H_35_39,M_Tot_H_40,M_Tot_H_41_48,M_Tot_H_49_more,M_Tot_H_NS,M_Tot_H_Tot,F_AgFF_H_0,F_AgFF_H_1_15,F_AgFF_H_16_24,F_AgFF_H_25_34,F_AgFF_H_35_39,F_AgFF_H_40,F_AgFF_H_41_48,F_AgFF_H_49_more,F_AgFF_H_NS,F_AgFF_H_Tot,F_Min_H_0,F_Min_H_1_15,F_Min_H_16_24,F_Min_H_25_34,F_Min_H_35_39,F_Min_H_40,F_Min_H_41_48,F_Min_H_49_more,F_Min_H_NS,F_Min_H_Tot,F_Mnf_H_0,F_Mnf_H_1_15,F_Mnf_H_16_24,F_Mnf_H_25_34,F_Mnf_H_35_39,F_Mnf_H_40,F_Mnf_H_41_48,F_Mnf_H_49_more,F_Mnf_H_NS,F_Mnf_H_Tot,F_EGWWS_H_0,F_EGWWS_H_1_15,F_EGWWS_H_16_24,F_EGWWS_H_25_34,F_EGWWS_H_35_39,F_EGWWS_H_40,F_EGWWS_H_41_48,F_EGWWS_H_49_more,F_EGWWS_H_NS,F_EGWWS_H_Tot,F_Const_H_0,F_Const_H_1_15,F_Const_H_16_24,F_Const_H_25_34,F_Const_H_35_39,F_Const_H_40,F_Const_H_41_48,F_Const_H_49_more,F_Const_H_NS,F_Const_H_Tot,F_WST_H_0,F_WST_H_1_15,F_WST_H_16_24,F_WST_H_25_34,F_WST_H_35_39,F_WST_H_40,F_WST_H_41_48,F_WST_H_49_more,F_WST_H_NS,F_WST_H_Tot,F_RetT_H_0,F_RetT_H_1_15,F_RetT_H_16_24,F_RetT_H_25_34,F_RetT_H_35_39,F_RetT_H_40,F_RetT_H_41_48,F_RetT_H_49_more,F_RetT_H_NS,F_RetT_H_Tot,F_AcFd_H_0,F_AcFd_H_1_15,F_AcFd_H_16_24,F_AcFd_H_25_34,F_AcFd_H_35_39,F_AcFd_H_40,F_AcFd_H_41_48,F_AcFd_H_49_more,F_AcFd_H_NS,F_AcFd_H_Tot,F_TPW_H_0,F_TPW_H_1_15,F_TPW_H_16_24,F_TPW_H_25_34,F_TPW_H_35_39,F_TPW_H_40,F_TPW_H_41_48,F_TPW_H_49_more,F_TPW_H_NS,F_TPW_H_Tot,F_IMT_H_0,F_IMT_H_1_15,F_IMT_H_16_24,F_IMT_H_25_34,F_IMT_H_35_39,F_IMT_H_40,F_IMT_H_41_48,F_IMT_H_49_more,F_IMT_H_NS,F_IMT_H_Tot,F_FinIns_H_0,F_FinIns_H_1_15,F_FinIns_H_16_24,F_FinIns_H_25_34,F_FinIns_H_35_39,F_FinIns_H_40,F_FinIns_H_41_48,F_FinIns_H_49_more,F_FinIns_H_NS,F_FinIns_H_Tot,F_RHRE_H_0,F_RHRE_H_1_15,F_RHRE_H_16_24,F_RHRE_H_25_34,F_RHRE_H_35_39,F_RHRE_H_40,F_RHRE_H_41_48,F_RHRE_H_49_more,F_RHRE_H_NS,F_RHRE_H_Tot,F_ProSTS_H_0,F_ProSTS_H_1_15,F_ProSTS_H_16_24,F_ProSTS_H_25_34,F_ProSTS_H_35_39,F_ProSTS_H_40,F_ProSTS_H_41_48,F_ProSTS_H_49_more,F_ProSTS_H_NS,F_ProSTS_H_Tot,F_AdSup_H_0,F_AdSup_H_1_15,F_AdSup_H_16_24,F_AdSup_H_25_34,F_AdSup_H_35_39,F_AdSup_H_40,F_AdSup_H_41_48,F_AdSup_H_49_more,F_AdSup_H_NS,F_AdSup_H_Tot,F_PubAS_H_0,F_PubAS_H_1_15,F_PubAS_H_16_24,F_PubAS_H_25_34,F_PubAS_H_35_39,F_PubAS_H_40,F_PubAS_H_41_48,F_PubAS_H_49_more,F_PubAS_H_NS,F_PubAS_H_Tot,F_EdTrn_H_0,F_EdTrn_H_1_15,F_EdTrn_H_16_24,F_EdTrn_H_25_34,F_EdTrn_H_35_39,F_EdTrn_H_40,F_EdTrn_H_41_48,F_EdTrn_H_49_more,F_EdTrn_H_NS,F_EdTrn_H_Tot,F_HltHC_SA_H_0,F_HltHC_SA_H_1_15,F_HltHC_SA_H_16_24,F_HltHC_SA_H_25_34,F_HltHC_SA_H_35_39,F_HltHC_SA_H_40,F_HltHC_SA_H_41_48,F_HltHC_SA_H_49_more,F_HltHC_SA_H_NS,F_HltHC_SA_H_Tot,F_ArtsR_H_0,F_ArtsR_H_1_15,F_ArtsR_H_16_24,F_ArtsR_H_25_34,F_ArtsR_H_35_39,F_ArtsR_H_40,F_ArtsR_H_41_48,F_ArtsR_H_49_more,F_ArtsR_H_NS,F_ArtsR_H_Tot,F_OthSvs_H_0,F_OthSvs_H_1_15,F_OthSvs_H_16_24,F_OthSvs_H_25_34,F_OthSvs_H_35_39,F_OthSvs_H_40,F_OthSvs_H_41_48,F_OthSvs_H_49_more,F_OthSvs_H_NS,F_OthSvs_H_Tot
1,42130,130046,116532,120171,335056,416913,202197,366279,38483,1767809,843,3379,2782,3104,2257,3133,1163,4625,443,21726,227,202,271,354,580,701,565,859,37,3801,1786,6269,6321,6609,15477,11626,4711,4914,480,58196,272,264,550,699,1999,1620,538,521,38,6495,1073,5771,5366,4940,5866,7645,2403,3170,354,36586,1171,2777,3769,4089,9773,9079,3512,3738,219,38133,6902,43668,32929,29769,30934,18045,8838,9919,2087,183084,4154,39462,24623,18659,14204,10031,5419,8698,1838,127086,1649,3565,4440,5027,8643,7137,2876,3073,430,36846,1139,2507,2588,2635,6254,6851,3106,4090,178,29340,4321,3566,7729,9161,20179,20695,7334,8691,585,82260,940,3065,3309,3202,6325,6516,2681,3173,219,29420,4312,13563,14950,14928,22493,26240,11007,15022,738,123258,1998,11567,10370,8583,11137,9535,3422,4188,736,61532,5304,4806,8727,9851,29132,15114,7341,5965,634,86876,8069,29866,28203,29433,33687,28877,14940,24196,1659,198940,15189,33765,58448,62707,63775,53507,15779,19645,3234,326046,1001,6156,3514,3348,3065,3107,1358,1999,269,23817,1709,10985,9020,8372,10677,7705,3620,3650,686,56409
2,35315,114513,89918,101090,275220,347145,168823,273488,30346,1435860,817,3168,2450,2730,2167,2547,1044,3558,365,18846,82,85,147,155,199,392,168,277,5,1519,2048,7583,6886,7260,15755,11937,4930,4220,520,61138,458,377,736,904,2517,2047,690,624,39,8400,827,4686,3998,3885,4464,5328,1722,2106,308,27318,1086,2972,3542,3806,7966,6763,2636,2554,196,31521,5844,42625,26987,24871,24525,14873,7753,7990,1743,157217,3065,34404,17012,12997,9550,6677,4212,6255,1513,95676,1362,2892,3502,4458,7200,5748,2433,2371,299,30261,824,2194,2094,2214,4330,4247,1917,2025,158,20012,2905,2582,5658,6329,12037,13533,4434,4763,348,52586,728,2398,2474,2352,4725,4503,2030,2261,176,21646,3696,11787,11961,12722,17804,19524,8251,10228,624,96589,1646,10113,8212,6868,8473,6276,2526,2843,575,47526,4746,5508,8822,9947,18131,12130,6055,4908,507,70754,6478,25408,25254,25037,28129,20272,13351,20213,1268,165405,14475,31841,50328,61398,48293,34825,12560,14170,2612,270501,986,7061,3511,3419,2984,2775,1422,1935,274,24367,1485,9438,7037,7214,8540,5270,2639,2712,495,44838
3,30165,81099,61503,83127,205862,227973,134050,258524,21837,1104143,609,2661,2275,2854,2217,2836,1200,5088,381,20113,518,284,386,481,953,1357,1267,2407,68,7720,943,3777,3357,4454,8688,6304,3091,2856,291,33747,264,239,437,586,1288,1532,548,506,25,5430,761,3930,3186,3596,4278,4964,1965,2741,232,25655,492,1597,1778,2344,4613,3741,1691,1645,111,18018,4129,29792,20277,22366,22235,9748,6453,7084,1215,123293,2585,26902,15000,15121,10273,6528,4413,7189,1217,89228,1180,2512,3098,3878,5990,4546,2296,2691,294,26475,382,1220,1090,1374,2662,1616,854,1082,63,10328,1575,1656,2980,4004,8871,6160,2589,2661,196,30691,615,2417,2169,2579,5207,4382,1973,2975,158,22479,2182,7837,7560,8558,12594,11416,5056,6920,417,62544,1348,8361,6489,6201,7227,5193,2269,3331,452,40874,4101,3091,5274,6510,20938,11830,5592,4355,506,62197,6033,20481,18595,26985,22485,16899,10204,17714,1002,140393,11315,20309,34100,47711,49410,29241,10727,13011,2045,217868,680,4243,2342,2688,2303,1774,918,1267,198,16407,1230,7683,5779,6760,7444,4769,2541,2674,419,39290
4,11463,33196,22851,32105,82877,76957,47116,71747,6724,385046,382,1501,1052,1270,927,1119,463,1309,157,8171,87,61,92,121,206,245,169,351,13,1347,538,2211,1778,2272,4032,2381,1210,1027,119,15567,126,124,196,259,705,409,193,116,9,2143,250,1478,1016,1113,1237,1143,494,457,68,7258,210,655,678,891,1619,1071,514,423,33,6091,1824,12685,7628,8527,6899,2875,2132,1890,422,44889,919,10462,4857,4496,2531,1521,1206,1719,372,28087,318,822,825,1062,1278,868,461,584,59,6279,158,521,454,516,990,546,256,255,34,3733,668,772,1510,2012,3444,1870,894,709,58,11939,176,650,567,683,1350,804,410,460,39,5150,770,2713,2534,3008,4089,2757,1460,1540,113,18985,511,3597,2487,2204,2488,1266,686,797,144,14183,1666,1181,2690,3470,7918,4195,1971,1500,151,24728,2059,6322,6624,7973,7577,5053,3685,5653,299,45251,4947,10283,15676,21371,18614,7359,3635,4195,795,86869,190,1561,689,792,640,476,256,305,57,4962,468,2811,2031,2431,2545,1355,722,679,140,13179
5,23308,46901,34955,39575,99773,132226,76757,162556,11815,627870,433,1522,1163,1223,801,1308,513,1774,167,8906,1095,423,822,771,1306,2685,1800,4484,127,13513,585,2482,2107,2269,3519,3049,1341,1095,129,16575,168,172,317,345,1071,723,350,285,10,3439,598,2662,2072,2073,2466,3640,1128,1753,177,16576,286,978,1063,1255,2197,1947,818,654,53,9255,2366,17786,11657,11261,10718,5404,2858,2960,669,65672,1396,13688,7201,6038,4193,3187,1838,3469,621,41636,647,1482,1503,2022,2423,2344,1057,1272,138,12898,154,782,582,557,919,766,324,300,44,4429,844,1161,1992,1974,3681,3299,1113,1018,84,15172,353,1275,1141,1260,2521,2313,901,1073,78,10911,1300,4640,4238,4270,5831,6106,2514,3090,168,32160,709,4634,3424,2914,2939,2510,1010,1650,234,20036,2171,2437,3713,3689,10472,6290,2820,2268,235,34092,3213,11115,11339,12728,12139,9909,5627,7872,583,74520,5675,13396,18758,22512,24026,12700,4859,6025,991,108939,403,2744,1409,1297,1258,998,476,619,93,9304,646,4662,3319,3493,4044,2632,1141,1206,215,21369
6,3777,9653,6845,9438,22967,22370,12986,19409,2113,109567,141,513,391,482,367,436,154,461,47,2988,8,19,19,16,17,32,32,33,0,167,176,690,522,526,760,511,279,229,33,3724,48,39,63,109,273,173,87,58,3,855,65,361,243,254,219,289,92,79,6,1614,57,203,156,175,309,212,84,69,7,1274,646,3689,2358,2521,2241,972,568,565,107,13660,441,3669,1656,1462,953,523,373,659,156,9891,133,301,326,339,318,301,146,171,22,2064,72,173,179,193,334,181,84,55,6,1276,185,174,375,452,895,393,171,132,13,2788,56,177,155,175,432,214,104,139,14,1455,216,734,665,751,1024,614,273,322,28,4628,137,1018,609,462,639,306,141,179,49,3542,637,548,1215,1522,2676,1194,594,574,63,9018,606,1979,2435,2540,2328,1521,1036,1527,99,14056,1423,2798,4584,5983,4383,2387,1097,1443,210,24313,84,551,298,303,284,189,86,111,24,1933,150,822,656,689,724,371,215,210,23,3852
7,2635,2748,2417,3104,10461,11490,6656,19771,1586,60869,24,47,40,50,79,144,62,309,16,765,38,17,17,22,33,69,47,233,6,482,21,78,52,63,104,136,55,89,7,596,37,4,13,31,157,94,41,57,5,440,68,116,101,148,283,311,121,463,14,1630,13,32,29,49,132,131,70,70,4,528,167,722,514,675,942,463,284,351,74,4199,106,629,524,549,642,486,335,561,53,3882,61,66,93,156,246,214,124,167,8,1135,27,51,30,40,127,68,32,51,6,427,57,36,36,97,216,186,59,78,5,777,32,57,47,74,238,163,97,143,13,858,111,208,171,261,517,481,216,467,17,2455,67,226,200,241,383,276,147,215,26,1785,623,238,347,630,2970,1747,851,975,95,8468,329,559,639,791,1615,1187,704,1160,86,7077,478,527,804,1185,2596,1628,552,788,126,8670,47,194,133,147,227,203,66,121,19,1152,64,226,204,218,466,260,112,176,42,1777
8,3420,8579,5915,7118,25581,27835,14376,20268,1890,114980,8,27,31,29,57,26,13,12,3,211,3,0,0,0,3,3,0,0,0,12,33,235,110,125,184,150,63,92,8,1003,36,10,21,36,139,110,45,43,0,440,50,205,170,180,224,284,100,132,19,1367,22,77,60,61,130,116,46,75,0,591,348,2411,1381,1299,1484,605,366,411,117,8428,241,2338,1135,883,707,549,308,385,157,6711,89,98,126,171,357,219,92,78,10,1246,98,167,157,177,442,285,168,134,22,1644,106,115,155,219,551,399,179,152,13,1878,58,121,99,126,426,372,164,161,11,1542,383,726,810,1141,1997,1930,877,989,52,8911,109,496,455,373,554,451,171,205,32,2862,2707,828,2134,3814,10806,7756,4226,3504,221,35998,719,2047,1524,1881,2810,1832,1280,1812,105,14008,963,1836,2537,3242,4328,2497,979,1216,135,17737,97,549,278,264,334,206,132,145,23,2030,113,604,471,519,787,452,252,238,45,3481
9,119,91,63,100,334,277,225,375,43,1633,0,0,0,0,3,0,0,3,0,8,0,0,0,0,16,0,0,0,0,20,0,5,6,0,4,3,0,0,3,20,0,0,0,0,4,0,0,0,0,4,3,3,0,0,0,3,0,0,0,17,4,0,0,0,0,3,0,0,0,8,3,17,16,23,26,7,10,9,0,123,14,29,26,24,38,15,8,14,5,169,0,6,4,5,7,3,3,3,0,34,0,7,0,0,0,0,0,0,0,9,4,0,3,3,8,0,0,0,0,25,0,7,0,4,0,4,0,0,0,10,0,5,3,6,10,5,3,3,0,32,5,14,12,21,26,3,5,6,6,91,17,9,14,11,67,26,41,46,0,230,9,15,16,23,28,25,6,17,0,147,9,13,5,16,29,24,3,8,0,109,0,3,9,4,3,7,7,0,0,37,0,3,4,7,3,4,0,0,3,23
