STE_CODE_2016,TaTW_2000_2999_A_45_54,TaTW_2000_2999_A_55_64,TaTW_2000_2999_A_65_74,TaTW_2000_2999_A_75ov,TaTW_2000_2999_Tot,TaTW_3000mo_A_15_19,TaTW_3000mo_A_20_24,TaTW_3000mo_A_25_34,TaTW_3000mo_A_35_44,TaTW_3000mo_A_45_54,TaTW_3000mo_A_55_64,TaTW_3000mo_A_65_74,TaTW_3000mo_A_75ov,TaTW_3000mo_Tot,TaTW_PINS_A_15_19,TaTW_PINS_A_20_24,TaTW_PINS_A_25_34,TaTW_PINS_A_35_44,TaTW_PINS_A_45_54,TaTW_PINS_A_55_64,TaTW_PINS_A_65_74,TaTW_PINS_A_75ov,TaTW_PINS_Tot,TaTW_Tot_A_15_19,TaTW_Tot_A_20_24,TaTW_Tot_A_25_34,TaTW_Tot_A_35_44,TaTW_Tot_A_45_54,TaTW_Tot_A_55_64,TaTW_Tot_A_65_74,TaTW_Tot_A_75ov,TaTW_Tot_Tot,CoPSW_NNI_A_15_19,CoPSW_NNI_A_20_24,CoPSW_NNI_A_25_34,CoPSW_NNI_A_35_44,CoPSW_NNI_A_45_54,CoPSW_NNI_A_55_64,CoPSW_NNI_A_65_74,CoPSW_NNI_A_75ov,CoPSW_NNI_Tot,CoPSW_1_149_A_15_19,CoPSW_1_149_A_20_24,CoPSW_1_149_A_25_34,CoPSW_1_149_A_35_44,CoPSW_1_149_A_45_54,CoPSW_1_149_A_55_64,CoPSW_1_149_A_65_74,CoPSW_1_149_A_75ov,CoPSW_1_149_Tot,CoPSW_150_299_A_15_19,CoPSW_150_299_A_20_24,CoPSW_150_299_A_25_34,CoPSW_150_299_A_35_44,CoPSW_150_299_A_45_54,CoPSW_150_299_A_55_64,CoPSW_150_299_A_65_74,CoPSW_150_299_A_75ov,CoPSW_150_299_Tot,CoPSW_300_399_A_15_19,CoPSW_300_399_A_20_24,CoPSW_300_399_A_25_34,CoPSW_300_399_A_35_44,CoPSW_300_399_A_45_54,CoPSW_300_399_A_55_64,CoPSW_300_399_A_65_74,CoPSW_300_399_A_75ov,CoPSW_300_399_Tot,CoPSW_400_499_A_15_19,CoPSW_400_499_A_20_24,CoPSW_400_499_A_25_34,CoPSW_400_499_A_35_44,CoPSW_400_499_A_45_54,CoPSW_400_499_A_55_64,CoPSW_400_499_A_65_74,CoPSW_400_499_A_75ov,CoPSW_400_499_Tot,CoPSW_500_649_A_15_19,CoPSW_500_649_A_20_24,CoPSW_500_649_A_25_34,CoPSW_500_649_A_35_44,CoPSW_500_649_A_45_54,CoPSW_500_649_A_55_64,CoPSW_500_649_A_65_74,CoPSW_500_649_A_75ov,CoPSW_500_649_Tot,CoPSW_650_799_A_15_19,CoPSW_650_799_A_20_24,CoPSW_650_799_A_25_34,CoPSW_650_799_A_35_44,CoPSW_650_799_A_45_54,CoPSW_650_799_A_55_64,CoPSW_650_799_A_65_74,CoPSW_650_799_A_75ov,CoPSW_650_799_Tot,CoPSW_800_999_A_15_19,CoPSW_800_999_A_20_24,CoPSW_800_999_A_25_34,CoPSW_800_999_A_35_44,CoPSW_800_999_A_45_54,CoPSW_800_999_A_55_64,CoPSW_800_999_A_65_74,CoPSW_800_999_A_75ov,CoPSW_800_999_Tot,CoPSW_1000_1249_A_15_19,CoPSW_1000_1249_A_20_24,CoPSW_1000_1249_A_25_34,CoPSW_1000_1249_A_35_44,CoPSW_1000_1249_A_45_54,CoPSW_1000_1249_A_55_64,CoPSW_1000_1249_A_65_74,CoPSW_1000_1249_A_75ov,CoPSW_1000_1249_Tot,CoPSW_1250_1499_A_15_19,CoPSW_1250_1499_A_20_24,CoPSW_1250_1499_A_25_34,CoPSW_1250_1499_A_35_44,CoPSW_1250_1499_A_45_54,CoPSW_1250_1499_A_55_64,CoPSW_1250_1499_A_65_74,CoPSW_1250_1499_A_75ov,CoPSW_1250_1499_Tot,CoPSW_1500_1749_A_15_19,CoPSW_1500_1749_A_20_24,CoPSW_1500_1749_A_25_34,CoPSW_1500_1749_A_35_44,CoPSW_1500_1749_A_45_54,CoPSW_1500_1749_A_55_64,CoPSW_1500_1749_A_65_74,CoPSW_1500_1749_A_75ov,CoPSW_1500_1749_Tot,CoPSW_1750_1999_A_15_19,CoPSW_1750_1999_A_20_24,CoPSW_1750_1999_A_25_34,CoPSW_1750_1999_A_35_44,CoPSW_1750_1999_A_45_54,CoPSW_1750_1999_A_55_64,CoPSW_1750_1999_A_65_74,CoPSW_1750_1999_A_75ov,CoPSW_1750_1999_Tot,CoPSW_2000_2999_A_15_19,CoPSW_2000_2999_A_20_24,CoPSW_2000_2999_A_25_34,CoPSW_2000_2999_A_35_44,CoPSW_2000_2999_A_45_54,CoPSW_2000_2999_A_55_64,CoPSW_2000_2999_A_65_74,CoPSW_2000_2999_A_75ov,CoPSW_2000_2999_Tot,CoPSW_3000mo_A_15_19,CoPSW_3000mo_A_20_24,CoPSW_3000mo_A_25_34,CoPSW_3000mo_A_35_44,CoPSW_3000mo_A_45_54,CoPSW_3000mo_A_55_64,CoPSW_3000mo_A_65_74,CoPSW_3000mo_A_75ov,CoPSW_3000mo_Tot,CoPSW_PINS_A_15_19,CoPSW_PINS_A_20_24,CoPSW_PINS_A_25_34,CoPSW_PINS_A_35_44,CoPSW_PINS_A_45_54,CoPSW_PINS_A_55_64,CoPSW_PINS_A_65_74,CoPSW_PINS_A_75ov,CoPSW_PINS_Tot,CoPSW_Tot_A_15_19,CoPSW_Tot_A_20_24,CoPSW_Tot_A_25_34,CoPSW_Tot_A_35_44,CoPSW_Tot_A_45_54,CoPSW_Tot_A_55_64,CoPSW_Tot_A_65_74,CoPSW_Tot_A_75ov,CoPSW_Tot_Tot,ClAW_NNI_A_15_19,ClAW_NNI_A_20_24,ClAW_NNI_A_25_34,ClAW_NNI_A_35_44,ClAW_NNI_A_45_54,ClAW_NNI_A_55_64,ClAW_NNI_A_65_74,ClAW_NNI_A_75ov,ClAW_NNI_Tot,ClAW_1_149_A_15_19,ClAW_1_149_A_20_24,ClAW_1_149_A_25_34,ClAW_1_149_A_35_44,ClAW_1_149_A_45_54,ClAW_1_149_A_55_64,ClAW_1_149_A_65_74,ClAW_1_149_A_75ov,ClAW_1_149_Tot,ClAW_150_299_A_15_19,ClAW_150_299_A_20_24,ClAW_150_299_A_25_34,ClAW_150_299_A_35_44,ClAW_150_299_A_45_54,ClAW_150_299_A_55_64
1,6864,3595,442,30,25763,39,122,1261,2298,2155,1197,187,27,7278,421,923,1508,1443,1377,1023,267,49,7010,21478,51296,109545,91419,83582,55944,11507,1224,425988,698,343,386,354,275,160,37,13,2263,12148,3683,1301,1235,901,611,146,10,20036,5807,7774,4099,3188,2615,1921,444,47,25897,3326,7254,5960,4019,3910,2750,660,57,27941,2361,7326,7114,5080,5313,3973,847,85,32102,2063,9114,11088,8310,8991,6464,1401,123,47555,1454,8964,13204,9293,10308,7046,1262,111,51640,577,5774,12803,9418,10495,7201,1215,72,47549,204,2746,9874,7736,8081,5355,921,47,34962,79,1103,5177,4392,4174,2702,431,31,18097,30,450,3703,3808,3555,2003,321,18,13877,13,138,2203,3185,2765,1276,169,16,9768,14,130,1575,3544,3286,1279,143,9,9982,37,137,393,463,679,342,69,13,2137,500,780,997,760,879,623,178,24,4742,29307,55716,79871,64799,66229,43703,8249,679,348552,163,194,501,556,528,495,208,37,2671,2073,1292,772,1021,851,772,284,33,7099,1447,2628,2045,2501,2134,2039
2,5340,2753,355,33,19391,28,108,967,1576,1717,913,149,16,5482,345,892,1590,1325,1463,965,238,44,6858,13671,42127,98540,76459,70145,45824,9145,1017,356926,547,365,344,315,238,158,39,13,2012,11048,4419,1468,1158,914,621,143,14,19787,4344,7870,4007,2967,2596,1878,385,44,24082,1884,6326,5056,3687,3597,2562,644,60,23816,1199,5784,5993,4472,5070,3596,823,96,27033,1040,6667,9446,7189,8249,5870,1330,99,39892,673,6218,11175,7780,8647,5663,1148,72,41375,286,4139,11067,7824,8223,5524,1014,61,38131,117,1949,8004,6184,6505,4428,753,44,27984,41,758,4645,3867,3631,2270,414,17,15641,21,323,2774,2724,2694,1510,181,16,10247,8,96,1173,1966,2284,1080,112,16,6733,17,110,724,1682,2305,1123,98,9,6071,33,160,321,360,411,246,64,9,1606,437,710,890,744,907,636,172,24,4520,21686,45897,67095,52910,56269,37157,7318,588,288929,137,189,436,546,511,373,135,14,2346,1628,1285,754,916,743,583,226,29,6168,971,2499,1925,2254,1936,1685
3,5919,2854,299,17,23491,21,128,1627,2385,2172,1107,146,23,7600,327,569,1025,1004,1031,619,185,17,4784,15000,36567,79471,67302,58941,38346,7199,648,303466,444,176,224,192,196,130,18,7,1393,8891,1901,873,954,618,392,78,9,13714,4537,3940,2619,2312,1758,1184,225,24,16593,2464,3938,3455,2863,2506,1717,410,47,17400,1904,4306,4386,3931,3979,2728,590,49,21879,1805,6462,7857,6993,7511,5063,964,78,36734,1152,6555,9481,7512,8227,5502,869,45,39341,502,4198,8378,6575,7141,4784,801,42,32421,228,2393,6457,5310,5676,3841,602,32,24542,81,1125,3770,3233,3052,1934,287,12,13494,18,392,2363,2747,2409,1267,132,5,9348,7,137,1021,1986,1841,722,73,9,5798,6,97,616,1710,1983,699,44,9,5155,23,95,191,240,279,148,34,12,1009,351,475,602,579,638,447,108,9,3211,22423,36188,52290,47135,47811,30560,5251,376,242022,131,114,347,451,520,424,133,13,2136,1585,596,521,669,530,553,180,33,4678,1110,1253,1269,1578,1361,1347
4,1393,776,88,6,4985,5,25,234,375,372,211,34,6,1265,69,155,328,236,303,244,59,7,1413,3601,11575,25217,20502,20880,14409,2854,318,99351,146,78,88,93,65,41,12,0,511,2959,1050,384,269,216,183,45,8,5112,1297,2032,1086,816,648,527,97,16,6516,594,1674,1403,950,988,761,183,21,6577,458,1614,1764,1432,1535,1154,282,22,8260,325,2082,2977,2472,2914,2175,438,38,13423,171,1837,3288,2704,3085,2035,371,18,13504,82,1245,3051,2457,2843,2105,296,16,12087,53,623,2246,1948,2324,1816,236,15,9258,13,264,1192,1069,1121,778,120,0,4560,5,102,781,793,778,486,62,3,3011,0,27,425,643,633,357,31,0,2118,3,36,364,894,1033,529,48,4,2908,8,25,89,96,116,76,12,7,434,103,141,202,195,219,178,41,6,1095,6223,12826,19343,16834,18515,13200,2275,175,89379,22,36,114,108,140,114,33,4,565,355,212,166,195,161,198,68,4,1355,232,423,498,505,495,507
5,6112,3013,354,16,25390,17,340,3920,4459,3734,1773,177,9,14426,159,343,658,594,577,410,93,13,2854,7420,20791,53908,43127,37754,23107,4591,396,191097,232,93,153,124,125,62,7,0,798,4393,1267,683,616,414,232,59,12,7677,2018,2543,1541,1286,966,654,125,18,9156,974,2296,2053,1430,1197,879,228,23,9082,681,2264,2308,1805,1661,1264,323,24,10338,649,2771,3612,2918,2892,2231,528,51,15652,423,2603,4216,3214,3480,2326,500,33,16790,199,1842,4337,3445,3862,2687,421,31,16835,89,1081,3525,2590,2895,2202,363,20,12760,37,473,1864,1582,1537,1118,199,13,6813,13,257,1536,1446,1432,971,147,6,5810,3,81,973,1220,1174,641,66,4,4166,9,73,792,1462,1539,675,69,3,4622,11,41,155,219,256,126,17,0,818,158,248,311,255,275,230,54,3,1533,9878,17929,28061,23610,23699,16300,3107,251,122847,64,50,221,262,224,234,58,4,1127,546,353,349,408,287,267,88,9,2308,427,663,789,932,739,680
6,331,196,19,0,1065,5,3,45,44,58,57,10,0,226,22,54,74,86,76,69,19,0,400,1414,3653,7060,5981,6236,4740,822,96,30008,33,11,18,20,17,19,3,0,122,890,196,102,90,80,50,9,0,1422,349,459,294,263,211,203,37,9,1825,210,437,389,338,341,298,67,11,2090,172,472,486,496,600,457,96,11,2783,119,665,835,838,998,764,130,14,4363,84,557,934,783,1013,717,111,4,4203,31,350,764,685,848,644,96,11,3418,5,154,537,566,707,512,85,3,2574,3,78,288,321,381,220,23,0,1315,0,13,187,268,311,155,18,0,948,0,5,108,208,251,106,5,0,688,0,10,55,164,200,78,5,0,512,0,9,4,7,31,18,3,0,80,31,30,45,56,71,61,16,0,299,1936,3439,5043,5100,6064,4301,702,60,26643,6,6,26,33,31,37,12,3,152,107,55,49,61,64,62,21,0,410,86,85,123,164,150,162
7,728,359,53,4,3042,0,59,754,724,605,329,25,0,2500,5,30,85,75,66,62,11,0,340,608,1847,5757,4300,3665,2173,406,37,18803,21,8,19,12,3,7,0,0,78,223,25,69,39,26,11,6,3,398,118,99,147,115,80,39,13,0,618,62,105,160,100,84,61,14,3,592,55,140,225,142,105,75,24,0,766,79,208,360,274,197,122,31,0,1266,92,321,509,248,248,145,34,0,1601,62,400,673,399,311,214,42,3,2103,30,333,708,451,324,256,35,3,2142,16,209,468,330,283,185,36,3,1531,8,69,347,284,200,115,16,0,1048,0,29,183,222,175,82,13,0,704,0,12,232,364,328,99,9,0,1040,0,4,34,97,98,25,3,0,262,16,33,77,55,58,37,4,0,281,795,1989,4215,3141,2524,1471,277,24,14435,10,7,20,21,14,14,0,0,88,40,15,18,20,10,9,7,0,119,45,29,44,43,31,43
8,412,219,37,3,1436,0,5,70,116,121,64,6,0,376,24,50,71,55,62,18,6,0,277,968,2911,6406,4534,3785,2185,487,45,21319,53,23,26,14,12,11,3,0,139,1312,343,104,63,56,22,8,4,1918,654,788,241,123,100,70,19,0,2003,281,661,293,186,148,89,23,3,1678,220,621,359,215,169,130,33,5,1758,187,666,611,368,330,209,68,3,2453,147,676,778,495,434,276,56,3,2864,71,536,899,595,555,361,73,4,3093,20,312,816,572,483,331,63,4,2609,6,114,485,324,280,186,47,8,1440,0,49,364,323,265,154,22,3,1181,3,11,185,260,227,92,23,0,797,0,7,168,513,459,179,21,0,1346,4,10,36,68,104,37,8,0,273,44,51,36,35,41,20,8,0,239,3010,4885,5409,4154,3665,2156,469,40,23787,3,12,17,33,19,18,6,4,112,111,92,58,44,32,21,11,0,366,127,208,76,89,73,75
9,15,10,6,0,50,0,0,6,8,10,3,4,0,23,0,0,3,7,3,0,0,0,12,7,18,74,89,125,94,37,3,454,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,14,8,3,3,3,3,0,0,0,20,0,0,10,4,5,0,3,0,27,4,5,4,4,3,3,0,0,26,3,0,6,5,7,5,3,0,33,0,6,16,11,8,7,0,0,46,0,4,11,11,8,8,3,0,45,0,5,11,10,12,8,3,0,49,0,4,16,9,7,3,0,0,39,0,0,12,8,6,8,0,0,34,0,3,11,6,8,9,0,0,34,0,0,8,7,7,4,0,0,31,0,0,3,0,4,0,0,0,14,0,0,0,3,3,0,0,0,7,21,32,102,86,91,61,19,0,414,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
