STE_CODE_2016,Tot_65_69_HW_0,Tot_65_69_HW_1_15,Tot_65_69_HW_16_24,Tot_65_69_HW_25_34,Tot_65_69_HW_35_39,Tot_65_69_HW_40,Tot_65_69_HW_41_48,Tot_65_69_HW_49mor,Tot_65_69_HW_NS,Tot_65_69_Tot,Tot_70_74_HW_0,Tot_70_74_HW_1_15,Tot_70_74_HW_16_24,Tot_70_74_HW_25_34,Tot_70_74_HW_35_39,Tot_70_74_HW_40,Tot_70_74_HW_41_48,Tot_70_74_HW_49mor,Tot_70_74_HW_NS,Tot_70_74_Tot,Tot_75ov_HW_0,Tot_75ov_HW_1_15,Tot_75ov_HW_16_24,Tot_75ov_HW_25_34,Tot_75ov_HW_35_39,Tot_75ov_HW_40,Tot_75ov_HW_41_48,Tot_75ov_HW_49mor,Tot_75ov_HW_NS,Tot_75ov_Tot,Tot_Tot_HW_0,Tot_Tot_HW_1_15,Tot_Tot_HW_16_24,Tot_Tot_HW_25_34,Tot_Tot_HW_35_39,Tot_Tot_HW_40,Tot_Tot_HW_41_48,Tot_Tot_HW_49mor,Tot_Tot_HW_NS,Tot_Tot_Tot
1,4233,18508,14605,11001,12279,12589,5127,12498,1873,92721,1594,9502,5846,4137,2907,3685,1445,4153,1071,34345,1000,5435,2843,2128,1186,1790,688,2254,1564,18893,106407,363538,351397,351700,640626,672584,305224,500132,66574,3358185
2,3769,15319,10937,10144,9366,9215,4108,8878,1490,73230,1385,7624,4018,3331,2182,2582,1046,2915,907,26004,852,4323,1913,1672,981,1278,513,1567,1211,14306,90855,328949,285987,304804,510266,532976,251402,372183,52916,2730338
3,2608,10961,7314,7557,7280,6793,3361,8764,1135,55763,884,5398,2895,2487,1511,1960,904,2953,644,19635,486,2799,1245,1130,600,844,401,1530,941,9984,72375,235260,201255,256209,410308,366926,200976,349159,38400,2130860
4,1220,4955,3269,2930,2770,2426,1397,2865,396,22225,401,2408,1204,992,566,665,318,905,253,7725,269,1315,528,498,289,332,187,431,381,4235,28154,95174,77188,97666,153155,115081,68237,96218,11961,742831
5,1791,6671,4909,3876,3841,3823,2024,4373,524,31834,622,3307,1807,1351,767,996,475,1258,311,10884,327,1796,895,618,296,476,204,552,363,5531,47166,138312,114890,123569,198855,206518,109980,206712,20244,1166240
6,386,1642,1035,818,715,680,301,818,149,6537,128,770,364,256,130,201,92,255,91,2284,74,428,199,158,64,90,56,135,125,1334,9226,28606,24035,28727,42458,33388,18657,26550,3723,215365
7,156,289,257,246,499,414,171,560,69,2656,40,155,75,77,112,110,52,138,27,788,24,80,29,35,42,33,22,57,28,343,5095,6921,6517,8650,22711,19976,10727,26413,2751,109749
8,282,961,648,591,753,692,319,561,71,4876,79,438,236,180,152,147,81,135,41,1488,55,261,85,63,50,62,17,47,57,697,9719,21832,17789,21869,52293,46374,23953,30210,3431,227464
9,12,24,9,21,36,24,14,29,6,171,0,13,4,0,10,7,5,9,0,53,0,11,3,8,0,0,0,10,3,38,199,236,183,248,602,425,326,510,81,2804
