STE_CODE_2016,SW_1000_1249_Tot,SW_1250_1499_A_15_19,SW_1250_1499_A_20_24,SW_1250_1499_A_25_34,SW_1250_1499_A_35_44,SW_1250_1499_A_45_54,SW_1250_1499_A_55_64,SW_1250_1499_A_65_74,SW_1250_1499_A_75ov,SW_1250_1499_Tot,SW_1500_1749_A_15_19,SW_1500_1749_A_20_24,SW_1500_1749_A_25_34,SW_1500_1749_A_35_44,SW_1500_1749_A_45_54,SW_1500_1749_A_55_64,SW_1500_1749_A_65_74,SW_1500_1749_A_75ov,SW_1500_1749_Tot,SW_1750_1999_A_15_19,SW_1750_1999_A_20_24,SW_1750_1999_A_25_34,SW_1750_1999_A_35_44,SW_1750_1999_A_45_54,SW_1750_1999_A_55_64,SW_1750_1999_A_65_74,SW_1750_1999_A_75ov,SW_1750_1999_Tot,SW_2000_2999_A_15_19,SW_2000_2999_A_20_24,SW_2000_2999_A_25_34,SW_2000_2999_A_35_44,SW_2000_2999_A_45_54,SW_2000_2999_A_55_64,SW_2000_2999_A_65_74,SW_2000_2999_A_75ov,SW_2000_2999_Tot,SW_3000mo_A_15_19,SW_3000mo_A_20_24,SW_3000mo_A_25_34,SW_3000mo_A_35_44,SW_3000mo_A_45_54,SW_3000mo_A_55_64,SW_3000mo_A_65_74,SW_3000mo_A_75ov,SW_3000mo_Tot,SW_PINS_A_15_19,SW_PINS_A_20_24,SW_PINS_A_25_34,SW_PINS_A_35_44,SW_PINS_A_45_54,SW_PINS_A_55_64,SW_PINS_A_65_74,SW_PINS_A_75ov,SW_PINS_Tot,SW_Tot_A_15_19,SW_Tot_A_20_24,SW_Tot_A_25_34,SW_Tot_A_35_44,SW_Tot_A_45_54,SW_Tot_A_55_64,SW_Tot_A_65_74,SW_Tot_A_75ov,SW_Tot_Tot,MaOpD_NNI_A_15_19,MaOpD_NNI_A_20_24,MaOpD_NNI_A_25_34,MaOpD_NNI_A_35_44,MaOpD_NNI_A_45_54,MaOpD_NNI_A_55_64,MaOpD_NNI_A_65_74,MaOpD_NNI_A_75ove,MaOpD_NNI_Tot,MaOpD_1_149_A_15_19,MaOpD_1_149_A_20_24,MaOpD_1_149_A_25_34,MaOpD_1_149_A_35_44,MaOpD_1_149_A_45_54,MaOpD_1_149_A_55_64,MaOpD_1_149_A_65_74,MaOpD_1_149_A_75ov,MaOpD_1_149_Tot,MaOpD_150_299_A_15_19,MaOpD_150_299_A_20_24,MaOpD_150_299_A_25_34,MaOpD_150_299_A_35_44,MaOpD_150_299_A_45_54,MaOpD_150_299_A_55_64,MaOpD_150_299_A_65_74,MaOpD_150_299_A_75ov,MaOpD_150_299_Tot,MaOpD_300_399_A_15_19,MaOpD_300_399_A_20_24,MaOpD_300_399_A_25_34,MaOpD_300_399_A_35_44,MaOpD_300_399_A_45_54,MaOpD_300_399_A_55_64,MaOpD_300_399_A_65_74,MaOpD_300_399_A_75ov,MaOpD_300_399_Tot,MaOpD_400_499_A_15_19,MaOpD_400_499_A_20_24,MaOpD_400_499_A_25_34,MaOpD_400_499_A_35_44,MaOpD_400_499_A_45_54,MaOpD_400_499_A_55_64,MaOpD_400_499_A_65_74,MaOpD_400_499_A_75ov,MaOpD_400_499_Tot,MaOpD_500_649_A_15_19,MaOpD_500_649_A_20_24,MaOpD_500_649_A_25_34,MaOpD_500_649_A_35_44,MaOpD_500_649_A_45_54,MaOpD_500_649_A_55_64,MaOpD_500_649_A_65_74,MaOpD_500_649_A_75ov,MaOpD_500_649_Tot,MaOpD_650_799_A_15_19,MaOpD_650_799_A_20_24,MaOpD_650_799_A_25_34,MaOpD_650_799_A_35_44,MaOpD_650_799_A_45_54,MaOpD_650_799_A_55_64,MaOpD_650_799_A_65_74,MaOpD_650_799_A_75ov,MaOpD_650_799_Tot,MaOpD_800_999_A_15_19,MaOpD_800_999_A_20_24,MaOpD_800_999_A_25_34,MaOpD_800_999_A_35_44,MaOpD_800_999_A_45_54,MaOpD_800_999_A_55_64,MaOpD_800_999_A_65_74,MaOpD_800_999_A_75ov,MaOpD_800_999_Tot,MaOpD_1000_1249_A_15_19,MaOpD_1000_1249_A_20_24,MaOpD_1000_1249_A_25_34,MaOpD_1000_1249_A_35_44,MaOpD_1000_1249_A_45_54,MaOpD_1000_1249_A_55_64,MaOpD_1000_1249_A_65_74,MaOpD_1000_1249_A_75ov,MaOpD_1000_1249_Tot,MaOpD_1250_1499_A_15_19,MaOpD_1250_1499_A_20_24,MaOpD_1250_1499_A_25_34,MaOpD_1250_1499_A_35_44,MaOpD_1250_1499_A_45_54,MaOpD_1250_1499_A_55_64,MaOpD_1250_1499_A_65_74,MaOpD_1250_1499_A_75ov,MaOpD_1250_1499_Tot,MaOpD_1500_1749_A_15_19,MaOpD_1500_1749_A_20_24,MaOpD_1500_1749_A_25_34,MaOpD_1500_1749_A_35_44,MaOpD_1500_1749_A_45_54,MaOpD_1500_1749_A_55_64,MaOpD_1500_1749_A_65_74,MaOpD_1500_1749_A_75ov,MaOpD_1500_1749_Tot,MaOpD_1750_1999_A_15_19,MaOpD_1750_1999_A_20_24,MaOpD_1750_1999_A_25_34,MaOpD_1750_1999_A_35_44,MaOpD_1750_1999_A_45_54,MaOpD_1750_1999_A_55_64,MaOpD_1750_1999_A_65_74,MaOpD_1750_1999_A_75ov,MaOpD_1750_1999_Tot,MaOpD_2000_2999_A_15_19,MaOpD_2000_2999_A_20_24,MaOpD_2000_2999_A_25_34,MaOpD_2000_2999_A_35_44,MaOpD_2000_2999_A_45_54,MaOpD_2000_2999_A_55_64,MaOpD_2000_2999_A_65_74,MaOpD_2000_2999_A_75ov,MaOpD_2000_2999_Tot,MaOpD_3000mo_A_15_19,MaOpD_3000mo_A_20_24,MaOpD_3000mo_A_25_34,MaOpD_3000mo_A_35_44,MaOpD_3000mo_A_45_54,MaOpD_3000mo_A_55_64,MaOpD_3000mo_A_65_74,MaOpD_3000mo_A_75ov,MaOpD_3000mo_Tot,MaOpD_PINS_A_15_19,MaOpD_PINS_A_20_24,MaOpD_PINS_A_25_34,MaOpD_PINS_A_35_44,MaOpD_PINS_A_45_54,MaOpD_PINS_A_55_64,MaOpD_PINS_A_65_74,MaOpD_PINS_A_75ov,MaOpD_PINS_Tot,MaOpD_Tot_A_15_19
1,24925,25,635,4202,3704,3414,2270,522,57,14826,17,268,2892,2878,2744,1641,384,50,10873,9,122,1676,1950,1609,920,268,38,6581,6,85,2318,3173,2657,1443,393,48,10128,42,70,1086,2461,2210,1014,321,72,7280,1048,727,765,628,672,525,194,40,4593,55766,50817,61665,48375,48656,34604,9301,1171,310367,82,84,153,162,229,150,32,10,899,1087,398,174,165,224,223,108,15,2397,729,871,598,522,751,875,353,48,4739,407,999,1039,902,1260,1477,624,85,6793,375,1050,1529,1404,1789,1905,829,108,8999,509,1730,2739,2629,3526,3445,1216,135,15934,483,2671,5939,5505,6613,5530,1464,105,28309,310,2612,8041,8235,10085,7984,1566,99,38924,130,1575,6842,7958,9790,7946,1439,74,35755,42,672,4029,5117,6107,4513,798,37,21320,20,391,2797,3743,4392,3024,521,20,14914,11,164,1810,2706,2698,1707,223,11,9332,8,139,2326,3603,3483,2011,239,16,11828,7,55,397,621,641,343,85,11,2149,66,184,554,646,879,724,206,37,3299,4258
2,20308,25,453,3534,3068,2835,1729,425,40,12108,12,220,2098,2393,2215,1242,319,35,8536,9,86,1242,1598,1430,767,194,28,5353,8,74,1641,2550,2145,1069,253,32,7767,63,76,693,1736,1523,713,201,41,5046,1105,816,655,617,712,519,180,37,4643,49200,48979,51756,39353,40370,27506,7336,851,265348,48,83,122,116,159,128,41,8,702,624,371,208,142,198,169,71,9,1790,426,851,736,499,492,525,232,23,3780,222,902,1211,777,805,845,384,49,5196,226,867,1427,1126,1252,1249,522,62,6737,287,1438,2814,2286,2704,2555,872,78,13037,292,2407,5679,5051,5951,4812,1063,74,25334,190,2107,7148,7246,9010,6829,1159,56,33747,66,1045,5518,6693,8158,6281,1051,77,28890,15,369,2795,3702,4489,3311,565,31,15280,7,180,1583,2264,2910,2071,342,16,9371,5,76,873,1287,1695,1085,181,4,5203,3,56,877,1423,1721,1116,139,13,5345,5,16,217,334,379,288,57,14,1307,36,209,448,514,834,661,172,18,2889,2456
3,16487,12,340,2072,2337,2393,1561,396,34,9152,15,135,1215,1801,1844,1240,303,39,6591,4,56,580,1019,1036,647,195,25,3559,6,42,754,1386,1446,837,247,46,4758,35,50,392,881,890,562,197,61,3075,813,433,409,373,481,370,129,21,3027,44937,32422,34990,30444,33000,24086,6950,746,207578,62,51,99,120,174,147,48,3,711,829,224,122,133,143,157,73,7,1695,627,551,362,339,372,445,220,30,2946,377,602,653,467,621,726,399,51,3899,316,693,929,745,856,1074,578,71,5253,436,1203,1685,1578,2055,2044,868,79,9953,397,2211,4250,3634,4225,3495,989,67,19274,297,2122,5641,5583,6595,5317,1010,53,26620,143,1377,4843,5642,6676,5160,943,43,24830,48,675,3058,3483,4298,2919,463,17,14956,32,364,2269,2689,3223,2076,301,16,10959,18,215,1783,2127,2342,1453,194,3,8131,6,213,2565,3462,3388,1909,208,10,11763,11,35,611,910,877,494,73,8,3014,60,167,391,501,649,580,164,16,2524,3671
4,5491,4,74,629,728,788,532,101,17,2866,3,33,314,517,534,412,83,17,1910,0,12,141,288,326,203,51,0,1021,6,9,151,364,437,217,51,10,1237,9,14,60,182,210,152,59,16,695,253,173,131,110,156,103,37,13,979,13936,12218,12381,10263,11956,8479,2075,282,71586,15,17,23,30,53,39,6,0,188,240,110,53,33,50,52,22,3,561,161,233,169,107,158,152,82,14,1074,94,210,278,197,230,252,134,17,1409,83,182,336,272,346,393,193,31,1826,105,324,661,562,725,707,311,24,3419,84,626,1424,1216,1602,1280,269,20,6529,53,536,1896,2072,2552,2006,319,21,9460,18,316,1529,1904,2426,1885,269,13,8372,12,137,841,1002,1272,918,124,3,4308,10,98,608,692,936,622,89,5,3060,3,47,398,479,601,303,57,3,1886,3,40,426,554,595,357,38,4,2018,4,4,78,100,110,95,21,8,408,15,29,100,144,178,126,38,7,638,894
5,7889,18,221,1241,1197,1238,841,225,19,4999,5,94,755,895,975,632,175,24,3547,7,56,407,579,560,449,111,7,2177,0,53,481,832,858,540,149,19,2931,19,24,231,490,571,361,122,31,1849,370,262,201,158,236,149,54,4,1434,21641,17625,17793,14180,15851,11480,3258,385,102203,26,34,64,78,83,75,25,4,389,424,151,80,65,84,86,26,3,906,315,329,245,163,215,219,89,15,1588,124,316,362,253,293,331,185,27,1880,99,320,499,325,401,472,246,24,2383,160,495,878,698,791,784,371,28,4218,150,957,1728,1231,1429,1185,383,36,7093,111,1018,2694,2234,2705,2112,484,25,11388,66,714,2785,2907,3445,2781,530,33,13256,16,371,1877,2112,2447,1810,343,24,9000,11,289,1913,1938,2384,1671,263,9,8478,9,247,1771,1817,2085,1355,200,9,7481,13,265,3566,4066,4064,2270,256,13,14510,5,57,879,1407,1457,840,96,10,4750,25,78,220,290,373,266,75,7,1337,1545
6,1488,3,22,138,175,209,141,24,3,724,0,12,67,102,132,89,17,3,423,0,0,24,59,70,36,7,3,212,0,6,36,49,80,66,18,4,263,4,7,15,27,44,36,16,6,150,87,41,37,38,51,29,14,3,303,4575,3227,3439,3158,3586,2669,630,75,21359,7,3,4,4,25,13,0,0,59,78,16,16,12,14,11,13,0,154,44,52,31,46,55,76,24,3,338,15,52,58,67,95,142,58,5,498,30,58,71,72,141,186,82,11,644,38,118,165,178,252,272,97,15,1134,33,200,389,394,549,441,109,17,2123,17,172,534,562,755,621,90,10,2764,7,115,373,452,728,571,77,3,2325,0,39,228,269,400,279,30,0,1248,0,27,168,245,370,252,29,0,1094,0,9,78,123,170,119,22,0,518,0,4,56,72,122,72,11,3,347,0,0,14,19,28,17,11,0,87,8,16,29,33,70,45,15,3,199,276
7,680,0,27,125,110,102,52,12,6,436,0,6,52,72,70,38,10,3,248,0,3,31,43,39,24,6,4,154,0,0,28,43,41,31,14,3,161,4,0,9,32,28,15,7,4,106,25,14,27,20,12,8,0,0,118,1473,1023,1537,1136,1056,688,195,31,7144,6,3,0,3,6,6,3,0,28,12,3,4,7,7,6,0,0,44,15,9,32,17,16,18,14,0,114,7,15,40,23,16,15,16,0,121,7,21,43,35,31,16,19,3,174,17,51,68,55,70,55,31,3,352,13,54,104,95,95,86,27,0,480,29,107,197,153,171,161,35,3,853,10,90,240,201,262,188,38,7,1036,3,59,203,138,214,153,24,3,796,0,30,130,143,162,138,25,0,632,0,20,106,130,141,106,20,0,514,3,21,262,276,283,169,15,3,1031,0,7,89,121,111,64,8,0,398,4,14,30,35,33,29,13,0,147,122
8,1054,0,52,213,138,153,97,16,0,680,0,14,103,120,104,72,17,0,429,0,9,52,74,72,44,10,0,259,0,7,65,113,99,63,20,0,369,3,0,43,95,114,52,22,4,331,52,34,16,16,20,9,9,3,150,3967,3363,2724,1828,1681,1217,396,51,15232,4,3,4,5,3,3,0,0,28,80,24,7,5,3,0,3,0,123,58,52,28,9,19,14,6,0,179,11,42,39,22,24,19,12,0,171,16,35,56,26,37,35,19,4,229,18,51,62,69,62,62,33,3,359,15,71,135,106,132,99,39,6,601,18,89,203,160,230,181,48,0,927,0,39,198,209,259,197,54,0,949,6,18,140,140,206,180,36,0,730,0,3,70,98,141,100,23,0,438,0,5,23,45,45,48,7,0,174,0,0,23,30,26,34,13,0,123,0,0,3,11,4,3,3,0,26,3,7,15,11,11,9,3,0,64,223
9,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,3,15,19,21,34,24,3,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,4,0,0,0,0,7,3,5,0,10,0,3,3,3,3,6,0,0,21,0,3,5,5,3,0,7,0,18,0,0,4,3,0,3,3,0,18,0,0,3,0,4,3,3,0,18,0,0,3,3,3,3,6,0,22,0,0,3,4,0,3,7,0,14,0,0,0,3,3,8,6,0,24,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,9,6
