STE_CODE_2016,M1_Train_Mng,M1_Train_Pro,M1_Train_TecTW,M1_Train_CoPSW,M1_Train_ClAW,M1_Train_SWks,M1_Train_MaOpDv,M1_Train_Lab,M1_Train_IDNS,M1_Train_Tot,M1_Bus_Mng,M1_Bus_Pro,M1_Bus_TecTW,M1_Bus_CoPSW,M1_Bus_ClAW,M1_Bus_SWks,M1_Bus_MaOpDv,M1_Bus_Lab,M1_Bus_IDNS,M1_Bus_Tot,M1_Ferry_Mng,M1_Ferry_Pro,M1_Ferry_TecTW,M1_Ferry_CoPSW,M1_Ferry_ClAW,M1_Ferry_SWks,M1_Ferry_MaOpDv,M1_Ferry_Lab,M1_Ferry_IDNS,M1_Ferry_Tot,M1_Tram_Inc_LR_Mng,M1_Tram_Inc_LR_Pro,M1_Tram_Inc_LR_TecTW,M1_Tram_Inc_LR_CoPSW,M1_Tram_Inc_LR_ClAW,M1_Tram_Inc_LR_SWks,M1_Tram_Inc_LR_MaOpDv,M1_Tram_Inc_LR_Lab,M1_Tram_Inc_LR_IDNS,M1_Tram_Inc_LR_Tot,M1_Taxi_Mng,M1_Taxi_Pro,M1_Taxi_TecTW,M1_Taxi_CoPSW,M1_Taxi_ClAW,M1_Taxi_SWks,M1_Taxi_MaOpDv,M1_Taxi_Lab,M1_Taxi_IDNS,M1_Taxi_Tot,M1_CarAsDriv_Mng,M1_CarAsDriv_Pro,M1_CarAsDriv_TecTW,M1_CarAsDriv_CoPSW,M1_CarAsDriv_ClAW,M1_CarAsDriv_SWks,M1_CarAsDriv_MaOpDv,M1_CarAsDriv_Lab,M1_CarAsDriv_IDNS,M1_CarAsDriv_Tot,M1_CarAsPas_Mng,M1_CarAsPas_Pro,M1_CarAsPas_TecTW,M1_CarAsPas_CoPSW,M1_CarAsPas_ClAW,M1_CarAsPas_SWks,M1_CarAsPas_MaOpDv,M1_CarAsPas_Lab,M1_CarAsPas_IDNS,M1_CarAsPas_Tot,M1_Truck_Mng,M1_Truck_Pro,M1_Truck_TecTW,M1_Truck_CoPSW,M1_Truck_ClAW,M1_Truck_SWks,M1_Truck_MaOpDv,M1_Truck_Lab,M1_Truck_IDNS,M1_Truck_Tot,M1_MBikeScoot_Mng,M1_MBikeScoot_Pro,M1_MBikeScoot_TecTW,M1_MBikeScoot_CoPSW,M1_MBikeScoot_ClAW,M1_MBikeScoot_SWks,M1_MBikeScoot_MaOpDv,M1_MBikeScoot_Lab,M1_MBikeScoot_IDNS,M1_MBikeScoot_Tot,M1_Bicycle_Mng,M1_Bicycle_Pro,M1_Bicycle_TecTW,M1_Bicycle_CoPSW,M1_Bicycle_ClAW,M1_Bicycle_SWks,M1_Bicycle_MaOpDv,M1_Bicycle_Lab,M1_Bicycle_IDNS,M1_Bicycle_Tot,M1_Oth_Mng,M1_Oth_Pro,M1_Oth_TecTW,M1_Oth_CoPSW,M1_Oth_ClAW,M1_Oth_SWks,M1_Oth_MaOpDv,M1_Oth_Lab,M1_Oth_IDNS,M1_Oth_Tot,M1_WlkOnly_Mng,M1_WlkOnly_Pro,M1_WlkOnly_TecTW,M1_WlkOnly_CoPSW,M1_WlkOnly_ClAW,M1_WlkOnly_SWks,M1_WlkOnly_MaOpDv,M1_WlkOnly_Lab,M1_WlkOnly_IDNS,M1_WlkOnly_Tot,M1_Tot_M1_Mng,M1_Tot_M1_Pro,M1_Tot_M1_TecTW,M1_Tot_M1_CoPSW,M1_Tot_M1_ClAW,M1_Tot_M1_SWks,M1_Tot_M1_MaOpDv,M1_Tot_M1_Lab,M1_Tot_M1_IDNS,M1_Tot_M1_Tot,M2_TrnBus_Mng,M2_TrnBus_Pro,M2_TrnBus_TecTW,M2_TrnBus_CoPSW,M2_TrnBus_ClAW,M2_TrnBus_SWks,M2_TrnBus_MaOpDv,M2_TrnBus_Lab,M2_TrnBus_IDNS,M2_TrnBus_Tot,M2_TrnFer_Mng,M2_TrnFer_Pro,M2_TrnFer_TecTW,M2_TrnFer_CoPSW,M2_TrnFer_ClAW,M2_TrnFer_SWks,M2_TrnFer_MaOpDv,M2_TrnFer_Lab,M2_TrnFer_IDNS,M2_TrnFer_Tot,M2_TrnTrm_Inc_LR_Mng,M2_TrnTrm_Inc_LR_Pro,M2_TrnTrm_Inc_LR_TecTW,M2_TrnTrm_Inc_LR_CoPSW,M2_TrnTrm_Inc_LR_ClAW,M2_TrnTrm_Inc_LR_SWks,M2_TrnTrm_Inc_LR_MaOpDv,M2_TrnTrm_Inc_LR_Lab,M2_TrnTrm_Inc_LR_IDNS,M2_TrnTrm_Inc_LR_Tot,M2_TrnCarAsDriv_Mng,M2_TrnCarAsDriv_Pro,M2_TrnCarAsDriv_TecTW,M2_TrnCarAsDriv_CoPSW,M2_TrnCarAsDriv_ClAW,M2_TrnCarAsDriv_SWks,M2_TrnCarAsDriv_MaOpDv,M2_TrnCarAsDriv_Lab,M2_TrnCarAsDriv_IDNS,M2_TrnCarAsDriv_Tot,M2_TrnCarAsPa_Mng,M2_TrnCarAsPa_Pro,M2_TrnCarAsPa_TecTW,M2_TrnCarAsPa_CoPSW,M2_TrnCarAsPa_ClAW,M2_TrnCarAsPa_SWks,M2_TrnCarAsPa_MaOpDv,M2_TrnCarAsPa_Lab,M2_TrnCarAsPa_IDNS,M2_TrnCarAsPa_Tot,M2_TrnOth_Mng,M2_TrnOth_Pro,M2_TrnOth_TecTW,M2_TrnOth_CoPSW,M2_TrnOth_ClAW,M2_TrnOth_SWks,M2_TrnOth_MaOpDv,M2_TrnOth_Lab,M2_TrnOth_IDNS,M2_TrnOth_Tot,M2_Trn_and_Tot_Mng,M2_Trn_and_Tot_Pro,M2_Trn_and_Tot_TecTW,M2_Trn_and_Tot_CoPSW,M2_Trn_and_Tot_ClAW,M2_Trn_and_Tot_SWks,M2_Trn_and_Tot_MaOpDv,M2_Trn_and_Tot_Lab,M2_Trn_and_Tot_IDNS,M2_Trn_and_Tot_Tot
1,31426,91546,19090,17852,48578,19418,3912,16233,5184,253237,18011,44868,7618,11735,22502,13641,2935,8942,2197,132454,2020,3702,213,168,989,370,35,75,189,7759,478,1051,163,251,388,169,23,103,69,2691,1145,1724,317,688,458,385,1368,525,134,6741,264145,411355,298341,201451,251616,167617,145557,169876,27181,1937141,11077,18693,18923,15577,15485,23163,8060,29994,2287,143246,4227,279,9230,115,1018,659,11558,5223,452,32762,3677,5058,3346,1907,1894,1184,1808,1653,340,20874,3257,9022,2587,1941,1799,1165,1153,1904,375,23204,3835,3129,2739,2418,1914,816,1444,1633,794,18724,20285,33273,11676,19134,14006,14313,3943,12670,1790,131084,363575,623696,374249,273242,360644,242893,181807,248828,40984,2709919,6235,19263,4480,5644,10454,5332,1985,5734,1101,60228,355,749,83,62,218,88,10,40,25,1627,149,531,128,195,236,96,11,123,14,1486,5531,12449,2698,1701,8053,1808,513,906,522,34183,1202,3382,673,610,2386,791,191,525,147,9914,552,1431,302,224,439,148,132,200,50,3474,14027,37816,8357,8444,21785,8263,2835,7520,1864,110915
2,20780,58529,10677,10495,33706,10177,1767,8461,3087,157665,1939,5569,2197,3804,3347,4933,1259,4185,519,27751,53,81,117,48,35,53,41,58,101,588,6755,19663,3034,5287,8538,4571,276,2486,701,51305,658,842,264,448,310,272,1442,483,91,4814,234273,355222,265805,175695,211128,151535,120460,153870,21936,1689927,8515,13234,13968,11976,10738,22094,5191,22678,1623,110011,2122,130,3937,41,610,352,6483,2741,251,16666,1920,2469,1446,863,874,479,784,876,177,9897,4674,14907,2905,2997,2857,1732,1106,2229,460,33868,2895,2377,1992,1328,1544,724,1308,1126,645,13940,14465,23029,7846,12386,8504,9691,2142,8362,1207,87617,299056,496051,314182,225362,282200,206603,142254,207540,30805,2204057,1781,6434,1602,2076,3720,2094,645,2265,374,20987,3,6,0,3,3,0,0,6,3,20,1840,6795,1071,1309,2870,1138,129,970,225,16354,4287,11249,1905,1350,6753,1319,323,730,414,28327,665,2185,352,378,1527,446,76,309,99,6033,414,1463,298,247,408,136,99,164,47,3277,8993,28130,5229,5364,15273,5140,1265,4448,1166,75006
3,4206,13991,2817,2935,11665,2519,644,2452,877,42111,4791,16979,4948,6015,11272,6466,3842,6057,934,61312,409,1082,255,217,498,147,69,158,90,2939,140,382,158,324,155,265,23,315,49,1801,455,660,252,442,278,321,594,432,79,3500,167658,264677,221789,155429,180762,125388,100165,137241,16906,1370018,7594,13672,13563,12903,11858,19024,6516,25551,1594,112275,2299,196,5315,63,487,424,7622,3232,302,19934,2218,3636,4005,2074,1802,1118,2508,1976,311,19648,2278,7253,2791,2329,1792,1241,1077,2578,319,21659,2801,2196,2282,1307,1425,650,1534,1807,591,14595,10675,13372,6959,11261,6790,7183,2577,9917,989,69735,205534,338107,265130,195298,228799,164750,127170,191713,23030,1739529,495,2083,540,800,1437,660,201,816,111,7136,7,16,10,7,13,4,0,3,0,67,3,3,6,6,10,7,3,10,0,41,1482,4330,781,613,3586,494,116,280,171,11857,236,703,185,160,623,181,36,182,35,2356,126,353,117,69,113,32,66,105,11,987,2342,7496,1640,1651,5779,1374,420,1394,332,22435
4,820,2790,561,702,2592,687,118,544,167,8981,2146,7689,2145,2848,7235,2926,907,2852,449,29187,10,12,18,15,5,12,22,22,29,145,300,873,142,264,750,225,11,103,63,2740,161,176,97,109,96,81,416,202,26,1369,62754,98072,74885,58938,61316,43968,32997,52752,5820,491499,2644,4719,3710,3605,3963,5402,1436,7846,471,33791,611,36,1060,14,177,114,1722,725,57,4518,436,634,614,387,321,201,351,432,59,3439,825,2853,894,683,711,344,347,657,118,7435,945,547,1178,302,491,168,555,526,174,4882,3802,3912,1983,2734,1849,2157,771,2849,224,20290,75447,122305,87282,70594,79516,56295,39663,69514,7659,608272,76,340,148,181,258,167,39,283,38,1525,0,0,0,0,0,0,0,0,0,3,19,49,10,19,61,17,3,12,5,190,185,595,142,163,576,126,23,58,26,1899,25,67,25,23,55,41,3,37,4,291,23,74,28,24,19,9,6,17,0,196,330,1126,347,417,971,353,81,405,69,4100
5,2797,8692,2033,2011,6309,1693,304,1411,518,25760,2667,9164,10547,2904,4870,3084,7698,5966,664,47562,22,37,51,21,20,13,24,30,37,265,27,34,10,3,9,10,0,8,14,114,263,312,206,183,140,136,589,193,40,2058,93457,149203,127377,80025,93817,61948,53048,65130,9677,733671,3880,7127,9313,5640,5402,8995,3788,11706,845,56693,843,99,2680,43,332,138,2890,1452,133,8619,650,1208,1175,597,540,359,547,582,100,5754,1435,4393,1416,1162,907,649,583,1065,160,11774,1879,2215,4755,846,956,273,3276,2331,493,17027,5466,6076,3738,4360,2718,3267,1440,4749,420,32239,113382,188549,163305,97811,116004,80563,74197,94632,13098,941539,1244,4305,1231,1352,2950,1349,262,1287,209,14199,0,3,0,0,0,3,0,3,0,15,0,4,0,0,0,4,0,0,0,9,1158,3582,746,513,2770,381,97,211,139,9597,153,518,137,97,457,123,20,103,29,1634,77,329,92,57,85,45,26,53,14,785,2631,8743,2212,2022,6264,1905,411,1671,388,26238
6,8,23,7,3,10,6,0,13,4,73,297,1013,428,620,1044,690,175,677,97,5041,4,8,6,3,0,0,0,16,5,43,5,3,3,3,3,4,0,0,0,31,49,55,55,80,54,49,145,68,9,561,17290,25934,22514,17318,18401,12370,9781,15609,1908,141129,895,1840,1387,1364,1739,2116,497,2480,197,12507,194,11,351,5,37,39,748,246,30,1667,226,204,219,115,119,100,64,235,16,1293,157,737,192,150,136,73,46,125,26,1629,264,189,182,118,112,72,104,223,53,1318,1656,2665,971,1306,1096,1041,294,1162,139,10331,21041,32679,26308,21095,22745,16556,11856,20850,2482,175613,0,3,0,0,3,0,0,0,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,15,3,4,4,0,3,0,0,41,0,0,3,0,3,0,0,0,0,7,3,3,0,0,0,0,3,0,0,9,9,21,5,3,14,3,8,3,3,68
7,5,9,3,3,7,0,3,3,9,42,287,1002,2501,402,558,292,781,1184,140,7147,6,12,5,0,4,4,4,7,4,51,3,0,0,0,0,0,0,0,0,9,24,44,29,48,25,38,45,37,8,298,8849,12855,10519,8068,9570,4036,3561,4509,1073,63034,594,1447,1063,1035,950,797,354,1145,151,7532,55,11,215,14,10,10,174,106,24,609,133,224,252,239,134,97,147,150,29,1402,262,924,297,434,219,120,104,236,40,2634,186,258,404,179,98,27,282,286,71,1791,976,2159,895,1936,869,656,285,1263,291,9336,11376,18927,16185,12356,12441,6074,5747,8924,1838,93871,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,8,0,4,0,3,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,3,7,7,3,4,0,3,0,0,28
8,27,47,8,6,17,3,0,8,17,136,1446,4228,636,1213,2821,1094,89,794,359,12671,13,7,4,3,4,0,0,0,6,39,17,16,4,3,3,0,0,0,0,38,59,136,16,32,49,13,51,10,11,379,24921,42735,16088,14899,25663,8350,3811,6734,3402,146601,1799,3588,986,1405,2817,1436,146,1233,313,13718,122,17,442,0,29,15,201,182,27,1040,425,775,181,184,387,71,56,47,83,2210,1080,2598,283,413,664,195,50,149,116,5532,243,261,136,148,144,30,72,51,64,1159,1980,3609,419,1023,1232,659,86,378,183,9572,32128,58011,19208,19325,33837,11863,4563,9582,4581,193099,3,12,4,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,31,7,4,16,0,7,3,0,84,0,0,0,0,3,0,0,0,0,9,6,3,0,0,0,0,0,3,0,8,23,48,15,9,19,3,7,7,3,134
9,0,3,0,0,0,0,0,0,3,7,4,7,3,37,3,0,3,16,0,71,0,3,12,3,3,0,3,13,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,239,200,275,232,189,101,112,179,34,1552,15,17,20,30,15,4,14,25,3,136,12,3,40,0,0,3,8,11,3,77,0,4,9,10,4,5,11,7,3,52,4,5,6,7,3,0,0,3,0,20,16,19,7,10,14,0,0,7,4,88,88,45,13,26,20,8,4,17,9,218,380,310,379,352,249,119,154,276,59,2276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3
