STE_CODE_2016,LG_1000_1249_Mng,LG_1000_1249_Pro,LG_1000_1249_TecTW,LG_1000_1249_CoPSW,LG_1000_1249_ClAW,LG_1000_1249_SWks,LG_1000_1249_MaOpDv,LG_1000_1249_Lab,LG_1000_1249_IDNS,LG_1000_1249_Tot,LG_1250_1499_Mng,LG_1250_1499_Pro,LG_1250_1499_TecTW,LG_1250_1499_CoPSW,LG_1250_1499_ClAW,LG_1250_1499_SWks,LG_1250_1499_MaOpDv,LG_1250_1499_Lab,LG_1250_1499_IDNS,LG_1250_1499_Tot,LG_1500_1749_Mng,LG_1500_1749_Pro,LG_1500_1749_TecTW,LG_1500_1749_CoPSW,LG_1500_1749_ClAW,LG_1500_1749_SWks,LG_1500_1749_MaOpDv,LG_1500_1749_Lab,LG_1500_1749_IDNS,LG_1500_1749_Tot,LG_1750_1999_Mng,LG_1750_1999_Pro,LG_1750_1999_TecTW,LG_1750_1999_CoPSW,LG_1750_1999_ClAW,LG_1750_1999_SWks,LG_1750_1999_MaOpDv,LG_1750_1999_Lab,LG_1750_1999_IDNS,LG_1750_1999_Tot,LG_2000_2999_Mng,LG_2000_2999_Pro,LG_2000_2999_TecTW,LG_2000_2999_CoPSW,LG_2000_2999_ClAW,LG_2000_2999_SWks,LG_2000_2999_MaOpDv,LG_2000_2999_Lab,LG_2000_2999_IDNS,LG_2000_2999_Tot,LG_3000mo_Mng,LG_3000mo_Pro,LG_3000mo_TecTW,LG_3000mo_CoPSW,LG_3000mo_ClAW,LG_3000mo_SWks,LG_3000mo_MaOpDv,LG_3000mo_Lab,LG_3000mo_IDNS,LG_3000mo_Tot,LG_PINS_Mng,LG_PINS_Pro,LG_PINS_TecTW,LG_PINS_CoPSW,LG_PINS_ClAW,LG_PINS_SWks,LG_PINS_MaOpDv,LG_PINS_Lab,LG_PINS_IDNS,LG_PINS_Tot,LG_Tot_Mng,LG_Tot_Pro,LG_Tot_TecTW,LG_Tot_CoPSW,LG_Tot_ClAW,LG_Tot_SWks,LG_Tot_MaOpDv,LG_Tot_Lab,LG_Tot_IDNS,LG_Tot_Tot,Pvte_NNI_Mng,Pvte_NNI_Pro,Pvte_NNI_TecTW,Pvte_NNI_CoPSW,Pvte_NNI_ClAW,Pvte_NNI_SWks,Pvte_NNI_MaOpDv,Pvte_NNI_Lab,Pvte_NNI_IDNS,Pvte_NNI_Tot,Pvte_1_149_Mng,Pvte_1_149_Pro,Pvte_1_149_TecTW,Pvte_1_149_CoPSW,Pvte_1_149_ClAW,Pvte_1_149_SWks,Pvte_1_149_MaOpDv,Pvte_1_149_Lab,Pvte_1_149_IDNS,Pvte_1_149_Tot,Pvte_150_299_Mng,Pvte_150_299_Pro,Pvte_150_299_TecTW,Pvte_150_299_CoPSW,Pvte_150_299_ClAW,Pvte_150_299_SWks,Pvte_150_299_MaOpDv,Pvte_150_299_Lab,Pvte_150_299_IDNS,Pvte_150_299_Tot,Pvte_300_399_Mng,Pvte_300_399_Pro,Pvte_300_399_TecTW,Pvte_300_399_CoPSW,Pvte_300_399_ClAW,Pvte_300_399_SWks,Pvte_300_399_MaOpDv,Pvte_300_399_Lab,Pvte_300_399_IDNS,Pvte_300_399_Tot,Pvte_400_499_Mng,Pvte_400_499_Pro,Pvte_400_499_TecTW,Pvte_400_499_CoPSW,Pvte_400_499_ClAW,Pvte_400_499_SWks,Pvte_400_499_MaOpDv,Pvte_400_499_Lab,Pvte_400_499_IDNS,Pvte_400_499_Tot,Pvte_500_649_Mng,Pvte_500_649_Pro,Pvte_500_649_TecTW,Pvte_500_649_CoPSW,Pvte_500_649_ClAW,Pvte_500_649_SWks,Pvte_500_649_MaOpDv,Pvte_500_649_Lab,Pvte_500_649_IDNS,Pvte_500_649_Tot,Pvte_650_799_Mng,Pvte_650_799_Pro,Pvte_650_799_TecTW,Pvte_650_799_CoPSW,Pvte_650_799_ClAW,Pvte_650_799_SWks,Pvte_650_799_MaOpDv,Pvte_650_799_Lab,Pvte_650_799_IDNS,Pvte_650_799_Tot,Pvte_800_999_Mng,Pvte_800_999_Pro,Pvte_800_999_TecTW,Pvte_800_999_CoPSW,Pvte_800_999_ClAW,Pvte_800_999_SWks,Pvte_800_999_MaOpDv,Pvte_800_999_Lab,Pvte_800_999_IDNS,Pvte_800_999_Tot,Pvte_1000_1249_Mng,Pvte_1000_1249_Pro,Pvte_1000_1249_TecTW,Pvte_1000_1249_CoPSW,Pvte_1000_1249_ClAW,Pvte_1000_1249_SWks,Pvte_1000_1249_MaOpDv,Pvte_1000_1249_Lab,Pvte_1000_1249_IDNS,Pvte_1000_1249_Tot,Pvte_1250_1499_Mng,Pvte_1250_1499_Pro,Pvte_1250_1499_TecTW,Pvte_1250_1499_CoPSW,Pvte_1250_1499_ClAW,Pvte_1250_1499_SWks,Pvte_1250_1499_MaOpDv,Pvte_1250_1499_Lab,Pvte_1250_1499_IDNS,Pvte_1250_1499_Tot,Pvte_1500_1749_Mng,Pvte_1500_1749_Pro,Pvte_1500_1749_TecTW,Pvte_1500_1749_CoPSW,Pvte_1500_1749_ClAW,Pvte_1500_1749_SWks,Pvte_1500_1749_MaOpDv,Pvte_1500_1749_Lab,Pvte_1500_1749_IDNS,Pvte_1500_1749_Tot,Pvte_1750_1999_Mng,Pvte_1750_1999_Pro,Pvte_1750_1999_TecTW,Pvte_1750_1999_CoPSW,Pvte_1750_1999_ClAW,Pvte_1750_1999_SWks,Pvte_1750_1999_MaOpDv,Pvte_1750_1999_Lab,Pvte_1750_1999_IDNS,Pvte_1750_1999_Tot
1,434,1327,1837,538,2859,31,1629,1364,161,10177,580,1808,1285,254,1740,23,649,533,101,6978,676,2038,986,175,908,14,267,227,107,5399,676,1447,588,86,430,6,79,74,50,3441,1419,1338,407,51,355,9,33,45,47,3706,824,258,28,20,78,5,16,14,8,1253,40,75,68,48,104,4,63,78,27,513,5117,9953,7149,3627,10768,222,4717,5343,752,47640,5272,2497,2142,2062,2368,2951,832,2623,897,21649,3352,7529,4041,18995,6252,36596,2344,20945,935,100978,6238,10428,9320,23866,12259,29617,4570,20804,1172,118273,8702,11718,15522,25577,16188,25782,6561,23296,1415,134765,10442,13667,24188,29190,20209,27167,8634,27147,1631,162267,18111,23092,37281,42898,35500,36149,15278,37485,2492,248290,25165,31588,47185,45296,48482,37411,26974,44550,3349,310004,37856,47378,61661,39777,62595,32434,35960,39730,4197,361594,48595,71500,66387,26877,63375,24076,32181,26111,4419,363522,38160,66239,41818,11211,36596,14236,18972,12357,3015,242594,37910,68447,31056,5846,24413,10536,13244,7411,2451,201315,28814,55027,18704,2714,12211,6405,8343,3861,1519,137591
2,367,1351,902,889,1953,27,597,691,90,6864,441,1621,534,458,1407,27,243,209,81,5035,622,2112,359,371,925,11,98,118,85,4701,510,1177,180,150,395,6,20,32,50,2526,1044,1010,139,120,299,4,16,16,38,2685,539,136,15,26,46,0,0,22,11,798,34,71,40,107,79,0,32,99,14,487,4042,9538,3150,7640,8340,217,1562,4459,516,39471,5059,2192,1901,1837,2084,2728,669,2273,794,19536,3343,6269,4022,18773,5487,36797,1753,19519,896,96864,5907,9078,8351,22247,10619,28722,3648,18364,956,107894,8221,9766,12982,21381,13249,23533,4980,19179,1114,114398,9574,11429,19802,23449,16653,22895,6477,21454,1209,132936,16023,18764,30402,33752,28110,28886,12548,30018,1957,200467,22049,25706,40278,34779,38805,29226,24438,37234,2446,254960,33201,41199,53959,31066,52099,25890,32332,32726,3134,305604,40447,62154,57983,19915,50963,19747,27295,21761,3154,303399,31819,57713,36214,8608,28395,11796,14320,10688,2080,201633,31470,55901,26192,3976,17987,8312,8618,6681,1660,160797,23844,42395,16032,1735,8636,5215,4787,3985,1072,107709
3,341,983,1315,179,2711,34,1362,1172,95,8193,395,1482,1061,147,1656,22,591,407,86,5845,449,1545,649,85,799,10,292,181,57,4059,434,881,250,34,329,3,113,82,47,2168,926,974,169,25,287,7,44,40,35,2510,571,173,19,4,61,0,6,13,5,860,23,41,54,16,94,0,68,76,27,398,3430,7054,5012,1064,8904,201,4026,4239,483,34428,4320,1472,1568,1287,1858,1804,682,2025,594,15612,2517,3844,3535,12988,4118,26385,1652,15538,633,71210,4314,5380,5926,15067,7506,20101,2879,15026,703,76888,5873,6161,9136,15491,9887,16870,3791,16277,792,84285,6563,7116,13727,18933,12766,18171,5058,18968,904,102208,11435,12323,22677,31280,23108,25339,9532,28203,1410,165294,16892,17044,31350,34099,32496,27562,18369,34222,1927,213967,26068,25625,42923,26997,41869,22636,24699,31137,2435,244386,31196,37665,47800,16703,38151,15970,22143,20290,2404,232320,22838,34184,31105,6662,20010,8883,13457,9284,1562,147977,22295,36110,23317,3277,12308,6418,10119,5685,1233,120762,15182,24831,15089,1485,5692,3472,7652,3271,780,77454
4,103,238,517,135,543,6,333,442,42,2362,111,368,271,108,517,12,85,96,33,1611,171,463,132,82,246,4,20,35,11,1159,179,267,65,20,90,3,13,7,7,648,312,187,31,22,62,3,4,6,8,634,147,14,0,0,7,0,4,3,3,173,10,10,11,7,10,0,12,5,4,86,1141,1819,1427,702,2259,56,674,1016,159,9261,1423,416,480,461,473,582,178,698,165,4888,931,1351,1101,4874,1184,9310,549,6899,219,26409,1865,2100,2324,6026,2540,8000,1040,6876,242,31010,2344,2223,3526,5965,3474,6361,1352,6810,288,32352,2987,2751,5378,7312,4735,6950,1763,7892,372,40135,4951,4579,8717,11814,8423,9102,3322,10741,521,62171,6822,6443,11816,11800,11012,8740,6351,12805,723,76523,9937,10203,15615,9928,14539,7678,8998,11466,874,89238,11781,14908,16252,6493,13469,5345,7782,7110,868,84000,8622,13273,9736,2439,6624,2766,4044,2933,560,50995,7935,13588,6425,1150,3778,1856,2818,1637,411,39602,5547,10442,3671,485,1838,1001,1802,816,245,25853
5,196,339,635,241,1019,21,510,524,62,3545,232,610,406,192,830,16,230,163,67,2744,300,771,291,120,461,9,84,73,39,2149,261,398,111,40,158,4,39,25,19,1044,567,336,97,51,128,0,17,18,8,1226,312,61,16,18,26,3,5,3,3,435,20,21,26,14,40,4,11,17,12,163,2127,3083,2269,1754,4245,128,1316,1559,279,16776,1936,788,846,705,997,1039,369,1071,302,8059,1205,2225,1594,7159,2031,14443,893,8489,343,38375,1875,3196,3099,8266,3996,11113,1559,8281,357,41740,2426,3121,4620,8080,4857,8956,1838,8591,399,42890,2982,3691,6920,9005,6276,9032,2322,9051,469,49748,5188,5940,10784,13231,10822,11401,4069,11932,670,74040,7008,7581,13516,13743,13580,10978,6814,13211,875,87305,11136,11378,19756,13318,18223,9564,10751,13072,1086,108294,14503,18503,27068,9872,20981,7660,12309,10782,1367,123050,11631,18643,20377,4477,12771,4857,8520,5940,1060,88281,11905,19647,17233,2698,8585,3469,8141,4049,949,76665,8952,16375,12428,1350,4402,2136,7256,2859,729,56477
6,59,130,147,42,242,4,89,99,31,842,61,136,80,31,98,0,21,19,13,456,42,94,29,12,37,0,8,7,6,242,46,46,15,7,11,0,3,0,5,131,94,33,6,4,7,0,0,3,0,153,38,0,0,0,8,0,0,0,0,50,0,0,0,0,7,0,0,5,5,23,411,575,427,338,759,29,278,447,71,3339,423,95,148,105,130,180,59,181,36,1356,300,295,330,1356,345,2905,151,1818,52,7568,614,525,782,1646,687,2213,323,2101,82,8977,816,602,1189,1839,980,1890,483,2048,111,9952,954,788,1830,2375,1346,2110,622,2425,130,12581,1550,1325,2887,3698,2416,2922,1083,3593,190,19663,2130,1695,3798,3664,3122,2990,2021,3900,203,23524,2933,2512,4848,2893,3926,2344,2533,2993,297,25274,3394,3747,4822,1984,3363,1427,2042,1783,269,22826,2479,3268,2785,788,1538,698,1168,817,176,13721,2090,3186,1803,328,878,413,1031,490,135,10355,1351,2341,1049,135,391,205,477,271,73,6293
7,28,27,40,23,110,0,17,41,5,303,25,47,28,31,83,3,5,18,5,247,41,48,19,25,40,0,3,9,10,190,44,21,4,10,11,0,0,3,0,99,82,22,3,11,11,0,0,3,0,132,34,0,0,0,3,0,0,4,0,46,4,10,4,16,8,0,0,32,0,79,299,285,161,367,415,11,70,318,59,1982,100,54,54,67,66,76,27,106,30,574,44,138,113,338,84,809,39,412,36,2013,112,233,192,474,182,575,102,462,62,2392,105,213,252,459,205,472,120,488,35,2349,154,228,388,602,293,510,161,599,34,2970,274,449,676,1006,597,738,320,1027,75,5174,483,521,1047,1330,929,975,440,1285,98,7118,843,829,1500,1536,1467,986,783,1269,145,9360,1317,1424,2199,1264,1868,644,878,999,162,10762,1176,1531,1753,713,1116,409,658,550,111,8024,1104,1563,1566,349,775,235,563,356,103,6614,842,1388,1200,197,396,138,494,316,92,5068
8,4,3,0,0,22,0,0,0,0,36,5,7,3,0,11,0,0,0,4,36,18,20,0,0,12,0,0,0,0,58,6,6,0,0,6,0,0,0,0,23,36,14,0,0,13,0,0,0,0,65,11,10,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,5,77,65,17,0,80,0,8,7,11,274,108,125,76,124,77,120,25,105,41,800,112,535,231,1817,284,2558,121,1101,55,6816,177,475,336,1880,532,1756,179,877,38,6245,216,494,514,1562,610,1290,162,761,44,5648,276,565,909,1619,752,1257,205,1011,65,6655,530,906,1501,2212,1261,1628,329,1363,96,9820,907,1182,2074,2519,1750,1645,538,1401,133,12150,1612,1916,2812,2563,2463,1521,810,1474,199,15375,2088,3395,3340,1900,2942,993,764,1044,252,16725,1724,3544,2198,796,1960,606,487,554,172,12034,1656,3643,1676,439,1289,389,287,288,160,9826,1296,3030,886,193,611,239,121,150,105,6636
9,0,0,3,0,4,0,3,3,0,13,0,0,0,0,0,0,9,0,0,7,3,0,0,0,4,0,3,0,0,14,3,0,3,0,3,0,0,0,0,5,8,3,0,0,4,0,0,0,0,10,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,22,10,26,9,31,3,20,19,4,139,6,0,0,0,3,4,0,0,3,22,3,3,3,11,4,8,0,12,0,52,5,10,10,13,4,5,7,19,0,75,15,8,15,28,11,14,3,26,0,108,28,14,16,16,11,17,4,18,3,129,26,21,31,32,24,34,7,38,3,214,22,14,55,38,36,18,15,47,0,244,42,9,49,35,29,18,17,33,3,239,30,33,48,27,25,3,20,40,8,231,38,27,30,20,22,4,14,22,3,174,24,31,32,22,15,3,19,17,0,169,24,30,24,20,13,0,14,11,4,132
