STE_CODE_2016,IE_AgFF_OMOE_Nil_em,IE_AgFF_OMOE_1_19_em,IE_AgFF_OMOE_20more_em,IE_AgFF_OMOE_NE_NS,IE_AgFF_Tot,IE_Min_OMOE_Nil_em,IE_Min_OMOE_1_19_em,IE_Min_OMOE_20more_em,IE_Min_OMOE_NE_NS,IE_Min_Tot,IE_Mnf_OMOE_Nil_em,IE_Mnf_OMOE_1_19_em,IE_Mnf_OMOE_20more_em,IE_Mnf_OMOE_NE_NS,IE_Mnf_Tot,IE_EGWWS_OMOE_Nil_em,IE_EGWWS_OMOE_1_19_em,IE_EGWWS_OMOE_20more_em,IE_EGWWS_OMOE_NE_NS,IE_EGWWS_Tot,IE_Const_OMOE_Nil_em,IE_Const_OMOE_1_19_em,IE_Const_OMOE_20more_em,IE_Const_OMOE_NE_NS,IE_Const_Tot,IE_WST_OMOE_Nil_em,IE_WST_OMOE_1_19_em,IE_WST_OMOE_20more_em,IE_WST_OMOE_NE_NS,IE_WST_Tot,IE_RetT_OMOE_Nil_em,IE_RetT_OMOE_1_19_em,IE_RetT_OMOE_20more_em,IE_RetT_OMOE_NE_NS,IE_RetT_Tot,IE_AcFd_OMOE_Nil_em,IE_AcFd_OMOE_1_19_em,IE_AcFd_OMOE_20more_em,IE_AcFd_OMOE_NE_NS,IE_AcFd_Tot,IE_TPW_OMOE_Nil_em,IE_TPW_OMOE_1_19_em,IE_TPW_OMOE_20more_em,IE_TPW_OMOE_NE_NS,IE_TPW_Tot,IE_IMT_OMOE_Nil_em,IE_IMT_OMOE_1_19_em,IE_IMT_OMOE_20more_em,IE_IMT_OMOE_NE_NS,IE_IMT_Tot,IE_FinIns_OMOE_Nil_em,IE_FinIns_OMOE_1_19_em,IE_FinIns_OMOE_20more_em,IE_FinIns_OMOE_NE_NS,IE_FinIns_Tot,IE_RHRE_OMOE_Nil_em,IE_RHRE_OMOE_1_19_em,IE_RHRE_OMOE_20more_em,IE_RHRE_OMOE_NE_NS,IE_RHRE_Tot,IE_ProSTS_OMOE_Nil_em,IE_ProSTS_OMOE_1_19_em,IE_ProSTS_OMOE_20more_em,IE_ProSTS_OMOE_NE_NS,IE_ProSTS_Tot,IE_AdSup_OMOE_Nil_em,IE_AdSup_OMOE_1_19_em,IE_AdSup_OMOE_20more_em,IE_AdSup_OMOE_NE_NS,IE_AdSup_Tot,IE_PubAS_OMOE_Nil_em,IE_PubAS_OMOE_1_19_em,IE_PubAS_OMOE_20more_em,IE_PubAS_OMOE_NE_NS,IE_PubAS_Tot,IE_EdTrn_OMOE_Nil_em,IE_EdTrn_OMOE_1_19_em,IE_EdTrn_OMOE_20more_em,IE_EdTrn_OMOE_NE_NS,IE_EdTrn_Tot,IE_HC_SA_OMOE_Nil_em,IE_HC_SA_OMOE_1_19_em,IE_HC_SA_OMOE_20more_em,IE_HC_SA_OMOE_NE_NS,IE_HC_SA_Tot,IE_ArtsR_OMOE_Nil_em,IE_ArtsR_OMOE_1_19_em,IE_ArtsR_OMOE_20more_em,IE_ArtsR_OMOE_NE_NS,IE_ArtsR_Tot,IE_OthSvs_OMOE_Nil_em,IE_OthSvs_OMOE_1_19_em,IE_OthSvs_OMOE_20more_em,IE_OthSvs_OMOE_NE_NS,IE_OthSvs_Tot,IE_IDNS_OMOE_Nil_em,IE_IDNS_OMOE_1_19_em,IE_IDNS_OMOE_20more_em,IE_IDNS_OMOE_NE_NS,IE_IDNS_Tot,IE_Tot_OMOE_Nil_em,IE_Tot_OMOE_1_19_em,IE_Tot_OMOE_20more_em,IE_Tot_OMOE_NE_NS,IE_Tot_Tot,UIE_AgFF_OMOE_Nil_em,UIE_AgFF_OMOE_1_19_em,UIE_AgFF_OMOE_20more_em,UIE_AgFF_OMOE_NE_NS,UIE_AgFF_Tot,UIE_Min_OMOE_Nil_em,UIE_Min_OMOE_1_19_em,UIE_Min_OMOE_20more_em,UIE_Min_OMOE_NE_NS,UIE_Min_Tot,UIE_Mnf_OMOE_Nil_em,UIE_Mnf_OMOE_1_19_em,UIE_Mnf_OMOE_20more_em,UIE_Mnf_OMOE_NE_NS,UIE_Mnf_Tot,UIE_EGWWS_OMOE_Nil_em,UIE_EGWWS_OMOE_1_19_em,UIE_EGWWS_OMOE_20more_em,UIE_EGWWS_OMOE_NE_NS,UIE_EGWWS_Tot,UIE_Const_OMOE_Nil_em,UIE_Const_OMOE_1_19_em,UIE_Const_OMOE_20more_em,UIE_Const_OMOE_NE_NS,UIE_Const_Tot,UIE_WST_OMOE_Nil_em,UIE_WST_OMOE_1_19_em,UIE_WST_OMOE_20more_em,UIE_WST_OMOE_NE_NS,UIE_WST_Tot,UIE_RetT_OMOE_Nil_em,UIE_RetT_OMOE_1_19_em,UIE_RetT_OMOE_20more_em,UIE_RetT_OMOE_NE_NS,UIE_RetT_Tot,UIE_AcFd_OMOE_Nil_em,UIE_AcFd_OMOE_1_19_em,UIE_AcFd_OMOE_20more_em,UIE_AcFd_OMOE_NE_NS,UIE_AcFd_Tot,UIE_TPW_OMOE_Nil_em,UIE_TPW_OMOE_1_19_em,UIE_TPW_OMOE_20more_em,UIE_TPW_OMOE_NE_NS,UIE_TPW_Tot,UIE_IMT_OMOE_Nil_em,UIE_IMT_OMOE_1_19_em,UIE_IMT_OMOE_20more_em,UIE_IMT_OMOE_NE_NS,UIE_IMT_Tot,UIE_FinIns_OMOE_Nil_em,UIE_FinIns_OMOE_1_19_em,UIE_FinIns_OMOE_20more_em,UIE_FinIns_OMOE_NE_NS,UIE_FinIns_Tot,UIE_RHRE_OMOE_Nil_em,UIE_RHRE_OMOE_1_19_em,UIE_RHRE_OMOE_20more_em,UIE_RHRE_OMOE_NE_NS,UIE_RHRE_Tot,UIE_ProSTS_OMOE_Nil_em,UIE_ProSTS_OMOE_1_19_em,UIE_ProSTS_OMOE_20more_em,UIE_ProSTS_OMOE_NE_NS,UIE_ProSTS_Tot,UIE_AdSup_OMOE_Nil_em,UIE_AdSup_OMOE_1_19_em,UIE_AdSup_OMOE_20more_em,UIE_AdSup_OMOE_NE_NS,UIE_AdSup_Tot,UIE_PubAS_OMOE_Nil_em,UIE_PubAS_OMOE_1_19_em,UIE_PubAS_OMOE_20more_em,UIE_PubAS_OMOE_NE_NS,UIE_PubAS_Tot,UIE_EdTrn_OMOE_Nil_em,UIE_EdTrn_OMOE_1_19_em,UIE_EdTrn_OMOE_20more_em,UIE_EdTrn_OMOE_NE_NS,UIE_EdTrn_Tot,UIE_HC_SA_OMOE_Nil_em,UIE_HC_SA_OMOE_1_19_em,UIE_HC_SA_OMOE_20more_em,UIE_HC_SA_OMOE_NE_NS,UIE_HC_SA_Tot,UIE_ArtsR_OMOE_Nil_em,UIE_ArtsR_OMOE_1_19_em,UIE_ArtsR_OMOE_20more_em,UIE_ArtsR_OMOE_NE_NS,UIE_ArtsR_Tot,UIE_OthSvs_OMOE_Nil_em,UIE_OthSvs_OMOE_1_19_em,UIE_OthSvs_OMOE_20more_em,UIE_OthSvs_OMOE_NE_NS,UIE_OthSvs_Tot
1,2272,3942,300,158,6669,329,395,97,5,833,2798,7832,1585,106,12321,357,555,98,12,1016,15774,24736,1847,496,42853,1933,4982,843,67,7826,4208,11718,1717,191,17827,1548,8999,1787,119,12457,6223,5309,808,156,12493,2103,1892,230,11,4236,4464,4752,446,78,9743,3105,5590,607,79,9379,14838,18186,2487,232,35743,4314,5859,676,150,10999,848,1056,254,13,2175,2155,2307,375,42,4879,4546,9814,1070,135,15560,1263,1626,203,29,3116,3719,7295,370,104,11490,5382,6958,735,239,13315,82194,133811,16517,2411,234929,13304,6436,76,602,20424,209,24,7,0,243,6356,2279,68,108,8815,437,101,11,6,555,38360,9862,82,736,49035,1749,717,47,29,2538,9293,5807,296,195,15596,4498,6320,182,123,11131,12988,1932,81,188,15188,2794,196,10,15,3024,2608,460,52,19,3142,2304,630,32,35,2999,23923,5758,1798,230,31705,17039,2560,64,264,19930,1018,204,75,22,1318,11567,1374,69,133,13136,18884,5193,253,228,24556,6527,864,24,84,7500,18096,5468,44,334,23940
2,2532,3816,384,187,6909,140,181,28,7,355,2830,7813,1865,150,12649,373,450,108,10,938,14235,20011,1596,468,36304,1816,4057,774,69,6704,3797,10047,1564,181,15589,1561,8025,1483,114,11179,5682,4213,628,121,10642,1393,1277,194,27,2890,3236,3406,335,43,7025,1945,3262,578,35,5815,11981,14206,2227,193,28617,3500,4470,699,112,8782,561,610,172,8,1356,1648,1654,306,30,3646,3624,7200,891,97,11814,1052,1327,229,19,2625,3492,6150,289,122,10050,4989,6451,757,218,12403,70373,108613,15104,2212,196300,10099,4480,65,412,15062,118,23,3,0,144,5403,1717,83,103,7296,349,70,5,7,432,32217,7628,72,683,40610,1366,442,38,28,1874,7078,3892,281,127,11370,3401,4184,139,127,7850,8090,1087,74,150,9406,2073,148,12,8,2247,1888,327,49,11,2272,1311,332,37,24,1710,20126,3935,1186,201,25450,12937,1819,52,211,15010,930,108,44,10,1095,8249,946,58,76,9332,15217,3816,222,188,19446,5568,530,30,74,6196,14308,3652,32,245,18243
3,1687,3317,464,97,5564,636,533,116,13,1285,1742,4785,1072,72,7675,258,385,54,7,704,9718,14880,1361,275,26233,1088,2332,446,24,3898,2208,7195,1171,91,10664,1148,5508,1184,67,7904,3617,3394,504,84,7596,807,686,116,9,1624,2122,2573,202,23,4919,2979,3654,433,51,7122,7501,8996,1312,97,17907,2632,3392,440,79,6543,455,553,158,10,1172,1148,1238,211,17,2619,2968,5843,720,62,9591,598,768,120,8,1492,2481,4546,280,70,7383,3344,4461,428,152,8388,49133,79033,10790,1318,140279,8392,3875,112,304,12684,320,72,18,8,414,4381,1629,54,70,6141,344,103,3,3,452,24666,6989,79,411,32135,1084,459,23,27,1593,5445,3130,160,106,8841,2815,3075,99,77,6072,6490,1329,60,106,7991,1114,101,7,0,1226,1280,298,20,13,1618,2219,595,33,37,2878,12501,3050,734,140,16418,12420,1963,32,188,14606,682,118,46,10,854,5978,701,33,77,6790,10870,2409,166,139,13589,3577,513,23,45,4161,13244,3417,41,192,16896
4,1095,1912,136,69,3207,78,77,27,0,194,648,1893,396,32,2971,92,145,18,3,264,2516,3835,360,90,6801,342,876,171,18,1409,730,2451,500,25,3704,291,1833,452,27,2602,959,917,174,35,2071,249,217,30,4,501,607,808,64,9,1491,448,813,91,12,1365,1935,2315,430,32,4714,647,641,103,30,1424,116,139,52,3,313,281,254,49,9,591,734,1544,291,14,2582,151,190,40,5,380,664,1395,99,29,2181,813,986,116,51,1957,13389,23256,3605,495,40741,4569,2837,38,189,7625,99,10,0,0,113,2095,705,41,42,2883,142,38,0,0,184,10441,2538,17,206,13197,527,201,6,16,755,2208,1392,67,41,3712,960,1278,52,43,2334,2537,517,18,52,3127,393,41,3,3,438,481,124,13,3,625,496,149,4,12,664,4386,1128,294,54,5861,4527,547,20,69,5168,254,39,9,8,303,2300,223,13,23,2556,3749,1310,150,49,5268,1265,161,9,17,1440,4779,1348,20,76,6219
5,1137,2403,149,76,3767,607,563,174,6,1352,740,2490,551,42,3813,185,212,37,3,435,4829,7550,705,115,13196,471,1218,271,11,1971,919,3470,695,51,5130,354,2352,689,27,3430,1856,1544,261,39,3695,346,301,40,0,685,1174,1310,128,15,2627,783,1506,270,23,2582,3825,4766,743,51,9391,1133,1538,233,32,2942,203,281,79,0,563,446,481,73,3,1004,1061,2253,339,20,3675,232,415,50,5,703,1131,2271,132,29,3561,1815,2402,273,79,4571,23242,39329,5889,629,69091,3758,2895,57,172,6884,415,65,16,3,494,2282,1008,42,50,3386,170,48,8,3,225,15960,4630,68,232,20890,598,308,29,9,949,2685,1974,170,37,4866,1248,1787,84,32,3150,4888,713,34,69,5700,540,79,3,6,631,951,178,15,9,1146,805,316,26,12,1155,7103,1614,404,75,9196,5953,999,27,94,7075,349,79,22,3,445,3128,417,22,34,3601,5178,1502,102,56,6840,1661,308,18,22,2011,6632,1794,28,87,8538
6,266,690,59,25,1047,16,29,12,0,55,114,448,99,12,670,19,39,5,0,67,524,999,117,24,1671,50,233,31,8,318,142,776,132,6,1058,84,505,149,8,741,198,337,51,8,594,52,46,8,0,109,90,184,4,7,288,76,212,39,5,323,424,654,102,3,1183,115,174,38,0,329,23,46,11,0,85,45,69,7,0,122,189,461,72,8,727,62,60,8,0,130,93,364,23,5,483,151,224,28,17,418,2744,6540,1004,134,10420,1217,775,22,39,2057,25,3,0,0,30,682,237,4,14,940,54,13,0,0,63,3058,791,6,64,3929,148,60,0,0,207,770,618,40,25,1450,445,655,18,6,1132,575,201,5,20,805,137,10,0,0,146,84,23,0,3,116,142,42,3,3,184,1298,254,80,23,1652,1007,167,12,27,1210,72,11,6,0,93,519,75,3,11,604,1245,269,28,16,1557,484,68,0,5,555,1286,490,3,24,1801
7,43,122,11,0,179,23,15,3,0,44,41,167,9,0,217,11,19,10,0,40,325,728,87,22,1162,24,58,7,0,89,66,315,41,5,422,39,204,69,3,306,75,128,17,3,226,12,24,7,3,45,24,47,4,0,72,50,100,9,4,163,168,279,41,8,494,76,147,24,3,249,25,36,11,0,82,30,41,3,0,70,83,143,15,0,238,28,25,3,0,60,83,234,13,0,332,83,141,26,3,248,1295,2968,409,60,4736,206,59,3,17,287,17,0,0,0,18,122,38,4,0,164,16,3,0,0,18,807,227,8,22,1064,34,6,0,6,43,150,92,3,8,248,124,153,4,3,288,190,54,0,6,244,40,0,0,0,39,36,7,0,0,41,53,11,0,3,60,408,52,7,8,475,354,78,3,10,440,36,5,6,3,57,142,25,5,4,172,338,62,8,4,405,131,22,0,0,151,345,117,0,11,469
8,6,14,3,0,26,0,0,0,0,0,62,172,30,0,267,16,17,0,0,42,866,1163,114,20,2163,31,76,12,0,126,121,485,116,13,734,31,465,130,4,627,151,104,14,6,274,60,69,16,0,143,142,179,12,4,334,105,167,35,3,306,793,1057,213,7,2074,127,187,42,3,362,233,188,22,3,450,102,92,31,0,229,275,486,54,9,820,42,50,13,0,102,147,347,22,3,523,157,199,33,8,398,3475,5516,914,83,9993,58,19,0,3,76,0,0,0,0,0,181,58,3,10,245,19,9,0,0,23,1521,313,10,14,1864,32,13,0,0,49,260,163,14,0,446,96,222,22,0,343,321,54,3,4,389,88,3,0,0,89,82,21,6,0,109,76,17,6,0,98,995,185,104,6,1288,559,101,0,6,676,178,10,6,3,197,677,60,7,4,748,813,164,10,5,994,326,30,3,0,351,665,220,7,3,893
9,0,3,0,0,3,4,0,0,0,4,0,9,0,0,11,0,0,0,0,0,0,3,0,0,5,0,3,0,3,5,0,9,0,0,9,0,8,0,0,14,0,9,0,0,13,3,0,0,0,6,0,0,0,0,0,0,7,0,0,6,9,3,0,0,14,3,3,0,0,11,0,0,0,0,0,3,0,0,0,3,0,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,7,4,0,11,26,68,8,3,107,10,7,0,0,16,0,0,0,0,0,11,0,0,0,17,0,0,0,0,0,24,17,0,0,42,0,0,0,0,3,16,25,0,0,39,23,29,0,0,54,5,3,0,0,8,4,0,0,0,4,0,0,0,0,0,7,0,0,0,7,10,3,0,0,14,20,6,0,0,25,3,0,0,0,3,5,0,0,0,9,10,3,0,0,11,3,0,0,0,3,14,11,0,0,22
