STE_CODE_2016,EAFW_18_TechFEI_NS,EAFW_18_TechFEI_Tot,EAFW_18_UniOTIs_FT,EAFW_18_UniOTIs_PT,EAFW_18_UniOTIs_NS,EAFW_18_UniOTIs_Tot,EAFW_18_Other,EAFW_18_NS,EAFW_18_Tot,EAFW_19_TechFEI_FT,EAFW_19_TechFEI_PT,EAFW_19_TechFEI_NS,EAFW_19_TechFEI_Tot,EAFW_19_UniOTIs_FT,EAFW_19_UniOTIs_PT,EAFW_19_UniOTIs_NS,EAFW_19_UniOTIs_Tot,EAFW_19_Other,EAFW_19_NS,EAFW_19_Tot,EAFW_20_24_TechFEI_FT,EAFW_20_24_TechFEI_PT,EAFW_20_24_TechFEI_NS,EAFW_20_24_TechFEI_Tot,EAFW_20_24_UniOTIs_FT,EAFW_20_24_UniOTIs_PT,EAFW_20_24_UniOTIs_NS,EAFW_20_24_UniOTIs_Tot,EAFW_20_24_Other,EAFW_20_24_NS,EAFW_20_24_Tot,EAFW_25_29_TechFEI_FT,EAFW_25_29_TechFEI_PT,EAFW_25_29_TechFEI_NS,EAFW_25_29_TechFEI_Tot,EAFW_25_29_UniOTIs_FT,EAFW_25_29_UniOTIs_PT,EAFW_25_29_UniOTIs_NS,EAFW_25_29_UniOTIs_Tot,EAFW_25_29_Other,EAFW_25_29_NS,EAFW_25_29_Tot,EAFW_30over_TechFEI_FT,EAFW_30over_TechFEI_PT,EAFW_30over_TechFEI_NS,EAFW_30over_TechFEI_Tot,EAFW_30over_UniOTIs_FT,EAFW_30over_UniOTIs_PT,EAFW_30over_UniOTIs_NS,EAFW_30over_UniOTIs_Tot,EAFW_30over_Other,EAFW_30over_NS,EAFW_30over_Tot,EAFW_Tot_TechFEI_FT,EAFW_Tot_TechFEI_PT,EAFW_Tot_TechFEI_NS,EAFW_Tot_TechFEI_Tot,EAFW_Tot_UniOTIs_FT,EAFW_Tot_UniOTIs_PT,EAFW_Tot_UniOTIs_NS,EAFW_Tot_UniOTIs_Tot,EAFW_Tot_Other,EAFW_Tot_NS,EAFW_Tot_Tot,Tot_16_TechFEI_FT,Tot_16_TechFEI_PT,Tot_16_TechFEI_NS,Tot_16_TechFEI_Tot,Tot_16_UniOTIs_FT,Tot_16_UniOTIs_PT,Tot_16_UniOTIs_NS,Tot_16_UniOTIs_Tot,Tot_16_Other,Tot_16_NS,Tot_16_Tot,Tot_17_TechFEI_FT,Tot_17_TechFEI_PT,Tot_17_TechFEI_NS,Tot_17_TechFEI_Tot,Tot_17_UniOTIs_FT,Tot_17_UniOTIs_PT,Tot_17_UniOTIs_NS,Tot_17_UniOTIs_Tot,Tot_17_Other,Tot_17_NS,Tot_17_Tot,Tot_18_TechFEI_FT,Tot_18_TechFEI_PT,Tot_18_TechFEI_NS,Tot_18_TechFEI_Tot,Tot_18_UniOTIs_FT,Tot_18_UniOTIs_PT,Tot_18_UniOTIs_NS,Tot_18_UniOTIs_Tot,Tot_18_Other,Tot_18_NS,Tot_18_Tot,Tot_19_TechFEI_FT,Tot_19_TechFEI_PT,Tot_19_TechFEI_NS,Tot_19_TechFEI_Tot,Tot_19_UniOTIs_FT,Tot_19_UniOTIs_PT,Tot_19_UniOTIs_NS,Tot_19_UniOTIs_Tot,Tot_19_Other,Tot_19_NS,Tot_19_Tot,Tot_20_24_TechFEI_FT,Tot_20_24_TechFEI_PT,Tot_20_24_TechFEI_NS,Tot_20_24_TechFEI_Tot,Tot_20_24_UniOTIs_FT,Tot_20_24_UniOTIs_PT,Tot_20_24_UniOTIs_NS,Tot_20_24_UniOTIs_Tot,Tot_20_24_Other,Tot_20_24_NS,Tot_20_24_Tot,Tot_25_29_TechFEI_FT,Tot_25_29_TechFEI_PT,Tot_25_29_TechFEI_NS,Tot_25_29_TechFEI_Tot,Tot_25_29_UniOTIs_FT,Tot_25_29_UniOTIs_PT,Tot_25_29_UniOTIs_NS,Tot_25_29_UniOTIs_Tot,Tot_25_29_Other,Tot_25_29_NS,Tot_25_29_Tot,Tot_30over_TechFEI_FT,Tot_30over_TechFEI_PT,Tot_30over_TechFEI_NS,Tot_30over_TechFEI_Tot,Tot_30over_UniOTIs_FT,Tot_30over_UniOTIs_PT,Tot_30over_UniOTIs_NS,Tot_30over_UniOTIs_Tot,Tot_30over_Other,Tot_30over_NS,Tot_30over_Tot,Tot_Tot_TechFEI_FT,Tot_Tot_TechFEI_PT,Tot_Tot_TechFEI_NS,Tot_Tot_TechFEI_Tot,Tot_Tot_UniOTIs_FT,Tot_Tot_UniOTIs_PT,Tot_Tot_UniOTIs_NS,Tot_Tot_UniOTIs_Tot,Tot_Tot_Other,Tot_Tot_NS,Tot_Tot_Tot
1,3,267,653,34,4,685,885,67,1898,94,196,12,306,1245,90,6,1342,78,67,1785,316,677,17,1005,4967,762,24,5752,305,418,7484,203,466,12,679,1169,775,11,1951,313,346,3295,378,1227,35,1637,965,2106,38,3116,1069,2424,8239,1159,2860,80,4101,9020,3769,83,12877,6197,3441,26615,369,926,4,1302,44,9,0,53,20260,472,22090,572,2164,23,2761,204,32,0,238,20453,571,24024,1332,4527,56,5912,10752,871,17,11634,8000,483,26037,1655,5469,62,7185,18690,1872,56,20620,1201,481,29490,5919,16637,157,22710,70061,17672,225,87956,6296,2498,119451,4175,10387,69,14631,19266,17975,128,37363,7351,2344,61695,6894,28145,370,35411,17490,48506,456,66456,20682,19611,142154,20919,68251,743,89908,136508,86930,885,224318,84245,26468,424941
2,4,171,495,32,0,526,700,59,1455,126,141,3,268,1069,69,10,1144,76,61,1549,384,467,19,868,4315,537,23,4880,268,334,6355,226,302,13,535,1045,523,21,1595,304,314,2747,278,770,21,1072,832,1635,24,2490,867,2097,6522,1164,1804,59,3022,7777,2796,77,10651,4717,2983,21368,242,213,8,458,41,11,0,51,17699,408,18617,523,799,16,1341,204,35,0,233,19100,471,21147,1328,2132,21,3482,7960,493,14,8472,9529,430,21908,1944,3206,40,5188,16153,1163,61,17371,1110,412,24083,6887,11459,131,18475,65676,11580,223,77484,4732,2239,102929,3954,7022,62,11039,17953,12976,108,31040,5135,1963,49174,5398,17535,248,23191,13862,35353,307,49523,17524,16427,106665,20277,42362,530,63162,121855,61607,717,184176,74833,22349,344523
3,3,114,544,49,7,597,108,45,862,44,69,0,121,670,52,0,717,33,44,908,182,280,5,470,2113,362,10,2491,163,165,3286,131,263,10,403,651,480,11,1141,161,193,1896,265,719,7,984,644,1484,19,2145,587,1452,5167,714,1445,23,2179,4754,2440,46,7237,3129,1985,14533,214,204,6,416,33,4,0,38,17529,337,18323,489,715,4,1200,2387,218,6,2611,14692,388,18893,987,1816,23,2825,9333,895,28,10262,1574,268,14936,953,2016,33,3007,11092,1198,38,12329,577,272,16175,3591,7572,69,11231,35616,9245,91,44947,3095,1360,60634,2499,5817,44,8359,10383,9985,67,20428,3537,1223,33557,4165,16796,179,21140,10349,31923,220,42496,12160,11777,87571,12900,34930,356,48183,79190,53472,447,133111,53166,15626,250085
4,0,41,136,11,0,150,137,13,335,19,35,0,62,233,19,0,247,21,13,339,94,128,3,222,965,123,3,1089,52,66,1430,56,83,0,139,231,162,0,394,62,66,662,108,289,9,408,260,446,5,713,217,556,1895,304,577,12,893,1822,763,6,2597,1194,749,5434,51,34,0,82,13,7,0,21,5101,125,5330,101,166,0,272,78,14,0,90,6009,161,6526,266,587,6,855,2438,204,9,2650,1936,117,5553,323,749,9,1082,3844,351,19,4210,285,109,5696,1414,2983,21,4416,14421,2813,42,17276,958,516,23162,841,2140,17,2997,3770,2863,22,6648,903,434,10983,1547,6954,65,8568,3920,9775,72,13771,3698,4855,30892,4537,13615,115,18269,28481,16026,156,44661,18898,6319,88152
5,0,86,246,18,0,267,87,14,457,47,67,0,110,330,30,3,364,23,20,517,123,189,3,312,1263,220,6,1483,63,101,1967,94,154,4,252,363,210,4,581,92,90,1013,166,455,10,630,337,702,11,1056,309,800,2789,502,952,22,1470,2558,1190,19,3771,1468,1065,7774,220,216,0,431,17,0,0,16,7129,139,7721,386,507,7,899,119,10,0,134,7819,176,9028,760,1226,14,2006,4352,447,11,4806,1331,148,8297,771,1464,18,2254,6089,689,16,6797,282,145,9481,2553,4086,39,6684,20056,4680,65,24802,1498,681,33660,1752,3056,26,4838,5725,4735,42,10506,1818,690,17850,2720,8825,119,11663,5476,15080,129,20684,6194,6433,44971,9161,19384,228,28772,41832,25644,265,67743,26076,8420,131011
6,0,40,29,0,0,33,72,3,140,12,14,0,26,58,3,0,61,4,3,91,24,42,0,60,231,29,0,260,9,20,354,8,23,0,35,58,40,0,103,7,15,157,27,98,0,124,65,165,0,226,43,234,631,152,187,3,341,443,235,4,682,359,296,1675,150,47,0,197,8,0,0,7,1468,55,1729,391,136,4,525,22,3,0,27,1509,63,2122,234,227,4,467,284,12,0,292,924,62,1749,107,296,4,401,670,76,3,750,50,27,1235,282,994,7,1276,2846,621,9,3473,202,179,5131,167,570,3,742,833,780,6,1618,197,134,2692,352,2036,15,2405,928,3400,16,4347,854,1856,9463,1674,4297,39,6017,5577,4901,35,10511,5206,2384,24119
7,0,8,9,0,0,5,17,8,39,0,5,0,6,12,5,0,12,3,3,25,7,19,0,28,67,24,0,88,7,33,158,3,24,0,28,32,42,0,79,9,29,138,9,69,3,81,60,170,4,237,48,148,512,31,118,5,150,185,237,3,422,187,223,986,0,14,0,16,0,3,0,3,585,19,619,9,32,0,42,15,8,0,27,609,17,693,32,72,0,104,103,37,0,142,186,21,455,17,99,4,120,135,73,0,212,31,23,378,112,359,7,469,790,479,3,1276,141,114,2007,82,365,3,446,543,777,0,1319,197,125,2085,144,1136,18,1296,673,2811,21,3502,845,903,6549,390,2069,29,2493,2269,4182,32,6481,2596,1222,12796
8,0,9,110,3,0,116,44,7,173,8,14,0,22,192,8,0,200,4,4,231,36,46,0,84,565,75,3,648,19,22,765,12,35,0,49,126,113,0,245,18,11,320,33,116,0,150,111,311,0,426,52,102,731,95,224,0,327,1106,519,9,1632,339,140,2438,21,15,0,34,0,0,0,0,1496,18,1555,39,54,0,99,40,6,0,49,1764,22,1925,109,215,0,323,924,34,3,964,709,26,2016,125,323,0,447,1786,106,3,1899,84,15,2443,398,1236,10,1641,6816,1467,5,8294,364,110,10409,283,800,3,1091,1756,2319,3,4084,334,80,5590,484,2450,14,2949,1779,6309,34,8119,1371,768,13216,1461,5103,26,6584,13112,10245,50,23404,6115,1040,37153
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,3,6,3,0,0,3,3,0,0,4,9,5,14,0,0,0,0,0,0,0,0,10,0,6,0,0,0,0,0,0,0,0,11,0,13,0,3,0,3,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,3,0,4,0,5,0,5,4,4,0,10,8,0,19,3,7,0,6,3,6,0,13,4,0,21,5,21,0,26,5,32,0,40,21,45,135,6,33,0,44,12,41,0,55,64,50,204
