STE_CODE_2016,Emp_15_19_HW_0,Emp_15_19_HW_1_15,Emp_15_19_HW_16_24,Emp_15_19_HW_25_34,Emp_15_19_HW_35_39,Emp_15_19_HW_40,Emp_15_19_HW_41_48,Emp_15_19_HW_49mor,Emp_15_19_HW_NS,Emp_15_19_Tot,Emp_20_24_HW_0,Emp_20_24_HW_1_15,Emp_20_24_HW_16_24,Emp_20_24_HW_25_34,Emp_20_24_HW_35_39,Emp_20_24_HW_40,Emp_20_24_HW_41_48,Emp_20_24_HW_49mor,Emp_20_24_HW_NS,Emp_20_24_Tot,Emp_25_29_HW_0,Emp_25_29_HW_1_15,Emp_25_29_HW_16_24,Emp_25_29_HW_25_34,Emp_25_29_HW_35_39,Emp_25_29_HW_40,Emp_25_29_HW_41_48,Emp_25_29_HW_49mor,Emp_25_29_HW_NS,Emp_25_29_Tot,Emp_30_34_HW_0,Emp_30_34_HW_1_15,Emp_30_34_HW_16_24,Emp_30_34_HW_25_34,Emp_30_34_HW_35_39,Emp_30_34_HW_40,Emp_30_34_HW_41_48,Emp_30_34_HW_49mor,Emp_30_34_HW_NS,Emp_30_34_Tot,Emp_35_39_HW_0,Emp_35_39_HW_1_15,Emp_35_39_HW_16_24,Emp_35_39_HW_25_34,Emp_35_39_HW_35_39,Emp_35_39_HW_40,Emp_35_39_HW_41_48,Emp_35_39_HW_49mor,Emp_35_39_HW_NS,Emp_35_39_Tot,Emp_40_44_HW_0,Emp_40_44_HW_1_15,Emp_40_44_HW_16_24,Emp_40_44_HW_25_34,Emp_40_44_HW_35_39,Emp_40_44_HW_40,Emp_40_44_HW_41_48,Emp_40_44_HW_49mor,Emp_40_44_HW_NS,Emp_40_44_Tot,Emp_45_49_HW_0,Emp_45_49_HW_1_15,Emp_45_49_HW_16_24,Emp_45_49_HW_25_34,Emp_45_49_HW_35_39,Emp_45_49_HW_40,Emp_45_49_HW_41_48,Emp_45_49_HW_49mor,Emp_45_49_HW_NS,Emp_45_49_Tot,Emp_50_54_HW_0,Emp_50_54_HW_1_15,Emp_50_54_HW_16_24,Emp_50_54_HW_25_34,Emp_50_54_HW_35_39,Emp_50_54_HW_40,Emp_50_54_HW_41_48,Emp_50_54_HW_49mor,Emp_50_54_HW_NS,Emp_50_54_Tot,Emp_55_59_HW_0,Emp_55_59_HW_1_15,Emp_55_59_HW_16_24,Emp_55_59_HW_25_34,Emp_55_59_HW_35_39,Emp_55_59_HW_40,Emp_55_59_HW_41_48,Emp_55_59_HW_49mor,Emp_55_59_HW_NS,Emp_55_59_Tot,Emp_60_64_HW_0,Emp_60_64_HW_1_15,Emp_60_64_HW_16_24,Emp_60_64_HW_25_34,Emp_60_64_HW_35_39,Emp_60_64_HW_40,Emp_60_64_HW_41_48,Emp_60_64_HW_49mor,Emp_60_64_HW_NS,Emp_60_64_Tot,Emp_65_69_HW_0,Emp_65_69_HW_1_15,Emp_65_69_HW_16_24,Emp_65_69_HW_25_34,Emp_65_69_HW_35_39,Emp_65_69_HW_40,Emp_65_69_HW_41_48,Emp_65_69_HW_49mor,Emp_65_69_HW_NS,Emp_65_69_Tot,Emp_70_74_HW_0,Emp_70_74_HW_1_15,Emp_70_74_HW_16_24,Emp_70_74_HW_25_34,Emp_70_74_HW_35_39,Emp_70_74_HW_40,Emp_70_74_HW_41_48,Emp_70_74_HW_49mor,Emp_70_74_HW_NS,Emp_70_74_Tot,Emp_75ov_HW_0,Emp_75ov_HW_1_15,Emp_75ov_HW_16_24,Emp_75ov_HW_25_34,Emp_75ov_HW_35_39,Emp_75ov_HW_40,Emp_75ov_HW_41_48,Emp_75ov_HW_49mor,Emp_75ov_HW_NS,Emp_75ov_Tot,Emp_Tot_HW_0,Emp_Tot_HW_1_15,Emp_Tot_HW_16_24,Emp_Tot_HW_25_34,Emp_Tot_HW_35_39,Emp_Tot_HW_40,Emp_Tot_HW_41_48,Emp_Tot_HW_49mor,Emp_Tot_HW_NS,Emp_Tot_Tot,OM_IEs_15_19_HW_0,OM_IEs_15_19_HW_1_15,OM_IEs_15_19_HW_16_24,OM_IEs_15_19_HW_25_34,OM_IEs_15_19_HW_35_39,OM_IEs_15_19_HW_40,OM_IEs_15_19_HW_41_48,OM_IEs_15_19_HW_49mor,OM_IEs_15_19_HW_NS,OM_IEs_15_19_Tot,OM_IEs_20_24_HW_0,OM_IEs_20_24_HW_1_15,OM_IEs_20_24_HW_16_24,OM_IEs_20_24_HW_25_34,OM_IEs_20_24_HW_35_39,OM_IEs_20_24_HW_40,OM_IEs_20_24_HW_41_48,OM_IEs_20_24_HW_49mor,OM_IEs_20_24_HW_NS,OM_IEs_20_24_Tot,OM_IEs_25_29_HW_0,OM_IEs_25_29_HW_1_15,OM_IEs_25_29_HW_16_24,OM_IEs_25_29_HW_25_34,OM_IEs_25_29_HW_35_39,OM_IEs_25_29_HW_40,OM_IEs_25_29_HW_41_48,OM_IEs_25_29_HW_49mor,OM_IEs_25_29_HW_NS,OM_IEs_25_29_Tot,OM_IEs_30_34_HW_0,OM_IEs_30_34_HW_1_15,OM_IEs_30_34_HW_16_24,OM_IEs_30_34_HW_25_34,OM_IEs_30_34_HW_35_39,OM_IEs_30_34_HW_40,OM_IEs_30_34_HW_41_48,OM_IEs_30_34_HW_49mor,OM_IEs_30_34_HW_NS,OM_IEs_30_34_Tot,OM_IEs_35_39_HW_0,OM_IEs_35_39_HW_1_15,OM_IEs_35_39_HW_16_24,OM_IEs_35_39_HW_25_34,OM_IEs_35_39_HW_35_39,OM_IEs_35_39_HW_40,OM_IEs_35_39_HW_41_48,OM_IEs_35_39_HW_49mor,OM_IEs_35_39_HW_NS,OM_IEs_35_39_Tot,OM_IEs_40_44_HW_0,OM_IEs_40_44_HW_1_15,OM_IEs_40_44_HW_16_24,OM_IEs_40_44_HW_25_34,OM_IEs_40_44_HW_35_39,OM_IEs_40_44_HW_40,OM_IEs_40_44_HW_41_48,OM_IEs_40_44_HW_49mor,OM_IEs_40_44_HW_NS,OM_IEs_40_44_Tot
1,6144,80166,19696,11532,14675,12112,4191,3292,4121,155925,7950,49308,45227,33315,58077,52151,22086,20100,7570,295776,11061,20922,33433,28335,81440,83275,38271,43404,6853,347000,16013,18852,31952,28530,78261,83129,37198,47724,5899,347553,11225,18421,29780,29557,67103,71046,32222,44794,4752,308896,7049,18147,28804,33153,63855,68399,32539,46559,4119,302621,6061,16698,25557,33160,63499,61665,31004,45448,4153,287247,7095,15601,24134,32255,64018,54915,27851,39911,3806,269582,8202,15850,22926,28917,55329,45010,22651,31184,2908,232976,6317,15021,18987,18800,32417,25003,11164,15502,1891,145107,2825,10988,9519,6726,10081,8003,3247,4772,830,56994,819,5229,3223,1855,1925,1698,635,957,260,16600,319,2352,1079,600,570,553,213,343,217,6238,91080,287553,294317,286737,591244,566953,263285,343971,47367,2772512,28,162,59,42,43,39,20,53,24,463,63,255,238,251,310,547,216,675,88,2648,206,518,604,767,1220,2434,907,3215,236,10115,408,1084,1176,1591,2085,4950,1702,6967,409,20359,363,1463,1734,2228,2583,6517,2225,9505,431,27052,428,1769,1975,2877,2884,7923,2894,12355,502,33607
2,4052,73889,13316,6697,8374,7071,2440,1543,3149,120534,6533,51529,38305,27765,45274,40010,16262,12241,5996,243917,9061,20128,26268,26689,71146,69208,32650,30918,5643,291717,14020,17476,25175,25223,66453,68629,32271,35053,4613,288915,10038,16860,25142,25414,53825,56448,26709,32777,3585,250794,6209,16601,25167,29161,49377,53449,26420,33828,3375,243576,5581,15261,23645,30442,50468,50163,26287,34107,3320,239292,6174,13324,20764,27975,48582,43637,22775,30253,2972,216450,6719,13340,19306,24770,40736,34313,17943,23444,2328,182906,5644,12704,15295,17252,25575,18836,9295,11943,1543,118091,2514,9430,7329,6162,7441,5656,2579,3462,637,45204,661,4310,2201,1433,1396,1135,467,640,264,12510,267,2053,722,477,458,423,156,282,178,5026,77472,266917,242634,249459,469110,448991,216249,250487,37597,2258921,15,193,58,24,18,26,9,26,22,392,52,240,227,206,253,415,166,433,50,2049,175,398,499,580,1001,1936,804,2554,175,8122,363,991,946,1304,1898,3917,1575,5761,317,17075,357,1355,1303,1911,2107,5017,1965,7681,348,22038,404,1583,1536,2488,2448,5998,2509,9869,416,27252
3,3754,62345,15913,11457,11782,7679,3483,2899,2839,122150,5375,28456,24542,26828,43852,31364,17055,16246,4102,197810,8051,13399,17397,22340,50847,40691,23909,28775,3729,209152,10525,12542,17768,21212,46399,39904,23091,31939,3182,206565,7115,12136,17242,21840,40716,36534,20403,29889,2686,188554,5164,11755,17242,24614,41837,38981,21670,32439,2792,196488,4886,10364,15572,24792,43174,37116,21543,32460,2613,192515,5522,8971,13982,23024,41238,32186,19315,28865,2167,175275,5898,8985,13118,19596,34665,24850,14729,21772,1775,145378,4446,8594,9989,13249,20823,13950,7746,11287,1102,91198,1760,6534,4820,4736,5903,4038,2186,3347,453,33788,425,3022,1595,1100,952,772,407,682,150,9104,161,1228,500,316,292,235,126,210,100,3165,63085,188333,169670,215106,382481,308295,175661,240811,27694,1771146,10,116,47,33,24,14,8,27,19,297,40,133,100,154,181,314,138,432,48,1537,123,276,318,448,623,1098,541,2071,116,5617,232,667,675,955,1139,2393,900,4620,161,11741,198,922,903,1356,1383,3143,1228,6173,256,15558,214,1029,1095,1776,1596,4150,1782,8492,270,20409
4,1215,21297,4185,2636,2807,1697,726,434,760,35764,2079,13462,8421,9234,13671,8650,4344,3366,1258,64489,2934,5672,6003,8042,18207,12498,7636,7040,1109,69140,4012,5353,6944,8181,17339,12368,7564,7870,1026,70660,2637,5005,7037,8209,15143,10762,6618,7264,764,63438,1882,4644,6960,9384,15542,11572,7161,7963,736,65836,1820,4498,6570,10078,16672,11954,7350,8785,804,68540,2181,4155,6185,9698,16832,10592,7059,8019,695,65405,2396,4165,5920,8697,14436,8783,5731,6943,540,57607,1881,4029,4759,5585,8631,5110,3223,3912,371,37495,787,2983,2090,1758,2211,1382,886,1016,171,13284,165,1332,583,407,325,237,117,203,57,3425,73,539,175,139,147,99,65,74,50,1355,24073,77125,65828,82054,141962,95700,58470,62889,8331,616433,6,50,8,15,12,9,4,0,3,93,13,47,40,47,66,90,44,111,3,459,24,110,88,132,203,301,151,585,33,1628,71,217,176,268,324,611,284,1163,38,3145,93,252,242,427,406,760,441,1608,54,4282,67,310,284,528,485,1017,532,2003,64,5287
5,1771,31054,6424,4164,4965,4046,1425,1298,1269,56419,3138,17805,13352,11324,19411,16923,7752,8948,2271,100920,5131,8226,9946,10299,25975,25175,13623,20992,2100,121469,6771,8247,10614,10045,23957,25002,13825,23351,1863,123680,4850,8012,10286,10087,19525,20646,11597,20207,1509,106715,3516,7530,10005,11766,19405,20549,11432,20195,1494,105892,3623,6554,9281,12186,20423,20153,11673,20478,1444,105820,3828,5339,8129,11377,19670,17776,10304,18273,1225,95910,3858,5377,7529,9768,16609,13600,8304,14027,967,80033,2951,5159,6368,6876,10392,8190,4547,7345,582,52411,1251,4040,3167,2383,3205,2495,1349,2210,227,20329,322,1899,981,637,530,466,231,388,96,5551,116,886,369,185,163,160,73,121,50,2120,41126,110138,96439,101096,184223,175172,96141,157848,15095,977280,6,60,11,11,4,9,5,16,4,130,23,81,65,84,78,149,68,191,23,758,75,198,154,249,322,604,269,991,45,2900,141,464,341,533,546,1194,530,2149,113,6009,145,557,502,717,650,1614,690,2825,94,7788,142,600,568,881,740,1976,912,3507,124,9445
6,476,6245,1310,849,1150,773,303,176,291,11572,677,3234,2082,2484,4213,2727,1263,986,328,17986,816,1706,1622,2168,4655,3329,1835,1671,283,18084,1096,1603,2062,2212,4254,3141,1861,1883,270,18381,760,1575,2186,2395,3707,2917,1762,1913,224,17447,648,1551,2241,2965,4269,3267,1972,2178,240,19326,664,1437,2251,3078,4867,3548,2128,2490,272,20740,800,1315,2062,3092,5002,3388,2108,2437,238,20441,928,1500,2156,2769,4389,2835,1741,2055,212,18581,661,1482,1671,1801,2381,1567,832,1048,138,11579,223,1034,680,469,565,383,189,275,56,3867,61,432,197,96,78,75,33,54,25,1046,24,187,54,39,34,23,14,6,23,406,7832,23297,20576,24417,39566,27967,16029,17179,2599,179460,0,14,0,3,3,3,0,0,3,25,0,14,4,5,11,13,10,27,0,82,6,26,23,24,36,67,25,128,6,334,12,40,38,46,72,127,67,281,12,696,17,54,50,85,94,180,91,352,5,933,16,77,70,108,107,244,145,507,7,1292
7,147,1764,465,392,598,465,190,284,187,4500,373,543,756,870,2108,1812,1016,1552,332,9353,609,484,793,929,3023,2661,1503,3301,336,13639,753,578,762,959,2980,2435,1393,3436,316,13611,551,464,632,907,2584,2092,1074,2820,213,11344,433,384,556,855,2322,2053,1041,2686,196,10529,406,355,464,782,2385,2043,1120,2557,202,10324,467,276,392,617,2099,1783,982,2444,192,9255,451,271,386,575,1841,1419,812,1929,140,7829,278,246,272,418,1207,909,490,1094,86,5001,123,191,187,177,454,332,146,355,40,2016,26,92,50,44,86,70,34,72,10,484,12,35,21,17,29,20,13,27,9,182,4623,5693,5752,7552,21706,18088,9817,22562,2264,98054,3,4,0,4,0,0,0,0,0,13,0,9,8,0,4,12,4,12,3,54,5,8,9,11,18,30,18,68,0,190,10,20,15,26,30,80,40,158,12,387,12,31,19,40,66,86,44,233,7,529,21,24,18,44,61,137,63,305,9,680
8,422,6191,1342,866,823,657,276,397,354,11325,701,3938,2822,2303,4741,3450,1589,1684,525,21740,1143,1424,1674,1832,7820,5809,3022,2782,359,25862,1863,1216,1997,2359,7357,6171,2987,3005,334,27284,1297,1084,1909,2579,6325,5575,2657,2908,311,24648,775,929,1491,2568,5822,5607,2878,3252,232,23551,648,796,1150,2307,5661,5245,2986,3449,223,22469,787,680,1024,1806,5044,4492,2705,3164,186,19882,701,740,1030,1355,3938,3198,1907,2253,156,15267,480,779,837,995,2064,1566,867,1132,82,8806,229,613,467,424,667,526,240,342,41,3534,54,255,164,104,121,91,49,59,12,910,17,134,49,35,37,22,15,22,14,339,9121,18767,15947,19523,50406,42408,22181,24447,2826,205620,0,19,0,7,0,3,0,5,3,35,0,11,13,16,20,29,17,33,3,139,3,20,13,30,60,121,59,205,6,520,15,50,49,59,92,227,94,377,20,988,26,68,49,101,95,295,109,448,28,1224,13,70,69,124,111,341,159,513,20,1423
9,3,28,3,3,7,6,3,8,7,70,12,18,13,7,31,17,16,42,3,163,18,13,9,13,54,26,25,45,4,210,26,11,21,20,39,40,38,49,3,233,17,10,17,22,64,41,36,43,8,261,24,17,16,20,55,45,34,31,8,246,14,13,14,19,66,43,29,37,7,243,16,23,7,33,75,38,33,52,10,279,19,14,8,17,72,30,33,38,4,249,16,11,19,15,48,25,27,22,4,184,12,11,9,12,32,16,14,19,3,127,0,4,4,0,7,8,0,4,0,33,0,5,0,0,0,0,0,0,0,10,176,180,148,199,549,329,281,389,55,2304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,4,0,0,0,0,3,0,0,0,0,0,4,0,7,0,8,0,0,0,3,0,3,3,5,0,14
