STE_CODE_2016,Mng_NNI_H_0,Mng_NNI_H_1_15,Mng_NNI_H_16_24,Mng_NNI_H_25_34,Mng_NNI_H_35_39,Mng_NNI_H_40,Mng_NNI_H_41_48,Mng_NNI_H_49mo,Mng_NNI_H_NS,Mng_NNI_H_Tot,Mng_1_149_H_0,Mng_1_149_H_1_15,Mng_1_149_H_16_24,Mng_1_149_H_25_34,Mng_1_149_H_35_39,Mng_1_149_H_40,Mng_1_149_H_41_48,Mng_1_149_H_49mo,Mng_1_149_H_NS,Mng_1_149_H_Tot,Mng_150_299_H_0,Mng_150_299_H_1_15,Mng_150_299_H_16_24,Mng_150_299_H_25_34,Mng_150_299_H_35_39,Mng_150_299_H_40,Mng_150_299_H_41_48,Mng_150_299_H_49mo,Mng_150_299_H_NS,Mng_150_299_H_Tot,Mng_300_399_H_0,Mng_300_399_H_1_15,Mng_300_399_H_16_24,Mng_300_399_H_25_34,Mng_300_399_H_35_39,Mng_300_399_H_40,Mng_300_399_H_41_48,Mng_300_399_H_49mo,Mng_300_399_H_NS,Mng_300_399_H_Tot,Mng_400_499_H_0,Mng_400_499_H_1_15,Mng_400_499_H_16_24,Mng_400_499_H_25_34,Mng_400_499_H_35_39,Mng_400_499_H_40,Mng_400_499_H_41_48,Mng_400_499_H_49mo,Mng_400_499_H_NS,Mng_400_499_H_Tot,Mng_500_649_H_0,Mng_500_649_H_1_15,Mng_500_649_H_16_24,Mng_500_649_H_25_34,Mng_500_649_H_35_39,Mng_500_649_H_40,Mng_500_649_H_41_48,Mng_500_649_H_49mo,Mng_500_649_H_NS,Mng_500_649_H_Tot,Mng_650_799_H_0,Mng_650_799_H_1_15,Mng_650_799_H_16_24,Mng_650_799_H_25_34,Mng_650_799_H_35_39,Mng_650_799_H_40,Mng_650_799_H_41_48,Mng_650_799_H_49mo,Mng_650_799_H_NS,Mng_650_799_H_Tot,Mng_800_999_H_0,Mng_800_999_H_1_15,Mng_800_999_H_16_24,Mng_800_999_H_25_34,Mng_800_999_H_35_39,Mng_800_999_H_40,Mng_800_999_H_41_48,Mng_800_999_H_49mo,Mng_800_999_H_NS,Mng_800_999_H_Tot,Mng_1000_1249_H_0,Mng_1000_1249_H_1_15,Mng_1000_1249_H_16_24,Mng_1000_1249_H_25_34,Mng_1000_1249_H_35_39,Mng_1000_1249_H_40,Mng_1000_1249_H_41_48,Mng_1000_1249_H_49mo,Mng_1000_1249_H_NS,Mng_1000_1249_H_Tot,Mng_1250_1499_H_0,Mng_1250_1499_H_1_15,Mng_1250_1499_H_16_24,Mng_1250_1499_H_25_34,Mng_1250_1499_H_35_39,Mng_1250_1499_H_40,Mng_1250_1499_H_41_48,Mng_1250_1499_H_49mo,Mng_1250_1499_H_NS,Mng_1250_1499_H_Tot,Mng_1500_1749_H_0,Mng_1500_1749_H_1_15,Mng_1500_1749_H_16_24,Mng_1500_1749_H_25_34,Mng_1500_1749_H_35_39,Mng_1500_1749_H_40,Mng_1500_1749_H_41_48,Mng_1500_1749_H_49mo,Mng_1500_1749_H_NS,Mng_1500_1749_H_Tot,Mng_1750_1999_H_0,Mng_1750_1999_H_1_15,Mng_1750_1999_H_16_24,Mng_1750_1999_H_25_34,Mng_1750_1999_H_35_39,Mng_1750_1999_H_40,Mng_1750_1999_H_41_48,Mng_1750_1999_H_49mo,Mng_1750_1999_H_NS,Mng_1750_1999_H_Tot,Mng_2000_2999_H_0,Mng_2000_2999_H_1_15,Mng_2000_2999_H_16_24,Mng_2000_2999_H_25_34,Mng_2000_2999_H_35_39,Mng_2000_2999_H_40,Mng_2000_2999_H_41_48,Mng_2000_2999_H_49mo,Mng_2000_2999_H_NS,Mng_2000_2999_H_Tot,Mng_3000mo_H_0,Mng_3000mo_H_1_15,Mng_3000mo_H_16_24,Mng_3000mo_H_25_34,Mng_3000mo_H_35_39,Mng_3000mo_H_40,Mng_3000mo_H_41_48,Mng_3000mo_H_49mo,Mng_3000mo_H_NS,Mng_3000mo_H_Tot,Mng_PINS_H_0,Mng_PINS_H_1_15,Mng_PINS_H_16_24,Mng_PINS_H_25_34,Mng_PINS_H_35_39,Mng_PINS_H_40,Mng_PINS_H_41_48,Mng_PINS_H_49mo,Mng_PINS_H_NS,Mng_PINS_H_Tot,Mng_Tot_H_0,Mng_Tot_H_1_15,Mng_Tot_H_16_24,Mng_Tot_H_25_34,Mng_Tot_H_35_39,Mng_Tot_H_40,Mng_Tot_H_41_48,Mng_Tot_H_49mo,Mng_Tot_H_NS,Mng_Tot_H_Tot,Pro_NNI_H_0,Pro_NNI_H_1_15,Pro_NNI_H_16_24,Pro_NNI_H_25_34,Pro_NNI_H_35_39,Pro_NNI_H_40,Pro_NNI_H_41_48,Pro_NNI_H_49mo,Pro_NNI_H_NS,Pro_NNI_H_Tot,Pro_1_149_H_0,Pro_1_149_H_1_15,Pro_1_149_H_16_24,Pro_1_149_H_25_34,Pro_1_149_H_35_39,Pro_1_149_H_40,Pro_1_149_H_41_48,Pro_1_149_H_49mo,Pro_1_149_H_NS,Pro_1_149_H_Tot,Pro_150_299_H_0,Pro_150_299_H_1_15,Pro_150_299_H_16_24,Pro_150_299_H_25_34,Pro_150_299_H_35_39,Pro_150_299_H_40,Pro_150_299_H_41_48,Pro_150_299_H_49mo,Pro_150_299_H_NS,Pro_150_299_H_Tot,Pro_300_399_H_0,Pro_300_399_H_1_15,Pro_300_399_H_16_24,Pro_300_399_H_25_34,Pro_300_399_H_35_39,Pro_300_399_H_40,Pro_300_399_H_41_48,Pro_300_399_H_49mo,Pro_300_399_H_NS,Pro_300_399_H_Tot
1,227,525,400,409,278,751,295,2366,166,5420,138,1058,346,288,140,329,130,961,65,3444,250,1623,865,683,323,629,242,1660,144,6414,249,1553,1657,1038,514,1000,366,2337,209,8920,309,1321,2093,1458,734,1305,523,2783,199,10720,491,1509,2630,3077,1990,2770,1022,4784,326,18599,645,1227,2182,3334,5310,5202,1924,5706,348,25876,899,1160,2019,3194,9241,9540,4236,8319,464,39064,1195,1082,1788,3044,10322,13529,6680,12698,542,50882,979,772,1314,2154,7565,10763,5927,11353,365,41186,1011,711,1083,2015,6908,11184,6255,12934,317,42415,883,469,667,1333,5313,9077,5246,11081,269,34338,2304,918,1120,2420,10300,21434,14166,29709,485,82861,1577,1187,1135,1833,4284,14930,10923,40520,418,76823,167,236,251,361,618,1229,566,2067,722,6214,11324,15360,19551,26642,63835,103668,58490,149267,5037,453169,409,633,325,241,217,410,89,427,127,2873,493,6385,594,343,194,297,62,230,197,8793,581,7632,1790,756,334,500,121,448,225,12381,616,6624,3316,1186,559,735,203,619,196,14053
2,217,487,383,469,268,678,268,2239,149,5165,162,1112,325,269,133,308,161,905,73,3441,241,1605,810,627,330,599,253,1492,116,6067,275,1510,1467,966,505,925,432,2150,168,8394,325,1258,1784,1460,687,1254,475,2468,168,9884,521,1477,2300,2844,1859,2366,968,3970,281,16592,654,1101,1957,3297,4749,4259,1748,4703,330,22802,842,944,1708,2932,8134,8356,4049,7065,382,34411,1093,883,1592,2798,8778,11099,5883,10219,417,42765,925,600,1000,2085,6369,8965,5149,9288,317,34701,915,598,841,1914,5997,9151,5512,10639,265,35834,754,344,478,1167,4282,7494,4833,8996,217,28557,1688,696,802,1855,7095,15755,11510,23499,352,63263,1105,892,824,1389,2643,9844,7554,27466,275,51992,158,250,199,296,643,1095,523,1821,665,5644,9886,13772,16472,24372,52476,82146,49312,116916,4170,369522,391,562,283,224,196,340,94,409,91,2582,461,5309,550,307,140,198,52,208,115,7356,615,7036,1656,672,273,416,116,354,183,11317,586,5755,2817,1024,502,573,153,536,166,12107
3,143,354,210,291,175,511,212,2384,142,4414,102,699,217,220,87,231,99,880,50,2589,153,1059,545,397,159,419,214,1440,69,4463,184,1007,994,682,329,650,279,1863,105,6082,188,762,1132,1018,424,818,322,2033,113,6804,307,877,1448,2121,1254,1517,634,3487,199,11848,409,683,1062,2373,3870,3163,1485,4161,223,17433,587,640,877,2040,6554,5996,3475,6499,295,26959,762,588,853,1647,6474,7506,5218,9786,292,33116,653,453,555,1123,4152,5700,3779,8631,159,25209,688,400,475,1018,3885,5734,3800,9588,173,25766,492,260,286,654,2632,4395,3045,7381,130,19287,1128,451,457,977,4261,8707,6845,17728,234,40785,608,572,473,714,1357,4714,3601,16687,155,28877,98,168,144,213,338,630,321,1474,469,3844,6492,8970,9736,15489,35954,50681,33327,94024,2809,257478,237,398,186,179,125,217,64,286,45,1734,250,3209,356,223,104,147,28,179,83,4589,352,4053,888,495,169,264,96,255,90,6667,375,3583,1530,808,267,415,119,384,101,7591
4,50,136,76,131,66,190,79,674,31,1442,43,323,88,63,38,77,43,254,15,957,78,454,248,213,96,161,104,548,24,1928,75,437,369,295,160,255,114,664,43,2415,93,443,515,438,208,392,141,791,45,3069,167,483,623,945,548,676,325,1286,62,5104,215,320,488,1089,1456,1176,647,1556,90,7030,288,293,424,1026,2418,2062,1409,2254,106,10270,361,247,388,867,2537,2692,2021,3213,112,12445,284,199,247,535,1768,2041,1631,2725,55,9487,255,178,209,477,1618,2013,1534,2946,59,9287,222,123,114,258,1178,1532,1263,2302,33,7025,402,184,188,369,1654,2881,2652,5382,51,13753,203,208,186,247,405,1242,1242,4433,49,8202,37,65,45,75,127,203,123,427,148,1235,2760,4093,4199,7021,14271,17590,13337,29452,932,93652,67,107,42,56,34,68,17,93,6,487,110,1090,116,88,41,78,19,45,23,1605,138,1525,355,210,74,83,32,83,37,2540,156,1366,519,250,98,127,49,121,46,2715
5,77,209,141,160,111,299,98,823,45,1969,64,438,120,109,45,99,62,302,30,1258,69,599,280,197,81,168,88,449,33,1961,96,545,468,282,133,227,112,605,38,2511,123,471,680,439,173,301,149,722,43,3107,199,550,834,1007,471,630,302,1304,85,5387,208,438,693,1145,1401,1258,523,1496,85,7244,316,395,669,1090,2727,2569,1263,2406,98,11546,457,417,573,1047,2984,3880,2102,3713,144,15317,378,317,401,695,2272,3157,1925,3628,97,12868,419,283,334,676,2165,3405,1963,4252,85,13580,301,187,207,419,1553,2705,1771,3498,64,10703,793,372,381,725,3179,6487,4869,9663,176,26643,681,486,384,627,1125,4388,3622,12215,132,23667,85,94,73,97,165,317,172,631,188,1828,4276,5801,6251,8707,18575,29896,19031,45715,1350,139600,155,238,70,69,69,112,37,138,27,913,182,1869,181,106,46,77,24,82,42,2611,223,2464,482,245,81,136,53,124,40,3850,216,2103,779,291,141,176,55,167,52,3978
6,24,35,14,33,24,57,30,199,14,431,14,94,24,29,11,31,13,97,10,307,27,145,83,70,21,68,23,183,21,642,40,148,117,92,43,98,38,238,18,825,41,144,150,136,65,116,56,256,11,984,77,161,189,263,170,224,85,406,19,1597,76,120,156,303,444,372,176,525,27,2203,88,92,151,267,681,666,394,656,37,3030,121,88,118,266,661,828,555,941,23,3598,93,62,83,144,528,630,373,838,19,2773,74,57,54,144,399,519,384,816,21,2470,54,23,34,65,293,383,308,621,11,1803,115,43,40,101,503,671,673,1434,16,3604,52,51,42,71,93,269,199,937,8,1723,10,19,13,28,35,53,31,120,45,352,896,1280,1286,2012,3975,4973,3348,8262,300,26340,14,27,6,18,3,9,7,10,0,104,23,253,29,23,6,17,7,16,10,384,42,380,89,54,28,34,4,35,14,684,49,389,142,72,24,34,12,34,14,768
7,0,13,11,5,4,14,3,49,8,99,3,18,0,7,0,5,0,14,0,50,0,28,17,8,10,18,4,29,0,122,6,19,27,17,14,12,3,20,3,130,5,18,31,21,10,20,3,45,0,160,18,31,33,57,44,40,11,61,0,298,21,10,36,67,114,77,56,124,5,514,36,25,23,58,235,199,116,229,15,929,45,22,32,52,295,379,204,433,12,1483,39,27,21,43,290,306,219,497,23,1463,61,14,18,54,298,342,203,553,15,1554,49,9,19,34,277,299,219,430,16,1349,123,29,20,64,405,592,465,1233,20,2953,73,20,12,22,105,270,193,1133,6,1841,6,12,4,3,16,36,16,54,23,169,479,285,298,517,2117,2607,1726,4917,160,13108,14,16,3,3,10,8,3,12,3,75,8,100,21,16,9,13,0,3,3,185,20,125,41,38,35,37,6,9,5,323,16,87,58,43,38,20,8,11,4,286
8,17,19,4,13,7,21,7,38,5,126,4,67,18,6,0,6,11,12,0,123,12,83,29,13,11,11,5,28,7,202,5,64,53,31,10,28,8,33,5,237,10,45,79,50,17,26,14,54,8,312,19,59,121,112,76,102,48,212,15,760,35,65,109,176,228,212,91,282,19,1217,62,77,127,185,514,401,231,418,15,2038,93,60,187,206,625,601,335,605,17,2734,98,53,136,232,635,597,326,541,23,2632,154,65,99,363,844,834,414,620,20,3409,155,45,70,289,853,959,631,646,21,3679,638,113,172,477,2422,3454,2756,2894,55,12982,171,72,75,133,327,1177,1071,2917,20,5958,9,16,3,11,47,59,36,81,24,282,1478,899,1285,2285,6623,8499,5985,9379,256,36690,29,45,13,9,23,27,3,18,4,170,32,467,35,25,17,9,7,15,24,646,42,419,65,44,17,29,4,27,13,656,31,365,109,53,21,39,4,27,13,668
9,0,3,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,5,0,3,7,3,0,3,0,4,0,18,0,3,0,4,0,8,0,6,0,31,3,3,3,3,0,3,0,11,4,27,0,4,0,0,6,3,3,12,0,31,4,0,0,4,13,11,7,25,0,62,0,0,0,0,7,10,8,20,3,54,3,3,0,5,9,9,3,18,0,45,0,0,0,3,3,4,12,13,0,35,4,3,0,0,5,4,9,11,0,41,8,0,0,0,11,17,13,29,0,81,3,0,3,3,0,8,3,24,0,50,0,0,0,0,0,0,0,0,0,6,29,24,11,33,65,83,66,170,12,493,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,3,0,6,3,0,0,4,0,0,0,12,0,5,0,0,0,0,0,0,0,12
