STE_CODE_2016,M_NegNilInc_E,M_NegNilInc_OM_IE,M_NegNilInc_OM_UIE,M_NegNilInc_CFW,M_NegNilInc_ES_NS,M_NegNilInc_Tot,M_1_149_E,M_1_149_OM_IE,M_1_149_OM_UIE,M_1_149_CFW,M_1_149_ES_NS,M_1_149_Tot,M_150_299_E,M_150_299_OM_IE,M_150_299_OM_UIE,M_150_299_CFW,M_150_299_ES_NS,M_150_299_Tot,M_300_399_E,M_300_399_OM_IE,M_300_399_OM_UIE,M_300_399_CFW,M_300_399_ES_NS,M_300_399_Tot,M_400_499_E,M_400_499_OM_IE,M_400_499_OM_UIE,M_400_499_CFW,M_400_499_ES_NS,M_400_499_Tot,M_500_649_E,M_500_649_OM_IE,M_500_649_OM_UIE,M_500_649_CFW,M_500_649_ES_NS,M_500_649_Tot,M_650_799_E,M_650_799_OM_IE,M_650_799_OM_UIE,M_650_799_CFW,M_650_799_ES_NS,M_650_799_Tot,M_800_999_E,M_800_999_OM_IE,M_800_999_OM_UIE,M_800_999_CFW,M_800_999_ES_NS,M_800_999_Tot,M_1000_1249_E,M_1000_1249_OM_IE,M_1000_1249_OM_UIE,M_1000_1249_CFW,M_1000_1249_ES_NS,M_1000_1249_Tot,M_1250_1499_E,M_1250_1499_OM_IE,M_1250_1499_OM_UIE,M_1250_1499_CFW,M_1250_1499_ES_NS,M_1250_1499_Tot,M_1500_1749_E,M_1500_1749_OM_IE,M_1500_1749_OM_UIE,M_1500_1749_CFW,M_1500_1749_ES_NS,M_1500_1749_Tot,M_1750_1999_E,M_1750_1999_OM_IE,M_1750_1999_OM_UIE,M_1750_1999_CFW,M_1750_1999_ES_NS,M_1750_1999_Tot,M_2000_2999_E,M_2000_2999_OM_IE,M_2000_2999_OM_UIE,M_2000_2999_CFW,M_2000_2999_ES_NS,M_2000_2999_Tot,M_3000mor_E,M_3000mor_OM_IE,M_3000mor_OM_UIE,M_3000mor_CFW,M_3000mor_ES_NS,M_3000mor_Tot,M_PersInc_NS_E,M_PersInc_NS_OM_IE,M_PersInc_NS_OM_UIE,M_PersInc_NS_CFW,M_PersInc_NS_ES_NS,M_PersInc_NS_Tot,M_Tot_E,M_Tot_OM_IE,M_Tot_OM_UIE,M_Tot_CFW,M_Tot_ES_NS,M_Tot_Tot,F_NegNilInc_E,F_NegNilInc_OM_IE,F_NegNilInc_OM_UIE,F_NegNilInc_CFW,F_NegNilInc_ES_NS,F_NegNilInc_Tot,F_1_149_E,F_1_149_OM_IE,F_1_149_OM_UIE,F_1_149_CFW,F_1_149_ES_NS,F_1_149_Tot,F_150_299_E,F_150_299_OM_IE,F_150_299_OM_UIE,F_150_299_CFW,F_150_299_ES_NS,F_150_299_Tot,F_300_399_E,F_300_399_OM_IE,F_300_399_OM_UIE,F_300_399_CFW,F_300_399_ES_NS,F_300_399_Tot,F_400_499_E,F_400_499_OM_IE,F_400_499_OM_UIE,F_400_499_CFW,F_400_499_ES_NS,F_400_499_Tot,F_500_649_E,F_500_649_OM_IE,F_500_649_OM_UIE,F_500_649_CFW,F_500_649_ES_NS,F_500_649_Tot,F_650_799_E,F_650_799_OM_IE,F_650_799_OM_UIE,F_650_799_CFW,F_650_799_ES_NS,F_650_799_Tot,F_800_999_E,F_800_999_OM_IE,F_800_999_OM_UIE,F_800_999_CFW,F_800_999_ES_NS,F_800_999_Tot,F_1000_1249_E,F_1000_1249_OM_IE,F_1000_1249_OM_UIE,F_1000_1249_CFW,F_1000_1249_ES_NS,F_1000_1249_Tot,F_1250_1499_E,F_1250_1499_OM_IE,F_1250_1499_OM_UIE,F_1250_1499_CFW,F_1250_1499_ES_NS,F_1250_1499_Tot,F_1500_1749_E,F_1500_1749_OM_IE,F_1500_1749_OM_UIE,F_1500_1749_CFW,F_1500_1749_ES_NS,F_1500_1749_Tot,F_1750_1999_E,F_1750_1999_OM_IE,F_1750_1999_OM_UIE,F_1750_1999_CFW,F_1750_1999_ES_NS,F_1750_1999_Tot,F_2000_2999_E,F_2000_2999_OM_IE,F_2000_2999_OM_UIE,F_2000_2999_CFW,F_2000_2999_ES_NS,F_2000_2999_Tot,F_3000mor_E,F_3000mor_OM_IE,F_3000mor_OM_UIE,F_3000mor_CFW,F_3000mor_ES_NS,F_3000mor_Tot,F_PersInc_NS_E,F_PersInc_NS_OM_IE,F_PersInc_NS_OM_UIE,F_PersInc_NS_CFW,F_PersInc_NS_ES_NS,F_PersInc_NS_Tot,F_Tot_E,F_Tot_OM_IE,F_Tot_OM_UIE,F_Tot_CFW,F_Tot_ES_NS,F_Tot_Tot,P_NegNilInc_E,P_NegNilInc_OM_IE,P_NegNilInc_OM_UIE,P_NegNilInc_CFW,P_NegNilInc_ES_NS,P_NegNilInc_Tot,P_1_149_E,P_1_149_OM_IE
1,4543,1173,1723,4130,368,11941,35582,787,2567,1519,585,41055,34773,1823,6231,2232,834,45893,39199,3703,9147,2486,1214,55747,50878,4795,11632,2118,1401,70825,78329,9487,17420,2455,1804,109499,119566,12780,18518,1937,2049,154840,169827,17334,21395,1855,2397,212813,190883,22345,22299,1701,2200,239438,140719,17070,14761,989,1307,174854,124680,18108,11585,873,1052,156295,99138,11068,7089,497,680,118472,171592,19369,9598,706,888,202151,105953,26106,11528,961,815,145370,19863,2797,2998,843,2121,28626,1385538,168744,168510,25312,19708,1767809,5486,504,1227,4880,340,12436,56462,879,4660,2211,797,65013,66401,2067,8447,2952,1134,80998,72915,3250,9278,2641,1246,89323,87809,3461,9705,2146,1389,104502,139604,5999,12684,2297,1707,162292,167380,6707,11120,1636,1672,188521,179364,7247,10207,1413,1498,199725,177635,7702,8851,1199,1224,196601,122051,5574,5596,657,686,134561,99700,5890,4132,561,498,110781,69559,3390,2512,356,323,76137,86730,5743,3743,527,384,97132,36608,6754,3973,647,302,48279,19270,1024,1627,848,1300,24068,1386978,66182,97762,24968,14494,1590382,10032,1681,2953,9009,707,24381,92049,1667
2,4106,1137,1491,3790,297,10819,34683,883,2117,1370,561,39610,31551,1777,5288,1883,687,41178,32893,3456,7291,2015,914,46572,40625,4603,9190,1695,1171,57286,63230,8508,13588,2049,1462,88834,100503,11662,14456,1680,1843,130142,145518,15105,16865,1549,2123,181162,162822,18675,17204,1274,1874,201846,119009,14396,11667,721,1105,146901,102571,15234,8582,637,881,127907,77634,9085,5280,419,589,93006,123389,15294,6816,502,669,146677,68721,19884,8106,708,621,98038,18053,2688,2625,720,1789,25877,1125321,142389,130563,21010,16577,1435860,5004,526,977,4282,305,11101,54326,869,4129,1978,823,62132,62582,2027,7207,2484,1001,75289,63712,3157,7595,2216,1080,77768,75452,3325,7667,1801,1131,89372,118199,5121,9470,1843,1415,136049,138858,5691,8120,1427,1352,155450,151396,5736,7395,1090,1189,166818,148602,6028,6285,929,957,162800,101088,4435,3908,553,481,110457,75717,4574,2944,465,405,84096,45942,2529,1750,256,223,50693,52594,4113,2652,359,223,59944,21996,4812,2752,512,268,30335,18125,973,1253,777,1052,22180,1133600,53911,74099,20967,11897,1294480,9112,1665,2468,8075,606,21918,89012,1755
3,2852,720,1262,3326,200,8352,25481,537,1713,1181,335,29248,21935,1132,3876,1619,465,29024,23024,2265,5650,1638,644,33220,29569,2731,6745,1371,663,41076,49381,5150,10034,1573,972,67103,80959,6934,11014,1216,1141,101262,117475,9329,12576,1223,1260,141858,130561,12545,13524,1133,1211,158973,95024,10261,9246,716,754,115999,83267,11852,7179,581,629,103505,61551,6448,4364,380,381,73124,98289,11321,5487,495,509,116107,46536,13720,5715,663,464,67093,12700,1641,1940,692,1232,18198,878597,96581,100315,17792,10859,1104143,3301,426,940,4077,183,8929,39180,633,3474,1746,458,45481,43448,1284,6101,2236,648,53719,46825,2120,6317,1961,810,58026,59252,2258,6612,1578,874,70567,101015,4061,8519,1652,1071,116317,122706,4531,7152,1236,1034,136657,124254,4755,6457,975,880,137324,117097,5315,5511,908,650,129477,76459,3917,3271,525,355,84539,62653,4217,2372,433,277,69956,34811,2130,1361,244,149,38689,38042,3474,1919,329,154,43922,11419,3821,1901,474,139,17747,12091,763,1002,707,808,15372,892544,43699,62905,19072,8496,1026718,6151,1144,2204,7400,381,17285,64662,1173
4,879,225,476,1070,70,2716,9414,205,743,423,139,10934,9008,407,1851,646,225,12132,8846,755,2425,635,260,12916,11290,973,3070,578,359,16270,18449,1654,4709,634,425,25865,29931,2364,5019,551,516,38386,43650,3012,5685,496,565,53407,47289,3995,5782,462,500,58026,32005,3062,3691,263,260,39277,27229,3299,2707,247,236,33713,20548,1890,1540,137,125,24237,28311,3139,2123,208,161,33946,11126,3826,2386,248,157,17743,3758,418,690,212,391,5469,301743,29226,42911,6791,4374,385046,1107,106,262,1153,89,2721,14508,201,1121,515,230,16573,17221,438,2156,732,300,20839,17996,584,2206,644,326,21754,23214,723,2342,547,365,27191,37229,1074,3102,567,386,42355,41410,1183,2497,446,343,45873,43702,1255,2225,362,341,47883,41087,1372,1878,316,267,44924,25973,1059,1036,172,158,28401,20354,1038,918,186,113,22604,12585,534,461,93,48,13721,11195,830,805,147,54,13037,3218,929,717,138,45,5045,3900,201,305,193,269,4864,314693,11519,22030,6216,3329,357781,1987,328,737,2220,155,5430,23924,405
5,1631,359,550,1480,110,4132,13426,246,755,500,177,15108,11759,457,1746,645,180,14787,11662,829,2497,616,294,15897,14037,1029,3119,648,302,19128,21100,2009,4880,809,430,29227,29676,2578,5380,623,480,38740,46761,3812,6859,644,652,58737,63403,5624,8218,708,669,78627,51273,4919,6232,424,501,63350,49652,6054,5334,363,381,61777,42829,3885,3379,268,294,50651,87301,7108,4552,350,460,99766,54076,9322,4318,412,354,68477,6926,702,1007,249,577,9463,505513,48939,58826,8738,5850,627870,1988,200,506,1984,106,4785,21827,298,2031,800,261,25207,25263,605,3110,919,302,30195,25830,859,2964,797,372,30824,30648,929,2936,664,363,35535,47193,1564,3820,800,463,53838,53689,1737,3389,635,474,59921,58992,2018,3353,508,407,65276,61406,2444,3102,546,367,67868,43162,1854,1971,375,207,47568,34069,2068,1642,300,165,38247,23480,1132,872,173,121,25772,29060,1977,1419,240,110,32808,8972,2174,1326,274,80,12819,6191,296,537,303,381,7706,471769,20146,32984,9311,4167,538376,3615,559,1057,3467,213,8912,35255,543
6,240,45,131,300,16,729,2611,43,207,123,56,3044,2377,116,601,240,78,3408,2533,187,860,195,94,3865,3492,228,985,176,110,4992,6121,427,1439,186,135,8313,9618,625,1474,135,174,12037,13368,746,1532,125,168,15948,13767,1020,1555,87,154,16586,9220,792,1042,66,92,11214,7889,821,745,53,64,9579,5580,445,429,28,57,6542,6392,804,559,42,61,7859,2200,911,632,52,30,3826,1113,108,194,55,147,1621,86543,7324,12390,1884,1429,109567,287,12,99,346,16,761,4281,54,316,168,77,4896,5172,123,659,259,98,6307,5722,178,740,190,119,6951,7622,184,750,189,146,8888,12056,313,928,174,159,13624,12890,382,813,124,125,14337,12273,336,655,105,105,13467,11680,323,590,78,83,12750,7284,251,352,52,40,7974,5629,257,255,29,27,6192,3442,126,144,11,13,3746,2798,247,248,34,16,3339,705,266,181,29,25,1204,1083,49,100,53,74,1360,92922,3094,6815,1847,1120,105795,523,56,225,651,35,1492,6892,100
7,189,21,29,84,14,332,904,14,36,23,10,987,1051,24,81,36,15,1205,893,36,116,28,25,1107,1130,57,129,28,23,1367,2052,112,250,28,41,2482,2923,159,256,42,41,3424,4856,239,328,32,64,5515,6860,368,401,43,85,7750,6001,388,338,30,57,6806,5503,473,291,25,51,6344,4707,312,223,4,25,5277,9394,493,278,10,64,10229,6001,498,196,19,36,6750,1055,57,69,19,84,1285,53522,3239,3023,447,643,60869,221,7,22,105,14,369,1157,9,71,26,19,1280,1515,32,131,42,28,1754,1480,18,130,31,17,1677,1876,54,133,33,29,2121,3209,105,206,36,46,3599,4332,127,199,42,51,4756,5524,156,245,30,51,6012,6740,213,199,28,57,7243,5216,150,148,28,42,5580,4406,203,103,12,30,4763,3259,97,69,5,24,3454,3773,153,111,13,21,4069,985,137,98,7,9,1238,836,30,26,16,53,951,44533,1501,1910,457,490,48883,411,32,56,189,24,702,2059,22
8,235,40,45,133,8,462,2773,24,121,43,26,2987,2357,62,167,35,13,2636,1980,83,261,47,16,2397,2547,125,288,47,42,3055,3903,273,461,58,54,4755,5371,412,496,45,55,6381,8234,573,648,56,73,9585,11009,846,777,62,77,12775,10748,694,559,33,62,12094,11213,802,460,23,35,12542,8714,546,312,13,35,9621,21000,1061,464,36,60,22622,9430,1726,586,27,58,11827,990,90,74,12,66,1235,100509,7374,5737,679,679,114980,309,21,43,135,8,513,3902,35,214,58,28,4239,3753,67,298,66,27,4208,3386,92,257,62,42,3835,3894,107,288,59,48,4401,6081,190,376,61,49,6754,7757,201,344,60,59,8421,9702,241,386,45,56,10425,13037,290,332,31,51,13744,13601,222,231,19,37,14109,12893,279,197,25,40,13425,8096,153,105,15,23,8402,14176,310,179,24,22,14711,3501,389,228,13,27,4152,1021,22,39,18,43,1146,105110,2626,3515,684,545,112482,547,55,92,271,20,976,6678,59
9,3,0,3,6,0,10,17,0,0,0,0,15,20,0,8,3,0,25,18,0,10,3,3,36,32,3,12,4,0,52,80,3,19,3,5,108,133,4,14,3,3,157,157,7,21,3,3,192,158,9,22,0,6,203,125,7,10,4,5,151,137,5,13,0,0,154,129,5,6,0,0,147,189,6,13,0,4,214,113,14,6,0,0,130,22,0,3,0,6,34,1324,76,161,32,41,1633,8,0,0,3,0,14,23,0,3,3,3,33,50,0,3,0,0,56,65,0,15,3,0,82,62,3,23,0,6,92,123,0,16,0,3,144,136,0,4,3,4,154,115,4,13,0,0,131,106,6,16,0,3,125,76,4,8,0,0,93,68,3,5,0,3,77,54,0,4,0,0,61,62,3,0,0,0,67,13,5,0,0,0,16,13,0,4,0,3,18,980,35,116,21,28,1173,10,0,0,6,0,22,43,0
