STE_CODE_2016,P_Philippines_E,P_Philippines_OM_IE,P_Philippines_OM_UIE,P_Philippines_CFW,P_Philippines_ES_NS,P_Philippines_Tot,P_Poland_E,P_Poland_OM_IE,P_Poland_OM_UIE,P_Poland_CFW,P_Poland_ES_NS,P_Poland_Tot,P_Singapore_E,P_Singapore_OM_IE,P_Singapore_OM_UIE,P_Singapore_CFW,P_Singapore_ES_NS,P_Singapore_Tot,P_SthAfrica_E,P_SthAfrica_OM_IE,P_SthAfrica_OM_UIE,P_SthAfrica_CFW,P_SthAfrica_ES_NS,P_SthAfrica_Tot,P_SriLanka_E,P_SriLanka_OM_IE,P_SriLanka_OM_UIE,P_SriLanka_CFW,P_SriLanka_ES_NS,P_SriLanka_Tot,P_Thailand_E,P_Thailand_OM_IE,P_Thailand_OM_UIE,P_Thailand_CFW,P_Thailand_ES_NS,P_Thailand_Tot,P_Turkey_E,P_Turkey_OM_IE,P_Turkey_OM_UIE,P_Turkey_CFW,P_Turkey_ES_NS,P_Turkey_Tot,P_UK_E,P_UK_OM_IE,P_UK_OM_UIE,P_UK_CFW,P_UK_ES_NS,P_UK_Tot,P_USA_E,P_USA_OM_IE,P_USA_OM_UIE,P_USA_CFW,P_USA_ES_NS,P_USA_Tot,P_Vietnam_E,P_Vietnam_OM_IE,P_Vietnam_OM_UIE,P_Vietnam_CFW,P_Vietnam_ES_NS,P_Vietnam_Tot,P_Zimbabwe_E,P_Zimbabwe_OM_IE,P_Zimbabwe_OM_UIE,P_Zimbabwe_CFW,P_Zimbabwe_ES_NS,P_Zimbabwe_Tot,P_Elsewhere_E,P_Elsewhere_OM_IE,P_Elsewhere_OM_UIE,P_Elsewhere_CFW,P_Elsewhere_ES_NS,P_Elsewhere_Tot,P_COB_NS_E,P_COB_NS_OM_IE,P_COB_NS_OM_UIE,P_COB_NS_CFW,P_COB_NS_ES_NS,P_COB_NS_Tot,P_Tot_E,P_Tot_OM_IE,P_Tot_OM_UIE,P_Tot_CFW,P_Tot_ES_NS,P_Tot_Tot
1,53615,1006,1340,291,415,56663,5456,598,819,99,63,7034,5619,448,439,66,41,6613,23044,3195,2431,318,181,29173,15538,957,763,134,134,17531,14780,673,997,267,213,16931,4091,664,776,136,93,5761,114487,12008,12591,1957,1045,142079,14081,1084,1366,223,113,16874,34768,3311,4059,875,511,43522,4131,260,236,34,26,4687,175954,13155,15749,2334,2259,209451,32067,2984,4428,1270,2604,43354,2772512,234929,266267,50273,34203,3358185
2,30860,495,673,190,263,32482,5080,662,819,123,74,6760,6875,474,469,72,30,7923,15053,1489,1275,190,91,18102,30095,1858,1744,347,308,34353,6675,409,597,138,87,7903,4343,899,793,180,119,6329,87675,7960,8841,1375,816,106674,9167,748,828,149,74,10966,34339,2869,3367,828,514,41909,3064,155,142,35,32,3423,121020,9829,11339,1930,1958,146088,28320,3013,3556,1000,2216,38104,2258921,196300,204656,41977,28474,2730338
3,21725,456,705,164,210,23263,1975,198,281,27,32,2508,2854,223,211,47,17,3356,21563,2233,1857,357,133,26140,4742,343,340,53,39,5515,4259,297,528,135,66,5277,494,115,100,23,5,742,86560,8383,10045,1643,829,107455,7321,576,788,179,43,8900,7531,759,1452,334,151,10224,5380,518,389,66,38,6386,73482,5641,7015,1366,950,88458,19072,1595,2272,805,1288,25037,1771146,140279,163219,36860,19358,2130860
4,6828,74,168,41,71,7184,1793,135,234,33,25,2222,1004,89,76,27,9,1209,3560,186,300,33,16,4100,1850,78,117,14,21,2079,1199,67,129,45,9,1451,177,30,35,8,3,249,43346,2757,5250,655,434,52446,1919,123,195,29,16,2285,5054,491,1177,287,95,7107,892,26,51,3,10,981,22091,1324,2219,410,383,26429,7402,596,1067,259,570,9894,616433,40741,64939,13010,7699,742831
5,17150,171,305,104,153,17887,2224,188,396,41,18,2868,6930,498,471,104,39,8049,22292,1739,1806,294,141,26267,4003,196,237,41,40,4517,3283,121,257,61,27,3750,344,85,89,22,11,546,106861,7687,12393,1541,917,129397,4231,284,378,95,23,5013,6431,682,1513,370,122,9111,7235,459,425,95,37,8261,53238,3100,4630,775,630,62372,10476,783,1378,365,705,13703,977280,69091,91805,18049,10016,1166240
6,734,14,21,16,12,792,152,16,31,3,0,201,188,12,18,3,3,226,708,88,90,18,4,911,183,13,24,0,0,226,241,14,31,10,3,306,15,9,10,0,0,31,6383,496,1147,197,79,8303,602,44,108,22,6,776,147,13,34,3,4,209,153,15,14,7,0,187,3119,186,364,72,51,3780,3115,210,414,103,226,4067,179460,10420,19207,3728,2552,215365
7,3733,43,79,26,49,3920,77,3,5,0,0,84,183,9,9,0,3,204,719,19,36,10,3,783,452,24,19,0,8,504,438,5,65,12,10,535,25,3,3,0,0,29,4513,248,269,31,39,5099,735,12,24,3,4,779,382,54,134,24,6,601,522,14,14,6,0,553,5430,215,303,59,48,6050,1457,88,110,45,94,1795,98054,4736,4932,900,1130,109749
8,2623,46,39,14,18,2738,442,36,43,0,0,523,534,19,25,4,0,585,1353,71,56,7,4,1484,1774,47,48,10,4,1884,743,32,37,14,6,828,117,11,12,0,4,149,8361,434,465,45,37,9343,1551,73,75,6,8,1712,1824,102,134,40,20,2127,457,17,10,0,3,490,11221,545,598,108,100,12570,1282,78,71,16,79,1523,205620,9993,9251,1367,1230,227464
9,36,0,3,0,0,44,4,0,0,0,0,4,29,0,4,0,0,37,19,4,0,0,0,22,0,0,0,0,0,3,20,0,0,0,0,20,0,0,0,0,0,0,106,8,15,4,3,131,9,0,4,0,0,7,3,0,0,0,0,6,4,0,0,0,0,3,64,7,15,4,0,85,50,3,5,0,8,73,2304,107,279,55,62,2804
