STE_CODE_2016,P_M3_Trn_and_2_oth_Ms_15_24,P_M3_Trn_and_2_oth_Ms_25_34,P_M3_Trn_and_2_oth_Ms_35_44,P_M3_Trn_and_2_oth_Ms_45_54,P_M3_Trn_and_2_oth_Ms_55_64,P_M3_Trn_and_2_oth_Ms_65_74,P_M3_Trn_and_2_oth_Ms_75ov,P_M3_Trn_and_2_oth_Ms_Tot,P_M3_Bus2othMs_ex_tn_15_24,P_M3_Bus2othMs_ex_tn_25_34,P_M3_Bus2othMs_ex_tn_35_44,P_M3_Bus2othMs_ex_tn_45_54,P_M3_Bus2othMs_ex_tn_55_64,P_M3_Bus2othMs_ex_tn_65_74,P_M3_Bus2othMs_ex_tn_75ov,P_M3_Bus2othMs_ex_tn_Tot,P_M3_Other_M3_15_24,P_M3_Other_M3_25_34,P_M3_Other_M3_35_44,P_M3_Other_M3_45_54,P_M3_Other_M3_55_64,P_M3_Other_M3_65_74,P_M3_Other_M3_75ov,P_M3_Other_M3_Tot,P_M3_Tot_M3_15_24,P_M3_Tot_M3_25_34,P_M3_Tot_M3_35_44,P_M3_Tot_M3_45_54,P_M3_Tot_M3_55_64,P_M3_Tot_M3_65_74,P_M3_Tot_M3_75ov,P_M3_Tot_M3_Tot,P_Wkd_at_home_15_24,P_Wkd_at_home_25_34,P_Wkd_at_home_35_44,P_Wkd_at_home_45_54,P_Wkd_at_home_55_64,P_Wkd_at_home_65_74,P_Wkd_at_home_75ov,P_Wkd_at_home_Tot,P_Did_not_go_to_work_15_24,P_Did_not_go_to_work_25_34,P_Did_not_go_to_work_35_44,P_Did_not_go_to_work_45_54,P_Did_not_go_to_work_55_64,P_Did_not_go_to_work_65_74,P_Did_not_go_to_work_75ov,P_Did_not_go_to_work_Tot,P_MT_NS_15_24,P_MT_NS_25_34,P_MT_NS_35_44,P_MT_NS_45_54,P_MT_NS_55_64,P_MT_NS_65_74,P_MT_NS_75ov,P_MT_NS_Tot,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75ov,P_Tot_Tot
1,2965,4611,3292,2377,1549,311,28,15138,198,330,269,217,114,23,7,1151,99,195,231,234,134,50,3,937,3260,5136,3792,2830,1792,384,38,17230,4595,20242,39000,40293,34512,19377,5435,163450,65998,62760,54279,45574,44657,15184,2144,290589,6702,6918,5921,6112,4654,2193,1302,33798,471367,775553,748000,713680,503617,127065,18893,3358185
2,3280,6462,4516,2881,1769,349,35,19303,189,205,135,107,68,12,0,715,132,289,207,197,120,31,0,968,3603,6960,4860,3186,1951,398,44,20988,3477,16757,30883,31090,26401,14478,3701,126788,60029,55489,48156,38609,36222,12451,1739,252693,5167,5396,4509,4865,3670,1765,984,26349,380649,650685,604128,581349,399990,99232,14306,2730338
3,893,994,778,666,379,59,3,3782,372,540,490,366,163,15,0,1942,117,229,212,218,126,29,0,939,1384,1757,1483,1250,674,105,4,6659,3458,14193,25966,27935,24654,12601,3152,111955,46044,44933,38040,34940,31198,9486,1136,205784,3681,3502,3364,3505,2692,1288,791,18832,332291,464456,467620,465115,316004,75401,9984,2130860
4,195,211,192,124,84,16,0,823,118,109,92,66,31,5,0,430,30,82,68,73,42,12,0,303,341,400,352,263,160,35,0,1555,911,3614,6545,7913,7832,4589,1104,32509,17554,17040,14186,13337,12777,3993,501,79383,1262,1167,1121,1223,949,498,341,6561,104666,156162,155471,167544,124817,29947,4235,742831
5,994,1311,997,826,503,73,3,4712,113,165,129,93,40,0,0,538,44,97,80,82,47,9,0,353,1154,1568,1202,1003,594,83,3,5607,1379,6797,11333,12340,10540,5578,1409,49376,23434,27235,23352,20854,18007,5660,632,119178,2176,2965,2594,2637,1804,727,338,13236,163810,272793,255198,252646,173538,42720,5531,1166240
6,3,4,0,6,3,0,0,14,23,24,21,12,15,0,0,97,8,17,17,20,18,3,0,81,30,40,36,41,28,3,0,191,262,1006,1879,2383,2609,1506,395,10038,5260,4825,4364,4530,4515,1295,165,24945,415,343,309,416,427,200,123,2227,30643,40608,43812,50762,39382,8822,1334,215365
7,3,8,3,6,0,0,0,16,21,40,44,22,7,0,0,140,8,19,24,16,14,3,0,81,31,71,66,47,20,3,0,237,139,452,663,668,551,278,59,2810,1368,2295,1787,1579,1369,341,36,8783,308,419,297,280,198,61,22,1590,14298,28971,24600,22792,15305,3443,343,109749
8,0,10,16,6,3,0,0,44,44,46,42,33,14,0,0,177,8,32,29,17,19,0,0,101,50,87,80,60,33,0,0,314,332,957,1584,1459,1292,761,166,6546,5303,5541,4397,3217,2701,877,116,22144,294,303,272,250,166,73,50,1417,34007,56559,53368,48069,28383,6370,697,227464
9,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,3,0,0,0,0,5,4,0,9,3,0,0,0,11,3,10,23,27,29,12,9,118,15,65,53,63,76,24,3,301,7,13,3,6,11,4,0,48,238,493,587,651,564,229,38,2804
