STE_CODE_2016,TPW_Oth_tspt_P,TPW_PstCour_PU_D_Svc_M,TPW_PstCour_PU_D_Svc_F,TPW_PstCour_PU_D_Svc_P,TPW_Tspt_supt_Svs_M,TPW_Tspt_supt_Svs_F,TPW_Tspt_supt_Svs_P,TPW_Wh_storage_Svs_M,TPW_Wh_storage_Svs_F,TPW_Wh_storage_Svs_P,TPW_Tot_M,TPW_Tot_F,TPW_Tot_P,IMT_IMT_nfd_M,IMT_IMT_nfd_F,IMT_IMT_nfd_P,IMT_PubExc_InetMusP_M,IMT_PubExc_InetMusP_F,IMT_PubExc_InetMusP_P,IMT_MotionP_SR_Act_M,IMT_MotionP_SR_Act_F,IMT_MotionP_SR_Act_P,IMT_Brdcast_ex_Inet_M,IMT_Brdcast_ex_Inet_F,IMT_Brdcast_ex_Inet_P,IMT_InetPub_brdcast_M,IMT_InetPub_brdcast_F,IMT_InetPub_brdcast_P,IMT_Tel_Svs_M,IMT_Tel_Svs_F,IMT_Tel_Svs_P,IMT_ISP_WSP_DP_svce_M,IMT_ISP_WSP_DP_svce_F,IMT_ISP_WSP_DP_svce_P,IMT_Lib_and_oth_IS_M,IMT_Lib_and_oth_IS_F,IMT_Lib_and_oth_IS_P,IMT_Tot_M,IMT_Tot_F,IMT_Tot_P,FinIns_FinIns_nfd_M,FinIns_FinIns_nfd_F,FinIns_FinIns_nfd_P,FinIns_Finance_M,FinIns_Finance_F,FinIns_Finance_P,FinIns_Ins_and_super_funds_M,FinIns_Ins_and_super_funds_F,FinIns_Ins_and_super_funds_P,FinIns_Aux_FinIns_Svs_M,FinIns_Aux_FinIns_Svs_F,FinIns_Aux_FinIns_Svs_P,FinIns_Tot_M,FinIns_Tot_F,FinIns_Tot_P,RHRE_RHRE_nfd_M,RHRE_RHRE_nfd_F,RHRE_RHRE_nfd_P,RHRE_RHSvc_ex_RealE_M,RHRE_RHSvc_ex_RealE_F,RHRE_RHSvc_ex_RealE_P,RHRE_POps_and_RE_svs_M,RHRE_POps_and_RE_svs_F,RHRE_POps_and_RE_svs_P,RHRE_Tot_M,RHRE_Tot_F,RHRE_Tot_P,ProSTS_ProSTS_nfd_M,ProSTS_ProSTS_nfd_F,ProSTS_ProSTS_nfd_P,ProSTS_ProSTS_ex_CSD_RS_M,ProSTS_ProSTS_ex_CSD_RS_F,ProSTS_ProSTS_ex_CSD_RS_P,ProSTS_CSD_RS_M,ProSTS_CSD_RS_F,ProSTS_CSD_RS_P,ProSTS_Tot_M,ProSTS_Tot_F,ProSTS_Tot_P,AdSup_AdSup_nfd_M,AdSup_AdSup_nfd_F,AdSup_AdSup_nfd_P,AdSup_Admin_Svs_M,AdSup_Admin_Svs_F,AdSup_Admin_Svs_P,AdSup_BldCln_PC_oth_Svc_M,AdSup_BldCln_PC_oth_Svc_F,AdSup_BldCln_PC_oth_Svc_P,AdSup_Tot_M,AdSup_Tot_F,AdSup_Tot_P,PubAS_PubAS_nfd_M,PubAS_PubAS_nfd_F,PubAS_PubAS_nfd_P,PubAS_PubAdm_M,PubAS_PubAdm_F,PubAS_PubAdm_P,PubAS_Defen_M,PubAS_Defen_F,PubAS_Defen_P,PubAS_PO_S_and_R_Svs_M,PubAS_PO_S_and_R_Svs_F,PubAS_PO_S_and_R_Svs_P,PubAS_Tot_M,PubAS_Tot_F,PubAS_Tot_P,EdTrn_EdTrn_nfd_M,EdTrn_EdTrn_nfd_F,EdTrn_EdTrn_nfd_P,EdTrn_PreSch_and_Sch_ed_M,EdTrn_PreSch_and_Sch_ed_F,EdTrn_PreSch_and_Sch_ed_P,EdTrn_Tertiary_ed_M,EdTrn_Tertiary_ed_F,EdTrn_Tertiary_ed_P,EdTrn_AdultCom_andOthEd_M,EdTrn_AdultCom_andOthEd_F,EdTrn_AdultCom_andOthEd_P,EdTrn_Tot_M,EdTrn_Tot_F,EdTrn_Tot_P,HC_SA_HC_SA_nfd_M,HC_SA_HC_SA_nfd_F,HC_SA_HC_SA_nfd_P,HC_SA_Hospitals_M,HC_SA_Hospitals_F,HC_SA_Hospitals_P,HC_SA_Med_oth_HCS_M,HC_SA_Med_oth_HCS_F,HC_SA_Med_oth_HCS_P,HC_SA_Resident_CS_M,HC_SA_Resident_CS_F,HC_SA_Resident_CS_P,HC_SA_Soc_assis_Svs_M,HC_SA_Soc_assis_Svs_F,HC_SA_Soc_assis_Svs_P,HC_SA_Tot_M,HC_SA_Tot_F,HC_SA_Tot_P,ArtsR_ArtsR_nfd_M,ArtsR_ArtsR_nfd_F,ArtsR_ArtsR_nfd_P,ArtsR_Heritage_ac_M,ArtsR_Heritage_ac_F,ArtsR_Heritage_ac_P,ArtsR_Creative_PAA_M,ArtsR_Creative_PAA_F,ArtsR_Creative_PAA_P,ArtsR_Sports_rec_ac_M,ArtsR_Sports_rec_ac_F,ArtsR_Sports_rec_ac_P,ArtsR_Gambling_ac_M,ArtsR_Gambling_ac_F,ArtsR_Gambling_ac_P,ArtsR_Tot_M,ArtsR_Tot_F,ArtsR_Tot_P,OthSvs_OthSvs_nfd_M,OthSvs_OthSvs_nfd_F,OthSvs_OthSvs_nfd_P,OthSvs_Repair_maintenanc_M,OthSvs_Repair_maintenanc_F,OthSvs_Repair_maintenanc_P,OthSvs_Personal_OthSvs_M,OthSvs_Personal_OthSvs_F,OthSvs_Personal_OthSvs_P,OthSvs_PriHES_UG_SPA_HOU_M,OthSvs_PriHES_UG_SPA_HOU_F,OthSvs_PriHES_UG_SPA_HOU_P,OthSvs_Tot_M,OthSvs_Tot_F,OthSvs_Tot_P,Inad_des_Inad_des_M,Inad_des_Inad_des_F,Inad_des_Inad_des_P,Industry_of_em_NS_M,Industry_of_em_NS_F,Industry_of_em_NS_P,Tot_M,Tot_F,Tot_P
1,1888,16854,6945,23797,13409,4689,18094,10917,3975,14899,121452,36846,158296,1175,955,2130,5648,7360,13011,5501,4051,9556,6796,5673,12472,678,710,1386,17681,7025,24708,5667,2232,7898,539,1339,1870,43694,29340,73040,2408,1711,4114,42551,42036,84587,14589,19254,33841,25378,19263,44639,84927,82260,167187,159,163,317,6846,3233,10074,22884,26029,48909,29883,29420,59306,1066,664,1730,101027,106210,207239,46844,16388,63225,148941,123258,272197,94,185,277,23873,35592,59466,31320,25754,57079,55287,61532,116819,398,424,822,55814,65767,121575,15964,4274,20235,37563,16407,53973,109737,86876,196610,2227,3961,6188,41002,138166,179168,27133,37750,64885,10981,19068,30047,81346,198940,280283,1570,6007,7579,28587,92610,121196,31975,87238,119211,13012,59831,72843,18797,80363,99166,93940,326046,419982,566,583,1147,2795,2922,5723,6028,5662,11698,14161,12017,26177,4139,2624,6772,27699,23817,51518,98,54,150,44741,8514,53253,22557,46634,69193,42,1211,1249,67433,56409,123844,71676,41154,112831,26209,19384,45595,1767809,1590382,3358185
2,1541,15018,6975,21995,12079,4884,16967,10133,3395,13530,99381,30261,129639,763,519,1277,3802,4343,8144,4272,3094,7362,2606,1946,4549,218,202,416,16336,6894,23232,3518,1358,4881,587,1659,2244,32092,20012,52106,1263,947,2213,25312,26273,51588,11104,13043,24149,16247,12315,28566,53934,52586,106519,102,181,285,5225,2570,7799,16055,18897,34948,21381,21646,43030,882,562,1439,81643,83868,165509,37899,12162,50059,120422,96589,217013,70,176,242,19717,27683,47400,26037,19673,45715,45826,47526,93360,234,244,477,35521,54939,90459,7803,2531,10334,29749,13044,42789,73306,70754,144059,2065,3794,5861,34536,111144,145684,24909,33763,58676,9308,16693,26002,70819,165405,236222,1130,4442,5573,22759,89912,112666,25795,71568,97367,9314,44661,53971,11960,59924,71880,70958,270501,341462,553,478,1034,2731,2902,5628,4719,4685,9405,14518,12768,27283,5576,3544,9117,28105,24367,52469,84,38,117,35831,6254,42085,17441,37680,55122,39,874,918,53398,44838,98239,59941,33023,92965,20670,15329,35998,1435860,1294480,2730338
3,2502,8762,4987,13742,10465,3688,14152,5774,1846,7621,81197,26475,107676,341,207,548,1838,2178,4024,2182,1606,3787,1771,1592,3371,75,56,132,6874,3031,9908,1628,682,2314,261,976,1235,14987,10328,25317,574,614,1189,8315,13389,21709,6284,8715,15001,8367,7974,16339,23540,30691,54230,103,121,229,5630,2644,8274,14336,19707,34043,20070,22479,42545,420,247,668,52537,56339,108881,17178,5961,23137,70140,62544,132686,43,146,190,14173,22065,36239,20209,18660,38865,34423,40874,75300,227,263,490,39035,47592,86629,13953,3073,17023,23747,11278,35023,76959,62197,139160,1595,2893,4489,28222,103097,131315,16803,24100,40895,5687,10313,15997,52299,140393,192699,794,3114,3912,21669,71895,93565,19975,55592,75573,6750,37144,43895,10331,50127,60456,59525,217868,277396,300,332,627,2021,1768,3788,2774,2809,5591,9435,9169,18604,2845,2329,5172,17376,16407,33784,53,30,86,30880,6201,37074,13141,32569,45714,24,493,513,44094,39290,83385,43542,23394,66933,13694,10564,24257,1104143,1026718,2130860
4,631,3751,1439,5190,2489,585,3080,1635,450,2089,24525,6279,30806,119,70,188,870,866,1737,711,526,1229,612,458,1072,18,14,40,2597,1133,3733,828,295,1119,108,369,476,5863,3733,9597,142,140,283,3880,6125,10007,1655,2860,4513,2609,2818,5424,8289,11939,20236,34,29,57,1311,596,1907,3459,4528,7987,4803,5150,9953,163,116,284,16610,17359,33970,5344,1503,6851,22120,18985,41104,14,43,63,4031,6298,10326,8393,7834,16228,12432,14183,26614,75,106,181,14456,19678,34142,4438,1024,5465,8975,3920,12892,27945,24728,52676,491,983,1468,10296,31997,42295,6267,8915,15174,2127,3361,5483,19180,45251,64429,311,1192,1501,6285,24641,30924,7804,23807,31611,4530,19621,24147,4485,17609,22096,23418,86869,110283,161,136,297,523,481,1004,1011,1098,2112,2772,2618,5393,702,631,1334,5172,4962,10126,21,14,37,10816,1894,12708,5036,11080,16113,6,191,196,15876,13179,29061,11390,5907,17299,3917,3079,6990,385046,357781,742831
5,951,4838,2594,7430,5875,1858,7737,2747,920,3665,40987,12898,53882,171,130,299,996,1175,2174,905,786,1691,735,570,1305,71,56,122,2994,950,3950,967,314,1281,136,454,592,6985,4429,11409,251,293,542,5048,7356,12408,2098,3441,5543,4651,4076,8728,12054,15172,27222,48,47,95,3104,1420,4530,6086,9438,15526,9241,10911,20151,226,148,371,33782,29533,63317,8404,2481,10886,42420,32160,74572,23,48,71,7678,9975,17652,10373,10007,20382,18067,20036,38101,154,181,332,19426,25724,45152,3505,937,4441,14987,7256,22236,38069,34092,72161,691,1420,2109,14358,55568,69923,8358,12053,20410,3061,5486,8542,26461,74520,100988,522,2402,2929,8908,34004,42917,9275,30036,39315,3586,20121,23704,4788,22371,27162,27083,108939,136028,140,138,275,1435,1365,2798,1226,1468,2697,4188,4508,8698,2195,1816,4012,9173,9304,18475,30,10,41,17660,3416,21083,6872,17721,24589,7,220,225,24568,21369,45936,28157,13926,42083,6621,5065,11683,627870,538376,1166240
6,229,848,518,1367,949,177,1130,281,87,368,7014,2064,9080,21,12,29,285,274,556,143,150,295,185,177,367,9,5,14,867,432,1298,83,29,111,50,190,242,1635,1276,2909,21,23,49,800,1454,2254,360,650,1005,551,659,1216,1732,2788,4520,3,6,16,441,248,689,763,1198,1963,1213,1455,2668,37,31,64,4426,4393,8816,1046,211,1254,5513,4628,10142,5,10,8,1327,1702,3031,1516,1833,3342,2846,3542,6384,31,23,51,5374,7773,13149,176,88,266,2258,1133,3386,7834,9018,16851,136,239,372,3456,10552,14010,1946,2545,4496,424,722,1142,5966,14056,20016,96,390,489,1713,6184,7892,1995,6157,8151,985,5655,6640,1528,5919,7451,6318,24313,30633,49,40,92,505,442,946,341,336,679,782,702,1491,414,407,818,2093,1933,4021,3,3,6,2847,439,3286,1373,3401,4776,3,16,16,4229,3852,8085,3464,1723,5183,1152,972,2127,109567,105795,215365
7,241,205,157,365,649,192,845,111,33,144,3585,1135,4717,18,20,33,72,72,146,72,48,119,156,134,294,4,0,4,214,65,278,46,21,58,18,71,87,600,427,1024,5,6,15,198,410,610,75,211,292,113,140,249,392,777,1161,9,5,16,269,131,402,391,716,1106,667,858,1526,12,4,10,3638,2305,5946,479,150,629,4127,2455,6584,0,6,9,724,965,1686,754,811,1564,1478,1785,3262,47,56,106,4025,6465,10487,4078,856,4936,2343,1086,3434,10495,8468,18967,112,228,336,1645,5341,6984,668,1061,1723,228,448,676,2647,7077,9728,140,377,519,901,2644,3543,1046,2433,3479,212,723,942,780,2493,3269,3078,8670,11746,25,35,57,251,265,513,152,210,367,330,349,679,357,296,647,1109,1152,2263,3,4,4,1438,264,1704,1057,1501,2560,3,9,10,2501,1777,4281,2376,1061,3439,914,731,1645,60869,48883,109749
8,48,785,268,1057,762,394,1154,128,62,189,4015,1246,5261,38,22,62,235,217,451,171,151,324,385,245,632,6,6,11,938,325,1271,385,115,499,298,557,857,2450,1644,4097,43,34,75,515,704,1227,451,646,1093,613,495,1104,1618,1878,3496,0,3,3,251,140,389,1142,1401,2544,1394,1542,2941,82,51,134,7283,7368,14649,5326,1493,6821,12696,8911,21603,4,7,13,1041,1466,2508,1837,1380,3215,2881,2862,5738,135,170,302,23445,29256,52698,8263,4281,12547,4122,2291,6412,35966,35998,71961,152,272,425,2557,8108,10663,3868,4323,8190,754,1308,2065,7339,14008,21343,69,220,289,1783,5588,7369,1683,4820,6501,668,2107,2780,1408,5005,6409,5614,17737,23352,34,37,66,564,814,1378,230,261,495,888,832,1721,175,84,265,1889,2030,3922,7,0,3,1765,273,2046,1474,3155,4629,0,52,52,3247,3481,6732,2480,1490,3968,1106,885,1992,114980,112482,227464
9,12,7,8,12,28,14,40,0,0,0,99,34,131,0,4,3,0,0,0,0,0,3,3,0,3,0,0,0,3,0,8,3,0,3,0,5,4,16,9,27,0,0,0,0,16,20,0,4,4,3,0,9,6,25,26,0,0,0,8,6,15,5,9,13,15,10,26,0,0,0,33,28,62,16,0,12,50,32,79,0,0,0,21,44,62,41,46,92,66,91,152,5,4,3,141,92,234,162,55,215,160,76,237,459,230,686,0,7,7,39,127,164,8,3,9,5,12,12,51,147,190,0,0,0,9,29,34,10,38,50,3,14,15,8,32,40,29,109,136,0,0,0,42,21,62,0,3,4,7,6,14,0,0,0,50,37,85,0,0,0,32,3,42,9,24,31,0,0,0,43,23,73,81,35,119,17,22,38,1633,1173,2804
