STE_CODE_2016,SWs_NNI_H_0,SWs_NNI_H_1_15,SWs_NNI_H_16_24,SWs_NNI_H_25_34,SWs_NNI_H_35_39,SWs_NNI_H_40,SWs_NNI_H_41_48,SWs_NNI_H_49mo,SWs_NNI_H_NS,SWs_NNI_H_Tot,SWs_1_149_H_0,SWs_1_149_H_1_15,SWs_1_149_H_16_24,SWs_1_149_H_25_34,SWs_1_149_H_35_39,SWs_1_149_H_40,SWs_1_149_H_41_48,SWs_1_149_H_49mo,SWs_1_149_H_NS,SWs_1_149_H_Tot,SWs_150_299_H_0,SWs_150_299_H_1_15,SWs_150_299_H_16_24,SWs_150_299_H_25_34,SWs_150_299_H_35_39,SWs_150_299_H_40,SWs_150_299_H_41_48,SWs_150_299_H_49mo,SWs_150_299_H_NS,SWs_150_299_H_Tot,SWs_300_399_H_0,SWs_300_399_H_1_15,SWs_300_399_H_16_24,SWs_300_399_H_25_34,SWs_300_399_H_35_39,SWs_300_399_H_40,SWs_300_399_H_41_48,SWs_300_399_H_49mo,SWs_300_399_H_NS,SWs_300_399_H_Tot,SWs_400_499_H_0,SWs_400_499_H_1_15,SWs_400_499_H_16_24,SWs_400_499_H_25_34,SWs_400_499_H_35_39,SWs_400_499_H_40,SWs_400_499_H_41_48,SWs_400_499_H_49mo,SWs_400_499_H_NS,SWs_400_499_H_Tot,SWs_500_649_H_0,SWs_500_649_H_1_15,SWs_500_649_H_16_24,SWs_500_649_H_25_34,SWs_500_649_H_35_39,SWs_500_649_H_40,SWs_500_649_H_41_48,SWs_500_649_H_49mo,SWs_500_649_H_NS,SWs_500_649_H_Tot,SWs_650_799_H_0,SWs_650_799_H_1_15,SWs_650_799_H_16_24,SWs_650_799_H_25_34,SWs_650_799_H_35_39,SWs_650_799_H_40,SWs_650_799_H_41_48,SWs_650_799_H_49mo,SWs_650_799_H_NS,SWs_650_799_H_Tot,SWs_800_999_H_0,SWs_800_999_H_1_15,SWs_800_999_H_16_24,SWs_800_999_H_25_34,SWs_800_999_H_35_39,SWs_800_999_H_40,SWs_800_999_H_41_48,SWs_800_999_H_49mo,SWs_800_999_H_NS,SWs_800_999_H_Tot,SWs_1000_1249_H_0,SWs_1000_1249_H_1_15,SWs_1000_1249_H_16_24,SWs_1000_1249_H_25_34,SWs_1000_1249_H_35_39,SWs_1000_1249_H_40,SWs_1000_1249_H_41_48,SWs_1000_1249_H_49mo,SWs_1000_1249_H_NS,SWs_1000_1249_H_Tot,SWs_1250_1499_H_0,SWs_1250_1499_H_1_15,SWs_1250_1499_H_16_24,SWs_1250_1499_H_25_34,SWs_1250_1499_H_35_39,SWs_1250_1499_H_40,SWs_1250_1499_H_41_48,SWs_1250_1499_H_49mo,SWs_1250_1499_H_NS,SWs_1250_1499_H_Tot,SWs_1500_1749_H_0,SWs_1500_1749_H_1_15,SWs_1500_1749_H_16_24,SWs_1500_1749_H_25_34,SWs_1500_1749_H_35_39,SWs_1500_1749_H_40,SWs_1500_1749_H_41_48,SWs_1500_1749_H_49mo,SWs_1500_1749_H_NS,SWs_1500_1749_H_Tot,SWs_1750_1999_H_0,SWs_1750_1999_H_1_15,SWs_1750_1999_H_16_24,SWs_1750_1999_H_25_34,SWs_1750_1999_H_35_39,SWs_1750_1999_H_40,SWs_1750_1999_H_41_48,SWs_1750_1999_H_49mo,SWs_1750_1999_H_NS,SWs_1750_1999_H_Tot,SWs_2000_2999_H_0,SWs_2000_2999_H_1_15,SWs_2000_2999_H_16_24,SWs_2000_2999_H_25_34,SWs_2000_2999_H_35_39,SWs_2000_2999_H_40,SWs_2000_2999_H_41_48,SWs_2000_2999_H_49mo,SWs_2000_2999_H_NS,SWs_2000_2999_H_Tot,SWs_3000mo_H_0,SWs_3000mo_H_1_15,SWs_3000mo_H_16_24,SWs_3000mo_H_25_34,SWs_3000mo_H_35_39,SWs_3000mo_H_40,SWs_3000mo_H_41_48,SWs_3000mo_H_49mo,SWs_3000mo_H_NS,SWs_3000mo_H_Tot,SWs_PINS_H_0,SWs_PINS_H_1_15,SWs_PINS_H_16_24,SWs_PINS_H_25_34,SWs_PINS_H_35_39,SWs_PINS_H_40,SWs_PINS_H_41_48,SWs_PINS_H_49mo,SWs_PINS_H_NS,SWs_PINS_H_Tot,SWs_Tot_H_0,SWs_Tot_H_1_15,SWs_Tot_H_16_24,SWs_Tot_H_25_34,SWs_Tot_H_35_39,SWs_Tot_H_40,SWs_Tot_H_41_48,SWs_Tot_H_49mo,SWs_Tot_H_NS,SWs_Tot_H_Tot,MaOpD_NNI_H_0,MaOpD_NNI_H_1_15,MaOpD_NNI_H_16_24,MaOpD_NNI_H_25_34,MaOpD_NNI_H_35_39,MaOpD_NNI_H_40,MaOpD_NNI_H_41_48,MaOpD_NNI_H_49mo,MaOpD_NNI_H_NS,MaOpD_NNI_H_Tot,MaOpD_1_149_H_0,MaOpD_1_149_H_1_15,MaOpD_1_149_H_16_24,MaOpD_1_149_H_25_34,MaOpD_1_149_H_35_39,MaOpD_1_149_H_40,MaOpD_1_149_H_41_48,MaOpD_1_149_H_49mo,MaOpD_1_149_H_NS,MaOpD_1_149_H_Tot,MaOpD_150_299_H_0,MaOpD_150_299_H_1_15,MaOpD_150_299_H_16_24,MaOpD_150_299_H_25_34,MaOpD_150_299_H_35_39,MaOpD_150_299_H_40,MaOpD_150_299_H_41_48,MaOpD_150_299_H_49mo,MaOpD_150_299_H_NS,MaOpD_150_299_H_Tot,MaOpD_300_399_H_0,MaOpD_300_399_H_1_15,MaOpD_300_399_H_16_24,MaOpD_300_399_H_25_34,MaOpD_300_399_H_35_39,MaOpD_300_399_H_40,MaOpD_300_399_H_41_48,MaOpD_300_399_H_49mo,MaOpD_300_399_H_NS,MaOpD_300_399_H_Tot
1,372,1386,364,182,142,185,52,214,134,3029,2402,30711,2264,418,128,131,49,119,597,36823,1247,18911,6719,1573,324,219,109,232,554,29889,854,9784,10108,3052,750,528,178,339,450,26045,833,5579,11838,5677,1479,873,296,503,411,27485,1117,4026,9241,12420,5285,2234,803,1024,552,36702,1011,1847,3955,8960,12963,5219,1973,1596,462,37986,768,1082,1872,3844,11878,7501,3342,2599,305,33191,583,660,955,1654,6631,7165,3342,3696,242,24925,329,299,450,715,3127,4527,2214,3051,113,14826,245,236,264,490,1951,3316,1600,2679,88,10873,118,127,170,230,967,1975,1007,1938,54,6581,231,221,214,311,1141,2806,1625,3508,71,10128,133,270,203,287,486,1668,924,3250,61,7280,166,1162,604,495,524,495,192,335,626,4593,10404,76299,49220,40296,47783,38846,17716,25088,4716,310367,87,205,103,59,106,100,33,140,76,899,113,1631,289,74,68,72,19,75,47,2397,211,2324,1093,398,216,155,57,142,142,4739,219,1939,2179,887,444,460,138,341,192,6793
2,304,1378,273,170,145,159,45,198,119,2782,1877,31982,1834,330,93,103,41,138,612,37017,1056,19300,5923,1335,271,231,105,250,507,28974,798,9824,8827,2504,554,415,161,314,385,23772,764,5193,9669,4920,1037,611,263,429,332,23225,908,3503,7196,10232,3965,1746,639,854,400,29457,768,1616,3053,7030,9766,4050,1714,1420,350,29782,662,869,1384,3053,9597,5895,2795,2055,278,26589,516,497,676,1424,5625,5709,2826,2867,165,20308,285,268,297,576,2653,3544,1955,2444,85,12108,193,178,204,341,1513,2515,1421,2101,75,8536,138,101,108,200,757,1516,923,1570,35,5353,158,158,130,237,846,2015,1316,2836,64,7767,101,243,156,200,310,963,619,2398,60,5046,145,1355,544,482,514,478,193,333,599,4643,8682,76466,40281,33039,37648,29957,15005,20205,4064,265348,60,141,82,54,84,101,27,113,40,702,118,1182,196,77,47,46,15,63,40,1790,190,1790,948,334,137,122,38,114,107,3780,177,1466,1816,665,300,279,89,226,171,5196
3,202,830,152,139,72,140,46,196,70,1850,1244,22884,1382,289,82,85,36,135,403,26543,687,12756,4486,1269,238,192,64,244,316,20263,488,6533,6106,2386,537,307,132,312,268,17061,558,3851,7111,4560,975,461,208,407,237,18375,695,2696,5639,9822,3726,1308,623,921,289,25720,704,1241,2389,7013,9767,3434,1697,1482,263,27983,532,633,1064,2723,8576,4577,2695,2126,200,23130,396,395,532,1176,4243,4098,2449,3053,147,16487,180,174,202,454,1763,2354,1416,2562,54,9152,116,135,183,279,1044,1725,896,2173,34,6591,65,79,85,146,452,874,531,1302,31,3559,79,123,106,194,485,1054,673,2025,31,4758,43,170,120,158,202,557,287,1502,31,3075,82,803,367,401,361,274,145,234,358,3027,6068,53297,29923,31015,32529,21443,11887,18676,2726,207578,72,136,73,58,59,77,31,159,40,711,104,1126,130,77,43,47,18,96,42,1695,118,1419,647,263,114,116,31,163,66,2946,149,1130,1173,534,239,207,95,279,97,3899
4,75,301,51,34,25,41,15,40,14,594,426,8172,418,107,21,19,13,44,137,9362,324,5492,1501,384,71,54,31,69,128,8049,256,2783,2118,796,149,91,40,89,88,6414,230,1552,2764,1743,288,149,85,129,69,7011,314,1107,2035,3716,1177,360,163,255,92,9221,252,502,831,2460,2939,894,530,374,105,8885,220,248,357,985,2970,1423,1029,571,53,7856,154,150,187,343,1552,1287,903,864,41,5491,91,69,66,117,655,684,515,653,18,2866,40,61,46,110,337,462,338,506,7,1910,29,32,24,45,127,266,158,334,10,1021,28,47,21,49,150,287,191,458,0,1237,14,41,44,47,53,131,86,290,3,695,27,276,129,141,100,62,44,71,128,979,2494,20819,10609,11073,10602,6219,4133,4747,889,71586,16,47,23,17,17,18,8,29,11,188,37,376,74,22,12,13,3,18,7,561,52,501,247,113,40,39,13,39,21,1074,55,421,444,200,82,85,23,61,32,1409
5,88,530,111,70,36,64,24,81,42,1048,715,12635,733,118,36,38,27,39,185,14518,393,7496,2299,548,117,83,34,64,169,11205,317,3522,3512,1071,201,127,51,82,150,9036,273,1923,3809,2084,431,222,104,168,118,9130,370,1309,2794,4327,1496,589,245,284,150,11573,311,599,1085,2848,3790,1362,506,480,125,11114,281,383,525,1269,3548,2021,937,714,73,9762,189,225,318,602,2100,2194,1122,1079,57,7889,129,137,149,252,1065,1432,776,1010,48,4999,86,103,99,167,556,980,562,978,24,3547,48,79,59,97,265,558,342,704,22,2177,82,90,89,96,288,699,419,1157,15,2931,31,94,83,111,119,324,213,864,11,1849,47,408,179,172,150,116,58,110,187,1434,3362,29536,15841,13836,14209,10818,5412,7824,1374,102203,49,87,29,31,29,34,12,103,20,389,47,614,100,42,9,18,7,43,25,906,81,856,305,104,52,55,18,79,48,1588,81,608,571,234,86,93,42,123,42,1880
6,23,96,15,15,6,9,3,16,3,187,191,2488,146,29,3,9,5,7,50,2925,118,1449,428,129,33,17,4,16,32,2230,89,835,614,218,50,33,7,36,21,1903,103,521,809,500,94,42,22,30,13,2131,89,379,714,1070,392,147,76,56,31,2967,102,184,262,728,1132,325,148,134,32,3037,85,83,99,253,929,479,291,179,10,2412,33,41,46,81,413,382,257,233,9,1488,11,22,21,32,157,173,135,166,5,724,4,16,10,17,73,103,70,125,3,423,3,3,3,10,25,52,40,73,3,212,8,15,6,7,24,46,43,109,6,263,5,13,15,8,9,12,13,68,3,150,13,102,37,29,35,29,3,22,25,303,889,6239,3225,3130,3371,1860,1113,1274,253,21359,3,15,9,3,9,5,4,13,4,59,8,107,21,7,3,3,0,7,3,154,22,170,59,24,13,14,15,11,9,338,25,161,144,70,28,21,9,21,12,498
7,4,41,11,7,7,0,0,8,0,79,40,672,51,7,8,3,3,3,22,815,24,345,128,38,18,13,7,6,21,592,12,151,179,82,24,19,3,3,12,483,21,78,208,138,38,17,0,8,9,514,25,72,145,248,136,54,22,26,13,753,32,25,72,224,405,122,57,36,22,993,21,29,24,86,414,192,118,101,13,1006,20,10,15,40,193,168,100,115,15,680,10,12,7,14,103,99,70,116,3,436,7,8,9,3,34,58,41,94,0,248,5,0,0,5,32,43,17,51,0,154,5,3,0,0,17,21,24,73,3,161,0,9,0,11,6,17,8,60,0,106,5,24,13,16,19,21,4,5,16,118,233,1469,865,916,1467,832,495,709,144,7144,4,4,3,3,3,0,3,6,0,28,4,19,0,3,5,3,0,9,4,44,3,34,23,11,18,9,3,4,7,114,5,26,45,9,12,7,0,9,3,121
8,11,53,15,12,4,0,3,6,3,120,120,2215,134,26,12,4,3,7,52,2572,85,1142,374,91,17,5,7,8,48,1768,37,567,454,146,34,14,5,7,31,1308,43,290,528,279,46,35,6,19,22,1278,63,218,379,592,235,78,26,40,27,1657,54,99,155,422,591,178,96,63,26,1677,50,50,83,193,631,283,142,128,19,1574,26,49,44,75,321,250,146,131,5,1054,21,24,16,30,186,162,114,124,3,680,16,16,8,23,70,111,75,107,0,429,3,7,8,6,43,67,44,85,0,259,10,12,11,17,50,96,42,139,0,369,3,15,10,9,22,71,39,151,0,331,6,40,22,11,19,12,5,8,24,150,556,4794,2254,1938,2274,1372,762,1016,267,15232,0,9,0,4,3,3,0,3,0,28,6,92,18,0,0,0,0,0,7,123,5,115,40,8,4,3,0,4,6,179,3,53,56,38,5,10,3,7,0,171
9,0,0,0,0,0,0,0,3,0,4,0,4,0,0,0,0,0,0,0,7,0,3,4,0,0,0,0,0,0,6,0,3,3,0,0,0,0,0,0,14,0,5,3,6,0,0,0,0,0,21,0,0,4,12,5,3,3,0,0,30,0,0,3,7,6,3,5,3,0,25,0,0,0,3,4,0,5,6,0,17,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,25,19,25,22,13,15,8,3,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3
