STE_CODE_2016,Tot_1750_1999_A_55_64,Tot_1750_1999_A_65_74,Tot_1750_1999_A_75ov,Tot_1750_1999_Tot,Tot_2000_2999_A_15_19,Tot_2000_2999_A_20_24,Tot_2000_2999_A_25_34,Tot_2000_2999_A_35_44,Tot_2000_2999_A_45_54,Tot_2000_2999_A_55_64,Tot_2000_2999_A_65_74,Tot_2000_2999_A_75ov,Tot_2000_2999_Tot,Tot_3000mo_A_15_19,Tot_3000mo_A_20_24,Tot_3000mo_A_25_34,Tot_3000mo_A_35_44,Tot_3000mo_A_45_54,Tot_3000mo_A_55_64,Tot_3000mo_A_65_74,Tot_3000mo_A_75ov,Tot_3000mo_Tot,Tot_PINS_A_15_19,Tot_PINS_A_20_24,Tot_PINS_A_25_34,Tot_PINS_A_35_44,Tot_PINS_A_45_54,Tot_PINS_A_55_64,Tot_PINS_A_65_74,Tot_PINS_A_75ov,Tot_PINS_Tot,Tot_Tot_A_15_19,Tot_Tot_A_20_24,Tot_Tot_A_25_34,Tot_Tot_A_35_44,Tot_Tot_A_45_54,Tot_Tot_A_55_64,Tot_Tot_A_65_74,Tot_Tot_A_75ov,Tot_Tot_Tot
1,31907,5629,631,194604,96,1794,62905,99202,79620,46269,8392,1008,299283,218,775,20517,64519,63134,34236,8748,1510,193641,3355,5305,10755,10424,11056,8073,2821,921,52696,161258,310107,775553,748000,713680,503617,127065,18893,3358185
2,23519,4073,491,143699,77,1061,40539,68545,57268,32546,5864,722,206618,212,664,12150,41621,43092,23473,6141,1027,128378,2990,4994,9391,9252,10513,7679,2545,690,48058,124565,256086,650685,604128,581349,399990,99232,14306,2730338
3,18216,2863,274,111809,63,1659,31315,50314,47102,25068,4046,466,160033,149,547,9195,26398,28225,15799,3828,689,84843,2573,3277,6098,6601,7345,5323,1851,506,33574,125805,206490,464456,467620,465115,316004,75401,9984,2130860
4,7623,1275,118,37952,14,298,7091,13854,14718,9243,1594,178,46988,54,129,1798,6041,7639,5313,1553,261,22795,717,967,1925,1890,2283,1782,569,193,10327,36970,67694,156162,155471,167544,124817,29947,4235,742831
5,12669,2113,190,76427,58,2030,30448,38742,36406,21197,3377,318,132574,93,712,12214,25145,25730,14055,2928,428,81294,1148,1743,3404,3310,3857,2614,901,198,17171,58120,105697,272793,255198,252646,173538,42720,5531,1166240
6,2159,260,28,10293,4,67,1377,3083,3804,2410,402,55,11196,11,44,352,1179,1658,1345,385,58,5029,247,269,463,549,659,558,192,44,2985,11916,18728,40608,43812,50762,39382,8822,1334,215365
7,1539,238,15,8726,14,229,3403,4107,3789,2387,357,25,14307,11,110,1558,2296,2299,1425,264,26,7980,132,231,517,489,453,311,99,8,2240,4657,9645,28971,24600,22792,15305,3443,343,109749
8,2473,414,35,18017,10,112,6194,12504,11848,5780,834,56,37335,11,50,1313,4481,5897,3509,667,61,15986,183,274,554,494,487,266,84,23,2380,11597,22409,56559,53368,48069,28383,6370,697,227464
9,44,11,0,207,0,8,49,63,72,61,19,0,279,0,0,25,43,45,32,9,0,147,0,3,4,14,11,7,6,0,49,75,162,493,587,651,564,229,38,2804
