STE_CODE_2016,Tot_Mng,Tot_Pro,Tot_Tech_trds_wks,Tot_Com_persl_svce_wks,Tot_Cler_admin_wks,Tot_Sales_wks,Tot_Mach_ops_dvrs,Tot_Labourers,Tot_IDNS,Tot_Tot
1,453169,793185,425988,348552,463171,310367,205585,296302,61874,3358185
2,369522,634779,356926,288929,362756,265348,158617,246705,46754,2730338
3,257478,423068,303466,242022,291171,207578,146529,225068,34480,2130860
4,93652,150374,99351,89379,99352,71586,45147,82519,11456,742831
5,139600,238004,191097,122847,150539,102203,88666,113951,19337,1166240
6,26340,40533,30008,26643,28099,21359,13546,25088,3746,215365
7,13108,21978,18803,14435,14461,7144,6713,10452,2664,109749
8,36690,68612,21319,23787,39826,15232,5131,11104,5756,227464
9,493,426,454,414,304,141,175,331,84,2804
