STE_CODE_2016,Mng_Mng_nfd_M,Mng_Mng_nfd_F,Mng_Mng_nfd_P,Mng_ChiefEx_GMng_legs__M,Mng_ChiefEx_GMng_legs__F,Mng_ChiefEx_GMng_legs__P,Mng_Farmers_FMng_M,Mng_Farmers_FMng_F,Mng_Farmers_FMng_P,Mng_Spec_Mng_M,Mng_Spec_Mng_F,Mng_Spec_Mng_P,Mng_Hosp_ret_svce_Mng_M,Mng_Hosp_ret_svce_Mng_F,Mng_Hosp_ret_svce_Mng_P,Mng_Tot_M,Mng_Tot_F,Mng_Tot_P,Pro_Pro_nfd_M,Pro_Pro_nfd_F,Pro_Pro_nfd_P,Pro_Arts_media_Pro_M,Pro_Arts_media_Pro_F,Pro_Arts_media_Pro_P,Pro_Busin_HR_mkting_Pro_M,Pro_Busin_HR_mkting_Pro_F,Pro_Busin_HR_mkting_Pro_P,Pro_DesEng_sci_tspt_Pro_M,Pro_DesEng_sci_tspt_Pro_F,Pro_DesEng_sci_tspt_Pro_P,Pro_Educ_Pro_M,Pro_Educ_Pro_F,Pro_Educ_Pro_P,Pro_Health_Pro_M,Pro_Health_Pro_F,Pro_Health_Pro_P,Pro_Inf_Com_Tec_ICT_Pro_M,Pro_Inf_Com_Tec_ICT_Pro_F,Pro_Inf_Com_Tec_ICT_Pro_P,Pro_Leg_soc_welf_Pro_M,Pro_Leg_soc_welf_Pro_F,Pro_Leg_soc_welf_Pro_P,Pro_Tot_M,Pro_Tot_F,Pro_Tot_P,TecTW_TecTW_nfd_M,TecTW_TecTW_nfd_F,TecTW_TecTW_nfd_P,TecTW_Eng_ICT_STecs_M,TecTW_Eng_ICT_STecs_F,TecTW_Eng_ICT_STecs_P,TecTW_Auto_eng_tds_wks_M,TecTW_Auto_eng_tds_wks_F,TecTW_Auto_eng_tds_wks_P,TecTW_Const_tds_wks_M,TecTW_Const_tds_wks_F,TecTW_Const_tds_wks_P,TecTW_EleTec_telco_tds_wks_M,TecTW_EleTec_telco_tds_wks_F,TecTW_EleTec_telco_tds_wks_P,TecTW_Food_tds_wks_M,TecTW_Food_tds_wks_F,TecTW_Food_tds_wks_P,TecTW_Sk_ani_hort_wks_M,TecTW_Sk_ani_hort_wks_F,TecTW_Sk_ani_hort_wks_P,TecTW_Oth_TecTW_M,TecTW_Oth_TecTW_F,TecTW_Oth_TecTW_P,TecTW_Tot_M,TecTW_Tot_F,TecTW_Tot_P,CoPSW_CoPSW_nfd_M,CoPSW_CoPSW_nfd_F,CoPSW_CoPSW_nfd_P,CoPSW_HlthWlfSptWs_M,CoPSW_HlthWlfSptWs_F,CoPSW_HlthWlfSptWs_P,CoPSW_Carers_aides_M,CoPSW_Carers_aides_F,CoPSW_Carers_aides_P,CoPSW_Hosp_wks_M,CoPSW_Hosp_wks_F,CoPSW_Hosp_wks_P,CoPSW_ProtecSvcWks_M,CoPSW_ProtecSvcWks_F,CoPSW_ProtecSvcWks_P,CoPSW_SptsPsnlSvceWs_M,CoPSW_SptsPsnlSvceWs_F,CoPSW_SptsPsnlSvceWs_P,CoPSW_Tot_M,CoPSW_Tot_F,CoPSW_Tot_P,ClAW_ClAW_nfd_M,ClAW_ClAW_nfd_F,ClAW_ClAW_nfd_P,ClAW_OfMngs_ProgAdm_M,ClAW_OfMngs_ProgAdm_F,ClAW_OfMngs_ProgAdm_P,ClAW_PsnlAs_secretaries_M,ClAW_PsnlAs_secretaries_F,ClAW_PsnlAs_secretaries_P,ClAW_GnrlClerWs_M,ClAW_GnrlClerWs_F,ClAW_GnrlClerWs_P,ClAW_InqClks_recepts_M,ClAW_InqClks_recepts_F,ClAW_InqClks_recepts_P,ClAW_Num_clerks_M,ClAW_Num_clerks_F,ClAW_Num_clerks_P,ClAW_Clerl_OfSuptWs_M,ClAW_Clerl_OfSuptWs_F,ClAW_Clerl_OfSuptWs_P,ClAW_Oth_ClAW_M,ClAW_Oth_ClAW_F,ClAW_Oth_ClAW_P,ClAW_Tot_M,ClAW_Tot_F,ClAW_Tot_P,SWs_SWs_nfd_M,SWs_SWs_nfd_F,SWs_SWs_nfd_P,SWs_Sales_reps_agnts_M,SWs_Sales_reps_agnts_F,SWs_Sales_reps_agnts_P,SWs_SalesAs_SalesPsns_M,SWs_SalesAs_SalesPsns_F,SWs_SalesAs_SalesPsns_P,SWs_SalesSptWks_M,SWs_SalesSptWks_F,SWs_SalesSptWks_P,SWs_Tot_M,SWs_Tot_F,SWs_Tot_P,MaOpD_MaOpD_nfd_M,MaOpD_MaOpD_nfd_F,MaOpD_MaOpD_nfd_P,MaOpD_Ma_StatPlntOps_M,MaOpD_Ma_StatPlntOps_F,MaOpD_Ma_StatPlntOps_P,MaOpD_MobPlntOps_M,MaOpD_MobPlntOps_F,MaOpD_MobPlntOps_P,MaOpD_RoadRail_dvrs_M,MaOpD_RoadRail_dvrs_F,MaOpD_RoadRail_dvrs_P,MaOpD_StorPsns_M,MaOpD_StorPsns_F,MaOpD_StorPsns_P,MaOpD_Tot_M,MaOpD_Tot_F,MaOpD_Tot_P,Lab_Lab_nfd_M,Lab_Lab_nfd_F,Lab_Lab_nfd_P,Lab_Clnrs_lndryWs_M,Lab_Clnrs_lndryWs_F,Lab_Clnrs_lndryWs_P,Lab_Const_and_Min_Lab_M,Lab_Const_and_Min_Lab_F,Lab_Const_and_Min_Lab_P,Lab_Factory_ProcWs_M,Lab_Factory_ProcWs_F,Lab_Factory_ProcWs_P,Lab_FarmFrstyGrdnWs_M,Lab_FarmFrstyGrdnWs_F,Lab_FarmFrstyGrdnWs_P,Lab_Food_prep_asts_M,Lab_Food_prep_asts_F,Lab_Food_prep_asts_P,Lab_Oth_Lab_M,Lab_Oth_Lab_F,Lab_Oth_Lab_P,Lab_Tot_M,Lab_Tot_F,Lab_Tot_P,Inad_des_M,Inad_des_F,Inad_des_P,NS_M,NS_F,NS_P,Tot_M,Tot_F,Tot_P
1,6956,3292,10251,27585,9319,36905,29760,11517,41276,149256,82837,232086,71404,61252,132652,284955,168215,453169,6222,6319,12539,16671,14996,31664,106454,102895,209349,62613,30905,93520,44453,113756,158214,40325,112115,152445,59334,14045,73379,24514,37559,62077,360595,432592,793185,5379,358,5735,45316,15817,61132,78559,1178,79736,92162,1279,93440,55294,1096,56393,36547,15431,51973,21598,8958,30559,24979,22042,47022,359831,66154,425988,45,133,179,9659,26038,35696,19587,119307,138890,27018,54193,81215,32757,7998,40756,19071,32743,51813,108132,240415,348552,290,528,816,20623,55205,75831,839,34765,35602,12990,72159,85147,10705,63832,74532,23430,77476,100909,14738,9792,24539,30324,35478,65800,113935,349242,463171,371,385,756,34939,25603,60540,76038,128720,204757,11959,32352,44310,123305,187062,310367,3987,331,4314,35525,6040,41561,30140,1141,31285,88261,5243,93504,27018,7897,34919,184935,20650,205585,6002,773,6770,33194,43071,76268,40920,770,41691,31403,18352,49752,19651,6112,25763,22709,20494,43198,41652,11210,52857,195526,100781,296302,21920,13782,35695,14683,11495,26183,1767809,1590382,3358185
2,8397,3881,12280,23077,7975,31047,24501,9878,34388,121610,63468,185082,58581,48145,106731,236176,133350,369522,5041,5592,10633,11343,9951,21300,81276,76790,158070,52318,27522,79838,38556,90411,128968,31253,95946,127199,48484,11258,59744,17770,31262,49037,286041,348740,634779,3810,284,4102,35604,13995,49597,62311,944,63250,84895,1180,86072,40558,873,41432,29157,13386,42547,18100,8182,26289,24482,19158,43637,298925,58000,356926,64,158,217,8308,24848,33153,14607,102821,117434,20988,40472,61463,25508,6702,32212,16603,27848,44444,86079,202845,288929,317,584,898,15939,43204,59142,708,21564,22271,10053,50162,60211,10416,53442,63860,19438,63931,83365,11789,7754,19540,25536,27926,53462,94188,268564,362756,396,352,747,27452,18690,46144,65268,112916,178187,11303,28975,40279,104417,160930,265348,1843,213,2056,26004,6225,32228,25889,848,26729,63679,3230,66916,23548,7141,30685,140965,17652,158617,4055,610,4661,25315,30504,55819,30907,607,31512,35519,19554,55068,13350,5543,18890,20080,19031,39110,32163,9483,41641,161383,85322,246705,16195,10088,26279,11495,8980,20480,1435860,1294480,2730338
3,4816,2296,7118,14549,4999,19547,20072,8595,28668,76518,40179,116698,43166,42284,85449,159114,98359,257478,2958,3320,6282,6299,6228,12518,43052,47778,90830,41463,17116,58588,26123,68667,94790,26688,74667,101362,21427,4573,26001,12174,20525,32705,180181,242883,423068,3258,188,3442,32595,10499,43098,67603,1132,68735,61177,1041,62219,40221,1038,41256,21602,10330,31934,13937,6382,20315,17112,15349,32459,257508,45963,303466,40,82,122,6999,19197,26193,12844,88638,101478,13980,36395,50380,24748,5897,30639,11925,21276,33199,70539,171484,242022,184,447,631,11909,39864,51775,453,16923,17379,7412,49500,56919,6176,43219,49397,10060,48598,58658,7838,6820,14661,18828,22927,41756,62875,228301,291171,221,264,484,21508,17731,39241,47945,88524,136472,8157,23217,31380,77838,129738,207578,2473,164,2639,32263,4518,36784,22794,1084,23878,57481,4702,62184,17084,3969,21055,132089,14436,146529,6113,785,6899,21561,36117,57679,30247,772,31016,22153,12529,34681,17750,6201,23947,15950,15519,31473,29398,9979,39376,143161,81905,225068,12772,7212,19989,8074,6422,14496,1104143,1026718,2130860
4,1285,583,1866,5435,1850,7281,12206,4066,16273,25708,13678,39386,15334,13515,28847,59963,33690,93652,965,1043,2007,2255,1922,4171,15213,15747,30966,13440,5625,19063,10251,23693,33948,9948,28564,38513,7984,1637,9623,4345,7738,12083,64400,85980,150374,1140,71,1217,10134,3678,13814,20792,297,21089,18081,278,18356,12512,256,12770,7324,4111,11436,6107,2341,8447,6585,5645,12227,82677,16675,99351,11,49,57,3148,10481,13626,5791,32293,38086,4925,12019,16944,8397,2092,10496,3590,6585,10174,25859,63520,89379,82,137,220,4033,12604,16636,170,5848,6018,2769,16114,18883,2367,14611,16984,4086,17170,21251,3518,2364,5879,6353,7123,13478,23376,75976,99352,82,86,161,6287,4156,10436,17773,31536,49308,2992,8681,11675,27131,44459,71586,717,42,755,8878,1390,10262,7642,234,7871,18162,858,19016,6386,847,7239,41780,3370,45147,1243,187,1428,7086,12350,19440,8044,199,8242,12239,5770,18005,7429,2150,9583,5881,6371,12253,11057,2515,13572,52975,29545,82519,4486,2599,7082,2393,1982,4373,385046,357781,742831
5,2250,962,3212,9525,2629,12153,10994,4328,15322,44649,21299,65945,22002,20964,42967,89413,50183,139600,1522,1727,3256,2995,2978,5975,26408,26865,53266,31424,10978,42405,14044,36466,50511,13087,38548,51637,11246,2337,13587,6142,11231,17376,106880,131122,238004,2457,167,2627,23544,7293,30834,47593,663,48260,34562,599,35161,25371,577,25952,11380,5726,17102,7992,4016,12010,10197,8957,19157,163098,27997,191097,14,70,88,3016,9841,12864,5688,45527,51217,7142,17617,24760,13008,3262,16272,5643,11999,17647,34519,88326,122847,79,207,286,6919,18459,25379,244,9148,9388,3466,24112,27580,2549,22188,24740,4981,27688,32670,4569,4115,8683,10451,11356,21809,33261,117273,150539,100,129,228,9658,8169,17830,23062,44146,67211,4076,12864,16937,36898,65309,102203,1506,88,1594,26254,3365,29627,11319,660,11982,30933,3366,34295,9205,1961,11168,79222,9445,88666,1989,309,2291,10601,19442,30044,17619,475,18096,8421,4586,13005,7424,2734,10160,8261,8441,16700,18127,5524,23654,72440,41516,113951,8158,4099,12259,3974,3101,7075,627870,538376,1166240
6,314,171,479,1432,546,1977,3556,1148,4706,7143,3424,10567,4507,4103,8611,16950,9383,26340,311,298,612,753,663,1418,3549,3712,7257,3689,1465,5146,3105,6948,10057,2736,8092,10826,1511,269,1784,1183,2253,3434,16841,23696,40533,341,23,363,2923,1023,3946,6076,71,6143,5927,71,6000,3588,66,3653,2491,1357,3852,1837,733,2568,1551,1927,3476,24737,5273,30008,5,12,18,778,2418,3200,1891,10477,12368,1445,4106,5552,1973,587,2557,1096,1852,2949,7189,19455,26643,54,61,112,1223,3395,4620,46,1539,1586,809,4564,5374,857,4855,5719,992,4327,5324,907,808,1710,1737,1922,3666,6632,21471,28099,9,13,24,1552,1106,2658,5371,10474,15846,727,2102,2825,7662,13694,21359,245,3,251,2838,345,3184,2431,73,2505,5643,395,6034,1393,179,1574,12549,990,13546,458,77,531,2040,4856,6894,2088,33,2119,2909,1464,4375,2611,871,3479,1578,2068,3650,3129,918,4045,14802,10288,25088,1448,934,2388,750,612,1362,109567,105795,215365
7,240,134,378,859,401,1262,453,209,659,4238,2588,6829,2052,1922,3972,7847,5258,13108,105,156,264,329,360,690,1562,2390,3952,2983,854,3832,1291,3582,4875,1473,4018,5485,673,152,833,748,1302,2046,9161,12816,21978,306,18,323,2158,471,2633,5033,87,5119,2762,66,2829,3777,89,3866,1101,681,1782,681,266,949,827,473,1303,16654,2150,18803,11,11,18,788,1323,2112,856,3803,4661,635,1432,2070,3503,708,4211,590,774,1362,6376,8052,14435,0,34,31,838,2118,2950,22,654,682,549,2750,3298,282,1798,2076,334,2099,2435,356,468,826,981,1182,2160,3359,11099,14461,4,11,14,488,628,1123,1857,3010,4861,329,816,1144,2676,4464,7144,112,15,127,1689,154,1839,888,66,956,2644,254,2896,764,133,897,6098,618,6713,315,34,351,1057,1931,2987,2127,50,2174,386,140,522,793,259,1050,676,616,1288,1679,395,2076,7031,3416,10452,1069,518,1586,592,480,1075,60869,48883,109749
8,607,423,1033,2065,995,3063,85,30,111,14128,10984,25107,4065,3298,7364,20950,15733,36690,1330,1238,2571,903,930,1829,9736,11832,21573,4217,2116,6335,3352,6942,10293,2316,6584,8901,9534,2233,11768,1918,3427,5345,33306,35311,68612,215,36,245,3365,1244,4616,2147,37,2186,4584,45,4634,2801,116,2916,2122,639,2761,1222,520,1741,1061,1163,2219,17520,3797,21319,4,4,11,592,1376,1972,1546,6975,8523,2234,3290,5520,3619,916,4532,1286,1940,3230,9289,14502,23787,72,110,181,3452,6864,10319,186,2707,2892,3178,7436,10612,917,3548,4468,1229,3801,5031,1028,721,1747,2023,2550,4572,12096,27734,39826,16,28,44,1052,1003,2055,4516,6424,10940,704,1499,2198,6285,8944,15232,67,0,70,482,123,606,518,16,530,3072,194,3270,590,69,660,4728,407,5131,153,16,173,1892,1932,3822,1626,33,1657,354,131,482,313,87,400,1544,899,2448,1754,369,2123,7644,3455,11104,2540,2099,4643,626,496,1116,114980,112482,227464
9,14,4,15,30,13,41,14,3,20,171,73,244,84,85,171,316,176,493,3,0,4,6,10,16,46,37,80,86,15,107,22,75,99,20,51,71,16,4,21,13,19,33,221,209,426,11,0,11,44,9,51,86,4,86,88,0,88,60,0,60,34,27,60,52,3,55,13,15,30,388,67,454,0,0,0,5,13,18,9,74,77,16,53,73,145,31,177,20,53,74,193,218,414,0,0,0,12,39,53,0,12,9,14,51,68,6,24,33,3,58,60,3,5,10,42,29,68,79,221,304,0,0,0,3,9,14,27,74,107,3,15,25,38,100,141,14,0,10,53,0,55,43,0,44,28,5,41,17,0,21,160,14,175,8,0,8,27,107,137,39,0,39,10,3,12,29,3,34,9,20,29,66,5,72,186,140,331,40,18,60,6,16,19,1633,1173,2804
