STE_CODE_2016,HQ_NNI_Mng,HQ_NNI_Pro,HQ_NNI_TecTW,HQ_NNI_CoPSW,HQ_NNI_ClAW,HQ_NNI_SWks,HQ_NNI_MaOpDv,HQ_NNI_Lab,HQ_NNI_IDNS,HQ_NNI_Tot,HQ_1_149_Mng,HQ_1_149_Pro,HQ_1_149_TecTW,HQ_1_149_CoPSW,HQ_1_149_ClAW,HQ_1_149_SWks,HQ_1_149_MaOpDv,HQ_1_149_Lab,HQ_1_149_IDNS,HQ_1_149_Tot,HQ_150_299_Mng,HQ_150_299_Pro,HQ_150_299_TecTW,HQ_150_299_CoPSW,HQ_150_299_ClAW,HQ_150_299_SWks,HQ_150_299_MaOpDv,HQ_150_299_Lab,HQ_150_299_IDNS,HQ_150_299_Tot,HQ_300_399_Mng,HQ_300_399_Pro,HQ_300_399_TecTW,HQ_300_399_CoPSW,HQ_300_399_ClAW,HQ_300_399_SWks,HQ_300_399_MaOpDv,HQ_300_399_Lab,HQ_300_399_IDNS,HQ_300_399_Tot,HQ_400_499_Mng,HQ_400_499_Pro,HQ_400_499_TecTW,HQ_400_499_CoPSW,HQ_400_499_ClAW,HQ_400_499_SWks,HQ_400_499_MaOpDv,HQ_400_499_Lab,HQ_400_499_IDNS,HQ_400_499_Tot,HQ_500_649_Mng,HQ_500_649_Pro,HQ_500_649_TecTW,HQ_500_649_CoPSW,HQ_500_649_ClAW,HQ_500_649_SWks,HQ_500_649_MaOpDv,HQ_500_649_Lab,HQ_500_649_IDNS,HQ_500_649_Tot,HQ_650_799_Mng,HQ_650_799_Pro,HQ_650_799_TecTW,HQ_650_799_CoPSW,HQ_650_799_ClAW,HQ_650_799_SWks,HQ_650_799_MaOpDv,HQ_650_799_Lab,HQ_650_799_IDNS,HQ_650_799_Tot,HQ_800_999_Mng,HQ_800_999_Pro,HQ_800_999_TecTW,HQ_800_999_CoPSW,HQ_800_999_ClAW,HQ_800_999_SWks,HQ_800_999_MaOpDv,HQ_800_999_Lab,HQ_800_999_IDNS,HQ_800_999_Tot,HQ_1000_1249_Mng,HQ_1000_1249_Pro,HQ_1000_1249_TecTW,HQ_1000_1249_CoPSW,HQ_1000_1249_ClAW,HQ_1000_1249_SWks,HQ_1000_1249_MaOpDv,HQ_1000_1249_Lab,HQ_1000_1249_IDNS,HQ_1000_1249_Tot,HQ_1250_1499_Mng,HQ_1250_1499_Pro,HQ_1250_1499_TecTW,HQ_1250_1499_CoPSW,HQ_1250_1499_ClAW,HQ_1250_1499_SWks,HQ_1250_1499_MaOpDv,HQ_1250_1499_Lab,HQ_1250_1499_IDNS,HQ_1250_1499_Tot,HQ_1500_1749_Mng,HQ_1500_1749_Pro,HQ_1500_1749_TecTW,HQ_1500_1749_CoPSW,HQ_1500_1749_ClAW,HQ_1500_1749_SWks,HQ_1500_1749_MaOpDv,HQ_1500_1749_Lab,HQ_1500_1749_IDNS,HQ_1500_1749_Tot,HQ_1750_1999_Mng,HQ_1750_1999_Pro,HQ_1750_1999_TecTW,HQ_1750_1999_CoPSW,HQ_1750_1999_ClAW,HQ_1750_1999_SWks,HQ_1750_1999_MaOpDv,HQ_1750_1999_Lab,HQ_1750_1999_IDNS,HQ_1750_1999_Tot,HQ_2000_2999_Mng,HQ_2000_2999_Pro,HQ_2000_2999_TecTW,HQ_2000_2999_CoPSW,HQ_2000_2999_ClAW,HQ_2000_2999_SWks,HQ_2000_2999_MaOpDv,HQ_2000_2999_Lab,HQ_2000_2999_IDNS,HQ_2000_2999_Tot,HQ_3000mo_Mng,HQ_3000mo_Pro,HQ_3000mo_TecTW,HQ_3000mo_CoPSW,HQ_3000mo_ClAW,HQ_3000mo_SWks,HQ_3000mo_MaOpDv,HQ_3000mo_Lab,HQ_3000mo_IDNS,HQ_3000mo_Tot,HQ_PINS_Mng,HQ_PINS_Pro,HQ_PINS_TecTW,HQ_PINS_CoPSW,HQ_PINS_ClAW,HQ_PINS_SWks,HQ_PINS_MaOpDv,HQ_PINS_Lab,HQ_PINS_IDNS,HQ_PINS_Tot,HQ_Tot_Mng,HQ_Tot_Pro,HQ_Tot_TecTW,HQ_Tot_CoPSW,HQ_Tot_ClAW,HQ_Tot_SWks,HQ_Tot_MaOpDv,HQ_Tot_Lab,HQ_Tot_IDNS,HQ_Tot_Tot,CL_nfd_NNI_Mng,CL_nfd_NNI_Pro,CL_nfd_NNI_TecTW,CL_nfd_NNI_CoPSW,CL_nfd_NNI_ClAW,CL_nfd_NNI_SWks,CL_nfd_NNI_MaOpDv,CL_nfd_NNI_Lab,CL_nfd_NNI_IDNS,CL_nfd_NNI_Tot,CL_nfd_1_149_Mng,CL_nfd_1_149_Pro,CL_nfd_1_149_TecTW,CL_nfd_1_149_CoPSW,CL_nfd_1_149_ClAW,CL_nfd_1_149_SWks,CL_nfd_1_149_MaOpDv,CL_nfd_1_149_Lab,CL_nfd_1_149_IDNS,CL_nfd_1_149_Tot,CL_nfd_150_299_Mng,CL_nfd_150_299_Pro,CL_nfd_150_299_TecTW,CL_nfd_150_299_CoPSW,CL_nfd_150_299_ClAW,CL_nfd_150_299_SWks,CL_nfd_150_299_MaOpDv,CL_nfd_150_299_Lab,CL_nfd_150_299_IDNS,CL_nfd_150_299_Tot,CL_nfd_300_399_Mng,CL_nfd_300_399_Pro,CL_nfd_300_399_TecTW,CL_nfd_300_399_CoPSW,CL_nfd_300_399_ClAW,CL_nfd_300_399_SWks,CL_nfd_300_399_MaOpDv,CL_nfd_300_399_Lab,CL_nfd_300_399_IDNS,CL_nfd_300_399_Tot
1,2129,2072,401,583,960,567,140,335,486,7679,1129,4038,614,2516,1749,1510,268,1105,268,13204,2004,7390,1595,6556,4168,4450,894,2851,502,30412,2806,9300,2559,8490,5538,5586,1580,4176,577,40608,3348,11438,3335,10466,7051,6500,2093,5325,732,50282,5801,21205,5219,15480,12261,8675,2969,6036,1001,78650,8564,30562,7433,18143,17805,9564,4040,6729,1315,104158,14495,48909,11085,19563,26420,9610,4853,6386,1822,143153,21383,82623,13592,16246,32623,8259,4027,4228,2281,185265,19190,84126,9321,9184,22403,5275,2284,1940,1749,155469,22215,91039,7465,7694,16309,4265,1495,1211,1707,153399,20255,79930,5101,6160,9234,2834,886,660,1174,126249,59163,115682,7227,6925,13814,5148,1186,658,1817,211614,60706,74138,2472,1173,8663,4259,257,277,1729,153677,2218,6046,726,1342,1785,725,206,365,1585,14992,245399,668476,78145,130528,180772,77230,27179,42281,18767,1468787,152,45,40,61,115,46,18,44,35,565,98,97,73,289,220,212,34,191,21,1238,195,178,173,688,558,473,85,435,44,2845,260,231,257,960,808,639,149,556,53,3909
2,1944,1926,374,575,907,512,113,324,443,7131,1103,4101,738,2853,1673,1989,267,1184,262,14178,2017,7850,1837,7055,3963,5015,923,3162,421,32249,2861,9024,2560,8286,5004,5811,1401,4128,525,39598,3229,11167,3201,9862,6406,6196,1653,4680,509,46910,5671,20532,5006,14889,10725,7984,2602,5558,793,73761,8076,28677,7369,17169,15745,8561,3808,6061,1051,96516,13149,47481,11533,17964,23703,8248,4642,5573,1402,133688,18541,77935,13482,14029,26960,6876,3855,3726,1708,167114,16456,76413,7875,8508,18048,4290,1906,1671,1406,136570,19110,75896,5715,6115,12640,3240,1179,1011,1262,126170,17242,56724,3637,3932,6520,2211,587,556,911,92322,45164,74952,4736,3864,9379,3745,624,584,1317,144372,40132,47865,1650,811,5125,2626,152,226,1002,99582,2004,5426,719,1327,1563,747,241,355,1256,13633,196712,545979,70434,117240,148362,68042,23961,38793,14272,1223794,109,38,26,48,80,38,22,41,23,431,62,78,63,280,139,202,22,181,24,1053,126,112,169,652,287,361,58,346,27,2135,174,131,175,844,456,430,81,368,32,2711
3,1261,1203,255,344,629,315,68,272,213,4570,694,2241,433,1619,986,950,154,830,132,8040,1156,4007,896,3927,2235,2326,419,1910,226,17101,1628,5012,1315,4866,2916,2873,650,2641,303,22196,1821,6121,1636,6371,3674,3381,888,3216,305,27418,3223,11615,2690,10692,6782,4674,1263,4031,409,45384,4810,16841,4092,12963,9492,5090,1919,4262,568,60026,8145,27241,5887,12515,13674,4668,2091,3643,767,78632,11582,46449,7043,10075,16784,3880,1816,2256,920,100801,9783,48782,4882,6184,11383,2229,966,906,790,85907,11199,58710,4125,5307,8334,1971,660,613,791,91710,10151,39214,2837,3790,4531,1150,487,306,603,63066,26488,51538,4436,3545,6325,1765,884,412,810,96209,20236,30991,1796,442,2887,1241,313,161,543,58612,1005,2905,389,809,850,345,107,233,663,7316,113190,352874,42715,83457,91485,36842,12701,25692,8045,766995,101,24,35,40,72,28,23,37,25,395,66,64,46,264,84,196,26,166,22,934,124,110,117,509,259,313,60,301,24,1825,169,117,156,615,335,361,71,390,35,2242
4,355,337,64,138,163,99,24,76,75,1329,225,837,154,605,270,327,60,385,52,2909,452,1608,366,1619,776,885,188,839,80,6820,567,1858,458,1869,988,1031,280,972,99,8130,749,2509,613,2510,1253,1099,322,1094,105,10256,1211,4606,973,4248,2237,1450,446,1460,180,16801,1780,6782,1521,4791,3101,1482,593,1647,175,21879,2836,10883,2126,4928,4534,1514,853,1549,261,29467,3956,17501,2595,4149,5707,1178,683,922,322,37008,3521,17882,1809,2143,3639,758,292,358,298,30697,4192,20290,1365,1487,2769,577,182,202,285,31352,3906,15853,862,1196,1536,370,133,112,179,24155,9327,15797,1072,1910,1851,554,173,106,244,31033,5756,9238,289,233,690,290,40,48,140,16726,316,1022,126,287,232,92,29,95,160,2346,39149,126990,14404,32124,29739,11706,4294,9853,2654,270905,44,15,6,12,11,12,3,12,3,115,19,21,14,82,38,79,4,63,3,328,43,37,32,183,84,138,11,135,5,672,52,50,65,221,141,132,29,124,13,821
5,667,657,166,229,353,190,46,175,117,2602,372,1420,299,1129,585,663,113,591,70,5244,569,2540,630,2441,1308,1635,313,1402,164,10990,753,2896,710,2761,1548,1873,477,1731,153,12903,968,3538,982,3299,1940,1938,611,1937,180,15393,1618,6141,1523,5054,3428,2459,812,2192,204,23433,2238,8186,2222,5719,4309,2455,1088,2205,291,28717,3972,12414,3713,6431,6363,2324,1480,2026,372,39086,5728,21282,5137,5283,8662,1968,1505,1630,488,51673,4919,23989,3776,3034,6544,1437,985,769,468,45924,5861,27769,3083,2564,4725,1076,841,509,426,46843,5238,25015,2106,2025,2620,718,602,365,357,39044,16667,38613,4013,2576,4460,1145,1241,534,602,69856,16662,24799,2676,438,2590,874,523,326,527,49412,566,1636,263,353,472,207,73,154,368,4104,66784,200888,31302,43332,49924,20963,10718,16549,4774,445229,54,7,22,28,43,14,13,23,10,211,47,39,41,135,76,117,11,88,7,558,39,77,59,249,180,182,33,161,14,999,71,50,91,296,194,197,41,193,22,1155
6,106,79,16,28,45,16,7,20,17,329,84,204,51,173,99,43,16,89,16,764,198,446,134,407,187,167,45,188,19,1785,192,550,126,470,213,209,64,169,28,2014,240,715,191,595,358,236,52,201,31,2631,386,1349,267,1022,575,342,89,273,50,4353,464,1903,376,1058,759,321,97,271,55,5307,725,2905,524,1090,1038,313,127,214,75,7004,1015,4915,613,1008,1397,216,88,155,106,9516,979,4905,489,610,1053,146,41,72,92,8394,1040,5551,357,401,711,115,40,38,90,8338,1011,4367,210,288,375,72,29,34,53,6444,2499,3820,226,268,493,87,27,19,79,7525,1158,2162,50,37,140,65,3,12,31,3646,94,224,22,55,65,18,9,13,47,547,10193,34101,3649,7513,7506,2362,727,1773,781,68603,10,0,3,5,6,3,0,9,0,32,4,3,13,35,10,20,0,22,0,104,14,12,13,76,35,38,3,38,0,237,19,11,24,105,48,36,9,53,9,310
7,28,50,13,20,28,9,6,16,7,172,13,62,9,38,26,21,10,19,3,197,35,108,20,101,51,57,18,50,11,450,32,119,27,120,60,81,36,92,11,584,44,166,52,199,79,127,42,139,11,854,80,310,77,319,181,132,43,151,20,1320,127,421,155,451,271,219,70,203,18,1934,271,764,277,721,494,199,94,212,33,3057,495,1698,462,742,891,161,99,134,52,4732,555,2310,325,542,684,84,63,64,51,4668,628,2871,296,383,534,59,49,41,55,4914,697,2878,218,325,355,38,28,29,46,4618,1893,3555,372,656,518,55,77,73,67,7268,1281,1671,336,190,181,34,38,54,42,3825,46,161,36,33,34,13,7,10,30,376,6222,17156,2662,4832,4376,1291,671,1297,467,38957,0,0,0,0,0,0,0,7,3,19,0,4,3,4,0,13,0,4,0,30,3,15,6,22,12,8,3,16,10,82,3,10,7,19,10,9,3,12,4,74
8,78,126,14,37,49,24,6,10,23,367,34,300,35,166,109,94,12,64,14,825,80,412,63,411,210,253,34,156,22,1631,91,448,88,510,237,318,45,196,27,1955,129,571,154,594,298,320,58,278,38,2441,242,1125,237,856,553,446,72,332,62,3918,389,1495,383,1113,888,459,106,285,77,5199,841,2615,633,1402,1469,426,141,328,125,7972,1324,5651,881,1214,2814,319,112,177,261,12756,1404,7820,678,679,3253,226,88,96,302,14552,2096,9480,645,638,3130,152,64,62,411,16673,2583,7379,368,456,1679,92,20,30,280,12884,10490,13673,551,925,3092,176,30,47,775,29762,5155,6621,148,190,891,186,6,14,301,13510,163,382,40,81,125,13,3,16,97,926,25087,58105,4918,9256,18797,3508,807,2089,2808,125360,0,3,0,0,3,0,0,0,0,13,0,7,0,14,6,9,3,10,0,56,6,6,4,27,14,16,4,8,4,84,6,4,3,33,17,16,6,11,0,92
9,0,0,0,0,0,0,0,0,0,9,0,3,0,3,0,0,0,0,0,10,6,7,0,4,3,0,0,0,0,21,6,11,3,11,3,3,0,5,0,36,9,13,0,6,0,5,0,3,3,39,3,16,6,13,3,3,0,3,0,52,12,11,6,17,10,0,0,6,4,67,26,10,4,13,12,6,0,5,0,86,23,31,4,18,13,0,0,3,3,94,22,28,5,14,9,0,0,0,0,79,14,51,6,8,14,0,0,0,0,93,28,51,3,10,9,0,0,0,3,104,56,50,6,8,10,0,3,7,3,149,33,37,3,3,5,0,0,0,8,89,0,0,0,0,0,0,0,0,0,7,236,319,63,131,93,20,8,37,29,931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4
