STE_CODE_2016,CIII_IV_1000_1249_Mng,CIII_IV_1000_1249_Pro,CIII_IV_1000_1249_TecTW,CIII_IV_1000_1249_CoPSW,CIII_IV_1000_1249_ClAW,CIII_IV_1000_1249_SWks,CIII_IV_1000_1249_MaOpDv,CIII_IV_1000_1249_Lab,CIII_IV_1000_1249_IDNS,CIII_IV_1000_1249_Tot,CIII_IV_1250_1499_Mng,CIII_IV_1250_1499_Pro,CIII_IV_1250_1499_TecTW,CIII_IV_1250_1499_CoPSW,CIII_IV_1250_1499_ClAW,CIII_IV_1250_1499_SWks,CIII_IV_1250_1499_MaOpDv,CIII_IV_1250_1499_Lab,CIII_IV_1250_1499_IDNS,CIII_IV_1250_1499_Tot,CIII_IV_1500_1749_Mng,CIII_IV_1500_1749_Pro,CIII_IV_1500_1749_TecTW,CIII_IV_1500_1749_CoPSW,CIII_IV_1500_1749_ClAW,CIII_IV_1500_1749_SWks,CIII_IV_1500_1749_MaOpDv,CIII_IV_1500_1749_Lab,CIII_IV_1500_1749_IDNS,CIII_IV_1500_1749_Tot,CIII_IV_1750_1999_Mng,CIII_IV_1750_1999_Pro,CIII_IV_1750_1999_TecTW,CIII_IV_1750_1999_CoPSW,CIII_IV_1750_1999_ClAW,CIII_IV_1750_1999_SWks,CIII_IV_1750_1999_MaOpDv,CIII_IV_1750_1999_Lab,CIII_IV_1750_1999_IDNS,CIII_IV_1750_1999_Tot,CIII_IV_2000_2999_Mng,CIII_IV_2000_2999_Pro,CIII_IV_2000_2999_TecTW,CIII_IV_2000_2999_CoPSW,CIII_IV_2000_2999_ClAW,CIII_IV_2000_2999_SWks,CIII_IV_2000_2999_MaOpDv,CIII_IV_2000_2999_Lab,CIII_IV_2000_2999_IDNS,CIII_IV_2000_2999_Tot,CIII_IV_3000mo_Mng,CIII_IV_3000mo_Pro,CIII_IV_3000mo_TecTW,CIII_IV_3000mo_CoPSW,CIII_IV_3000mo_ClAW,CIII_IV_3000mo_SWks,CIII_IV_3000mo_MaOpDv,CIII_IV_3000mo_Lab,CIII_IV_3000mo_IDNS,CIII_IV_3000mo_Tot,CIII_IV_PINS_Mng,CIII_IV_PINS_Pro,CIII_IV_PINS_TecTW,CIII_IV_PINS_CoPSW,CIII_IV_PINS_ClAW,CIII_IV_PINS_SWks,CIII_IV_PINS_MaOpDv,CIII_IV_PINS_Lab,CIII_IV_PINS_IDNS,CIII_IV_PINS_Tot,CIII_IV_Tot_Mng,CIII_IV_Tot_Pro,CIII_IV_Tot_TecTW,CIII_IV_Tot_CoPSW,CIII_IV_Tot_ClAW,CIII_IV_Tot_SWks,CIII_IV_Tot_MaOpDv,CIII_IV_Tot_Lab,CIII_IV_Tot_IDNS,CIII_IV_Tot_Tot,CI_II_NNI_Mng,CI_II_NNI_Pro,CI_II_NNI_TecTW,CI_II_NNI_CoPSW,CI_II_NNI_ClAW,CI_II_NNI_SWks,CI_II_NNI_MaOpDv,CI_II_NNI_Lab,CI_II_NNI_IDNS,CI_II_NNI_Tot,CI_II_1_149_Mng,CI_II_1_149_Pro,CI_II_1_149_TecTW,CI_II_1_149_CoPSW,CI_II_1_149_ClAW,CI_II_1_149_SWks,CI_II_1_149_MaOpDv,CI_II_1_149_Lab,CI_II_1_149_IDNS,CI_II_1_149_Tot,CI_II_150_299_Mng,CI_II_150_299_Pro,CI_II_150_299_TecTW,CI_II_150_299_CoPSW,CI_II_150_299_ClAW,CI_II_150_299_SWks,CI_II_150_299_MaOpDv,CI_II_150_299_Lab,CI_II_150_299_IDNS,CI_II_150_299_Tot,CI_II_300_399_Mng,CI_II_300_399_Pro,CI_II_300_399_TecTW,CI_II_300_399_CoPSW,CI_II_300_399_ClAW,CI_II_300_399_SWks,CI_II_300_399_MaOpDv,CI_II_300_399_Lab,CI_II_300_399_IDNS,CI_II_300_399_Tot,CI_II_400_499_Mng,CI_II_400_499_Pro,CI_II_400_499_TecTW,CI_II_400_499_CoPSW,CI_II_400_499_ClAW,CI_II_400_499_SWks,CI_II_400_499_MaOpDv,CI_II_400_499_Lab,CI_II_400_499_IDNS,CI_II_400_499_Tot,CI_II_500_649_Mng,CI_II_500_649_Pro,CI_II_500_649_TecTW,CI_II_500_649_CoPSW,CI_II_500_649_ClAW,CI_II_500_649_SWks,CI_II_500_649_MaOpDv,CI_II_500_649_Lab,CI_II_500_649_IDNS,CI_II_500_649_Tot,CI_II_650_799_Mng,CI_II_650_799_Pro,CI_II_650_799_TecTW,CI_II_650_799_CoPSW,CI_II_650_799_ClAW,CI_II_650_799_SWks,CI_II_650_799_MaOpDv,CI_II_650_799_Lab,CI_II_650_799_IDNS,CI_II_650_799_Tot,CI_II_800_999_Mng,CI_II_800_999_Pro,CI_II_800_999_TecTW,CI_II_800_999_CoPSW,CI_II_800_999_ClAW,CI_II_800_999_SWks,CI_II_800_999_MaOpDv,CI_II_800_999_Lab,CI_II_800_999_IDNS,CI_II_800_999_Tot,CI_II_1000_1249_Mng,CI_II_1000_1249_Pro,CI_II_1000_1249_TecTW,CI_II_1000_1249_CoPSW,CI_II_1000_1249_ClAW,CI_II_1000_1249_SWks,CI_II_1000_1249_MaOpDv,CI_II_1000_1249_Lab,CI_II_1000_1249_IDNS,CI_II_1000_1249_Tot,CI_II_1250_1499_Mng,CI_II_1250_1499_Pro,CI_II_1250_1499_TecTW,CI_II_1250_1499_CoPSW,CI_II_1250_1499_ClAW,CI_II_1250_1499_SWks,CI_II_1250_1499_MaOpDv,CI_II_1250_1499_Lab,CI_II_1250_1499_IDNS,CI_II_1250_1499_Tot,CI_II_1500_1749_Mng,CI_II_1500_1749_Pro,CI_II_1500_1749_TecTW,CI_II_1500_1749_CoPSW,CI_II_1500_1749_ClAW,CI_II_1500_1749_SWks,CI_II_1500_1749_MaOpDv,CI_II_1500_1749_Lab,CI_II_1500_1749_IDNS,CI_II_1500_1749_Tot,CI_II_1750_1999_Mng,CI_II_1750_1999_Pro,CI_II_1750_1999_TecTW,CI_II_1750_1999_CoPSW,CI_II_1750_1999_ClAW,CI_II_1750_1999_SWks,CI_II_1750_1999_MaOpDv,CI_II_1750_1999_Lab,CI_II_1750_1999_IDNS,CI_II_1750_1999_Tot
1,10586,4829,43721,8309,13820,4687,9343,7806,1433,104530,8795,3796,29845,3962,8178,2904,6134,4149,934,68701,8311,3616,22961,2913,4927,2094,4606,2795,718,52941,5919,2508,13669,1640,2325,1226,3312,1554,478,32632,9141,3589,15746,1216,2355,1501,4790,1414,553,40307,4486,1243,3816,276,669,752,780,375,192,12588,1142,406,3836,915,826,509,781,814,1095,10322,70841,33846,227455,74873,70858,39290,49182,52316,9629,628284,90,21,21,34,71,43,13,31,7,342,60,61,51,210,149,312,28,269,17,1140,109,94,113,451,331,552,61,426,29,2175,142,117,187,540,467,610,93,534,28,2732,165,122,280,621,662,701,117,608,27,3303,286,230,384,936,1294,952,239,855,39,5217,413,223,439,926,1537,935,408,908,47,5844,588,317,490,840,1994,744,540,735,54,6297,653,338,380,555,1807,430,483,405,56,5110,405,266,236,266,994,256,265,171,36,2901,348,248,149,132,538,179,171,118,30,1912,205,143,82,50,238,81,94,51,11,965
2,8453,3520,35291,6647,9087,3505,7267,6377,986,81148,6681,3017,24245,3223,5200,2160,4251,3514,600,52897,6391,2543,18063,1702,2934,1483,2761,2325,475,38677,4324,1585,11192,969,1285,884,1609,1477,303,23621,6470,2062,12358,719,1279,1084,1960,1449,292,27669,3180,743,2976,226,375,607,421,318,164,9018,1045,300,3738,888,665,486,607,794,900,9423,55588,22438,186003,62157,48243,31469,35875,45133,6947,493852,46,11,14,29,43,33,7,27,6,215,49,49,58,221,79,334,22,265,15,1088,74,61,121,378,214,471,47,335,20,1720,77,67,159,464,296,449,74,350,14,1945,100,73,227,552,398,414,79,435,27,2294,189,123,353,760,699,594,179,636,23,3571,246,159,390,774,911,572,392,661,37,4147,409,220,399,586,1121,430,396,524,39,4124,350,235,285,378,955,287,335,304,31,3157,272,183,165,172,515,154,162,121,21,1755,240,132,85,74,283,107,73,84,14,1092,154,90,60,38,105,47,44,41,8,598
3,7679,3471,34712,6537,10841,3625,6874,6595,931,81270,6086,2981,24932,3194,6098,2144,4477,3529,612,54053,6148,2584,19044,1766,3300,1471,3531,2354,464,40655,3860,1576,12124,753,1377,759,2798,1473,299,25024,6065,2015,16750,566,1592,915,4332,1361,419,34021,3004,747,4859,161,432,491,1095,354,193,11327,772,221,2732,727,543,369,553,693,724,7335,49548,22407,179878,61227,53259,31958,38966,45577,6475,489293,42,7,20,29,40,34,9,49,15,252,32,70,75,302,116,604,32,383,21,1637,67,70,95,360,190,620,74,493,22,1993,85,63,145,404,237,521,69,434,13,1974,79,77,222,481,319,588,88,468,21,2358,186,136,361,784,655,742,174,756,29,3816,293,151,458,718,897,727,345,813,37,4436,395,193,414,544,1097,498,424,713,43,4318,355,201,252,399,943,300,329,364,24,3183,249,164,177,166,472,128,181,141,9,1685,174,107,73,85,211,80,113,62,3,908,106,82,54,41,75,43,105,46,10,552
4,2909,1368,11343,2498,3784,1279,2082,2186,333,27792,2167,1126,7252,1135,1979,645,1245,961,254,16764,1987,896,5062,749,981,423,947,556,168,11769,1193,506,2860,379,434,216,602,293,105,6589,1701,544,3342,361,387,222,695,323,111,7683,659,138,744,57,89,113,128,91,37,2047,203,67,782,246,162,104,126,193,149,2037,16969,7497,55830,22610,18022,10687,10512,14560,2139,158824,19,0,7,14,19,10,0,15,3,99,6,17,18,64,39,162,4,131,3,443,23,31,40,149,70,247,19,200,15,802,43,23,50,146,125,219,37,196,13,867,48,29,89,192,171,245,42,238,9,1055,81,43,140,300,296,336,71,312,11,1599,148,67,170,282,382,304,121,365,16,1855,162,67,146,238,465,184,173,240,17,1698,187,81,120,146,405,115,118,137,19,1330,108,71,69,63,191,57,69,60,4,695,93,61,36,42,75,30,37,29,5,407,37,31,16,36,19,18,25,13,4,203
5,2883,1553,16689,3228,4558,1506,3106,2938,483,36943,2631,1447,14040,1689,2975,925,2284,1881,404,28277,2808,1446,12539,1455,1846,689,2350,1311,409,24841,2117,1081,9212,899,1028,410,2188,962,317,18217,3971,1726,18254,841,1224,498,4646,1635,520,33308,2651,906,10191,120,568,227,1631,897,308,17496,323,131,1647,333,238,127,307,275,424,3804,22970,11554,108851,29014,23383,12996,21809,20667,4068,255312,24,6,16,18,22,33,0,15,9,139,26,39,38,168,52,350,22,182,11,889,33,34,42,219,92,348,29,247,8,1074,38,24,84,225,128,266,31,233,12,1062,54,39,108,242,211,307,31,225,5,1223,102,50,163,400,326,351,56,294,19,1770,130,58,195,314,470,331,127,332,24,1986,190,87,213,324,557,233,179,311,10,2099,201,106,209,262,602,145,184,241,16,1965,142,90,115,117,340,78,106,109,14,1116,113,83,87,102,205,53,92,83,19,826,74,47,52,51,82,31,108,65,6,517
6,1107,390,3848,783,1261,391,676,587,127,9177,807,325,2258,371,587,167,384,275,83,5254,668,299,1478,223,303,96,341,179,57,3641,377,135,828,136,110,34,193,102,34,1946,470,129,718,73,115,50,118,93,36,1784,185,36,139,11,22,15,26,26,5,465,85,17,229,84,43,39,39,57,67,652,6218,2166,18175,7667,5771,3171,3378,4444,754,51749,12,3,0,0,3,3,0,4,0,27,4,3,10,34,19,33,0,37,0,140,10,3,15,45,27,83,10,79,6,275,14,8,26,81,40,73,10,99,4,354,16,7,33,91,58,100,15,113,5,437,27,17,55,115,90,128,17,122,4,566,30,8,54,123,137,129,37,105,5,634,52,25,37,75,144,85,40,97,3,548,37,25,38,49,132,33,25,41,0,385,24,10,9,18,40,12,10,18,4,151,12,7,6,12,26,6,15,10,4,95,7,9,9,11,3,0,10,8,0,52
7,349,258,1438,542,723,150,295,271,79,4101,360,220,1448,420,480,94,223,193,59,3495,397,218,1406,309,347,73,194,117,57,3119,321,151,1028,195,159,38,174,122,44,2235,508,178,2379,167,171,27,440,331,57,4254,260,97,1949,36,83,21,166,194,44,2844,35,25,175,34,34,14,31,31,47,431,2657,1568,11558,3154,2969,1021,1936,2136,538,27541,4,0,0,0,3,0,0,5,0,15,0,6,4,16,3,37,0,14,5,90,3,12,8,20,9,22,0,18,9,98,3,22,4,25,11,14,0,11,3,90,9,12,8,23,13,12,6,12,3,100,9,22,18,45,22,23,9,33,4,191,12,14,28,62,43,25,12,46,10,247,24,10,26,50,87,27,20,39,6,281,18,16,26,53,100,16,21,23,4,282,29,19,19,31,53,13,15,13,0,181,23,25,15,20,19,3,6,0,0,104,9,5,4,6,9,4,11,6,0,55
8,490,316,2037,572,1087,201,256,304,98,5367,442,478,1564,330,1055,127,215,167,102,4474,519,518,1305,245,743,93,132,107,83,3744,388,290,669,147,288,61,57,57,53,2010,760,437,656,183,327,70,30,49,78,2583,200,149,163,22,47,52,7,9,11,664,38,21,115,39,40,9,16,16,45,333,3563,2655,9877,4253,5096,1600,1163,1672,644,30533,0,0,0,4,4,0,0,0,0,8,3,9,3,28,3,30,4,18,0,103,0,0,5,39,10,42,6,17,0,128,3,5,7,38,17,32,3,13,0,113,5,6,9,44,29,26,3,25,0,145,14,7,19,50,45,44,3,41,5,233,25,17,22,56,52,33,11,33,3,256,39,13,32,55,74,43,8,20,3,289,39,22,22,43,136,20,8,23,6,325,24,49,18,33,112,12,14,7,3,266,15,31,11,13,50,3,7,3,6,141,11,16,5,10,21,0,4,0,0,77
9,11,7,37,9,6,0,4,9,0,81,10,0,19,13,14,3,6,0,0,57,7,5,22,12,8,0,4,6,0,59,5,0,20,9,3,0,3,3,0,41,17,5,40,6,3,0,0,0,3,76,3,0,14,3,0,0,4,0,0,29,3,0,6,3,0,0,0,0,0,11,93,37,261,96,51,13,38,50,13,651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,3,0,0,0,3,3,3,0,0,0,14,0,0,3,4,0,0,0,0,0,7,0,0,0,0,0,0,3,0,0,11,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,0,0,0,4
