STE_CODE_2016,IE_Mng_OMEs_Nil_e,IE_Mng_OMEs_1_19_e,IE_Mng_OMEs_20more_e,IE_Mng_OMEs_NE_NS,IE_Mng_Tot,IE_Pro_OMEs_Nil_e,IE_Pro_OMEs_1_19_e,IE_Pro_OMEs_20more_e,IE_Pro_OMEs_NE_NS,IE_Pro_Tot,IE_TecTW_OMEs_Nil_e,IE_TecTW_OMEs_1_19_e,IE_TecTW_OMEs_20more_e,IE_TecTW_OMEs_NE_NS,IE_TecTW_Tot,IE_CoPSW_OMEs_Nil_e,IE_CoPSW_OMEs_1_19_e,IE_CoPSW_OMEs_20more_e,IE_CoPSW_OMEs_NE_NS,IE_CoPSW_Tot,IE_ClAW_OMEs_Nil_e,IE_ClAW_OMEs_1_19_e,IE_ClAW_OMEs_20more_e,IE_ClAW_OMEs_NE_NS,IE_ClAW_Tot,IE_SWs_OMEs_Nil_e,IE_SWs_OMEs_1_19_e,IE_SWs_OMEs_20more_e,IE_SWs_OMEs_NE_NS,IE_SWs_Tot,IE_MaOpD_OMEs_Nil_e,IE_MaOpD_OMEs_1_19_e,IE_MaOpD_OMEs_20more_e,IE_MaOpD_OMEs_NE_NS,IE_MaOpD_Tot,IE_Lab_OMEs_Nil_e,IE_Lab_OMEs_1_19_e,IE_Lab_OMEs_20more_e,IE_Lab_OMEs_NE_NS,IE_Lab_Tot,IE_IDNS_OMEs_Nil_e,IE_IDNS_OMEs_1_19_e,IE_IDNS_OMEs_20more_e,IE_IDNS_OMEs_NE_NS,IE_IDNS_Tot,IE_Tot_OMEs_Nil_e,IE_Tot_OMEs_1_19_e,IE_Tot_OMEs_20more_e,IE_Tot_OMEs_NE_NS,IE_Tot_Tot,UIE_Mng_OMEs_Nil_e,UIE_Mng_OMEs_1_19_e,UIE_Mng_OMEs_20more_e,UIE_Mng_OMEs_NE_NS,UIE_Mng_Tot,UIE_Pro_OMEs_Nil_e,UIE_Pro_OMEs_1_19_e,UIE_Pro_OMEs_20more_e,UIE_Pro_OMEs_NE_NS,UIE_Pro_Tot,UIE_TecTW_OMEs_Nil_e,UIE_TecTW_OMEs_1_19_e,UIE_TecTW_OMEs_20more_e,UIE_TecTW_OMEs_NE_NS,UIE_TecTW_Tot,UIE_CoPSW_OMEs_Nil_e,UIE_CoPSW_OMEs_1_19_e,UIE_CoPSW_OMEs_20more_e,UIE_CoPSW_OMEs_NE_NS,UIE_CoPSW_Tot,UIE_ClAW_OMEs_Nil_e,UIE_ClAW_OMEs_1_19_e,UIE_ClAW_OMEs_20more_e,UIE_ClAW_OMEs_NE_NS,UIE_ClAW_Tot,UIE_SWs_OMEs_Nil_e,UIE_SWs_OMEs_1_19_e,UIE_SWs_OMEs_20more_e,UIE_SWs_OMEs_NE_NS,UIE_SWs_Tot,UIE_MaOpD_OMEs_Nil_e,UIE_MaOpD_OMEs_1_19_e,UIE_MaOpD_OMEs_20more_e,UIE_MaOpD_OMEs_NE_NS,UIE_MaOpD_Tot,UIE_Lab_OMEs_Nil_e,UIE_Lab_OMEs_1_19_e,UIE_Lab_OMEs_20more_e,UIE_Lab_OMEs_NE_NS,UIE_Lab_Tot,UIE_IDNS_OMEs_Nil_e,UIE_IDNS_OMEs_1_19_e,UIE_IDNS_OMEs_20more_e,UIE_IDNS_OMEs_NE_NS,UIE_IDNS_Tot,UIE_Tot_OMEs_Nil_e,UIE_Tot_OMEs_1_19_e,UIE_Tot_OMEs_20more_e,UIE_Tot_OMEs_NE_NS,UIE_Tot_Tot,Tot_Mng_OMEs_Nil_e,Tot_Mng_OMEs_1_19_e,Tot_Mng_OMEs_20more_e,Tot_Mng_OMEs_NE_NS,Tot_Mng_Tot,Tot_Pro_OMEs_Nil_e,Tot_Pro_OMEs_1_19_e,Tot_Pro_OMEs_20more_e,Tot_Pro_OMEs_NE_NS,Tot_Pro_Tot,Tot_TecTW_OMEs_Nil_e,Tot_TecTW_OMEs_1_19_e,Tot_TecTW_OMEs_20more_e,Tot_TecTW_OMEs_NE_NS,Tot_TecTW_Tot,Tot_CoPSW_OMEs_Nil_e,Tot_CoPSW_OMEs_1_19_e,Tot_CoPSW_OMEs_20more_e,Tot_CoPSW_OMEs_NE_NS,Tot_CoPSW_Tot,Tot_ClAW_OMEs_Nil_e,Tot_ClAW_OMEs_1_19_e,Tot_ClAW_OMEs_20more_e,Tot_ClAW_OMEs_NE_NS,Tot_ClAW_Tot,Tot_SWs_OMEs_Nil_e,Tot_SWs_OMEs_1_19_e,Tot_SWs_OMEs_20more_e,Tot_SWs_OMEs_NE_NS,Tot_SWs_Tot,Tot_MaOpD_OMEs_Nil_e,Tot_MaOpD_OMEs_1_19_e,Tot_MaOpD_OMEs_20more_e,Tot_MaOpD_OMEs_NE_NS,Tot_MaOpD_Tot,Tot_Lab_OMEs_Nil_e,Tot_Lab_OMEs_1_19_e,Tot_Lab_OMEs_20more_e,Tot_Lab_OMEs_NE_NS,Tot_Lab_Tot,Tot_IDNS_OMEs_Nil_e,Tot_IDNS_OMEs_1_19_e,Tot_IDNS_OMEs_20more_e,Tot_IDNS_OMEs_NE_NS,Tot_IDNS_Tot,Tot_Tot_OMEs_Nil_e,Tot_Tot_OMEs_1_19_e,Tot_Tot_OMEs_20more_e,Tot_Tot_OMEs_NE_NS,Tot_Tot_Tot
1,15931,49429,9550,654,75555,22628,27417,2795,391,53237,15481,20825,809,420,37541,2903,3048,320,61,6329,7836,13844,1282,306,23272,5263,8550,863,161,14840,5496,3674,239,137,9552,4698,5034,396,130,10255,1951,1980,263,151,4347,82194,133811,16517,2411,234929,25436,17764,594,836,44624,48498,11672,2096,519,62791,50046,13943,100,956,65039,18722,2396,121,220,21460,10302,3232,167,173,13876,7850,2453,94,134,10528,13361,1636,55,217,15268,23918,4021,87,433,28449,3322,719,56,132,4232,201452,57829,3356,3633,266267,41363,67190,10138,1487,120186,71131,39091,4888,913,116022,65526,34774,907,1377,102577,21626,5445,441,286,27789,18137,17081,1449,485,37144,13111,10997,957,293,25368,18857,5310,293,357,24819,28609,9047,483,559,38705,5281,2697,312,288,8579,283637,191639,19875,6049,501196
2,15141,42180,8801,707,66830,17620,20153,2475,270,40518,13760,18357,718,418,33257,2377,2343,277,65,5060,6477,11105,1234,239,19056,4014,6233,891,138,11272,5364,2815,176,122,8479,4031,3983,320,140,8469,1587,1444,216,117,3367,70373,108613,15104,2212,196300,20330,12307,515,658,33813,38972,8100,1532,400,49005,42764,10706,97,811,54380,14961,1673,90,192,16914,7789,1904,97,142,9934,5807,1570,84,98,7554,8145,998,41,165,9352,17329,2709,46,356,20431,2626,496,42,119,3282,158721,40459,2544,2936,204656,35468,54494,9316,1361,100638,56593,28244,4009,674,89522,56525,29066,813,1227,87637,17339,4014,365,256,21968,14268,13004,1337,383,28986,9819,7809,974,235,18827,13513,3819,209,287,17823,21359,6690,360,495,28900,4213,1945,258,234,6650,229091,149070,17645,5148,400959
3,9500,29680,6174,391,45752,11790,14421,1745,141,28100,9466,12094,491,214,22266,1642,1476,219,30,3378,5567,10022,1065,200,16852,4017,5260,549,77,9899,3229,2146,120,87,5577,2857,2800,262,87,6006,1068,1140,171,83,2464,49133,79033,10790,1318,140279,15336,10568,452,476,26819,24156,5594,912,263,30922,32101,8843,67,503,41506,12660,1275,75,171,14177,7461,2663,93,112,10328,5776,1534,75,95,7477,7060,1212,36,125,8443,17764,2956,43,296,21061,1954,409,32,91,2483,124259,35047,1781,2128,163219,24838,40246,6622,866,72571,35941,20014,2660,407,59020,41568,20938,555,717,63774,14304,2753,292,205,17548,13025,12684,1155,316,27185,9789,6787,623,171,17374,10288,3358,157,212,14019,20622,5758,304,384,27067,3023,1543,203,171,4941,173390,114084,12574,3447,303496
4,3138,9622,2047,164,14975,3039,4047,637,54,7776,2620,3354,159,80,6217,389,436,59,14,894,1263,2589,318,69,4239,883,1437,183,28,2534,815,622,62,27,1521,972,904,97,41,2017,264,243,46,15,572,13389,23256,3605,495,40741,7234,5455,153,251,13090,9085,2515,456,98,12149,13861,3333,33,262,17489,3768,436,25,58,4286,2793,972,35,67,3867,1815,591,23,46,2466,2357,404,18,51,2828,6603,1091,32,115,7835,732,161,6,33,926,48239,14953,768,976,64939,10370,15081,2198,411,28067,12121,6557,1092,149,19927,16486,6686,191,343,23704,4154,875,81,66,5183,4058,3559,356,133,8109,2696,2030,204,71,4997,3166,1023,76,82,4345,7571,1995,131,152,9851,999,406,51,51,1503,61631,38214,4373,1464,105681
5,4508,15391,3422,195,23521,5858,7055,879,72,13864,4651,6144,300,115,11205,633,677,87,8,1401,2605,4846,537,65,8048,1289,2265,330,41,3928,1728,955,105,47,2829,1462,1425,126,40,3056,512,571,97,47,1228,23242,39329,5889,629,69091,7175,6745,329,233,14479,13621,3356,574,129,17676,19785,5767,60,293,25908,5565,702,43,76,6386,4412,1597,71,69,6150,2347,824,48,33,3257,4948,606,26,72,5655,9035,1664,34,175,10903,1083,254,20,36,1393,67964,21522,1200,1124,91805,11686,22132,3753,432,38001,19475,10411,1458,202,31542,24435,11911,355,405,37112,6194,1382,130,83,7786,7014,6444,603,135,14197,3636,3094,381,81,7189,6676,1564,124,123,8484,10497,3091,158,209,13957,1596,828,118,83,2620,91210,60845,7085,1750,160893
6,662,2765,594,54,4068,674,1105,156,14,1939,501,859,40,10,1414,79,125,18,0,227,298,821,85,27,1235,131,374,42,9,555,159,203,21,7,399,176,209,31,11,425,61,74,16,4,157,2744,6540,1004,134,10420,2388,2005,61,77,4532,2651,599,119,33,3406,4020,1116,11,69,5217,1193,185,5,20,1399,605,294,10,25,929,538,213,5,10,772,690,157,0,23,878,1434,291,12,37,1772,235,52,6,7,304,13763,4905,234,298,19207,3043,4771,656,128,8598,3321,1703,268,50,5345,4523,1973,54,82,6635,1270,308,23,20,1623,906,1117,99,49,2168,671,585,54,18,1327,852,362,22,35,1271,1609,496,38,44,2193,300,131,20,16,461,16505,11446,1237,433,29626
7,264,1157,250,13,1687,261,386,46,6,692,314,565,25,10,909,44,59,11,0,117,130,404,33,4,571,57,153,9,9,234,88,72,8,0,169,107,128,20,3,258,36,51,12,3,97,1295,2968,409,60,4736,385,311,21,25,745,747,109,19,12,892,1089,285,3,30,1404,377,58,4,8,446,218,62,4,0,280,132,36,0,4,176,208,40,0,10,255,493,118,4,11,628,74,29,3,4,105,3727,1043,62,105,4932,654,1472,271,44,2435,1012,494,64,20,1583,1406,846,24,37,2317,414,121,22,3,561,346,464,35,8,852,193,192,11,12,410,295,112,8,10,423,597,243,26,18,882,111,75,14,7,204,5020,4012,470,162,9667
8,616,1916,458,25,3019,1224,1509,235,15,2983,718,925,48,13,1699,118,137,23,0,277,273,503,57,8,836,133,211,45,7,399,140,65,11,4,225,153,167,25,0,349,103,87,8,4,206,3475,5516,914,83,9993,426,383,44,6,856,2492,386,118,15,3011,1957,494,12,24,2486,733,94,6,3,835,293,91,9,9,403,202,61,6,0,270,335,43,0,8,387,675,135,4,5,811,145,26,7,10,186,7259,1720,202,72,9251,1049,2302,498,32,3876,3718,1893,354,25,5990,2669,1424,54,34,4185,853,231,26,3,1113,566,597,67,10,1242,328,277,54,14,666,476,113,14,13,613,824,297,28,8,1160,244,113,16,16,389,10738,7236,1117,158,19245
9,4,33,3,3,50,7,10,0,0,13,5,7,0,3,15,3,3,0,0,3,0,9,0,0,8,0,5,0,0,6,0,0,0,0,0,3,3,0,0,5,3,0,0,0,3,26,68,8,3,107,37,37,0,0,78,24,7,0,0,34,41,28,0,4,74,9,6,0,0,21,3,0,0,0,10,15,3,0,0,15,5,3,0,0,11,23,8,0,0,37,7,4,0,0,11,171,101,0,9,279,40,79,3,3,125,29,16,0,0,48,51,38,0,4,91,19,11,0,0,26,3,12,0,0,14,15,8,0,0,18,10,3,0,0,7,29,12,0,0,45,4,4,0,0,9,190,175,8,13,384
