STE_CODE_2016,ClAW_150_299_A_65_74,ClAW_150_299_A_75ov,ClAW_150_299_Tot,ClAW_300_399_A_15_19,ClAW_300_399_A_20_24,ClAW_300_399_A_25_34,ClAW_300_399_A_35_44,ClAW_300_399_A_45_54,ClAW_300_399_A_55_64,ClAW_300_399_A_65_74,ClAW_300_399_A_75ov,ClAW_300_399_Tot,ClAW_400_499_A_15_19,ClAW_400_499_A_20_24,ClAW_400_499_A_25_34,ClAW_400_499_A_35_44,ClAW_400_499_A_45_54,ClAW_400_499_A_55_64,ClAW_400_499_A_65_74,ClAW_400_499_A_75ov,ClAW_400_499_Tot,ClAW_500_649_A_15_19,ClAW_500_649_A_20_24,ClAW_500_649_A_25_34,ClAW_500_649_A_35_44,ClAW_500_649_A_45_54,ClAW_500_649_A_55_64,ClAW_500_649_A_65_74,ClAW_500_649_A_75ov,ClAW_500_649_Tot,ClAW_650_799_A_15_19,ClAW_650_799_A_20_24,ClAW_650_799_A_25_34,ClAW_650_799_A_35_44,ClAW_650_799_A_45_54,ClAW_650_799_A_55_64,ClAW_650_799_A_65_74,ClAW_650_799_A_75ov,ClAW_650_799_Tot,ClAW_800_999_A_15_19,ClAW_800_999_A_20_24,ClAW_800_999_A_25_34,ClAW_800_999_A_35_44,ClAW_800_999_A_45_54,ClAW_800_999_A_55_64,ClAW_800_999_A_65_74,ClAW_800_999_A_75ov,ClAW_800_999_Tot,ClAW_1000_1249_A_15_19,ClAW_1000_1249_A_20_24,ClAW_1000_1249_A_25_34,ClAW_1000_1249_A_35_44,ClAW_1000_1249_A_45_54,ClAW_1000_1249_A_55_64,ClAW_1000_1249_A_65_74,ClAW_1000_1249_A_75ov,ClAW_1000_1249_Tot,ClAW_1250_1499_A_15_19,ClAW_1250_1499_A_20_24,ClAW_1250_1499_A_25_34,ClAW_1250_1499_A_35_44,ClAW_1250_1499_A_45_54,ClAW_1250_1499_A_55_64,ClAW_1250_1499_A_65_74,ClAW_1250_1499_A_75ov,ClAW_1250_1499_Tot,ClAW_1500_1749_A_15_19,ClAW_1500_1749_A_20_24,ClAW_1500_1749_A_25_34,ClAW_1500_1749_A_35_44,ClAW_1500_1749_A_45_54,ClAW_1500_1749_A_55_64,ClAW_1500_1749_A_65_74,ClAW_1500_1749_A_75ov,ClAW_1500_1749_Tot,ClAW_1750_1999_A_15_19,ClAW_1750_1999_A_20_24,ClAW_1750_1999_A_25_34,ClAW_1750_1999_A_35_44,ClAW_1750_1999_A_45_54,ClAW_1750_1999_A_55_64,ClAW_1750_1999_A_65_74,ClAW_1750_1999_A_75ov,ClAW_1750_1999_Tot,ClAW_2000_2999_A_15_19,ClAW_2000_2999_A_20_24,ClAW_2000_2999_A_25_34,ClAW_2000_2999_A_35_44,ClAW_2000_2999_A_45_54,ClAW_2000_2999_A_55_64,ClAW_2000_2999_A_65_74,ClAW_2000_2999_A_75ov,ClAW_2000_2999_Tot,ClAW_3000mo_A_15_19,ClAW_3000mo_A_20_24,ClAW_3000mo_A_25_34,ClAW_3000mo_A_35_44,ClAW_3000mo_A_45_54,ClAW_3000mo_A_55_64,ClAW_3000mo_A_65_74,ClAW_3000mo_A_75ov,ClAW_3000mo_Tot,ClAW_PINS_A_15_19,ClAW_PINS_A_20_24,ClAW_PINS_A_25_34,ClAW_PINS_A_35_44,ClAW_PINS_A_45_54,ClAW_PINS_A_55_64,ClAW_PINS_A_65_74,ClAW_PINS_A_75ov,ClAW_PINS_Tot,ClAW_Tot_A_15_19,ClAW_Tot_A_20_24,ClAW_Tot_A_25_34,ClAW_Tot_A_35_44,ClAW_Tot_A_45_54,ClAW_Tot_A_55_64,ClAW_Tot_A_65_74,ClAW_Tot_A_75ov,ClAW_Tot_Tot,SW_NNI_A_15_19,SW_NNI_A_20_24,SW_NNI_A_25_34,SW_NNI_A_35_44,SW_NNI_A_45_54,SW_NNI_A_55_64,SW_NNI_A_65_74,SW_NNI_A_75ov,SW_NNI_Tot,SW_1_149_A_15_19,SW_1_149_A_20_24,SW_1_149_A_25_34,SW_1_149_A_35_44,SW_1_149_A_45_54,SW_1_149_A_55_64,SW_1_149_A_65_74,SW_1_149_A_75ov,SW_1_149_Tot,SW_150_299_A_15_19,SW_150_299_A_20_24,SW_150_299_A_25_34,SW_150_299_A_35_44,SW_150_299_A_45_54,SW_150_299_A_55_64,SW_150_299_A_65_74,SW_150_299_A_75ov,SW_150_299_Tot,SW_300_399_A_15_19,SW_300_399_A_20_24,SW_300_399_A_25_34,SW_300_399_A_35_44,SW_300_399_A_45_54,SW_300_399_A_55_64,SW_300_399_A_65_74,SW_300_399_A_75ov,SW_300_399_Tot,SW_400_499_A_15_19,SW_400_499_A_20_24,SW_400_499_A_25_34,SW_400_499_A_35_44,SW_400_499_A_45_54,SW_400_499_A_55_64,SW_400_499_A_65_74,SW_400_499_A_75ov,SW_400_499_Tot,SW_500_649_A_15_19,SW_500_649_A_20_24,SW_500_649_A_25_34,SW_500_649_A_35_44,SW_500_649_A_45_54,SW_500_649_A_55_64,SW_500_649_A_65_74,SW_500_649_A_75ov,SW_500_649_Tot,SW_650_799_A_15_19,SW_650_799_A_20_24,SW_650_799_A_25_34,SW_650_799_A_35_44,SW_650_799_A_45_54,SW_650_799_A_55_64,SW_650_799_A_65_74,SW_650_799_A_75ov,SW_650_799_Tot,SW_800_999_A_15_19,SW_800_999_A_20_24,SW_800_999_A_25_34,SW_800_999_A_35_44,SW_800_999_A_45_54,SW_800_999_A_55_64,SW_800_999_A_65_74,SW_800_999_A_75ov,SW_800_999_Tot,SW_1000_1249_A_15_19,SW_1000_1249_A_20_24,SW_1000_1249_A_25_34,SW_1000_1249_A_35_44,SW_1000_1249_A_45_54,SW_1000_1249_A_55_64,SW_1000_1249_A_65_74,SW_1000_1249_A_75ov
1,819,123,13736,1142,2612,2934,3683,3227,2911,1266,159,17937,1037,2781,3887,4630,4648,3991,1604,250,22822,1191,4600,7308,8529,9174,7074,2639,321,40833,902,7203,12252,11663,12583,9081,2594,239,56522,512,7808,18804,15719,17673,12808,2691,211,76239,182,4907,20697,18378,20888,15391,2909,197,83541,53,1519,12023,12676,13930,9593,1801,123,51720,16,478,7123,9050,9545,6407,1136,99,33854,13,133,3357,4962,4898,3122,585,67,17139,7,108,3857,6842,6287,3712,748,83,21654,4,62,1190,4022,3792,2039,495,87,11697,123,494,1049,1226,1361,1029,366,56,5707,8857,36828,97795,105455,111524,80472,20145,2092,463171,1330,346,382,330,309,236,88,11,3029,30415,3544,845,678,616,540,157,19,36823,12078,8363,2944,2068,2073,1825,477,62,29889,4645,7789,4126,2806,3176,2655,735,117,26045,2807,7316,5430,3486,4008,3320,1006,118,27485,2042,7979,8064,5771,6361,4899,1416,168,36702,858,6984,9961,6539,7136,5109,1260,144,37986,330,4639,9518,6322,6514,4607,1137,119,33191,105,1954,7464,5586,5164,3610,945,112
2,564,87,11916,670,2147,2637,3094,2884,2382,947,129,14893,511,2320,3342,4055,4222,3401,1214,141,19206,557,3458,6077,7107,7772,5914,1910,228,33028,503,5268,10528,9158,10506,7460,1979,178,45574,271,6033,17009,12664,14382,9781,1994,155,62302,95,3195,17482,14196,16464,11369,2032,126,64951,9,827,9535,9796,10840,7046,1217,64,39336,18,256,5246,6700,7272,4630,747,67,24933,3,74,2183,3384,3421,2158,431,45,11703,4,55,2450,4471,4192,2571,451,57,14261,8,48,685,2252,2433,1263,352,58,7105,95,438,905,968,1277,1021,291,47,5039,5482,28089,81192,81575,88873,61647,14481,1419,362756,1275,358,312,268,291,207,72,11,2782,29462,4598,907,700,681,515,139,25,37017,10358,9547,2884,2083,2022,1611,411,63,28974,3223,8219,3924,2538,2894,2312,599,69,23772,1678,6820,4437,2904,3558,2873,832,115,23225,1217,6887,6535,4337,5262,3962,1136,121,29457,532,5747,8342,4960,5336,3761,998,105,29782,170,3655,8193,4992,5136,3472,877,81,26589,73,1415,6361,4607,4323,2759,710,58
3,458,64,8433,882,1416,1929,2119,1983,1787,696,82,10893,942,1662,2433,2954,2828,2445,966,130,14366,1233,3238,4848,5646,5653,4431,1530,155,26743,753,5557,8143,7805,8414,5838,1434,117,38067,402,5432,12432,10852,12370,8108,1455,78,51136,187,3022,12844,12363,14769,9841,1499,84,54613,50,877,7027,8311,9362,5815,878,38,32364,22,286,3549,5430,6034,3721,520,39,19604,3,83,1491,2660,2895,1673,250,21,9072,6,61,1585,3300,3565,2045,333,40,10934,9,30,451,1413,1576,866,234,44,4624,110,301,611,745,897,653,174,27,3519,7431,23913,59483,66303,72765,49557,10759,955,291171,804,152,155,208,230,216,74,11,1850,22974,1708,538,429,431,360,95,9,26543,10264,4369,1650,1293,1253,1081,308,42,20263,4338,4491,2295,1750,1877,1703,552,65,17061,2677,4673,3077,2244,2674,2204,745,74,18375,1900,5884,5006,3773,4462,3417,1165,106,25720,753,5712,6682,4786,5272,3681,1012,87,27983,264,3268,5944,4422,4858,3482,828,67,23130,71,1100,4228,3753,3842,2723,701,74
4,184,29,2870,205,411,676,775,746,758,307,39,3911,218,522,901,1085,1181,1071,402,50,5434,183,915,1668,2151,2315,1968,649,56,9896,152,1374,2672,2791,3118,2396,556,70,13130,81,1470,4247,3654,4709,3453,613,40,18269,23,706,4056,4187,5526,4202,625,35,19363,3,191,2011,2448,3100,2232,356,18,10355,0,55,941,1569,1891,1367,207,13,6038,0,18,395,743,963,667,107,9,2907,0,9,311,869,1101,653,118,12,3074,8,6,64,284,405,268,96,12,1140,21,76,169,213,276,217,64,8,1047,1502,6429,18891,21549,26120,20061,4401,394,99352,261,77,55,68,67,47,18,3,594,7661,930,234,168,173,152,40,3,9362,3367,2292,753,483,560,468,112,12,8049,1142,1994,965,675,801,618,191,21,6414,617,1839,1283,937,1168,879,253,35,7011,393,1971,1950,1431,1738,1330,370,47,9221,149,1605,2212,1504,1862,1243,272,35,8885,54,884,2073,1593,1751,1208,254,29,7856,15,309,1429,1206,1383,933,190,23
5,246,32,4500,267,597,969,1191,1038,934,376,46,5414,289,674,1300,1545,1476,1303,485,71,7146,461,1225,2286,2675,2909,2289,780,85,12719,342,2120,3338,3183,3514,2641,798,73,16016,188,2574,5422,4321,5117,3534,769,58,21987,86,1865,7363,5562,7061,5358,956,65,28316,21,665,4559,4126,5019,3560,628,29,18604,8,236,2626,2897,3425,2364,389,34,11971,5,78,1214,1645,1762,1196,197,14,6117,0,55,1500,2235,2581,1612,292,37,8301,9,27,480,1286,1467,737,188,30,4227,47,143,305,356,489,315,102,19,1769,2760,11335,32710,32609,37121,27034,6358,617,150539,458,107,99,124,108,101,46,7,1048,11990,1346,386,321,231,189,49,11,14518,4685,3104,1099,808,731,599,163,15,11205,1709,2695,1391,968,1062,915,252,41,9036,1064,2439,1617,1126,1389,1118,329,53,9130,819,2590,2296,1661,2142,1528,475,61,11573,326,2442,2671,1725,2025,1439,440,42,11114,126,1512,2670,1654,2035,1386,350,33,9762,48,675,2245,1645,1681,1238,314,32
6,52,5,831,80,101,163,221,230,245,95,11,1140,71,161,259,337,323,327,103,12,1591,82,237,490,605,683,598,200,21,2906,57,447,743,789,919,677,188,15,3827,24,410,1119,1045,1316,953,149,18,5033,8,229,1070,1173,1638,1214,145,10,5483,0,52,511,735,986,648,85,3,3019,0,6,227,380,581,413,45,4,1664,0,0,82,200,257,161,19,0,720,0,3,76,207,301,182,38,5,811,0,3,16,50,79,69,27,3,243,7,18,45,50,66,53,13,0,265,530,1802,5000,6043,7615,5798,1192,118,28099,97,16,15,17,20,28,3,0,187,2563,184,54,40,36,45,8,0,2925,993,465,205,184,161,176,45,5,2230,339,466,303,235,259,230,55,6,1903,233,480,359,305,365,306,76,19,2131,172,581,587,490,596,391,134,15,2967,53,587,673,601,630,407,87,5,3037,20,281,593,510,545,385,68,6,2412,9,81,337,326,400,287,50,0
7,11,4,255,24,25,67,46,37,29,23,4,261,38,39,78,84,46,61,22,0,364,40,84,192,156,118,119,39,3,752,70,188,295,246,196,136,55,10,1191,69,322,579,421,386,226,62,3,2076,45,345,926,697,743,470,108,6,3329,3,117,595,524,551,380,74,3,2238,6,49,342,412,408,270,39,0,1527,0,18,149,199,247,177,25,0,816,0,10,156,261,282,195,26,0,933,0,3,43,88,117,65,9,0,334,12,21,41,31,35,25,14,0,183,400,1275,3540,3255,3213,2218,527,31,14461,35,3,11,10,11,9,0,0,79,708,32,26,22,9,13,4,0,815,305,81,71,62,38,28,10,0,592,122,118,94,61,54,27,10,0,483,69,116,127,80,54,51,14,0,514,88,137,184,125,109,77,27,4,753,58,225,267,151,169,105,21,3,993,34,168,295,172,200,100,28,4,1006,10,83,193,150,125,103,28,0
8,29,0,682,53,199,123,130,99,105,45,15,758,51,237,171,164,136,122,64,3,948,83,318,335,317,274,239,80,17,1668,103,457,626,497,437,327,102,14,2571,101,689,1132,779,782,487,144,15,4127,49,854,2102,1349,1434,824,142,12,6769,12,461,2282,1670,1645,1039,152,5,7255,0,83,1457,1601,1704,954,141,4,5948,0,22,564,828,820,471,80,3,2788,4,17,563,1332,1576,786,111,9,4390,0,3,66,272,435,278,48,5,1110,10,32,89,74,79,47,12,0,341,705,3676,9660,9171,9545,5784,1179,109,39826,56,17,12,5,11,11,5,0,120,2209,240,44,25,18,19,4,0,2572,883,568,143,64,52,39,18,3,1768,296,542,211,91,77,62,25,4,1308,182,473,241,133,117,100,36,0,1278,163,535,382,200,169,146,57,11,1657,76,392,471,262,223,185,61,7,1677,36,354,408,290,240,173,61,9,1574,4,129,313,212,215,143,43,6
9,0,0,4,0,0,3,0,0,3,0,0,13,0,0,4,3,3,0,0,0,14,0,0,5,7,5,6,0,0,26,0,0,8,10,18,8,0,0,45,3,5,3,12,10,10,3,0,46,0,3,3,4,9,8,3,0,36,0,0,4,3,15,12,3,0,36,0,0,3,8,7,4,0,0,29,0,0,4,3,9,0,0,0,19,0,0,3,7,7,4,0,0,18,0,0,3,0,3,4,0,0,6,0,0,0,3,0,0,0,0,3,4,14,45,66,87,60,11,3,304,0,0,0,0,0,3,0,0,4,6,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,6,0,0,0,0,5,3,3,3,14,0,0,5,0,3,4,7,0,21,3,0,4,5,6,10,4,0,30,0,0,5,5,4,3,7,0,25,0,0,0,3,3,9,3,0,17,0,0,0,0,0,0,0,0
