STE_CODE_2016,FTS_None_Mng,FTS_None_Pro,FTS_None_TecTW,FTS_None_CoPSW,FTS_None_ClAW,FTS_None_SWks,FTS_None_MaOpDv,FTS_None_Lab,FTS_None_IDNS,FTS_None_Tot,FTS_1_15_Mng,FTS_1_15_Pro,FTS_1_15_TecTW,FTS_1_15_CoPSW,FTS_1_15_ClAW,FTS_1_15_SWks,FTS_1_15_MaOpDv,FTS_1_15_Lab,FTS_1_15_IDNS,FTS_1_15_Tot,FTS_16_24_Mng,FTS_16_24_Pro,FTS_16_24_TecTW,FTS_16_24_CoPSW,FTS_16_24_ClAW,FTS_16_24_SWks,FTS_16_24_MaOpDv,FTS_16_24_Lab,FTS_16_24_IDNS,FTS_16_24_Tot,FTS_25_34_Mng,FTS_25_34_Pro,FTS_25_34_TecTW,FTS_25_34_CoPSW,FTS_25_34_ClAW,FTS_25_34_SWks,FTS_25_34_MaOpDv,FTS_25_34_Lab,FTS_25_34_IDNS,FTS_25_34_Tot,FTS_35_39_Mng,FTS_35_39_Pro,FTS_35_39_TecTW,FTS_35_39_CoPSW,FTS_35_39_ClAW,FTS_35_39_SWks,FTS_35_39_MaOpDv,FTS_35_39_Lab,FTS_35_39_IDNS,FTS_35_39_Tot,FTS_40_Mng,FTS_40_Pro,FTS_40_TecTW,FTS_40_CoPSW,FTS_40_ClAW,FTS_40_SWks,FTS_40_MaOpDv,FTS_40_Lab,FTS_40_IDNS,FTS_40_Tot,FTS_41_48_Mng,FTS_41_48_Pro,FTS_41_48_TecTW,FTS_41_48_CoPSW,FTS_41_48_ClAW,FTS_41_48_SWks,FTS_41_48_MaOpDv,FTS_41_48_Lab,FTS_41_48_IDNS,FTS_41_48_Tot,FTS_49mo_Mng,FTS_49mo_Pro,FTS_49mo_TecTW,FTS_49mo_CoPSW,FTS_49mo_ClAW,FTS_49mo_SWks,FTS_49mo_MaOpDv,FTS_49mo_Lab,FTS_49mo_IDNS,FTS_49mo_Tot,FTS_NS_Mng,FTS_NS_Pro,FTS_NS_TecTW,FTS_NS_CoPSW,FTS_NS_ClAW,FTS_NS_SWks,FTS_NS_MaOpDv,FTS_NS_Lab,FTS_NS_IDNS,FTS_NS_Tot,FTS_Tot_Mng,FTS_Tot_Pro,FTS_Tot_TecTW,FTS_Tot_CoPSW,FTS_Tot_ClAW,FTS_Tot_SWks,FTS_Tot_MaOpDv,FTS_Tot_Lab,FTS_Tot_Inad_des_Tot,FTS_Tot_Tot,PTS_None_Mng,PTS_None_Pro,PTS_None_TecTW,PTS_None_CoPSW,PTS_None_ClAW,PTS_None_SWks,PTS_None_MaOpDv,PTS_None_Lab,PTS_None_IDNS,PTS_None_Tot,PTS_1_15_Mng,PTS_1_15_Pro,PTS_1_15_TecTW,PTS_1_15_CoPSW,PTS_1_15_ClAW,PTS_1_15_SWks,PTS_1_15_MaOpDv,PTS_1_15_Lab,PTS_1_15_IDNS,PTS_1_15_Tot,PTS_16_24_Mng,PTS_16_24_Pro,PTS_16_24_TecTW,PTS_16_24_CoPSW,PTS_16_24_ClAW,PTS_16_24_SWks,PTS_16_24_MaOpDv,PTS_16_24_Lab,PTS_16_24_IDNS,PTS_16_24_Tot,PTS_25_34_Mng,PTS_25_34_Pro,PTS_25_34_TecTW,PTS_25_34_CoPSW,PTS_25_34_ClAW,PTS_25_34_SWks,PTS_25_34_MaOpDv,PTS_25_34_Lab,PTS_25_34_IDNS,PTS_25_34_Tot,PTS_35_39_Mng,PTS_35_39_Pro,PTS_35_39_TecTW,PTS_35_39_CoPSW,PTS_35_39_ClAW,PTS_35_39_SWks,PTS_35_39_MaOpDv,PTS_35_39_Lab,PTS_35_39_IDNS,PTS_35_39_Tot,PTS_40_Mng,PTS_40_Pro,PTS_40_TecTW,PTS_40_CoPSW,PTS_40_ClAW,PTS_40_SWks,PTS_40_MaOpDv,PTS_40_Lab,PTS_40_IDNS,PTS_40_Tot,PTS_41_48_Mng,PTS_41_48_Pro,PTS_41_48_TecTW,PTS_41_48_CoPSW,PTS_41_48_ClAW,PTS_41_48_SWks,PTS_41_48_MaOpDv,PTS_41_48_Lab,PTS_41_48_IDNS,PTS_41_48_Tot,PTS_49mo_Mng,PTS_49mo_Pro,PTS_49mo_TecTW,PTS_49mo_CoPSW,PTS_49mo_ClAW,PTS_49mo_SWks,PTS_49mo_MaOpDv,PTS_49mo_Lab,PTS_49mo_IDNS,PTS_49mo_Tot,PTS_NS_Mng,PTS_NS_Pro,PTS_NS_TecTW,PTS_NS_CoPSW,PTS_NS_ClAW,PTS_NS_SWks,PTS_NS_MaOpDv,PTS_NS_Lab,PTS_NS_IDNS,PTS_NS_Tot,PTS_Tot_Mng,PTS_Tot_Pro,PTS_Tot_TecTW,PTS_Tot_CoPSW,PTS_Tot_ClAW,PTS_Tot_SWks,PTS_Tot_MaOpDv,PTS_Tot_Lab,PTS_Tot_Inad_des_Tot,PTS_Tot_Tot
1,113,440,241,1900,533,3358,162,1540,133,8413,1010,7742,2353,23971,6608,44470,2164,19130,885,108337,864,2233,1869,8763,3757,11956,1214,5877,392,36927,441,787,489,2983,1202,2985,246,1029,82,10252,226,571,799,745,651,526,72,233,63,3884,195,468,744,450,392,215,51,147,37,2693,92,184,382,218,131,98,20,67,10,1206,130,171,241,341,121,112,21,63,16,1218,73,319,163,911,264,1231,101,543,1371,4982,3143,12917,7288,40278,13665,64948,4050,28630,2991,177911,32,80,282,242,104,162,25,103,18,1058,98,497,433,1939,573,2246,200,1099,68,7155,193,580,784,2147,827,1985,278,1343,85,8234,238,698,1376,1645,747,1244,132,564,56,6693,441,1361,5761,1487,1517,764,145,381,93,11952,446,1248,6782,963,1053,403,115,301,84,11396,212,534,2667,376,333,180,58,131,22,4517,244,554,1733,264,208,138,49,130,30,3352,23,67,403,178,82,132,12,93,297,1293,1937,5625,20226,9245,5449,7258,1020,4139,757,55646
2,89,307,174,1497,396,2580,151,1130,97,6417,1199,5310,2276,23710,5747,46697,1600,19570,800,106918,770,1356,1642,6515,2697,9972,1165,5568,252,29943,362,425,364,1907,842,2366,167,790,68,7292,166,359,631,504,383,416,57,162,31,2704,109,339,601,269,215,127,37,98,29,1838,76,129,267,164,80,98,8,34,11,870,60,131,176,176,51,99,27,53,13,795,75,174,159,783,208,1208,66,584,1151,4414,2909,8538,6288,35529,10619,63571,3275,27992,2456,161182,24,49,226,108,60,141,15,67,18,713,106,318,357,1512,408,2071,162,931,55,5915,157,347,580,1245,552,1488,207,895,58,5532,157,425,652,967,470,776,95,355,29,3932,260,626,3905,703,763,392,84,242,58,7042,251,666,4863,402,493,196,52,171,44,7150,135,295,1584,170,177,111,24,88,4,2591,147,250,850,177,99,72,27,73,20,1712,26,23,244,119,51,123,12,66,237,901,1272,3007,13269,5412,3075,5369,681,2884,529,35491
3,89,188,196,1020,297,1581,91,821,64,4335,603,3467,2269,15380,3960,31634,1427,14099,538,73385,463,975,1059,4703,2029,6684,620,3247,138,19923,266,448,320,1936,799,2053,143,793,36,6795,136,279,584,513,426,359,37,170,25,2527,94,218,435,227,215,113,24,89,7,1423,52,91,291,121,86,74,16,53,3,790,72,98,218,143,76,69,21,58,17,765,35,104,107,472,120,721,58,371,640,2621,1800,5869,5472,24508,8008,43288,2443,19697,1478,112564,15,39,155,136,67,106,10,53,13,599,47,213,233,1120,286,1440,134,698,39,4197,96,243,332,1061,442,1071,129,613,15,4002,147,314,463,1215,476,883,84,378,32,3982,224,663,2166,979,1057,453,98,214,38,5905,190,573,2061,379,589,166,59,119,43,4175,117,292,1116,187,213,110,43,75,13,2173,118,266,823,182,128,71,44,80,14,1722,14,30,102,93,27,86,12,46,123,521,968,2622,7453,5350,3291,4387,614,2273,320,27284
4,20,67,48,464,84,608,38,356,31,1703,286,1024,509,6240,1064,11808,469,6432,166,27985,124,235,220,1559,370,2005,198,1137,28,5872,73,101,83,604,186,583,35,212,10,1886,28,82,148,128,109,89,10,51,10,661,19,58,101,54,37,27,4,31,8,330,16,17,55,41,13,20,0,14,0,186,10,10,41,51,17,18,0,14,4,157,11,22,31,143,26,259,19,152,194,859,582,1616,1236,9276,1909,15412,769,8389,452,39635,0,20,62,71,18,47,3,33,0,263,26,72,106,439,124,633,48,416,20,1876,34,66,131,324,121,388,30,184,11,1294,50,100,159,374,145,315,18,156,11,1331,60,241,946,241,303,122,19,101,9,2043,55,116,766,116,114,48,13,58,5,1294,35,68,348,51,59,34,0,14,3,612,20,46,154,36,19,18,10,22,4,332,3,11,37,25,5,39,3,24,38,180,287,743,2697,1676,912,1649,152,1004,110,9232
5,29,90,93,545,122,871,53,424,24,2241,380,1657,818,8477,1663,17300,887,8004,284,39465,257,350,473,2396,751,3431,373,1881,84,9989,108,126,140,822,243,860,61,304,23,2690,48,86,247,197,140,143,32,59,7,958,38,77,257,104,70,59,17,31,5,656,23,27,95,48,26,29,5,23,3,290,18,25,104,71,21,34,10,42,7,325,21,50,44,231,48,356,21,180,326,1279,932,2490,2266,12887,3078,23079,1457,10951,756,57896,5,22,122,55,23,66,13,44,5,358,28,128,126,710,193,984,88,519,17,2786,53,112,207,573,225,688,75,362,13,2308,44,134,293,493,185,426,50,171,14,1819,101,216,1413,341,345,189,39,96,16,2757,84,213,1650,155,214,62,38,53,19,2470,53,101,639,77,90,45,28,33,4,1068,49,102,467,84,57,21,31,48,12,866,4,9,91,56,23,60,13,26,63,342,421,1044,5012,2539,1352,2533,367,1335,177,14779
6,3,17,16,144,16,253,13,117,3,576,61,213,162,1543,286,3361,138,1553,54,7371,23,43,32,287,71,512,39,236,4,1256,12,17,19,108,23,110,3,45,0,338,7,23,38,29,15,29,0,10,0,148,7,14,25,18,10,9,0,3,0,72,6,4,25,6,4,3,0,3,0,44,3,7,5,14,0,5,0,9,0,46,3,4,7,47,4,76,5,42,58,249,122,336,330,2190,430,4358,197,2009,127,10098,0,10,22,19,3,11,0,6,0,74,4,15,25,103,27,147,13,69,4,416,3,24,31,90,35,92,3,44,0,314,10,43,40,98,28,57,0,27,4,312,24,72,389,71,62,38,8,24,0,681,20,36,354,29,34,13,10,20,3,512,15,10,151,22,15,9,3,12,0,240,7,15,68,9,6,10,0,17,0,135,4,0,13,11,3,3,0,0,6,38,86,215,1092,444,213,382,40,222,24,2720
7,3,3,0,21,11,52,3,28,3,129,11,58,55,321,75,912,15,348,18,1814,11,20,25,144,37,203,21,118,3,572,5,5,13,40,15,36,4,17,3,136,0,14,29,27,20,10,0,11,0,107,7,6,46,24,16,0,3,11,0,113,0,4,18,7,5,0,0,0,0,40,0,14,16,7,0,0,0,10,0,53,3,5,4,19,7,34,3,17,46,127,45,130,203,606,177,1247,52,550,76,3082,0,4,9,8,3,0,0,8,0,37,0,7,10,18,11,33,0,9,0,99,4,9,29,28,6,22,3,25,5,136,3,14,22,51,17,31,3,11,0,158,7,38,91,65,86,31,6,12,0,348,6,23,127,32,41,15,3,3,3,268,6,9,69,12,18,5,5,3,3,135,11,10,59,24,10,11,5,29,0,160,0,0,13,5,0,3,0,3,7,32,52,123,435,256,196,149,29,95,25,1367
8,17,30,20,238,47,212,5,98,5,678,111,644,207,2649,536,3364,144,1206,57,8909,77,133,104,855,320,791,59,295,16,2637,74,64,34,362,132,293,15,70,9,1060,59,52,51,106,83,51,0,19,8,434,155,64,41,53,40,20,6,5,5,384,68,23,18,20,23,9,3,0,3,166,453,65,21,52,24,11,0,9,6,643,17,59,12,193,34,133,10,43,74,581,1021,1142,498,4533,1239,4890,236,1748,186,15489,0,17,25,23,19,15,3,4,3,105,3,32,25,137,35,113,13,59,7,411,8,38,38,121,62,116,5,44,6,426,18,40,66,129,67,86,7,30,3,449,33,157,299,148,228,50,3,3,16,945,39,116,383,84,120,21,0,13,13,800,15,54,198,35,44,13,0,6,3,379,22,45,108,38,27,9,0,3,3,257,0,0,10,17,4,12,0,4,18,71,145,499,1149,741,604,429,30,173,70,3843
9,0,0,0,0,0,0,0,0,0,0,0,3,0,8,0,8,0,5,0,23,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,0,0,0,3,3,4,0,12,0,11,4,5,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,5,7,0,0,0,0,0,0,14
