STE_CODE_2016,ET_NS_35_39_HW_0,ET_NS_35_39_HW_1_15,ET_NS_35_39_HW_16_24,ET_NS_35_39_HW_25_34,ET_NS_35_39_HW_35_39,ET_NS_35_39_HW_40,ET_NS_35_39_HW_41_48,ET_NS_35_39_HW_49mor,ET_NS_35_39_HW_NS,ET_NS_35_39_Tot,ET_NS_40_44_HW_0,ET_NS_40_44_HW_1_15,ET_NS_40_44_HW_16_24,ET_NS_40_44_HW_25_34,ET_NS_40_44_HW_35_39,ET_NS_40_44_HW_40,ET_NS_40_44_HW_41_48,ET_NS_40_44_HW_49mor,ET_NS_40_44_HW_NS,ET_NS_40_44_Tot,ET_NS_45_49_HW_0,ET_NS_45_49_HW_1_15,ET_NS_45_49_HW_16_24,ET_NS_45_49_HW_25_34,ET_NS_45_49_HW_35_39,ET_NS_45_49_HW_40,ET_NS_45_49_HW_41_48,ET_NS_45_49_HW_49mor,ET_NS_45_49_HW_NS,ET_NS_45_49_Tot,ET_NS_50_54_HW_0,ET_NS_50_54_HW_1_15,ET_NS_50_54_HW_16_24,ET_NS_50_54_HW_25_34,ET_NS_50_54_HW_35_39,ET_NS_50_54_HW_40,ET_NS_50_54_HW_41_48,ET_NS_50_54_HW_49mor,ET_NS_50_54_HW_NS,ET_NS_50_54_Tot,ET_NS_55_59_HW_0,ET_NS_55_59_HW_1_15,ET_NS_55_59_HW_16_24,ET_NS_55_59_HW_25_34,ET_NS_55_59_HW_35_39,ET_NS_55_59_HW_40,ET_NS_55_59_HW_41_48,ET_NS_55_59_HW_49mor,ET_NS_55_59_HW_NS,ET_NS_55_59_Tot,ET_NS_60_64_HW_0,ET_NS_60_64_HW_1_15,ET_NS_60_64_HW_16_24,ET_NS_60_64_HW_25_34,ET_NS_60_64_HW_35_39,ET_NS_60_64_HW_40,ET_NS_60_64_HW_41_48,ET_NS_60_64_HW_49mor,ET_NS_60_64_HW_NS,ET_NS_60_64_Tot,ET_NS_65_69_HW_0,ET_NS_65_69_HW_1_15,ET_NS_65_69_HW_16_24,ET_NS_65_69_HW_25_34,ET_NS_65_69_HW_35_39,ET_NS_65_69_HW_40,ET_NS_65_69_HW_41_48,ET_NS_65_69_HW_49mor,ET_NS_65_69_HW_NS,ET_NS_65_69_Tot,ET_NS_70_74_HW_0,ET_NS_70_74_HW_1_15,ET_NS_70_74_HW_16_24,ET_NS_70_74_HW_25_34,ET_NS_70_74_HW_35_39,ET_NS_70_74_HW_40,ET_NS_70_74_HW_41_48,ET_NS_70_74_HW_49mor,ET_NS_70_74_HW_NS,ET_NS_70_74_Tot,ET_NS_75ov_HW_0,ET_NS_75ov_HW_1_15,ET_NS_75ov_HW_16_24,ET_NS_75ov_HW_25_34,ET_NS_75ov_HW_35_39,ET_NS_75ov_HW_40,ET_NS_75ov_HW_41_48,ET_NS_75ov_HW_49mor,ET_NS_75ov_HW_NS,ET_NS_75ov_Tot,ET_NS_Tot_HW_0,ET_NS_Tot_HW_1_15,ET_NS_Tot_HW_16_24,ET_NS_Tot_HW_25_34,ET_NS_Tot_HW_35_39,ET_NS_Tot_HW_40,ET_NS_Tot_HW_41_48,ET_NS_Tot_HW_49mor,ET_NS_Tot_HW_NS,ET_NS_Tot_Tot,Tot_15_19_HW_0,Tot_15_19_HW_1_15,Tot_15_19_HW_16_24,Tot_15_19_HW_25_34,Tot_15_19_HW_35_39,Tot_15_19_HW_40,Tot_15_19_HW_41_48,Tot_15_19_HW_49mor,Tot_15_19_HW_NS,Tot_15_19_Tot,Tot_20_24_HW_0,Tot_20_24_HW_1_15,Tot_20_24_HW_16_24,Tot_20_24_HW_25_34,Tot_20_24_HW_35_39,Tot_20_24_HW_40,Tot_20_24_HW_41_48,Tot_20_24_HW_49mor,Tot_20_24_HW_NS,Tot_20_24_Tot,Tot_25_29_HW_0,Tot_25_29_HW_1_15,Tot_25_29_HW_16_24,Tot_25_29_HW_25_34,Tot_25_29_HW_35_39,Tot_25_29_HW_40,Tot_25_29_HW_41_48,Tot_25_29_HW_49mor,Tot_25_29_HW_NS,Tot_25_29_Tot,Tot_30_34_HW_0,Tot_30_34_HW_1_15,Tot_30_34_HW_16_24,Tot_30_34_HW_25_34,Tot_30_34_HW_35_39,Tot_30_34_HW_40,Tot_30_34_HW_41_48,Tot_30_34_HW_49mor,Tot_30_34_HW_NS,Tot_30_34_Tot,Tot_35_39_HW_0,Tot_35_39_HW_1_15,Tot_35_39_HW_16_24,Tot_35_39_HW_25_34,Tot_35_39_HW_35_39,Tot_35_39_HW_40,Tot_35_39_HW_41_48,Tot_35_39_HW_49mor,Tot_35_39_HW_NS,Tot_35_39_Tot,Tot_40_44_HW_0,Tot_40_44_HW_1_15,Tot_40_44_HW_16_24,Tot_40_44_HW_25_34,Tot_40_44_HW_35_39,Tot_40_44_HW_40,Tot_40_44_HW_41_48,Tot_40_44_HW_49mor,Tot_40_44_HW_NS,Tot_40_44_Tot,Tot_45_49_HW_0,Tot_45_49_HW_1_15,Tot_45_49_HW_16_24,Tot_45_49_HW_25_34,Tot_45_49_HW_35_39,Tot_45_49_HW_40,Tot_45_49_HW_41_48,Tot_45_49_HW_49mor,Tot_45_49_HW_NS,Tot_45_49_Tot,Tot_50_54_HW_0,Tot_50_54_HW_1_15,Tot_50_54_HW_16_24,Tot_50_54_HW_25_34,Tot_50_54_HW_35_39,Tot_50_54_HW_40,Tot_50_54_HW_41_48,Tot_50_54_HW_49mor,Tot_50_54_HW_NS,Tot_50_54_Tot,Tot_55_59_HW_0,Tot_55_59_HW_1_15,Tot_55_59_HW_16_24,Tot_55_59_HW_25_34,Tot_55_59_HW_35_39,Tot_55_59_HW_40,Tot_55_59_HW_41_48,Tot_55_59_HW_49mor,Tot_55_59_HW_NS,Tot_55_59_Tot,Tot_60_64_HW_0,Tot_60_64_HW_1_15,Tot_60_64_HW_16_24,Tot_60_64_HW_25_34,Tot_60_64_HW_35_39,Tot_60_64_HW_40,Tot_60_64_HW_41_48,Tot_60_64_HW_49mor,Tot_60_64_HW_NS,Tot_60_64_Tot
1,169,221,248,266,397,472,153,401,626,2947,151,257,234,304,446,606,167,495,646,3300,145,277,258,334,509,549,217,547,631,3467,184,327,259,339,494,564,201,598,596,3579,225,304,285,294,456,466,167,518,582,3311,207,286,242,258,270,315,125,358,552,2618,139,296,215,135,136,154,51,217,423,1758,72,181,90,82,54,53,34,84,371,1027,99,133,72,64,29,58,18,85,723,1281,2034,3731,2942,3021,4225,4701,1607,4150,7800,34203,6407,82730,20188,11871,14969,12419,4280,3517,4873,161258,8447,52124,46954,34871,59539,54316,22969,22160,8731,310107,11920,24221,36424,31651,84879,89528,40687,50367,8287,377972,17435,24474,36443,33703,83124,93313,40930,60502,7663,397589,12536,25454,35415,36310,72691,83438,36688,61735,6514,370778,8395,26012,35233,41419,70203,83551,38258,68024,6122,377220,7471,24384,31924,41761,70324,76906,37295,69146,6120,365336,8701,23083,30453,40895,70957,70173,34173,64172,5740,348350,10105,23830,29278,36873,61167,57499,27999,51932,4648,303330,8162,23767,25794,25079,36404,33371,14689,29668,3361,200289
2,154,228,187,227,322,409,153,360,518,2552,118,282,213,257,373,455,185,410,466,2768,153,271,198,306,388,493,176,439,506,2928,173,231,225,305,405,484,173,455,462,2908,218,242,212,296,343,351,149,384,455,2655,210,235,193,231,249,281,88,291,416,2194,142,236,158,148,102,142,48,147,299,1407,81,148,87,56,33,44,26,87,262,830,95,116,42,40,18,31,10,65,530,956,1905,3444,2369,2562,3455,3981,1449,3294,6023,28474,4267,76013,13680,6899,8554,7240,2501,1671,3734,124565,6946,54049,39758,29092,46521,42019,17032,13744,6919,256086,9802,22969,28742,29562,74206,74963,35060,36662,6879,318853,15226,22477,28743,29727,70872,77329,35732,45666,6051,331831,11211,23197,29598,30960,58383,66188,30582,46021,5031,301155,7359,23455,30141,36049,54586,64838,31176,50491,4883,302970,6731,21860,28819,37695,56126,62575,31626,53291,4917,303647,7579,19047,25573,34830,54043,55268,27703,49176,4493,277708,8349,19381,24131,31342,45384,44232,22250,39775,3714,238559,7376,19234,19929,23505,29064,25243,12067,22322,2693,161430
3,92,152,105,157,212,230,108,270,311,1630,88,157,135,168,236,284,140,385,334,1924,118,171,126,189,231,323,132,373,356,2020,132,143,160,218,270,273,106,401,327,2030,125,191,146,206,230,232,101,363,343,1919,144,184,134,160,158,164,67,292,328,1627,94,154,72,110,78,92,36,130,251,1002,45,99,57,47,23,33,20,81,209,613,49,90,17,39,13,20,16,69,466,777,1192,2238,1453,1821,2196,2317,1001,2861,4278,19358,3925,64069,16258,11734,11975,7900,3558,3074,3306,125805,5628,30084,25413,27854,44748,32622,17662,17781,4696,206490,8553,15666,19042,24405,52694,43852,25422,33578,4445,227655,11328,16420,20410,24438,49033,45201,25264,40686,4013,236794,7847,16677,20395,25965,43815,42956,23033,41008,3649,225334,5912,16695,20865,29814,45398,47209,25092,47352,3942,242287,5813,15166,19341,30363,47042,45909,25401,49124,3783,241937,6631,13538,17579,28419,44914,40449,22984,45479,3194,223176,7122,13973,16901,24543,38025,32091,17925,36409,2678,189673,5636,13823,13588,17506,23274,19143,9968,21414,1976,126336
4,40,69,47,72,89,80,37,75,111,624,40,76,49,85,107,80,44,107,117,707,47,80,61,99,128,124,53,130,129,847,53,83,62,96,113,88,41,134,125,798,57,71,53,87,112,105,49,118,120,767,73,94,63,68,62,95,33,109,122,708,31,70,38,36,28,29,17,45,85,381,22,53,28,19,8,16,6,19,73,240,24,42,11,10,4,9,6,26,197,322,552,1040,592,777,984,846,412,912,1590,7699,1282,21904,4281,2726,2882,1754,743,479,915,36970,2214,14163,8747,9616,14049,9115,4553,3782,1449,67694,3137,6476,6540,8785,18949,13627,8232,8556,1381,75675,4300,6680,7770,9314,18363,13978,8345,10415,1312,80482,2968,6516,8021,9689,16255,12686,7587,10536,1055,75320,2178,6294,8046,11255,16860,14037,8359,12058,1067,80149,2189,6170,7834,12191,18256,14827,8802,13795,1175,85244,2628,5940,7454,11708,18370,13367,8522,13277,1041,82300,2942,6147,7241,10768,15914,11282,7036,11749,862,73936,2430,6206,6246,7194,9638,6985,4157,7349,673,50876
5,62,79,74,95,120,107,46,144,165,883,49,85,84,83,89,152,51,162,145,900,65,86,85,96,135,155,73,209,181,1081,83,88,63,99,108,162,74,200,170,1048,90,100,71,112,108,116,54,170,172,992,103,88,80,79,89,90,48,113,134,820,49,74,66,48,37,50,27,73,115,544,23,81,32,14,14,14,5,23,90,294,24,48,29,13,5,6,0,18,161,303,759,1173,851,866,1088,1301,534,1448,2003,10016,1840,31874,6617,4285,5042,4146,1468,1370,1479,58120,3316,18753,13846,11920,19888,17688,8067,9670,2546,105697,5477,9631,10893,11531,27045,27215,14470,23354,2495,132104,7271,10768,12054,12010,25455,28011,15095,27656,2377,140692,5311,10932,12027,12329,21101,24156,13018,25448,1980,126308,4025,10526,12007,14446,21182,24745,13282,26703,1983,128888,4180,9421,11426,15203,22500,24875,13769,28138,2019,131527,4534,8000,10155,14363,21685,22352,12351,25939,1745,121119,4683,8285,9550,12461,18425,17357,10068,20532,1435,102805,3787,8355,8700,9180,11633,10682,5695,11716,974,70729
6,10,15,13,11,31,25,12,22,29,169,3,21,29,18,24,38,8,39,38,224,24,25,28,29,42,29,23,44,46,291,21,35,20,35,29,49,17,38,42,293,24,32,26,29,28,35,14,49,45,287,37,31,31,21,25,20,7,20,44,238,17,26,21,10,8,13,7,11,32,142,11,11,9,3,0,9,0,7,30,76,10,16,11,3,0,0,3,10,63,113,228,355,239,228,272,306,121,285,509,2552,501,6410,1330,869,1179,793,312,185,340,11916,712,3361,2157,2557,4300,2841,1317,1109,372,18728,873,1897,1744,2333,4831,3641,1970,2003,344,19630,1188,1982,2253,2494,4506,3581,2078,2556,345,20975,857,1986,2451,2769,3977,3410,2007,2758,298,20496,728,2018,2592,3429,4624,3949,2340,3306,326,23316,786,1933,2607,3652,5286,4346,2526,3914,388,25429,959,1864,2495,3672,5410,4189,2486,3893,357,25332,1135,2150,2647,3388,4769,3591,2075,3531,345,23639,903,2181,2162,2328,2661,2079,1092,2095,234,15741
7,7,9,4,6,20,13,4,22,33,117,3,9,5,5,22,12,9,25,26,118,12,4,8,7,20,20,6,23,16,114,10,6,3,6,20,15,4,23,19,120,8,4,6,12,14,14,6,19,15,90,8,9,8,3,10,17,7,10,16,84,8,0,0,5,0,5,0,10,8,44,0,3,0,0,3,0,0,3,11,28,3,0,0,0,0,0,0,0,12,22,93,103,63,75,158,151,54,189,244,1130,158,1822,486,408,603,477,194,297,218,4657,388,571,781,891,2154,1857,1034,1598,369,9645,641,549,836,996,3084,2762,1567,3487,382,14306,796,692,828,1051,3087,2603,1472,3774,362,14669,598,607,701,1028,2721,2277,1168,3237,269,12612,468,516,640,974,2453,2309,1176,3205,240,11992,458,471,546,925,2509,2334,1258,3165,245,11912,521,407,481,767,2229,2060,1117,3052,252,10884,519,371,481,719,1940,1667,923,2400,180,9202,330,388,358,521,1288,1076,564,1450,124,6104
8,6,11,6,11,12,21,0,17,20,109,7,10,12,8,21,22,12,18,23,133,10,3,7,16,22,16,7,27,24,129,16,11,6,6,12,19,7,20,24,114,6,3,14,10,13,16,6,10,20,100,13,6,7,4,14,10,5,15,21,95,9,12,8,3,8,12,0,4,13,68,0,7,3,3,0,0,3,3,15,38,3,7,3,0,3,0,0,0,21,42,98,135,105,96,151,168,66,149,262,1230,436,6334,1359,883,828,669,289,413,388,11597,722,4092,2883,2372,4803,3544,1637,1792,565,22409,1176,1572,1760,1949,7986,6072,3142,3121,402,27170,1928,1470,2144,2533,7573,6606,3161,3595,385,29389,1352,1366,2096,2845,6543,6065,2846,3601,378,27091,814,1197,1701,2872,6049,6175,3129,4059,291,26279,691,1045,1348,2640,5917,5842,3283,4393,294,25454,854,928,1217,2108,5295,5007,2960,4017,249,22616,783,1026,1257,1616,4141,3614,2100,2915,200,17665,546,1135,1063,1214,2205,1869,1000,1554,119,10722
9,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,4,0,3,0,11,0,0,0,0,0,0,0,0,0,8,0,0,0,0,3,3,0,4,0,11,0,0,0,3,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,3,5,4,6,5,7,3,10,14,62,3,28,7,3,7,6,3,14,10,75,12,18,10,7,31,19,16,39,3,162,23,14,10,18,58,27,25,54,5,231,21,18,22,25,45,42,38,54,3,266,21,17,21,27,67,53,38,51,9,299,24,16,21,21,60,55,44,43,6,285,20,22,17,28,75,54,32,51,7,301,16,21,17,41,82,59,37,66,10,350,28,20,17,27,81,53,44,56,7,330,18,24,22,20,56,36,28,29,6,236
