STE_CODE_2016,Mng_NNI_A_15_19,Mng_NNI_A_20_24,Mng_NNI_A_25_34,Mng_NNI_A_35_44,Mng_NNI_A_45_54,Mng_NNI_A_55_64,Mng_NNI_A_65_74,Mng_NNI_A_75ov,Mng_NNI_Tot,Mng_1_149_A_15_19,Mng_1_149_A_20_24,Mng_1_149_A_25_34,Mng_1_149_A_35_44,Mng_1_149_A_45_54,Mng_1_149_A_55_64,Mng_1_149_A_65_74,Mng_1_149_A_75ov,Mng_1_149_Tot,Mng_150_299_A_15_19,Mng_150_299_A_20_24,Mng_150_299_A_25_34,Mng_150_299_A_35_44,Mng_150_299_A_45_54,Mng_150_299_A_55_64,Mng_150_299_A_65_74,Mng_150_299_A_75ov,Mng_150_299_Tot,Mng_300_399_A_15_19,Mng_300_399_A_20_24,Mng_300_399_A_25_34,Mng_300_399_A_35_44,Mng_300_399_A_45_54,Mng_300_399_A_55_64,Mng_300_399_A_65_74,Mng_300_399_A_75ov,Mng_300_399_Tot,Mng_400_499_A_15_19,Mng_400_499_A_20_24,Mng_400_499_A_25_34,Mng_400_499_A_35_44,Mng_400_499_A_45_54,Mng_400_499_A_55_64,Mng_400_499_A_65_74,Mng_400_499_A_75ov,Mng_400_499_Tot,Mng_500_649_A_15_19,Mng_500_649_A_20_24,Mng_500_649_A_25_34,Mng_500_649_A_35_44,Mng_500_649_A_45_54,Mng_500_649_A_55_64,Mng_500_649_A_65_74,Mng_500_649_A_75ov,Mng_500_649_Tot,Mng_650_799_A_15_19,Mng_650_799_A_20_24,Mng_650_799_A_25_34,Mng_650_799_A_35_44,Mng_650_799_A_45_54,Mng_650_799_A_55_64,Mng_650_799_A_65_74,Mng_650_799_A_75ov,Mng_650_799_Tot,Mng_800_999_A_15_19,Mng_800_999_A_20_24,Mng_800_999_A_25_34,Mng_800_999_A_35_44,Mng_800_999_A_45_54,Mng_800_999_A_55_64,Mng_800_999_A_65_74,Mng_800_999_A_75ov,Mng_800_999_Tot,Mng_1000_1249_A_15_19,Mng_1000_1249_A_20_24,Mng_1000_1249_A_25_34,Mng_1000_1249_A_35_44,Mng_1000_1249_A_45_54,Mng_1000_1249_A_55_64,Mng_1000_1249_A_65_74,Mng_1000_1249_A_75ov,Mng_1000_1249_Tot,Mng_1250_1499_A_15_19,Mng_1250_1499_A_20_24,Mng_1250_1499_A_25_34,Mng_1250_1499_A_35_44,Mng_1250_1499_A_45_54,Mng_1250_1499_A_55_64,Mng_1250_1499_A_65_74,Mng_1250_1499_A_75ov,Mng_1250_1499_Tot,Mng_1500_1749_A_15_19,Mng_1500_1749_A_20_24,Mng_1500_1749_A_25_34,Mng_1500_1749_A_35_44,Mng_1500_1749_A_45_54,Mng_1500_1749_A_55_64,Mng_1500_1749_A_65_74,Mng_1500_1749_A_75ov,Mng_1500_1749_Tot,Mng_1750_1999_A_15_19,Mng_1750_1999_A_20_24,Mng_1750_1999_A_25_34,Mng_1750_1999_A_35_44,Mng_1750_1999_A_45_54,Mng_1750_1999_A_55_64,Mng_1750_1999_A_65_74,Mng_1750_1999_A_75ov,Mng_1750_1999_Tot,Mng_2000_2999_A_15_19,Mng_2000_2999_A_20_24,Mng_2000_2999_A_25_34,Mng_2000_2999_A_35_44,Mng_2000_2999_A_45_54,Mng_2000_2999_A_55_64,Mng_2000_2999_A_65_74,Mng_2000_2999_A_75ov,Mng_2000_2999_Tot,Mng_3000mo_A_15_19,Mng_3000mo_A_20_24,Mng_3000mo_A_25_34,Mng_3000mo_A_35_44,Mng_3000mo_A_45_54,Mng_3000mo_A_55_64,Mng_3000mo_A_65_74,Mng_3000mo_A_75ov,Mng_3000mo_Tot,Mng_PINS_A_15_19,Mng_PINS_A_20_24,Mng_PINS_A_25_34,Mng_PINS_A_35_44,Mng_PINS_A_45_54,Mng_PINS_A_55_64,Mng_PINS_A_65_74,Mng_PINS_A_75ov,Mng_PINS_Tot,Mng_Tot_A_15_19,Mng_Tot_A_20_24,Mng_Tot_A_25_34,Mng_Tot_A_35_44,Mng_Tot_A_45_54,Mng_Tot_A_55_64,Mng_Tot_A_65_74,Mng_Tot_A_75ov,Mng_Tot_Tot,Pro_NNI_A_15_19,Pro_NNI_A_20_24,Pro_NNI_A_25_34,Pro_NNI_A_35_44,Pro_NNI_A_45_54,Pro_NNI_A_55_64,Pro_NNI_A_65_74,Pro_NNI_A_75ov,Pro_NNI_Tot,Pro_1_149_A_15_19,Pro_1_149_A_20_24,Pro_1_149_A_25_34,Pro_1_149_A_35_44,Pro_1_149_A_45_54,Pro_1_149_A_55_64,Pro_1_149_A_65_74,Pro_1_149_A_75ov,Pro_1_149_Tot,Pro_150_299_A_15_19,Pro_150_299_A_20_24,Pro_150_299_A_25_34,Pro_150_299_A_35_44,Pro_150_299_A_45_54,Pro_150_299_A_55_64,Pro_150_299_A_65_74,Pro_150_299_A_75ov,Pro_150_299_Tot,Pro_300_399_A_15_19,Pro_300_399_A_20_24,Pro_300_399_A_25_34,Pro_300_399_A_35_44,Pro_300_399_A_45_54,Pro_300_399_A_55_64,Pro_300_399_A_65_74,Pro_300_399_A_75ov,Pro_300_399_Tot,Pro_400_499_A_15_19,Pro_400_499_A_20_24,Pro_400_499_A_25_34,Pro_400_499_A_35_44,Pro_400_499_A_45_54,Pro_400_499_A_55_64,Pro_400_499_A_65_74,Pro_400_499_A_75ov,Pro_400_499_Tot,Pro_500_649_A_15_19,Pro_500_649_A_20_24,Pro_500_649_A_25_34,Pro_500_649_A_35_44,Pro_500_649_A_45_54,Pro_500_649_A_55_64,Pro_500_649_A_65_74,Pro_500_649_A_75ov,Pro_500_649_Tot,Pro_650_799_A_15_19,Pro_650_799_A_20_24
1,81,132,702,1083,1380,1253,645,141,5420,450,187,389,551,689,661,396,118,3444,306,444,738,1031,1276,1391,894,329,6414,268,593,1099,1448,1802,1892,1338,477,8920,297,826,1421,1770,2225,2281,1436,467,10720,434,1419,2883,3358,3927,3722,2174,685,18599,340,2661,5440,5068,5476,4446,1941,500,25876,249,3726,10486,8242,7929,5740,2170,516,39064,74,2945,14925,11778,10633,7555,2474,501,50882,35,1149,11007,11006,9606,6221,1851,315,41186,14,588,10090,12440,10742,6689,1585,264,42415,13,221,7103,10731,9248,5575,1264,189,34338,9,164,13983,28314,23986,13676,2365,361,82861,15,76,5919,25832,27556,13855,2965,595,76823,57,235,959,1373,1573,1140,583,287,6214,2644,15372,87151,124036,118048,76089,24079,5742,453169,113,218,615,756,602,406,127,32,2873,2197,2048,1250,1361,948,692,246,52,8793,1038,2725,2319,2323,1687,1520,625,137,12381,498,2177,2964,2899,2198,2103,988,229,14053,342,2182,3775,3376,2823,2507,1298,284,16589,359,3060,7442,6496,5157,4521,2047,396,29488,351,4724
2,76,111,617,1147,1376,1212,503,130,5165,454,257,380,613,658,621,340,111,3441,271,551,685,1082,1230,1208,804,241,6067,211,620,1109,1512,1803,1693,1067,380,8394,224,794,1375,1781,2126,1979,1236,375,9884,272,1312,2794,3173,3579,3159,1770,541,16592,203,2227,5089,4586,4831,3768,1664,423,22802,148,2987,9858,7173,7089,5045,1719,394,34411,50,1944,12660,10146,9441,6340,1859,321,42765,16,674,9098,9576,8437,5229,1441,235,34701,3,281,7821,10721,9642,5816,1312,230,35834,3,93,5428,9094,8052,4765,953,170,28557,5,98,9348,21664,19347,10715,1820,261,63263,13,65,3477,16952,19332,9578,2178,396,51992,43,210,844,1223,1526,1055,540,196,5644,1993,12236,70579,100445,98469,62196,19215,4397,369522,91,167,647,705,495,361,114,16,2582,1349,1636,1256,1345,866,648,214,38,7356,517,2073,2520,2563,1684,1358,534,64,11317,218,1619,2731,2874,1998,1733,790,142,12107,146,1539,3513,3322,2591,2207,1151,218,14688,127,2228,6785,6351,4602,3667,1708,272,25740,116,3399
3,70,78,414,796,1235,1137,550,130,4414,344,131,267,457,539,472,298,85,2589,196,269,520,753,907,980,639,199,4463,231,374,732,981,1300,1335,845,286,6082,205,489,893,1074,1419,1537,896,287,6804,285,970,1853,2126,2498,2322,1380,407,11848,286,2104,3928,3336,3489,2800,1217,272,17433,200,2810,7306,5498,5632,3939,1318,262,26959,50,1665,8852,8104,7584,5131,1500,233,33116,19,594,5767,6854,6617,4100,1039,205,25209,3,280,4894,7470,7464,4485,1024,150,25766,3,91,3143,5916,5866,3455,704,114,19287,3,81,5193,13024,13791,7319,1196,180,40785,5,38,1974,8756,10707,5737,1370,280,28877,42,127,501,748,954,805,481,197,3844,1946,10101,46230,65905,70007,45547,14454,3283,257478,50,107,375,456,359,289,89,11,1734,1055,886,684,798,574,421,149,21,4589,531,1189,1336,1428,957,873,317,40,6667,237,1026,1536,1655,1292,1175,587,86,7591,226,967,1927,1930,1556,1415,741,149,8910,243,1606,3963,3820,2867,2469,1179,179,16316,172,2614
4,15,40,134,292,406,346,174,31,1442,128,54,94,153,202,191,106,31,957,75,110,238,319,409,431,277,66,1928,69,145,247,415,565,545,338,86,2415,57,180,394,493,707,657,453,137,3069,66,338,775,931,1185,1039,628,151,5104,54,644,1397,1416,1486,1278,605,146,7030,43,799,2578,2101,2237,1722,640,146,10270,17,480,3052,2884,3049,2186,646,123,12445,7,131,1991,2391,2653,1765,478,78,9487,0,72,1495,2608,2766,1889,389,72,9287,0,18,943,2065,2213,1448,301,36,7025,0,33,1272,4023,4801,3019,530,77,13753,3,10,399,2058,3120,1977,520,106,8202,12,41,175,232,329,273,119,55,1235,542,3093,15178,22377,26132,18777,6208,1355,93652,13,27,110,112,123,73,28,0,487,304,304,260,264,213,181,62,16,1605,111,432,494,509,404,425,147,25,2540,60,316,584,590,430,475,236,35,2715,41,317,770,741,573,617,313,67,3445,50,498,1516,1393,1061,1005,475,86,6071,22,777
5,30,32,246,370,572,487,186,43,1969,158,90,167,228,229,213,132,40,1258,121,173,249,342,365,402,227,81,1961,78,195,354,454,499,487,337,99,2511,77,215,470,543,639,612,419,127,3107,99,416,938,973,1119,1061,598,180,5387,102,792,1604,1337,1442,1228,593,151,7244,66,1194,3182,2312,2289,1736,653,125,11546,40,868,4386,3370,3327,2407,781,135,15317,7,335,3196,3234,3208,2164,615,107,12868,4,171,2759,3687,3758,2513,601,90,13580,0,71,2007,3024,3092,2003,441,67,10703,4,69,3683,7968,8597,5287,925,106,26643,10,27,1802,6936,8784,4877,1060,165,23667,13,62,246,374,496,369,202,54,1828,804,4711,25294,35161,38432,25859,7780,1571,139600,23,49,232,264,189,119,27,6,913,509,443,485,541,289,236,91,15,2611,253,614,834,889,593,464,187,23,3850,93,495,880,943,672,567,273,62,3978,71,457,1050,1203,799,734,384,89,4782,83,674,1953,1963,1413,1201,645,106,8030,50,980
6,4,8,32,67,104,141,57,12,431,30,12,28,51,60,75,37,5,307,22,26,76,109,109,182,100,25,642,23,21,84,109,170,229,147,46,825,31,39,107,139,220,260,126,55,984,32,105,213,256,333,364,241,49,1597,36,214,405,431,471,423,187,33,2203,17,240,717,617,677,534,172,50,3030,4,149,782,849,891,685,192,45,3598,0,39,572,732,743,519,143,22,2773,0,14,353,705,779,495,110,9,2470,0,4,229,503,610,390,50,13,1803,0,4,262,1025,1331,845,120,16,3604,0,0,68,387,650,455,130,23,1723,12,11,42,71,78,85,46,9,352,223,885,3973,6061,7230,5678,1861,425,26340,4,12,17,22,17,28,5,0,104,55,71,56,68,57,53,20,3,384,31,89,138,147,115,125,41,4,684,12,65,144,173,135,147,80,11,768,15,56,194,224,183,202,115,20,1008,23,115,371,437,294,365,172,37,1806,10,173
7,6,4,15,14,20,26,16,3,99,13,0,3,6,7,9,5,5,50,3,7,18,22,29,28,14,0,122,8,11,25,32,14,30,8,3,130,3,18,23,37,37,27,12,3,160,3,25,72,54,63,52,27,3,298,6,46,112,111,110,98,26,0,514,16,102,276,167,191,119,40,4,929,8,105,460,318,306,224,61,8,1483,3,64,409,346,341,239,56,4,1463,0,35,334,417,452,265,48,4,1554,0,12,258,389,406,246,35,3,1349,0,10,400,857,941,638,102,3,2953,0,0,147,476,658,463,84,8,1841,0,10,25,34,53,29,18,3,169,75,456,2575,3269,3633,2488,551,60,13108,3,3,25,14,14,15,3,0,75,41,13,43,33,28,14,5,3,185,11,32,67,63,69,53,16,3,323,20,29,76,57,51,34,21,4,286,10,21,83,74,57,52,30,11,337,19,59,172,151,102,95,34,4,642,19,78
8,0,3,25,28,45,20,8,3,126,41,17,7,24,15,12,3,0,123,28,43,30,37,27,27,14,0,202,13,38,40,34,44,43,18,3,237,21,44,59,59,52,43,25,3,312,158,141,124,125,91,58,51,9,760,111,299,280,200,167,103,47,10,1217,68,455,609,404,291,158,54,5,2038,24,317,965,624,459,280,70,3,2734,10,142,816,730,552,308,67,6,2632,0,59,936,1055,859,406,83,11,3409,0,15,988,1181,954,468,62,16,3679,3,16,1787,4465,4540,1954,199,12,12982,0,4,288,1554,2531,1388,168,20,5958,3,15,55,73,74,45,10,5,282,483,1606,7009,10595,10694,5310,887,105,36690,7,21,39,62,27,14,0,0,170,193,143,91,101,53,38,9,6,646,50,187,131,131,66,57,23,3,656,26,145,152,131,84,71,46,16,668,22,149,208,156,95,97,65,8,804,33,200,462,279,187,155,114,24,1447,23,246
9,0,0,0,0,3,3,0,0,6,0,0,0,0,0,3,0,0,3,0,0,0,0,0,3,0,0,5,0,0,0,4,4,4,3,5,18,0,0,0,5,10,6,3,0,31,0,3,5,3,0,4,4,0,27,0,7,3,6,5,4,0,3,31,0,12,15,9,12,10,3,0,62,3,3,13,11,11,3,5,0,54,0,0,6,11,11,10,3,0,45,0,0,10,14,11,8,0,0,35,0,0,3,19,15,5,0,0,41,0,3,13,20,26,22,0,0,81,0,0,3,14,15,10,4,0,50,0,0,0,0,0,0,0,0,6,10,24,77,109,125,106,31,15,493,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,3,0,4,0,4,0,0,0,0,12,0,0,0,3,0,3,3,0,12,0,0,5,3,0,4,3,0,17,0,0,10,7,0,9,3,0,30,0,3
