STE_CODE_2016,M_AgFF_H_0,M_AgFF_H_1_15,M_AgFF_H_16_24,M_AgFF_H_25_34,M_AgFF_H_35_39,M_AgFF_H_40,M_AgFF_H_41_48,M_AgFF_H_49_more,M_AgFF_H_NS,M_AgFF_H_Tot,M_Min_H_0,M_Min_H_1_15,M_Min_H_16_24,M_Min_H_25_34,M_Min_H_35_39,M_Min_H_40,M_Min_H_41_48,M_Min_H_49_more,M_Min_H_NS,M_Min_H_Tot,M_Mnf_H_0,M_Mnf_H_1_15,M_Mnf_H_16_24,M_Mnf_H_25_34,M_Mnf_H_35_39,M_Mnf_H_40,M_Mnf_H_41_48,M_Mnf_H_49_more,M_Mnf_H_NS,M_Mnf_H_Tot,M_EGWWS_H_0,M_EGWWS_H_1_15,M_EGWWS_H_16_24,M_EGWWS_H_25_34,M_EGWWS_H_35_39,M_EGWWS_H_40,M_EGWWS_H_41_48,M_EGWWS_H_49_more,M_EGWWS_H_NS,M_EGWWS_H_Tot,M_Const_H_0,M_Const_H_1_15,M_Const_H_16_24,M_Const_H_25_34,M_Const_H_35_39,M_Const_H_40,M_Const_H_41_48,M_Const_H_49_more,M_Const_H_NS,M_Const_H_Tot,M_WST_H_0,M_WST_H_1_15,M_WST_H_16_24,M_WST_H_25_34,M_WST_H_35_39,M_WST_H_40,M_WST_H_41_48,M_WST_H_49_more,M_WST_H_NS,M_WST_H_Tot,M_RetT_H_0,M_RetT_H_1_15,M_RetT_H_16_24,M_RetT_H_25_34,M_RetT_H_35_39,M_RetT_H_40,M_RetT_H_41_48,M_RetT_H_49_more,M_RetT_H_NS,M_RetT_H_Tot,M_AcFd_H_0,M_AcFd_H_1_15,M_AcFd_H_16_24,M_AcFd_H_25_34,M_AcFd_H_35_39,M_AcFd_H_40,M_AcFd_H_41_48,M_AcFd_H_49_more,M_AcFd_H_NS,M_AcFd_H_Tot,M_TPW_H_0,M_TPW_H_1_15,M_TPW_H_16_24,M_TPW_H_25_34,M_TPW_H_35_39,M_TPW_H_40,M_TPW_H_41_48,M_TPW_H_49_more,M_TPW_H_NS,M_TPW_H_Tot,M_IMT_H_0,M_IMT_H_1_15,M_IMT_H_16_24,M_IMT_H_25_34,M_IMT_H_35_39,M_IMT_H_40,M_IMT_H_41_48,M_IMT_H_49_more,M_IMT_H_NS,M_IMT_H_Tot,M_FinIns_H_0,M_FinIns_H_1_15,M_FinIns_H_16_24,M_FinIns_H_25_34,M_FinIns_H_35_39,M_FinIns_H_40,M_FinIns_H_41_48,M_FinIns_H_49_more,M_FinIns_H_NS,M_FinIns_H_Tot,M_RHRE_H_0,M_RHRE_H_1_15,M_RHRE_H_16_24,M_RHRE_H_25_34,M_RHRE_H_35_39,M_RHRE_H_40,M_RHRE_H_41_48,M_RHRE_H_49_more,M_RHRE_H_NS,M_RHRE_H_Tot,M_ProSTS_H_0,M_ProSTS_H_1_15,M_ProSTS_H_16_24,M_ProSTS_H_25_34,M_ProSTS_H_35_39,M_ProSTS_H_40,M_ProSTS_H_41_48,M_ProSTS_H_49_more,M_ProSTS_H_NS,M_ProSTS_H_Tot,M_AdSup_H_0,M_AdSup_H_1_15,M_AdSup_H_16_24,M_AdSup_H_25_34,M_AdSup_H_35_39,M_AdSup_H_40,M_AdSup_H_41_48,M_AdSup_H_49_more,M_AdSup_H_NS,M_AdSup_H_Tot,M_PubAS_H_0,M_PubAS_H_1_15,M_PubAS_H_16_24,M_PubAS_H_25_34,M_PubAS_H_35_39,M_PubAS_H_40,M_PubAS_H_41_48,M_PubAS_H_49_more,M_PubAS_H_NS,M_PubAS_H_Tot,M_EdTrn_H_0,M_EdTrn_H_1_15,M_EdTrn_H_16_24,M_EdTrn_H_25_34,M_EdTrn_H_35_39,M_EdTrn_H_40,M_EdTrn_H_41_48,M_EdTrn_H_49_more,M_EdTrn_H_NS,M_EdTrn_H_Tot,M_HltHC_SA_H_0,M_HltHC_SA_H_1_15,M_HltHC_SA_H_16_24,M_HltHC_SA_H_25_34,M_HltHC_SA_H_35_39,M_HltHC_SA_H_40,M_HltHC_SA_H_41_48,M_HltHC_SA_H_49_more,M_HltHC_SA_H_NS,M_HltHC_SA_H_Tot,M_ArtsR_H_0,M_ArtsR_H_1_15,M_ArtsR_H_16_24,M_ArtsR_H_25_34,M_ArtsR_H_35_39,M_ArtsR_H_40,M_ArtsR_H_41_48,M_ArtsR_H_49_more,M_ArtsR_H_NS,M_ArtsR_H_Tot,M_OthSvs_H_0,M_OthSvs_H_1_15,M_OthSvs_H_16_24,M_OthSvs_H_25_34,M_OthSvs_H_35_39,M_OthSvs_H_40,M_OthSvs_H_41_48,M_OthSvs_H_49_more,M_OthSvs_H_NS,M_OthSvs_H_Tot,M_IDNS_H_0,M_IDNS_H_1_15,M_IDNS_H_16_24,M_IDNS_H_25_34,M_IDNS_H_35_39,M_IDNS_H_40,M_IDNS_H_41_48,M_IDNS_H_49_more,M_IDNS_H_NS,M_IDNS_H_Tot
1,1419,3149,2986,3855,5172,8776,4395,20722,931,51410,1129,363,508,684,3722,4277,5554,10035,365,26645,2692,4124,5076,6059,36609,35127,20417,27289,1327,138710,671,445,584,897,7137,7286,3228,4716,249,25202,5369,9614,13138,16479,33959,72878,30043,58843,3657,243971,1030,2226,2422,2485,14529,18426,9351,14858,494,65821,3327,21063,15534,13218,27624,23926,13132,22575,1744,142151,2703,24554,18457,11727,15401,13193,7615,16344,1680,111674,3749,6465,7772,9963,21542,25301,14375,30380,1904,121452,793,2087,1641,1868,9607,12984,5442,8979,300,43694,1681,1945,2099,3194,16455,26432,11239,21269,609,84927,512,1836,1558,1607,4117,7379,3786,8833,260,29883,2388,7503,6944,7378,22001,45660,18204,37767,1096,148941,1371,6626,6876,6183,10245,11432,4368,7408,781,55287,4080,3386,3469,4459,35375,24749,17719,15393,1096,109737,2020,12313,6332,6441,16025,15529,7754,14120,806,81346,2658,6575,8355,10615,21097,21324,7967,14381,960,93940,812,4863,2537,2794,4466,5201,2294,4364,356,27699,1248,4368,4019,4519,13548,16467,8277,14195,803,67433,2496,6539,6234,5734,16424,20571,7032,13811,19062,97890
2,1367,2725,2323,3144,4344,7098,3634,16079,785,41489,342,165,129,143,675,1179,1026,2563,71,6297,3172,4547,4992,6707,41551,39651,23320,26453,1416,151817,667,523,582,790,5905,6326,3167,4144,214,22309,4816,6675,8229,12974,30757,63927,25764,44047,2884,200076,1059,2275,2273,2497,12707,15616,8335,11626,403,56789,2841,20937,12281,11086,23461,20398,11831,18187,1443,122462,1919,22044,13163,8362,10440,9262,5824,12010,1354,84382,3066,4663,6040,8150,17587,22365,13139,22822,1552,99381,622,1726,1347,1582,7630,9276,3988,5655,269,32092,1101,1245,1479,2056,10224,18656,6998,11772,402,53934,404,1206,1019,1177,3257,4797,2774,6550,201,21381,2125,6438,5295,6714,19122,37107,15191,27608,819,120422,1093,5765,5941,5367,9107,8570,3672,5664,649,45826,3028,3057,2712,3614,19371,20186,10948,9728,663,73306,1522,10249,5273,5658,13825,13264,7472,12881,680,70819,2214,5362,6055,9624,14717,14480,7255,10518,738,70958,766,5761,2608,2793,4338,4969,2294,4242,323,28105,1016,3660,3439,3821,11535,13162,6305,9823,642,53398,2178,5486,4741,4820,14681,16853,5893,11120,14835,80610
3,952,2128,1886,2841,3769,6324,3382,18365,688,40344,2565,558,576,733,3073,4062,7179,21273,554,40585,2024,2587,2565,4399,24931,22070,15973,19454,917,94917,593,333,352,631,4038,5290,2763,4258,139,18381,4048,5921,6521,11370,22491,41908,22864,46838,2149,164113,724,1330,1143,1676,8725,9269,5970,8904,294,38037,2047,14351,8283,9458,17278,12489,8426,14953,927,88208,1490,17258,9201,8081,8590,6826,4733,10562,967,67711,2829,3439,4471,6757,14887,14940,10349,22288,1237,81197,361,957,666,928,3808,3471,1755,2920,123,14987,447,681,767,1063,5178,6439,3043,5790,136,23540,343,1317,1038,1489,2780,4021,2364,6537,187,20070,1307,4031,3138,3903,10521,19263,8836,18727,422,70140,874,4239,4036,4297,6369,5949,2880,5321,461,34423,3191,2210,2118,3261,22795,19360,11818,11421,791,76959,1341,6348,3401,5893,10169,9675,5221,9762,478,52299,1959,3768,4493,7410,14293,12683,5208,9145,563,59525,486,3073,1544,2005,3244,2944,1403,2494,196,17376,889,2899,2355,3290,9159,10015,5503,9503,481,44094,1697,3681,2956,3650,9759,10976,4386,10002,10135,57234
4,805,1316,1127,1762,2591,3934,2278,7698,341,21855,506,133,185,152,635,877,992,3799,85,7355,1034,1364,1366,2230,13339,10230,7171,6873,363,43964,228,203,168,293,1745,1846,1107,1285,60,6942,1311,2195,2196,4144,8370,13157,6433,10443,593,48839,367,673,509,749,3711,3646,2375,2828,112,14963,908,6566,3177,3883,6816,4433,3758,4810,361,34727,556,6276,2793,2729,2386,1841,1639,2917,321,21466,892,1271,1569,2301,4678,4137,3378,5939,354,24525,155,420,268,309,1675,1535,641,820,37,5863,222,249,256,441,2217,2107,1172,1578,43,8289,158,372,311,338,839,871,615,1255,45,4803,461,1610,1056,1368,4177,5634,2784,4885,145,22120,345,1777,1459,1781,2587,1877,1079,1387,143,12432,1083,858,784,1343,9269,7113,4138,3119,229,27945,544,2532,1355,1675,3959,3411,2017,3557,129,19180,807,1822,2083,3621,6405,3423,1991,3059,206,23418,151,1165,484,657,822,782,388,660,65,5172,360,1144,872,1223,3742,3554,2051,2781,146,15876,563,1245,835,1110,2927,2555,1103,2033,2942,15306
5,858,1190,1101,1327,1422,3195,1870,8572,300,19829,5098,1201,1068,829,3317,6883,8516,35106,880,62904,1304,1613,1427,1935,11819,11446,8386,9881,379,48184,434,205,185,340,2290,2337,1709,2581,85,10164,3379,3666,4244,6519,12356,25716,12213,29507,1317,98908,483,761,651,844,4090,5406,3185,4643,140,20207,1095,8284,4751,4144,7957,6716,4154,7077,470,44647,977,8965,4787,3237,3908,3413,2265,5118,468,33136,1801,2001,2236,3475,6017,7888,5635,11299,645,40987,170,642,342,434,1536,1926,830,1046,59,6985,252,399,356,582,2155,3813,1697,2738,66,12054,222,687,474,598,1281,1966,1122,2819,59,9241,1052,2305,1837,2250,6097,12214,5517,10895,247,42420,624,2340,2268,2018,2621,3222,1550,3220,203,18067,1679,1432,1251,1458,9995,10404,5829,5670,349,38069,767,3434,1796,2176,5129,5478,2832,4617,235,26461,819,2079,2255,2977,6510,5654,2566,3961,252,27083,320,1829,819,941,1643,1553,744,1221,95,9173,660,1572,1338,1620,4526,5812,3142,5631,269,24568,1310,2302,1777,1868,5111,7181,2990,6944,5297,34773
6,301,522,467,675,1068,1619,890,2704,151,8404,101,29,33,39,128,209,501,641,39,1710,350,450,477,683,2853,2593,1822,1739,94,11077,86,60,55,91,859,628,390,446,23,2640,411,572,621,1182,2560,4725,1964,2503,182,14717,103,185,145,218,907,799,486,642,29,3520,306,1698,885,958,2173,1375,1012,1390,114,9903,214,1915,770,720,795,623,478,1002,84,6597,384,444,488,571,1118,1185,907,1806,113,7014,57,102,79,117,464,364,228,224,13,1635,46,85,47,109,471,475,197,291,11,1732,40,100,81,81,220,210,152,319,5,1213,140,456,303,452,1110,1262,675,1077,38,5513,107,458,320,385,524,447,230,323,45,2846,359,264,275,581,2866,1558,955,906,72,7834,160,733,481,564,1308,1134,604,946,45,5966,246,492,611,1085,1425,1004,508,895,47,6318,65,393,197,253,402,337,161,254,21,2093,90,335,248,339,946,995,486,716,66,4229,218,360,262,349,771,817,321,583,928,4610
7,52,61,56,60,118,266,81,816,39,1534,361,47,59,40,100,234,329,2110,39,3321,64,57,52,65,396,463,300,559,20,1971,47,15,14,40,301,287,189,369,17,1277,445,241,230,398,974,1666,1052,5620,162,10795,26,26,33,46,313,281,173,351,12,1257,102,460,300,280,743,478,347,637,48,3390,73,440,378,275,568,548,292,710,65,3351,158,140,175,268,682,653,461,981,55,3585,24,37,37,25,155,145,82,97,8,600,14,16,6,11,70,102,40,126,0,392,22,40,24,31,117,117,92,215,3,667,147,119,108,142,430,669,342,2139,38,4127,47,114,115,150,247,249,147,385,27,1478,595,196,223,361,2388,2718,1615,2242,151,10495,100,182,148,218,655,587,232,489,29,2647,115,132,180,262,959,645,278,455,46,3078,37,119,71,98,252,248,99,165,17,1109,59,158,121,185,524,615,271,516,67,2501,144,152,100,145,461,522,237,797,746,3293
8,19,37,14,30,59,63,31,59,8,315,4,4,3,3,9,8,10,22,0,66,58,126,98,92,528,649,379,502,17,2449,37,21,23,32,342,320,168,198,12,1154,232,338,385,660,1491,3584,1625,2999,159,11461,36,78,57,84,371,448,255,372,9,1703,193,1495,834,818,1482,968,743,1052,93,7682,208,1985,1064,784,1028,798,473,989,122,7450,154,223,195,345,766,872,558,846,47,4015,66,128,105,131,639,708,307,357,12,2450,44,76,46,77,390,421,227,318,13,1618,25,73,54,65,247,328,200,396,9,1394,249,519,446,617,2560,4064,1754,2394,82,12696,92,361,359,302,551,569,237,371,36,2881,1427,656,762,1378,10317,9960,5406,5813,246,35966,195,1038,439,473,1774,1338,691,1301,86,7339,185,464,507,629,1462,1041,450,819,56,5614,52,426,152,176,393,270,142,246,27,1889,56,256,182,231,638,695,443,720,35,3247,93,278,174,197,539,718,276,494,824,3588
9,0,3,4,6,4,3,3,9,0,32,27,12,3,3,44,15,29,49,8,184,3,4,0,0,5,3,4,7,0,29,0,3,0,0,10,14,3,11,0,40,7,6,4,18,32,35,27,36,0,166,3,0,0,0,0,3,10,5,0,21,3,11,4,4,13,13,14,17,4,77,3,15,15,12,22,9,9,17,3,107,16,9,9,12,14,22,9,15,3,99,0,3,0,0,8,0,0,0,0,16,0,0,0,0,0,0,0,0,0,6,0,0,3,0,3,4,0,6,0,15,5,0,0,0,10,16,5,7,0,50,0,4,4,15,20,15,3,5,0,66,25,9,11,6,90,64,100,153,4,459,3,3,0,8,11,13,7,8,0,51,3,6,0,0,6,7,0,0,0,29,3,3,4,4,23,3,4,0,0,50,3,0,0,4,6,7,4,10,0,43,8,10,6,4,11,23,4,20,20,98
