STE_CODE_2016,OIDNS_2000_2999_H_0,OIDNS_2000_2999_H_1_15,OIDNS_2000_2999_H_16_24,OIDNS_2000_2999_H_25_34,OIDNS_2000_2999_H_35_39,OIDNS_2000_2999_H_40,OIDNS_2000_2999_H_41_48,OIDNS_2000_2999_H_49mo,OIDNS_2000_2999_H_NS,OIDNS_2000_2999_H_Tot,OIDNS_3000mo_H_0,OIDNS_3000mo_H_1_15,OIDNS_3000mo_H_16_24,OIDNS_3000mo_H_25_34,OIDNS_3000mo_H_35_39,OIDNS_3000mo_H_40,OIDNS_3000mo_H_41_48,OIDNS_3000mo_H_49mo,OIDNS_3000mo_H_NS,OIDNS_3000mo_H_Tot,OIDNS_PINS_H_0,OIDNS_PINS_H_1_15,OIDNS_PINS_H_16_24,OIDNS_PINS_H_25_34,OIDNS_PINS_H_35_39,OIDNS_PINS_H_40,OIDNS_PINS_H_41_48,OIDNS_PINS_H_49mo,OIDNS_PINS_H_NS,OIDNS_PINS_H_Tot,OIDNS_Tot_H_0,OIDNS_Tot_H_1_15,OIDNS_Tot_H_16_24,OIDNS_Tot_H_25_34,OIDNS_Tot_H_35_39,OIDNS_Tot_H_40,OIDNS_Tot_H_41_48,OIDNS_Tot_H_49mo,OIDNS_Tot_H_NS,OIDNS_Tot_H_Tot,Tot_NNI_H_0,Tot_NNI_H_1_15,Tot_NNI_H_16_24,Tot_NNI_H_25_34,Tot_NNI_H_35_39,Tot_NNI_H_40,Tot_NNI_H_41_48,Tot_NNI_H_49mo,Tot_NNI_H_NS,Tot_NNI_H_Tot,Tot_1_149_H_0,Tot_1_149_H_1_15,Tot_1_149_H_16_24,Tot_1_149_H_25_34,Tot_1_149_H_35_39,Tot_1_149_H_40,Tot_1_149_H_41_48,Tot_1_149_H_49mo,Tot_1_149_H_NS,Tot_1_149_H_Tot,Tot_150_299_H_0,Tot_150_299_H_1_15,Tot_150_299_H_16_24,Tot_150_299_H_25_34,Tot_150_299_H_35_39,Tot_150_299_H_40,Tot_150_299_H_41_48,Tot_150_299_H_49mo,Tot_150_299_H_NS,Tot_150_299_H_Tot,Tot_300_399_H_0,Tot_300_399_H_1_15,Tot_300_399_H_16_24,Tot_300_399_H_25_34,Tot_300_399_H_35_39,Tot_300_399_H_40,Tot_300_399_H_41_48,Tot_300_399_H_49mo,Tot_300_399_H_NS,Tot_300_399_H_Tot,Tot_400_499_H_0,Tot_400_499_H_1_15,Tot_400_499_H_16_24,Tot_400_499_H_25_34,Tot_400_499_H_35_39,Tot_400_499_H_40,Tot_400_499_H_41_48,Tot_400_499_H_49mo,Tot_400_499_H_NS,Tot_400_499_H_Tot,Tot_500_649_H_0,Tot_500_649_H_1_15,Tot_500_649_H_16_24,Tot_500_649_H_25_34,Tot_500_649_H_35_39,Tot_500_649_H_40,Tot_500_649_H_41_48,Tot_500_649_H_49mo,Tot_500_649_H_NS,Tot_500_649_H_Tot,Tot_650_799_H_0,Tot_650_799_H_1_15,Tot_650_799_H_16_24,Tot_650_799_H_25_34,Tot_650_799_H_35_39,Tot_650_799_H_40,Tot_650_799_H_41_48,Tot_650_799_H_49mo,Tot_650_799_H_NS,Tot_650_799_H_Tot,Tot_800_999_H_0,Tot_800_999_H_1_15,Tot_800_999_H_16_24,Tot_800_999_H_25_34,Tot_800_999_H_35_39,Tot_800_999_H_40,Tot_800_999_H_41_48,Tot_800_999_H_49mo,Tot_800_999_H_NS,Tot_800_999_H_Tot,Tot_1000_1249_H_0,Tot_1000_1249_H_1_15,Tot_1000_1249_H_16_24,Tot_1000_1249_H_25_34,Tot_1000_1249_H_35_39,Tot_1000_1249_H_40,Tot_1000_1249_H_41_48,Tot_1000_1249_H_49mo,Tot_1000_1249_H_NS,Tot_1000_1249_H_Tot,Tot_1250_1499_H_0,Tot_1250_1499_H_1_15,Tot_1250_1499_H_16_24,Tot_1250_1499_H_25_34,Tot_1250_1499_H_35_39,Tot_1250_1499_H_40,Tot_1250_1499_H_41_48,Tot_1250_1499_H_49mo,Tot_1250_1499_H_NS,Tot_1250_1499_H_Tot,Tot_1500_1749_H_0,Tot_1500_1749_H_1_15,Tot_1500_1749_H_16_24,Tot_1500_1749_H_25_34,Tot_1500_1749_H_35_39,Tot_1500_1749_H_40,Tot_1500_1749_H_41_48,Tot_1500_1749_H_49mo,Tot_1500_1749_H_NS,Tot_1500_1749_H_Tot,Tot_1750_1999_H_0,Tot_1750_1999_H_1_15,Tot_1750_1999_H_16_24,Tot_1750_1999_H_25_34,Tot_1750_1999_H_35_39,Tot_1750_1999_H_40,Tot_1750_1999_H_41_48,Tot_1750_1999_H_49mo,Tot_1750_1999_H_NS,Tot_1750_1999_H_Tot,Tot_2000_2999_H_0,Tot_2000_2999_H_1_15,Tot_2000_2999_H_16_24,Tot_2000_2999_H_25_34,Tot_2000_2999_H_35_39,Tot_2000_2999_H_40,Tot_2000_2999_H_41_48,Tot_2000_2999_H_49mo,Tot_2000_2999_H_NS,Tot_2000_2999_H_Tot,Tot_3000mo_H_0,Tot_3000mo_H_1_15,Tot_3000mo_H_16_24,Tot_3000mo_H_25_34,Tot_3000mo_H_35_39,Tot_3000mo_H_40,Tot_3000mo_H_41_48,Tot_3000mo_H_49mo,Tot_3000mo_H_NS,Tot_3000mo_H_Tot,Tot_PINS_H_0,Tot_PINS_H_1_15,Tot_PINS_H_16_24,Tot_PINS_H_25_34,Tot_PINS_H_35_39,Tot_PINS_H_40,Tot_PINS_H_41_48,Tot_PINS_H_49mo,Tot_PINS_H_NS,Tot_PINS_H_Tot,Tot_Tot_H_0,Tot_Tot_H_1_15,Tot_Tot_H_16_24,Tot_Tot_H_25_34,Tot_Tot_H_35_39,Tot_Tot_H_40,Tot_Tot_H_41_48,Tot_Tot_H_49mo,Tot_Tot_H_NS,Tot_Tot_H_Tot
1,101,103,87,114,432,842,406,828,397,3310,91,226,126,158,152,534,172,901,426,2790,168,271,216,195,510,668,183,389,5513,8103,2521,4566,3788,3679,9201,9549,3064,6215,19289,61874,2337,6491,2538,1748,1566,2454,748,4338,2155,24381,6476,81610,7584,2431,1182,1522,460,2023,2771,106066,5467,73453,25493,7790,2981,3161,1066,3772,3712,126895,5123,51905,46997,15450,6930,6702,2049,5753,4166,145077,5577,37505,61383,28542,13386,12278,4022,7983,4651,175329,8727,34401,65965,65593,38545,27933,8745,15784,6097,271790,9738,21435,44933,68232,93240,57463,18570,23236,6518,343367,10983,15484,32425,52727,122844,97135,36077,38177,6683,412538,12338,11865,23228,37844,118704,117688,49378,59061,5929,436033,9342,6895,12484,22313,75570,84648,40506,54112,3539,309415,8628,5245,8441,16464,57899,74726,36768,56103,2807,267076,6268,3200,4692,9191,39148,54506,28929,46886,1788,194604,9126,4403,6179,11513,47701,82073,48315,87736,2229,299283,4673,4469,4805,7628,13791,41708,26474,88407,1701,193641,1604,5198,4252,4242,7138,8590,3107,6764,11817,52696,106407,363538,351397,351700,640626,672584,305224,500132,66574,3358185
2,82,88,65,99,302,541,284,512,276,2244,95,141,85,84,116,292,125,554,282,1768,168,229,168,184,439,558,142,353,4508,6756,2159,3712,2752,3003,6590,6962,2282,4307,14994,46754,1984,5908,2116,1737,1389,2212,713,4000,1858,21918,5312,80659,6398,2148,1002,1244,462,1913,2608,101743,4999,69858,22241,6866,2438,2734,959,3270,3095,116469,4617,46440,39770,12777,5447,5254,1764,4963,3308,124336,5135,33192,50194,24709,10356,9839,3092,6602,3544,146660,7835,29842,53798,56084,31564,21775,6947,12287,4748,224883,8925,18034,36827,57476,78681,46762,15795,17898,5196,285595,9839,12558,26718,47166,103815,80629,31493,30305,5444,347978,10994,9278,18181,36027,99011,97287,43035,46305,4537,364645,8363,5219,9164,20952,62259,71212,35071,42389,2724,257355,7135,3890,5976,13789,44568,60632,31234,42743,2033,212007,4662,2282,3195,6632,25275,41320,24096,34969,1279,143699,6232,3172,4240,8269,28261,57333,36014,61520,1575,206618,3370,3329,3295,5900,9262,26910,17840,57349,1119,128378,1453,5285,3887,4277,6948,7834,2879,5654,9846,48058,90855,328949,285987,304804,510266,532976,251402,372183,52916,2730338
3,79,57,38,63,234,375,192,550,190,1776,75,93,61,80,63,194,70,408,194,1231,144,162,101,107,301,355,124,341,3258,4897,1652,2562,1751,2251,4756,4811,1839,4182,10670,34480,1484,4446,1510,1328,1003,1605,576,4139,1183,17285,3867,58413,4850,1817,758,985,370,1877,1789,74735,3420,47242,16032,5903,1954,2090,782,3253,2059,82737,3272,33219,27082,11149,4391,3846,1403,4575,2324,91251,3755,23944,36481,21731,8182,6753,2451,5815,2530,111642,5912,22134,38917,52723,26362,15678,6034,12153,3501,183423,7094,13475,25053,52118,69344,34870,14109,18066,3785,237917,7828,9325,17602,35706,87990,58316,28459,30031,3917,279176,8916,6850,12727,26289,77831,67832,37744,46836,3431,288453,6996,3831,6756,16067,46562,48047,28309,41952,2020,200540,6352,3014,4492,12562,34568,42061,24725,44107,1581,173462,4064,1623,2267,6087,19510,27515,17017,32687,1033,111809,5770,2244,2890,5954,21378,36696,25984,57848,1267,160033,2618,2173,2193,3729,5895,15893,10931,40622,790,84843,1027,3324,2403,3051,4574,4736,2075,5190,7186,33574,72375,235260,201255,256209,410308,366926,200976,349159,38400,2130860
4,16,23,10,24,84,130,64,131,33,505,22,41,12,22,15,35,18,92,68,327,53,55,33,39,92,73,27,62,860,1297,663,962,638,865,1950,1445,662,1041,3236,11456,497,1508,467,470,335,501,190,1113,354,5430,1521,21795,1635,659,302,334,145,549,576,27504,1532,19949,5672,2163,772,694,309,1106,763,32971,1469,14101,9486,3996,1568,1329,468,1416,838,34669,1622,10596,13969,8043,3115,2322,887,1997,907,43463,2555,9280,15675,19608,9140,5049,2018,3692,1194,68220,2829,5463,10421,20178,23663,10573,4709,5183,1232,84260,3352,3739,7237,15227,33222,18713,9927,8621,1251,101291,3520,2573,5138,10884,31401,22172,13089,13169,998,102953,2585,1431,2409,6198,18076,15047,9748,11560,625,67681,2234,1173,1589,4141,13608,13086,8321,11717,448,56318,1596,603,845,1783,7449,9050,6433,9925,270,37952,1732,867,986,1941,7057,10944,8274,14898,289,46988,732,792,800,1277,1810,4007,3080,10041,247,22795,389,1297,845,1094,1623,1262,622,1224,1980,10327,28154,95174,77188,97666,153155,115081,68237,96218,11961,742831
5,88,47,24,50,181,348,204,564,190,1695,77,75,51,53,76,164,118,471,148,1226,80,94,53,85,142,161,70,184,1574,2443,1032,1528,1095,1172,2507,2780,1222,2811,5188,19337,834,2649,846,735,484,849,305,1614,590,8912,2153,32208,2514,858,352,460,200,722,863,40317,1959,27939,8153,2604,896,943,338,1140,1012,44983,1881,18828,14451,4785,1819,1700,581,1611,1060,46718,2038,13459,19038,9187,3470,3118,1047,2211,1103,54664,3109,12155,21023,21414,10101,6869,2402,4487,1495,83064,3299,7816,14079,22589,24252,13871,4834,6278,1645,98665,3988,5838,10738,18678,35377,25715,10464,11339,1863,124006,4777,4668,8359,14768,39372,35813,16782,20105,1841,146490,4073,2724,4473,8659,26389,28020,14658,20650,1270,110915,4167,2273,3277,6718,19738,25342,13997,23463,1059,100032,3526,1443,1878,3698,12840,18746,11480,22011,808,76427,6560,2388,2730,4413,16651,28368,20976,49142,1348,132574,4092,2101,2014,3061,4943,14275,10817,39246,748,81294,702,1828,1308,1405,2166,2442,1100,2696,3535,17171,47166,138312,114890,123569,198855,206518,109980,206712,20244,1166240
6,10,4,3,4,19,19,24,46,11,147,10,3,3,0,3,7,3,19,20,81,15,17,14,10,31,29,3,25,268,412,225,288,252,274,670,473,185,351,1022,3746,130,389,117,131,91,137,65,332,102,1492,531,6160,470,174,70,105,36,191,207,7945,563,5664,1648,644,220,244,91,365,270,9714,517,4416,2868,1110,545,425,157,500,269,10819,641,3447,4320,2393,1027,791,309,633,311,13876,922,3112,5069,5697,2899,1867,713,1265,389,21936,1001,1773,3356,5890,7077,3636,1448,1781,399,26370,1056,1085,2326,4314,8768,6063,2815,2621,374,29413,1181,804,1584,3342,8129,6576,3559,3854,299,29339,767,425,827,1983,4972,4235,2494,3300,182,19187,690,353,492,1294,3732,3415,2416,3249,135,15772,452,177,220,532,2265,2297,1815,2455,80,10293,462,214,272,561,1783,2344,1992,3482,78,11196,194,196,193,349,425,856,596,2160,55,5029,122,381,262,305,440,385,153,353,578,2985,9226,28606,24035,28727,42458,33388,18657,26550,3723,215365
7,13,3,4,5,20,34,26,61,28,184,11,5,3,3,4,18,9,69,13,145,15,17,5,11,31,21,10,26,286,418,162,125,98,135,393,333,146,419,852,2664,74,170,63,61,58,53,31,123,78,702,136,1512,200,100,61,52,11,61,134,2270,116,1205,566,328,220,154,36,123,219,2964,100,791,783,385,265,169,57,120,113,2787,120,605,1094,630,379,269,66,224,107,3495,247,616,1112,1425,1070,703,241,488,184,6077,277,385,685,1450,2418,1346,584,859,186,8186,427,362,527,1143,3733,2453,1131,1537,222,11527,613,336,454,996,4428,3508,1774,2612,269,14994,568,215,286,621,3290,2812,1658,2766,175,12390,601,158,200,502,2606,2670,1404,2819,144,11102,469,100,127,301,1725,1964,1186,2756,101,8726,820,174,195,363,1732,2604,1756,6505,156,14307,445,112,98,195,421,916,646,5060,91,7980,85,180,131,144,311,316,136,370,563,2240,5095,6921,6517,8650,22711,19976,10727,26413,2751,109749
8,53,19,10,44,208,298,161,203,56,1045,16,22,15,15,29,85,50,135,26,385,6,9,8,15,32,37,7,28,243,383,298,281,243,372,1371,1187,464,631,901,5756,129,308,104,72,72,89,25,111,75,976,425,5793,449,127,75,46,31,67,225,7230,339,4197,1262,403,114,125,42,119,239,6849,232,2620,1844,675,241,224,55,162,173,6232,269,1794,2580,1212,513,442,166,267,201,7453,462,1725,2700,2767,1537,1014,387,674,243,11507,572,1156,2066,2996,3806,2135,821,1007,252,14802,671,910,1770,2848,6165,3776,1713,1888,281,20012,971,836,1629,2737,8582,5827,2731,2876,325,26520,1238,619,1028,2283,8781,6165,2941,2904,244,26203,1354,518,760,2104,8354,6502,2981,3180,214,25966,809,314,460,1221,4678,4909,2572,2896,156,18017,1707,543,668,1587,7721,10645,6697,7560,215,37335,459,307,312,657,1232,4073,2628,6215,104,15986,85,204,151,180,423,398,169,290,491,2380,9719,21832,17789,21869,52293,46374,23953,30210,3431,227464
9,0,0,0,0,3,0,0,9,0,10,0,0,0,0,0,0,0,5,0,9,0,0,0,0,0,0,0,0,7,9,4,6,3,6,17,9,4,14,19,84,3,7,0,3,0,0,0,8,3,22,3,39,3,3,0,0,0,0,9,55,6,38,14,9,3,7,0,3,3,83,9,36,28,12,15,6,0,12,4,121,3,24,24,32,20,25,7,10,6,150,16,17,29,60,53,32,8,29,4,250,20,13,26,37,96,50,28,39,6,306,19,18,18,25,93,41,35,57,6,324,17,10,6,20,94,62,55,66,4,334,14,10,4,14,61,41,34,52,10,242,18,16,3,11,51,40,46,47,3,238,19,6,4,5,45,40,38,45,3,207,25,3,7,7,41,56,50,89,0,279,30,3,5,9,12,27,15,56,4,147,5,3,4,3,12,4,0,3,13,49,199,236,183,248,602,425,326,510,81,2804
