STE_CODE_2016,P_75ov_EWFT,P_75ov_EWPT,P_75ov_EAFW,P_75ov_EHW_NS,P_75ov_Tot,P_Tot_EWFT,P_Tot_EWPT,P_Tot_EAFW,P_Tot_EHW_NS,P_Tot_Tot
1,5918,10411,1000,1564,18893,2118568,1066634,106407,66574,3358185
2,4334,7906,852,1211,14306,1666823,919745,90855,52916,2730338
3,3385,5172,486,941,9984,1327364,692728,72375,38400,2130860
4,1240,2341,269,381,4235,432682,270028,28154,11961,742831
5,1519,3319,327,363,5531,722065,376770,47166,20244,1166240
6,343,784,74,125,1334,121052,81367,9226,3723,215365
7,148,148,24,28,343,79828,22079,5095,2751,109749
8,176,414,55,57,697,152823,61486,9719,3431,227464
9,8,19,0,3,38,1858,671,199,81,2804
