STE_CODE_2016,SEO_AGFF_Bf_91,SEO_AGFF_91_95,SEO_AGFF_96_00,SEO_AGFF_01_05,SEO_AGFF_06_10,SEO_AGFF_11_15,SEO_AGFF_2016,SEO_AGFF_NS,SEO_AGFF_Tot,SEO_Min_Bf_91,SEO_Min_91_95,SEO_Min_96_00,SEO_Min_01_05,SEO_Min_06_10,SEO_Min_11_15,SEO_Min_2016,SEO_Min_NS,SEO_Min_Tot,SEO_Mnf_Bf_91,SEO_Mnf_91_95,SEO_Mnf_96_00,SEO_Mnf_01_05,SEO_Mnf_06_10,SEO_Mnf_11_15,SEO_Mnf_2016,SEO_Mnf_NS,SEO_Mnf_Tot,SEO_EGWWS_Bf_91,SEO_EGWWS_91_95,SEO_EGWWS_96_00,SEO_EGWWS_01_05,SEO_EGWWS_06_10,SEO_EGWWS_11_15,SEO_EGWWS_2016,SEO_EGWWS_NS,SEO_EGWWS_Tot,SEO_Const_Bf_91,SEO_Const_91_95,SEO_Const_96_00,SEO_Const_01_05,SEO_Const_06_10,SEO_Const_11_15,SEO_Const_2016,SEO_Const_NS,SEO_Const_Tot,SEO_WST_Bf_91,SEO_WST_91_95,SEO_WST_96_00,SEO_WST_01_05,SEO_WST_06_10,SEO_WST_11_15,SEO_WST_2016,SEO_WST_NS,SEO_WST_Tot,SEO_RetT_Bf_91,SEO_RetT_91_95,SEO_RetT_96_00,SEO_RetT_01_05,SEO_RetT_06_10,SEO_RetT_11_15,SEO_RetT_2016,SEO_RetT_NS,SEO_RetT_Tot,SEO_AcFd_Bf_91,SEO_AcFd_91_95,SEO_AcFd_96_00,SEO_AcFd_01_05,SEO_AcFd_06_10,SEO_AcFd_11_15,SEO_AcFd_2016,SEO_AcFd_NS,SEO_AcFd_Tot,SEO_TPW_Bf_91,SEO_TPW_91_95,SEO_TPW_96_00,SEO_TPW_01_05,SEO_TPW_06_10,SEO_TPW_11_15,SEO_TPW_2016,SEO_TPW_NS,SEO_TPW_Tot,SEO_IMT_Bf_91,SEO_IMT_91_95,SEO_IMT_96_00,SEO_IMT_01_05,SEO_IMT_06_10,SEO_IMT_11_15,SEO_IMT_2016,SEO_IMT_NS,SEO_IMT_Tot,SEO_FinIns_Bf_91,SEO_FinIns_91_95,SEO_FinIns_96_00,SEO_FinIns_01_05,SEO_FinIns_06_10,SEO_FinIns_11_15,SEO_FinIns_2016,SEO_FinIns_NS,SEO_FinIns_Tot,SEO_RHRE_Bf_91,SEO_RHRE_91_95,SEO_RHRE_96_00,SEO_RHRE_01_05,SEO_RHRE_06_10,SEO_RHRE_11_15,SEO_RHRE_2016,SEO_RHRE_NS,SEO_RHRE_Tot,SEO_ProSTS_Bf_91,SEO_ProSTS_91_95,SEO_ProSTS_96_00,SEO_ProSTS_01_05,SEO_ProSTS_06_10,SEO_ProSTS_11_15,SEO_ProSTS_2016,SEO_ProSTS_NS,SEO_ProSTS_Tot,SEO_AdSup_Bf_91,SEO_AdSup_91_95,SEO_AdSup_96_00,SEO_AdSup_01_05,SEO_AdSup_06_10,SEO_AdSup_11_15,SEO_AdSup_2016,SEO_AdSup_NS,SEO_AdSup_Tot,SEO_PubAS_Bf_91,SEO_PubAS_91_95,SEO_PubAS_96_00,SEO_PubAS_01_05,SEO_PubAS_06_10,SEO_PubAS_11_15,SEO_PubAS_2016,SEO_PubAS_NS,SEO_PubAS_Tot,SEO_EdTrn_Bf_91,SEO_EdTrn_91_95,SEO_EdTrn_96_00,SEO_EdTrn_01_05,SEO_EdTrn_06_10,SEO_EdTrn_11_15,SEO_EdTrn_2016,SEO_EdTrn_NS,SEO_EdTrn_Tot,SEO_HC_SA_Bf_91,SEO_HC_SA_91_95,SEO_HC_SA_96_00,SEO_HC_SA_01_05,SEO_HC_SA_06_10,SEO_HC_SA_11_15,SEO_HC_SA_2016,SEO_HC_SA_NS,SEO_HC_SA_Tot,SEO_ArtsR_Bf_91,SEO_ArtsR_91_95,SEO_ArtsR_96_00,SEO_ArtsR_01_05,SEO_ArtsR_06_10,SEO_ArtsR_11_15,SEO_ArtsR_2016,SEO_ArtsR_NS,SEO_ArtsR_Tot,SEO_OthSvs_Bf_91,SEO_OthSvs_91_95,SEO_OthSvs_96_00,SEO_OthSvs_01_05,SEO_OthSvs_06_10,SEO_OthSvs_11_15,SEO_OthSvs_2016,SEO_OthSvs_NS,SEO_OthSvs_Tot,SEO_IDNS_Bf_91,SEO_IDNS_91_95,SEO_IDNS_96_00,SEO_IDNS_01_05,SEO_IDNS_06_10,SEO_IDNS_11_15,SEO_IDNS_2016,SEO_IDNS_NS,SEO_IDNS_Tot,SEO_Tot_Bf_91,SEO_Tot_91_95,SEO_Tot_96_00,SEO_Tot_01_05,SEO_Tot_06_10,SEO_Tot_11_15,SEO_Tot_2016,SEO_Tot_NS,SEO_Tot_Tot,SOLSEWVW_AGFF_Bf_91,SOLSEWVW_AGFF_91_95,SOLSEWVW_AGFF_96_00,SOLSEWVW_AGFF_01_05,SOLSEWVW_AGFF_06_10,SOLSEWVW_AGFF_11_15,SOLSEWVW_AGFF_2016,SOLSEWVW_AGFF_NS,SOLSEWVW_AGFF_Tot,SOLSEWVW_Min_Bf_91,SOLSEWVW_Min_91_95
1,2422,195,307,268,344,426,70,191,4209,1129,152,179,226,284,170,3,54,2200,11482,1470,2113,2036,2147,2188,170,504,22113,1672,192,331,328,310,259,27,79,3205,13745,1823,2875,2532,3533,4284,313,879,29974,6489,1015,1566,1439,1583,1541,107,300,14048,13179,1963,3324,3001,3233,3489,316,728,29229,6188,1259,2282,2351,2804,3918,470,666,19940,9613,1212,1665,1401,1466,1335,105,495,17302,4633,900,1341,1426,1657,1691,169,224,12034,11033,2220,3211,3441,3588,3588,308,465,27857,3564,467,630,627,698,674,64,157,6891,17865,3342,5044,4905,6097,7302,911,824,46288,6421,945,1471,1402,1892,2723,291,417,15555,12216,1546,1872,1651,1648,1251,96,447,20723,16946,2301,3076,2942,3022,3047,252,610,32198,27529,3926,4750,4851,5299,4898,362,1122,52720,2836,444,693,682,739,884,74,179,6524,6330,880,1167,1097,1445,1578,128,337,12953,7923,1133,1759,1784,2030,2305,261,1171,18358,183217,27372,39661,38381,43813,47545,4501,9836,394324,1121,254,276,315,675,930,121,135,3830,262,98
2,1938,149,359,362,432,522,47,136,3952,449,57,81,81,104,97,3,24,897,13182,1394,1891,2190,2668,2573,180,524,24598,1691,195,319,383,545,450,26,79,3684,10240,1028,1617,1667,2527,2364,148,596,20189,5458,596,903,1033,1229,1179,75,220,10699,11330,1399,2400,2607,3178,3220,239,608,24979,4002,749,1651,2041,2677,3727,482,520,15839,7634,828,1120,1311,1689,1435,115,396,14521,3117,444,663,801,1008,926,73,125,7159,6773,1019,1506,1864,2223,2097,143,253,15882,2370,243,334,421,562,561,42,105,4650,13529,1983,2782,3344,4321,4936,555,571,32023,5229,577,866,987,1334,1835,158,310,11287,9701,938,1211,1412,1565,1033,62,328,16251,14053,1636,2257,2657,3213,3310,250,531,27918,21931,2533,3055,3971,4743,4351,340,872,41803,2428,349,560,637,776,882,74,136,5832,5061,543,727,868,1280,1388,107,262,10233,6567,730,1026,1286,1613,1774,181,859,14041,146687,17401,25339,29900,37690,38669,3307,7458,306456,1034,189,264,400,1017,1014,127,145,4189,189,56
3,1990,196,326,375,411,640,242,201,4378,2341,384,590,686,1200,829,16,132,6173,8551,1311,2295,2700,3647,2444,144,439,21533,1421,194,329,457,578,298,12,55,3343,11984,1833,3132,3565,4999,3311,206,786,29819,3903,571,965,1099,1544,1064,70,161,9371,10386,1673,3193,3715,4842,3223,173,632,27839,5258,1055,2351,3298,4433,4133,412,608,21548,7979,1007,1794,1892,2742,1920,82,463,17875,1563,299,482,570,694,528,34,94,4260,3618,594,979,1285,1608,1135,56,175,9454,3267,483,795,888,1007,754,35,149,7375,8923,1498,2479,3093,3824,2567,162,368,22914,5234,767,1335,1512,2113,1903,162,331,13362,9191,1285,1855,2013,2308,1154,56,331,18194,12655,1704,2674,3124,3775,2747,171,572,27428,20042,3082,4608,5644,7961,5267,306,961,47865,2006,350,593,692,853,688,53,140,5374,4896,796,1217,1529,2214,1638,94,311,12695,5363,807,1509,1736,2351,1830,159,862,14628,130571,19877,33494,39862,53114,38083,2649,7771,325425,653,158,185,266,877,1461,375,337,4320,311,132
4,963,63,82,105,138,164,50,74,1632,484,43,81,83,149,88,6,22,955,4551,343,405,527,759,441,28,154,7205,665,40,83,110,156,102,4,19,1185,3855,327,392,490,916,578,21,170,6739,1404,87,111,158,231,155,14,49,2201,4129,345,466,639,934,458,34,155,7152,1583,181,376,520,824,581,38,120,4213,2412,150,133,179,317,186,8,97,3484,638,69,71,106,158,99,10,23,1162,1421,125,158,214,302,151,13,32,2413,816,33,59,58,101,93,4,26,1189,3114,311,332,479,647,475,30,112,5495,2154,136,195,227,348,271,19,79,3416,4658,351,378,495,795,387,15,136,7210,5096,420,475,598,900,656,34,151,8330,9482,759,819,1192,1755,1126,65,300,15508,606,54,93,96,156,112,7,25,1152,1941,162,175,256,402,283,12,73,3307,1516,102,144,214,293,193,20,144,2626,51489,4087,5031,6733,10262,6604,421,1957,86591,547,93,86,122,424,525,64,72,1934,82,27
5,1679,169,230,282,374,485,70,122,3405,6461,1158,1608,1920,3626,2511,53,355,17690,6378,892,1097,1392,2281,1994,71,269,14377,1388,210,235,368,677,531,17,70,3494,10300,1663,2274,2822,5765,5653,168,619,29270,2908,397,540,612,1085,981,15,113,6648,8191,1206,1824,2443,3683,3071,134,455,21010,2945,588,1137,1768,3044,3162,182,322,13141,5531,618,890,1031,1820,1664,49,277,11874,1129,165,226,273,429,342,10,58,2636,3051,474,537,705,1074,946,27,92,6902,2265,292,318,409,647,640,22,83,4676,7865,1252,1688,2021,3020,2656,115,274,18885,3522,493,623,798,1458,1725,93,232,8951,9095,1136,1263,1432,2483,1850,64,294,17628,11740,1540,1849,2289,3092,2297,95,380,23277,16102,2369,2717,3746,5622,5050,235,644,36486,1634,216,321,391,563,457,14,79,3681,4113,664,809,1012,1796,1890,76,213,10571,4522,660,918,1131,2002,1835,104,628,11800,110803,16153,21108,26865,44537,39741,1615,5588,266411,466,79,82,143,388,594,115,117,1981,975,438
6,438,42,94,67,96,102,10,33,882,69,5,8,4,12,3,0,0,107,537,63,73,76,86,67,3,32,945,148,27,34,25,36,17,0,3,294,521,54,70,71,80,46,3,23,869,184,23,28,15,26,14,0,13,298,713,67,113,88,140,81,7,45,1252,440,59,124,127,128,166,19,33,1105,408,23,41,39,27,24,0,10,585,159,9,18,23,31,6,0,8,250,191,13,15,28,32,17,5,3,304,149,12,13,13,15,10,3,7,211,716,68,89,83,101,70,7,26,1162,321,28,34,31,30,28,3,15,494,1038,66,109,85,106,45,3,25,1481,1292,95,131,153,155,126,14,45,2007,1994,175,221,241,281,217,16,61,3202,232,25,30,32,34,21,7,8,382,346,29,39,40,43,39,3,14,552,287,27,35,31,35,25,3,40,480,10179,897,1314,1289,1497,1137,102,454,16864,49,8,19,35,63,169,13,10,358,6,0
7,75,9,17,14,30,53,13,3,212,251,25,58,57,85,76,0,20,566,148,12,36,24,40,65,6,10,340,124,12,13,20,28,25,3,3,237,723,95,138,162,341,361,22,53,1901,109,9,14,12,26,44,3,5,224,360,34,77,58,126,176,23,44,904,242,34,74,57,148,332,54,51,994,315,27,36,46,86,85,5,21,623,84,3,11,14,19,29,0,3,163,61,7,16,8,20,29,0,0,145,112,5,16,16,28,49,4,6,231,451,66,83,87,201,235,18,29,1153,190,21,35,30,67,95,10,21,470,1182,143,186,174,260,367,48,63,2433,682,82,91,78,172,196,18,42,1353,681,81,109,139,211,335,25,46,1629,97,11,25,18,41,71,3,7,277,192,16,19,39,47,100,9,17,447,240,21,48,55,91,108,7,56,630,6320,714,1120,1106,2066,2828,268,490,14910,59,15,9,7,23,38,10,9,163,44,16
8,39,0,3,5,3,15,0,3,69,7,0,0,3,0,0,0,0,12,207,23,27,30,29,45,0,6,364,97,12,9,6,27,24,0,0,181,594,48,78,77,142,142,7,34,1132,154,14,21,22,14,36,0,4,269,585,88,139,153,189,215,15,24,1407,273,75,170,164,169,245,19,36,1146,372,31,41,35,54,54,8,19,618,260,41,33,45,35,34,0,9,456,246,33,29,29,32,52,0,6,430,176,25,27,17,37,32,0,5,323,1534,206,213,219,259,266,17,52,2765,276,35,41,37,42,84,5,16,534,5409,685,720,523,405,294,35,187,8256,1512,212,224,243,294,407,34,53,2972,1417,198,194,246,340,402,15,43,2857,238,29,44,47,28,63,3,3,454,353,43,49,41,74,87,3,16,674,286,40,38,42,65,72,8,43,589,14037,1837,2103,1992,2231,2566,182,574,25511,17,5,4,14,12,16,0,0,60,0,0
9,7,0,0,0,0,0,0,0,9,7,0,3,0,3,0,0,0,10,11,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,3,13,3,0,3,6,0,0,3,33,0,0,0,0,0,0,0,0,6,27,3,7,4,0,3,3,0,43,20,0,3,4,3,6,0,3,48,8,0,3,0,0,4,0,0,15,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,4,3,0,0,0,0,7,6,0,0,0,5,0,0,0,13,8,0,0,5,3,0,0,0,21,60,4,0,4,14,17,0,6,105,13,0,3,0,0,0,3,0,25,10,0,0,3,0,3,3,0,18,4,3,0,0,0,0,0,0,9,10,3,0,0,0,0,0,0,18,11,3,3,0,3,0,0,0,21,211,29,31,28,41,39,15,19,406,0,0,0,0,0,0,0,0,3,36,0
